 	a66	a87	a23	a58	a20	a6	a5	a37	a93	a90	a56	a85	a6	a37	a5	a79	a37	a5	a18	a71	a25	a87	a23	a87	a23	a87	</S>
le	0.0333567	0.027177	0.0300495	0.0347621	0.0333813	0.064592	0.0360424	0.042934	0.0273523	0.035283	0.0282038	0.0247956	0.0151801	0.0237374	0.0149764	0.0219611	0.0605081	0.0439507	0.0628209	0.0428318	0.0476206	0.0358477	0.0241142	0.0285516	0.0481055	0.0295697	0.0822944
récolteur	0.0038234	0.00551262	0.00559462	0.0213418	0.0486311	0.215056	0.229738	0.22232	0.088537	0.0811093	0.0163957	0.0312773	0.0031286	0.0015673	0.00249015	0.00195292	0.00243086	0.00441537	0.0037121	0.00188798	0.00137145	0.00138807	0.000825248	0.000598593	0.00141778	0.00218836	0.00128897
du	0.0411608	0.0540887	0.0547489	0.0448107	0.0796506	0.0938365	0.12142	0.107899	0.0786277	0.0626726	0.0397145	0.0313754	0.00912634	0.00490575	0.00604003	0.00464899	0.00577297	0.0224428	0.0147699	0.0146268	0.0200425	0.0114076	0.0162087	0.0100501	0.0128151	0.0338792	0.00325792
vin	0.0507877	0.0744662	0.0624846	0.0480722	0.0516822	0.0484333	0.0531816	0.0372512	0.0538171	0.0886692	0.0709	0.0640231	0.0371639	0.0366161	0.0314441	0.0104813	0.0116675	0.0272412	0.0178936	0.0284005	0.0211008	0.0128496	0.014594	0.00983217	0.0113833	0.0222324	0.00333091
de	0.0677435	0.0917635	0.10017	0.113863	0.144083	0.070987	0.0810664	0.0336593	0.0243171	0.00910052	0.00611342	0.00419479	0.0108373	0.0162381	0.0153162	0.0162909	0.0124565	0.014533	0.0134351	0.0109177	0.0132688	0.0157965	0.014337	0.0168911	0.0250718	0.0220895	0.0354596
palme	0.0741716	0.038262	0.0243929	0.0154475	0.0137056	0.00719349	0.0152364	0.0290351	0.0318002	0.0216727	0.0158602	0.0145167	0.011895	0.0193433	0.0224851	0.0357593	0.0536402	0.0897668	0.0586127	0.0469887	0.0668795	0.0391908	0.0477053	0.0423252	0.0552089	0.0388538	0.070051
grimpe	0.0542905	0.0377057	0.0287949	0.0194348	0.0113398	0.00793645	0.0211027	0.0239342	0.0416036	0.038114	0.0381653	0.0305515	0.039015	0.0390614	0.10334	0.0438861	0.0508699	0.0802617	0.0533253	0.0367252	0.0316354	0.0362888	0.0285875	0.0196106	0.0276866	0.0221074	0.0346256
sur	0.0691094	0.0390178	0.0208838	0.0117593	0.00820715	0.00798611	0.0157278	0.0205739	0.0252965	0.0264831	0.0325082	0.0215709	0.0347481	0.0423314	0.0432295	0.0376988	0.0567221	0.0716358	0.0558982	0.0535082	0.0238013	0.0378838	0.0322679	0.0285846	0.0425556	0.0653876	0.0746231
le	0.0623767	0.0311637	0.0249562	0.013281	0.0104597	0.00655554	0.0117204	0.0246534	0.0377306	0.0271825	0.0308342	0.020153	0.0149206	0.0239593	0.0203123	0.0323859	0.0334604	0.0783892	0.0440877	0.0538237	0.0933595	0.0441263	0.0677761	0.0541807	0.0401237	0.0409799	0.0570478
palmier	0.0563705	0.0434205	0.0271343	0.0111785	0.00843837	0.00637754	0.00888048	0.0139571	0.0243046	0.00863184	0.0119201	0.0163997	0.0266291	0.0522135	0.0431571	0.0277682	0.0429857	0.0546343	0.0575686	0.0418309	0.0717481	0.0516313	0.0518196	0.0532845	0.0719858	0.0414765	0.0742532
</S>	0.061623	0.0595774	0.0616986	0.0427046	0.0317075	0.0134986	0.016128	0.0166019	0.0222471	0.0249401	0.0274993	0.0536294	0.0321858	0.0415975	0.0282776	0.0150074	0.037674	0.0358085	0.0458466	0.0328132	0.0368847	0.0298874	0.0307341	0.0337862	0.0435587	0.0278715	0.0962112
