 	a84	a87	a23	a83	a62	a12	a96	a94	a93	a90	a92	a36	a85	a92	a56	a92	a56	a43	a62	a61	a96	a36	a26	a82	a87	a23	a99	a87	a97	</S>
je	0.203573	0.10844	0.086462	0.0373048	0.0269267	0.0157984	0.0160177	0.0149995	0.0183468	0.0247633	0.0161902	0.0157952	0.0115223	0.0122901	0.0102882	0.0124808	0.0111837	0.015076	0.0129814	0.0232264	0.0189646	0.0209682	0.0307176	0.0260882	0.0285066	0.0237792	0.0264049	0.0295317	0.0339223	0.0674507
me	0.0368066	0.0297878	0.0326248	0.0349746	0.0204198	0.0253765	0.0160011	0.0237094	0.0170331	0.0261287	0.0679718	0.0352395	0.0592096	0.0523292	0.030178	0.0365412	0.0143828	0.0184422	0.0102136	0.0201626	0.0352157	0.0426836	0.0457334	0.0421955	0.0370254	0.0356029	0.0439975	0.0334967	0.0378708	0.0386457
suis	0.107437	0.0590635	0.0323596	0.0346705	0.0334035	0.0240215	0.0159245	0.0187615	0.0105019	0.0123637	0.0129761	0.0089318	0.00883974	0.00963462	0.00932599	0.0137123	0.0200081	0.0191118	0.0306393	0.0457004	0.0361825	0.0452869	0.0488744	0.0309182	0.0297354	0.0398826	0.0606565	0.049683	0.0637302	0.0676626
pris	0.0371572	0.0370087	0.0226258	0.0170536	0.028333	0.0158041	0.0341801	0.0276864	0.0343007	0.0723867	0.199647	0.0688332	0.0919203	0.0444639	0.0545063	0.0452036	0.0352505	0.0231146	0.0165679	0.00912116	0.0112772	0.0117187	0.00926775	0.00805418	0.0053964	0.00740876	0.00924609	0.0053548	0.00846463	0.00864705
le	0.0432755	0.0453179	0.0293172	0.0219705	0.0298432	0.022644	0.0349741	0.0396347	0.0445297	0.0564911	0.103708	0.0500377	0.0517319	0.0337693	0.0317539	0.0313746	0.0349971	0.0284775	0.0294493	0.018761	0.0274325	0.0280773	0.0186109	0.020407	0.019463	0.0234924	0.0241867	0.0137913	0.0235058	0.0189744
pied	0.0764097	0.0885557	0.0366627	0.0379307	0.0408373	0.0266422	0.0257836	0.0268256	0.0273935	0.0282024	0.0270677	0.0258399	0.0194189	0.0212066	0.0156508	0.0188866	0.0226038	0.0367405	0.0502212	0.0459042	0.0407937	0.0543063	0.0327023	0.037816	0.0324107	0.0284639	0.0200605	0.0241645	0.0191195	0.0113794
dans	0.13676	0.106686	0.10439	0.0962517	0.05018	0.0330712	0.0228867	0.0228488	0.0216895	0.014645	0.0117704	0.00540201	0.00472102	0.0045387	0.00279803	0.00441197	0.00866548	0.00851826	0.0214896	0.0118415	0.0134697	0.0254929	0.0232091	0.0148924	0.0248516	0.0223367	0.030296	0.044087	0.0350873	0.0727112
un	0.0827739	0.0475671	0.0261899	0.0252489	0.0182101	0.0284557	0.0200418	0.0211818	0.0200806	0.0127545	0.0130299	0.0120858	0.0162102	0.0162691	0.0152116	0.0201195	0.0364684	0.026528	0.0410657	0.0392697	0.0367267	0.0369349	0.0321212	0.0260902	0.0275325	0.0434816	0.0497441	0.0507158	0.0569236	0.100967
fil	0.0354493	0.0194731	0.0126453	0.0114989	0.00931238	0.0104455	0.00922213	0.0107023	0.0137058	0.011971	0.00976573	0.00945605	0.0118521	0.0166524	0.019712	0.0286486	0.0452409	0.0271912	0.0434407	0.0430888	0.0352628	0.0640676	0.0609487	0.0613804	0.0717779	0.0717183	0.0815607	0.0586488	0.0633819	0.031779
</S>	0.0417103	0.0142406	0.0103171	0.00857497	0.00718111	0.00626133	0.00393335	0.00480854	0.00574319	0.00464707	0.00282083	0.0034222	0.00390059	0.00348243	0.0029028	0.00474425	0.00799897	0.00765463	0.0299464	0.0204299	0.0159892	0.0466336	0.0452019	0.0317735	0.0772363	0.0846394	0.123463	0.169258	0.135924	0.0751607
