 	a15	a66	a87	a23	a30	a53	a54	a92	a5	a12	a56	a75	a25	a69	a75	a5	a23	a27	a10	a75	a85	a47	a85	a5	a37	a85	a5	a12	a96	a98	a79	a37	a47	a85	a6	a36	a11	a90	a69	a58	a82	a87	a23	a87	</S>
c'	0.0421609	0.0552662	0.0524609	0.0508383	0.0599269	0.0750179	0.0382059	0.0377665	0.0365378	0.0408634	0.0359966	0.0365707	0.0159567	0.0188342	0.0201427	0.0159986	0.0114024	0.0124548	0.0106525	0.0162654	0.0146817	0.014113	0.0164126	0.013415	0.0181531	0.0178921	0.00937204	0.0091229	0.0145894	0.0162436	0.00797132	0.00873756	0.00465586	0.00437903	0.0051809	0.00872739	0.00869921	0.0131911	0.0130935	0.0109593	0.0107732	0.0134492	0.0155138	0.013798	0.0335559
est	0.0194169	0.0106646	0.0104839	0.0105975	0.0100462	0.01674	0.0171609	0.0225268	0.0270265	0.0316441	0.0262006	0.0306133	0.0238868	0.0251094	0.0208909	0.0179619	0.0153763	0.0185893	0.0234417	0.0197149	0.0182197	0.0121135	0.00947759	0.0122212	0.00846863	0.0134449	0.00779445	0.0105414	0.0155242	0.0142293	0.0165974	0.0127387	0.0106634	0.0127059	0.0159514	0.0297659	0.0146439	0.0525842	0.0328975	0.0461895	0.0676938	0.0450751	0.0402544	0.0536859	0.0284253
un	0.0155473	0.0131942	0.0135219	0.0101531	0.0164699	0.014225	0.0121786	0.0138882	0.0119177	0.0226406	0.0272661	0.0172426	0.0210727	0.0143057	0.0158518	0.0127466	0.012536	0.00890873	0.0117312	0.009424	0.00815341	0.00823106	0.00764219	0.0078127	0.0042479	0.0104635	0.0131807	0.0186867	0.0159708	0.0191721	0.0133637	0.0071685	0.00625212	0.0045201	0.00505319	0.00472749	0.00603328	0.00646877	0.0132943	0.0183777	0.0802887	0.0693706	0.0806692	0.149258	0.126771
homme	0.0257657	0.0144363	0.0181656	0.0340496	0.0344395	0.0166746	0.0210062	0.0190724	0.00806586	0.00604306	0.00515615	0.00579549	0.00486314	0.00700214	0.00663949	0.00980435	0.0117733	0.0114989	0.011999	0.0177527	0.0145642	0.0196388	0.0177108	0.0249338	0.0244723	0.0203733	0.0289493	0.0265884	0.0399523	0.0280323	0.027462	0.0350824	0.0488454	0.0929508	0.0611203	0.0285254	0.0114488	0.0363	0.0138763	0.0101223	0.00671222	0.0222497	0.0357247	0.0189573	0.0154033
de	0.0299914	0.00803118	0.00910781	0.00688563	0.00587496	0.00698872	0.00390747	0.00529049	0.00478195	0.0097358	0.0159056	0.0125232	0.0225795	0.0182299	0.0295818	0.0266561	0.0286454	0.0299435	0.0308087	0.0301711	0.0257213	0.03844	0.0301435	0.0427523	0.0267776	0.0359372	0.038658	0.0393704	0.0232592	0.0166697	0.0155355	0.0138721	0.00862479	0.00548451	0.00749889	0.00819145	0.00849582	0.00874466	0.0177717	0.0132683	0.0222212	0.0428653	0.039152	0.0577511	0.0771531
bonne	0.0190325	0.00826067	0.00902574	0.0120934	0.0190536	0.0370936	0.0303398	0.0349738	0.0119611	0.0386022	0.0231097	0.0159078	0.0316087	0.0289699	0.0352491	0.0230082	0.0277014	0.0354381	0.0266249	0.0408445	0.0349578	0.0540341	0.0238573	0.0543744	0.0547111	0.0313362	0.0184754	0.0191475	0.0134318	0.0105213	0.010302	0.0181194	0.0133653	0.00825129	0.00349223	0.00516236	0.00290742	0.00406333	0.00592113	0.00676424	0.0214933	0.017974	0.0137497	0.0228196	0.0218692
conduite	0.0098083	0.00606382	0.00437063	0.00420152	0.00531418	0.0102201	0.006687	0.00878591	0.00806325	0.03039	0.0374289	0.0331565	0.0366777	0.0457652	0.0362674	0.044128	0.0363418	0.042298	0.0554019	0.0292661	0.0313698	0.0396701	0.0197337	0.0284643	0.0206387	0.0269718	0.0225205	0.0361649	0.0380585	0.0348088	0.0250576	0.0255636	0.0260816	0.0181596	0.0168423	0.0282734	0.00837404	0.0065629	0.00821989	0.00787779	0.0069836	0.00898059	0.0092395	0.00703169	0.00771454
parmi	0.0196758	0.018652	0.0159134	0.0192017	0.0245057	0.0435799	0.0450986	0.0464352	0.0344384	0.0313955	0.0454367	0.0323096	0.0394754	0.0302788	0.0454954	0.0358533	0.0362584	0.0224992	0.022915	0.0219822	0.0194264	0.0268101	0.0167724	0.0111437	0.0117468	0.0168895	0.0183248	0.0231951	0.0215502	0.016365	0.0165147	0.0137572	0.0132116	0.0132617	0.0110054	0.0145861	0.0111568	0.00700156	0.0121029	0.00904931	0.00948478	0.0122265	0.0156441	0.0102284	0.0171449
tous	0.048761	0.0356611	0.0409243	0.0442875	0.0394769	0.0452459	0.0419567	0.0500681	0.023615	0.0270942	0.0421583	0.034412	0.0285463	0.0208524	0.0244691	0.0158402	0.0206117	0.0138339	0.012756	0.0120233	0.0108764	0.0130935	0.00970583	0.00843707	0.00749867	0.00913772	0.00780737	0.0117688	0.00752512	0.00893386	0.0107672	0.00987619	0.0101499	0.0081013	0.0091035	0.00901233	0.0186961	0.0141481	0.0158164	0.0132218	0.0163081	0.0199347	0.0227598	0.0321428	0.0725833
les	0.0286672	0.0135263	0.0175813	0.017623	0.0159839	0.0116165	0.0101822	0.0108168	0.00606735	0.00939282	0.0211475	0.0230036	0.0238867	0.0178077	0.0211626	0.0143623	0.0190278	0.0141021	0.0135641	0.0146037	0.0150197	0.0197263	0.0169143	0.0183002	0.0117477	0.0178178	0.017307	0.0238369	0.014499	0.0184775	0.0211553	0.0225393	0.0186183	0.0152413	0.014025	0.0159893	0.0222531	0.0174393	0.0285615	0.0191551	0.0299145	0.0318303	0.0313379	0.0552139	0.158955
hommes	0.0136381	0.00483231	0.00699204	0.00640601	0.00736197	0.0110295	0.00738005	0.00737936	0.00705238	0.00497459	0.0126429	0.012006	0.0188269	0.0133736	0.017425	0.0123379	0.0196169	0.0151002	0.0101333	0.0131833	0.0132489	0.0149132	0.0159492	0.0214411	0.0134102	0.0203344	0.0219705	0.0308127	0.0277693	0.0317985	0.0326922	0.0346257	0.0272641	0.024846	0.0219051	0.0228584	0.0344819	0.0257274	0.0331648	0.0258753	0.0427137	0.0411664	0.039151	0.0669677	0.09322
que	0.0172882	0.00788777	0.00711206	0.00665148	0.00699585	0.0098977	0.00690731	0.00711269	0.00427148	0.00697995	0.0110689	0.00974349	0.0147369	0.0102611	0.0126517	0.0100117	0.0134838	0.00913142	0.00791316	0.00856747	0.00813372	0.0102931	0.00945637	0.00897854	0.00775304	0.0102562	0.011083	0.0129333	0.0102453	0.0148745	0.0194998	0.0171404	0.0182827	0.0142913	0.0132755	0.0167403	0.0285848	0.0314067	0.0393208	0.0357488	0.0871292	0.0828723	0.0766241	0.0957515	0.130651
je	0.00729078	0.00270097	0.00252781	0.00183874	0.000932281	0.00202273	0.00109126	0.00157846	0.00130024	0.0035445	0.00693829	0.00564555	0.00936118	0.00615669	0.00737426	0.0064358	0.00738726	0.00680058	0.00608656	0.00557086	0.00692627	0.0101438	0.00839623	0.00944984	0.00429274	0.0108324	0.00815539	0.0101686	0.00474195	0.0075891	0.00847763	0.00614189	0.00781728	0.00538852	0.0102041	0.0270774	0.0271641	0.0568331	0.0672078	0.0629343	0.110724	0.106682	0.108706	0.122912	0.0984491
connais	0.00766781	0.00344229	0.00300612	0.00246339	0.00214702	0.00318746	0.00129458	0.00180618	0.00137865	0.0042116	0.00848345	0.00614481	0.0123554	0.00758965	0.0103666	0.00771956	0.0101078	0.00882726	0.00626408	0.00754454	0.00670796	0.00755539	0.0057307	0.00753502	0.00398183	0.0093781	0.00771244	0.0132513	0.00924778	0.0120834	0.014969	0.0110343	0.0140724	0.0135809	0.0165933	0.0408536	0.0404045	0.0763984	0.063925	0.0621019	0.0864101	0.0853978	0.0846108	0.0896046	0.100851
</S>	0.00486301	0.00182755	0.00183297	0.00257467	0.00154011	0.00357915	0.000960802	0.0010164	0.000942534	0.00401308	0.00890033	0.00889468	0.0110056	0.00797805	0.00659156	0.00562571	0.00541861	0.00568797	0.00495377	0.00337682	0.00444876	0.00490215	0.00501255	0.00598865	0.00270651	0.0052715	0.00675071	0.00839148	0.00872969	0.0127294	0.0133869	0.0141899	0.0189875	0.0192421	0.0276881	0.0586778	0.0474891	0.0649409	0.0835251	0.0653775	0.0628418	0.0765228	0.0941637	0.113624	0.0828279
