 	a66	a87	a23	a87	a23	a40	a73	a7	a90	a56	a21	a12	a90	a15	a25	a79	a98	a47	a85	a6	a37	a93	a4	a13	a38	a93	a4	a15	a7	a84	a57	a97	a87	a23	a99	a97	a87	</S>
les	0.0319559	0.0395433	0.0381775	0.0269475	0.022712	0.0647403	0.0387182	0.0833914	0.100766	0.0754342	0.031454	0.0287811	0.0542795	0.0244004	0.0218681	0.0100343	0.0119973	0.00877268	0.0107838	0.00889769	0.0106532	0.00982586	0.0138833	0.0172347	0.0104328	0.0145114	0.0121425	0.0115686	0.0123622	0.0141432	0.0131958	0.0156792	0.0105215	0.00972926	0.0178678	0.0221712	0.0181711	0.0322509
assaillants	0.00152223	0.00327343	0.00205286	0.00336183	0.0027166	0.0130589	0.0164179	0.0332205	0.0231375	0.0374594	0.0469081	0.0724375	0.0683497	0.0902517	0.118039	0.0699313	0.0992291	0.0757432	0.0832525	0.0741602	0.0257927	0.0105834	0.0039844	0.00219859	0.00200402	0.00114466	0.00146757	0.00112954	0.00113713	0.000756345	0.00121052	0.000931299	0.000720262	0.0011326	0.00243314	0.00213496	0.00411469	0.00260097
de	0.051266	0.035903	0.029259	0.0208352	0.0214683	0.0341505	0.036682	0.0367247	0.0563489	0.0426961	0.0371525	0.0232399	0.0441657	0.0242049	0.024054	0.0155843	0.0227603	0.0139906	0.011934	0.0100232	0.00416969	0.00282482	0.00486264	0.0084251	0.00778336	0.00943662	0.00743283	0.00568532	0.0118983	0.0108434	0.0271112	0.0231431	0.0251561	0.0341668	0.0347867	0.063758	0.0563197	0.0697532
ma	0.0398202	0.0405473	0.0161641	0.0166583	0.0142144	0.026025	0.0373113	0.0258091	0.0294023	0.0215764	0.0234107	0.035684	0.0595615	0.0439696	0.0245278	0.0136525	0.0279021	0.0259023	0.0218313	0.0173317	0.0186666	0.0212288	0.0152471	0.0251317	0.0141767	0.0175706	0.0136125	0.0154064	0.0151045	0.02138	0.0213971	0.023404	0.0309926	0.0374605	0.0306468	0.0319222	0.0292952	0.0560551
mère	0.0177088	0.0182778	0.0192935	0.0193557	0.0188029	0.0284744	0.0338242	0.0557598	0.0727102	0.0633567	0.0905614	0.0788933	0.0340162	0.0368302	0.03882	0.0422899	0.0515169	0.0361602	0.0258854	0.0193383	0.0230704	0.0188444	0.0176511	0.0254518	0.0110904	0.0102429	0.00504162	0.00474193	0.00605438	0.00394357	0.00863943	0.00831583	0.00358312	0.00585226	0.00915339	0.0111003	0.0111835	0.014164
étaient	0.047917	0.0297707	0.0310805	0.0267709	0.0220359	0.0281607	0.0359967	0.0304369	0.0367605	0.0261794	0.019261	0.0232476	0.0433262	0.0316395	0.0352155	0.0372212	0.0400111	0.0320443	0.0183129	0.0120349	0.0132685	0.011145	0.00959186	0.0125678	0.00525137	0.0109251	0.00515486	0.00926986	0.0125639	0.0136538	0.0167017	0.0293551	0.0432196	0.0448951	0.0328957	0.0305831	0.0264578	0.0650767
six	0.019068	0.0164188	0.0224712	0.0179895	0.027627	0.0362067	0.0620069	0.0479934	0.0694748	0.070944	0.0634998	0.0408612	0.0412426	0.0489985	0.0419083	0.0350933	0.0319105	0.020969	0.0162668	0.0129464	0.0104244	0.00867586	0.00809743	0.00723088	0.00603915	0.0055818	0.00509096	0.00671751	0.00982181	0.0100318	0.0139339	0.0157005	0.015741	0.0266704	0.0253334	0.0240073	0.0221749	0.0348301
contre	0.0395884	0.0676715	0.0606284	0.0483025	0.0572448	0.0238136	0.0265421	0.0320624	0.0224516	0.021447	0.0189633	0.0166003	0.0173526	0.0171899	0.0119027	0.0143333	0.0193833	0.013977	0.0136426	0.0111855	0.0137514	0.0147678	0.0110546	0.00658982	0.00644338	0.00628337	0.00633194	0.00958622	0.0130947	0.010798	0.0198078	0.0257556	0.0367033	0.0459725	0.0494368	0.0465502	0.0474138	0.075376
elle	0.0447	0.0626521	0.0537223	0.0408703	0.0390219	0.0120457	0.0153275	0.0210679	0.0160752	0.0163726	0.0157	0.0155527	0.0202558	0.0175502	0.0168586	0.0158628	0.0224818	0.0129462	0.0197856	0.0133322	0.0130474	0.0136715	0.014707	0.0113222	0.0101259	0.0084859	0.00767547	0.00810438	0.00951553	0.0104341	0.017227	0.0226321	0.0389488	0.0467844	0.0515207	0.0686406	0.0700656	0.0849102
</S>	0.0260025	0.0301687	0.0363377	0.0243174	0.0218666	0.00633818	0.00653063	0.012249	0.0112977	0.0122761	0.0111333	0.0128766	0.0223875	0.0143536	0.0168068	0.0170516	0.0207575	0.0156999	0.0235674	0.0203539	0.0179109	0.0259034	0.0178288	0.0102202	0.00748002	0.00820172	0.00792362	0.00894886	0.0127677	0.0163295	0.0284448	0.0408668	0.0477339	0.0626752	0.0721813	0.0871511	0.0789203	0.0861394
