 	a66	a87	a23	a75	a85	a5	a12	a47	a62	a88	a75	a92	a34	a75	a85	a6	a37	a21	a6	a36	a2	a57	a87	a23	a99	a97	a57	</S>
il	0.0541311	0.057986	0.0439955	0.0477866	0.0416794	0.041097	0.02525	0.0304025	0.0284764	0.0197976	0.0258926	0.0333376	0.0541075	0.0637076	0.035478	0.0373655	0.031972	0.0245679	0.0199081	0.0214644	0.0269293	0.0230835	0.0181967	0.0151454	0.0294702	0.0304505	0.0263375	0.0919837
faut	0.0299817	0.0250364	0.0305894	0.0273517	0.0183368	0.0194958	0.0215031	0.0306571	0.0443944	0.0231167	0.0244115	0.0317473	0.0338719	0.0237316	0.0409489	0.0363085	0.0252985	0.032397	0.0490498	0.0430738	0.0575584	0.0589309	0.0385152	0.0508801	0.0435022	0.0584446	0.0561385	0.0247278
manifester	0.0948616	0.0554257	0.0302369	0.0237335	0.0180855	0.0198751	0.010662	0.00714715	0.00542474	0.00222564	0.0103414	0.0167741	0.0124151	0.0122258	0.0222792	0.022986	0.0428255	0.0338606	0.0212461	0.0345574	0.0200812	0.0232822	0.0441684	0.0565261	0.0815614	0.0578999	0.0957339	0.123558
de	0.0605192	0.0450344	0.0243784	0.0187878	0.0116791	0.0109041	0.0162988	0.0202707	0.0141336	0.016517	0.0351359	0.0590616	0.0493158	0.0483979	0.0314233	0.0307249	0.0379661	0.0283269	0.021956	0.0205393	0.0360168	0.0244832	0.0455182	0.0416524	0.048189	0.049869	0.0524861	0.100415
la	0.0503596	0.0354082	0.0226688	0.0184108	0.018083	0.019196	0.0246329	0.0424163	0.0348791	0.0385298	0.0280748	0.0324581	0.0236858	0.0211715	0.0208285	0.0357017	0.0405498	0.0294974	0.0251516	0.0382342	0.039536	0.0406157	0.0535711	0.0435057	0.0528804	0.0503833	0.0661475	0.0534223
libéralité	0.0942887	0.0632639	0.0497171	0.0301822	0.028505	0.0282823	0.0248035	0.0287963	0.025164	0.0191946	0.0149564	0.0204898	0.0213195	0.0324001	0.0350044	0.0518167	0.0497294	0.053473	0.0429154	0.0303364	0.0322171	0.0262306	0.0415381	0.0346971	0.0327354	0.028552	0.0161928	0.0431981
envers	0.0489297	0.0378906	0.0229721	0.014126	0.00972035	0.0117295	0.00484716	0.00370123	0.00249949	0.00214658	0.00708131	0.0116957	0.0110156	0.0155052	0.0198947	0.0304621	0.038345	0.054225	0.0465843	0.073797	0.0632732	0.0508282	0.0797006	0.0752553	0.0602895	0.0462594	0.0814599	0.075765
les	0.0466567	0.0269662	0.0186623	0.00777525	0.00610197	0.00752346	0.00333527	0.00270183	0.00128626	0.000794367	0.00262318	0.00433831	0.00565004	0.0138399	0.0169671	0.0252636	0.0441181	0.0341254	0.0545987	0.0719501	0.0646815	0.0553926	0.0776441	0.0638163	0.0816402	0.0902995	0.106393	0.0648552
autres	0.0722073	0.0519149	0.0323468	0.0215646	0.0159375	0.0173529	0.0125091	0.00449514	0.00475752	0.0044581	0.00781141	0.00787723	0.0121423	0.0178702	0.0229644	0.028213	0.0348735	0.0302376	0.0342861	0.0322173	0.0274339	0.0285881	0.0451814	0.050362	0.0628707	0.0632469	0.0860238	0.170256
</S>	0.0925818	0.0643783	0.0378577	0.0206444	0.01251	0.0127107	0.00465147	0.00175929	0.00153423	0.000986234	0.00295489	0.00583055	0.0113903	0.015687	0.0236756	0.0241784	0.0275434	0.0330195	0.029671	0.0397121	0.0281861	0.0328621	0.0383625	0.054316	0.0616567	0.0690691	0.100698	0.151572
