 	a84	a10	a87	a99	a10	a87	a85	a87	a23	a83	a66	a53	a90	a56	a25	a92	a21	a12	a96	a21	a85	a37	a21	a12	a18	a75	a85	a47	a36	a2	a57	a87	a23	a87	a23	a83	a34	a93	a4	a70	a4	a13	a26	a54	a36	a2	a57	a10	a87	a23	a99	a97	</S>
une	0.0220424	0.0210719	0.0137609	0.0136461	0.0136408	0.0115107	0.0107091	0.0164395	0.0191507	0.0214331	0.0609191	0.0707571	0.0707339	0.0838147	0.0843045	0.094523	0.0454144	0.0336982	0.0133887	0.0139247	0.0152342	0.0179834	0.00889162	0.0107916	0.00585379	0.00922896	0.00589886	0.00729209	0.00937871	0.0098196	0.0107348	0.00653122	0.005361	0.00803923	0.00862579	0.00350245	0.00380204	0.00914919	0.0185326	0.00847397	0.00400735	0.00453179	0.00264822	0.00473077	0.00697992	0.00449142	0.00549095	0.00422871	0.00419478	0.00642874	0.00690606	0.0072353	0.0201173
lance	0.00340308	0.00630884	0.00757693	0.00927156	0.0164138	0.0219545	0.0359614	0.0369077	0.0574405	0.0450833	0.0606132	0.0652041	0.059884	0.0713155	0.0733416	0.0368196	0.0676204	0.0464634	0.0210926	0.0222719	0.0196897	0.0164624	0.00711856	0.0142959	0.0111922	0.0140751	0.0190988	0.0248958	0.0193939	0.0147232	0.0135279	0.00589347	0.0138601	0.0101116	0.00338044	0.00272531	0.00554628	0.00175292	0.00175113	0.00126642	0.0013778	0.000489441	0.000849172	0.000550941	0.000399825	0.000476904	0.000375253	0.000245515	0.00043966	0.000757974	0.00079122	0.00222633	0.00531086
qui	0.0266477	0.0087937	0.0115272	0.0113961	0.0108935	0.00857035	0.0101209	0.0104616	0.0136272	0.0194673	0.0200551	0.0379716	0.0305825	0.0409535	0.0660994	0.0466574	0.0390216	0.0283349	0.0305905	0.0137682	0.046301	0.0149018	0.02667	0.0272589	0.0353653	0.020213	0.0319359	0.0343126	0.0600911	0.0434198	0.022573	0.0185991	0.0154949	0.00589218	0.00612125	0.00153861	0.00226814	0.000500589	0.00061596	0.00044056	0.000731222	0.000506221	0.00082349	0.00151785	0.00298115	0.00198709	0.00425988	0.00622486	0.00768728	0.0130369	0.0112552	0.029357	0.019578
ne	0.0288209	0.0117906	0.00762561	0.00786264	0.00675061	0.00598389	0.00883119	0.00921478	0.00759235	0.0145559	0.022272	0.0353169	0.0343948	0.0365402	0.0346132	0.0382437	0.0663359	0.0698818	0.0480707	0.0408865	0.0577625	0.046767	0.031769	0.0257965	0.0224133	0.0387864	0.0188278	0.0134551	0.0118793	0.0181478	0.0119713	0.014607	0.00788578	0.0156409	0.0131916	0.0152028	0.0155111	0.0114759	0.0140204	0.00860921	0.00679307	0.00279116	0.00144353	0.000668348	0.000761711	0.000660288	0.00115862	0.00158857	0.0018166	0.00353679	0.0031228	0.00679699	0.0195565
porte	0.0158858	0.00901124	0.00721429	0.00553181	0.0048348	0.00272864	0.00288998	0.00241532	0.00164741	0.00340309	0.010421	0.0164925	0.0138651	0.0174154	0.0122025	0.0195066	0.0464008	0.0483613	0.0715237	0.0674861	0.0793373	0.0872644	0.0726585	0.0669012	0.0495475	0.0487677	0.0253428	0.0166498	0.012503	0.0155118	0.0173805	0.0133749	0.00863777	0.0187878	0.0100348	0.00692114	0.00502978	0.00492905	0.00816604	0.00353428	0.00278898	0.00306753	0.00163593	0.00175373	0.0014854	0.00168993	0.00244137	0.00402272	0.00320616	0.0068476	0.00507497	0.00428897	0.0111791
pas	0.022314	0.0176532	0.016374	0.0134553	0.0133998	0.0102886	0.0103446	0.0132208	0.00901764	0.0133018	0.0179743	0.016371	0.0194826	0.0141266	0.0107034	0.0167278	0.0198562	0.023689	0.0255956	0.049362	0.0451854	0.0509473	0.0462306	0.0456383	0.0454204	0.0500644	0.0365668	0.0291786	0.0207092	0.0248775	0.0276412	0.0246615	0.0160748	0.0138229	0.00711673	0.00760428	0.00682887	0.00954053	0.00707062	0.0116134	0.0102616	0.0124911	0.0106602	0.00596922	0.00777245	0.0068673	0.00939765	0.0103382	0.00858764	0.00855733	0.00716366	0.0088789	0.013003
d'	0.0103309	0.00643217	0.00622355	0.00554243	0.00550672	0.00449356	0.00484862	0.00430633	0.004367	0.00473095	0.00533315	0.00636303	0.00865254	0.00965774	0.0155349	0.0255622	0.0247113	0.0249852	0.0260818	0.0467545	0.0542309	0.0543889	0.054155	0.0479209	0.0523943	0.0609456	0.0468244	0.0508117	0.0421592	0.0376738	0.0352067	0.0329013	0.0176261	0.00816916	0.00728466	0.00543465	0.00417751	0.00393024	0.00499912	0.00540834	0.00431229	0.0070263	0.00770699	0.00779115	0.00689533	0.00567346	0.00857603	0.011372	0.0131198	0.00833325	0.00924796	0.0138833	0.019001
anneau	0.0114392	0.00551678	0.00486717	0.00484751	0.0047388	0.00471151	0.005325	0.00545491	0.00666714	0.00866897	0.0114785	0.011919	0.0126001	0.0151458	0.0164539	0.0211613	0.0238903	0.0226514	0.0309696	0.043625	0.0655361	0.0449808	0.0640084	0.0482063	0.0553078	0.0626311	0.0479656	0.0430613	0.039088	0.0267305	0.0225824	0.0309877	0.0145703	0.0129707	0.0101116	0.00925746	0.00382374	0.0043472	0.00711132	0.00440982	0.00339877	0.00580901	0.00410746	0.00512796	0.00462795	0.00474121	0.00742293	0.0110392	0.0120634	0.00773965	0.0109493	0.0166307	0.0165226
est	0.0386212	0.0216277	0.0182215	0.0125652	0.00893379	0.00408179	0.0044127	0.00357478	0.00368939	0.00448183	0.0101245	0.0101377	0.0130237	0.00986701	0.0156009	0.0287081	0.0215763	0.0245256	0.045705	0.0492764	0.0515132	0.0497631	0.0502894	0.0411161	0.0304777	0.0368106	0.0337168	0.0243131	0.0185468	0.016047	0.0139271	0.0154527	0.00814142	0.00454648	0.0133612	0.00510521	0.00329709	0.0099643	0.014538	0.00761443	0.00523276	0.0110414	0.00684179	0.0126022	0.0101829	0.00610134	0.0113317	0.0136657	0.0234049	0.0248022	0.0251137	0.0300617	0.0223208
légère	0.0340448	0.0214306	0.0230634	0.019622	0.0199095	0.0143859	0.0107496	0.0110732	0.0103596	0.00919205	0.0114104	0.0104299	0.0108126	0.008763	0.0090102	0.0156559	0.0166877	0.0161543	0.0257085	0.0338518	0.0379489	0.0401792	0.0341243	0.031786	0.026644	0.0350278	0.0283637	0.0212601	0.0184298	0.0176646	0.0204465	0.0199778	0.0158413	0.010283	0.0167299	0.011354	0.00695202	0.0217238	0.0210609	0.0171496	0.00810888	0.0131931	0.0111557	0.0157303	0.0112777	0.00626402	0.00910441	0.00854116	0.0168726	0.0158724	0.0212751	0.0439922	0.0333502
</S>	0.0268795	0.0168088	0.012901	0.0116785	0.0106235	0.00733727	0.00588888	0.00683163	0.00640733	0.00678463	0.0103815	0.00975909	0.0118117	0.0110145	0.00979178	0.0187835	0.0202239	0.0237761	0.0377319	0.052789	0.0395708	0.0526947	0.0375234	0.0427278	0.0312802	0.0323338	0.0317787	0.0225837	0.0236311	0.0228359	0.0192538	0.0205977	0.018571	0.0108472	0.0173023	0.00715173	0.00523235	0.00682839	0.0127986	0.00810086	0.00490642	0.00533972	0.00704193	0.0095713	0.0111493	0.00597214	0.0126079	0.00916571	0.0182643	0.0260831	0.0363296	0.0372235	0.0344969
