 	a66	a87	a23	a10	a54	a47	a36	a47	a6	a85	a6	a79	a25	a69	a90	a56	a90	a79	a44	a90	a56	a75	a5	a37	a12	a96	a61	a43	a27	a30	a87	a23	a87	</S>
de	0.0400627	0.0455345	0.0808634	0.0651556	0.0862369	0.07112	0.0820354	0.0687852	0.046774	0.0613251	0.0459431	0.0215679	0.0338602	0.0281655	0.0279775	0.0207935	0.00927222	0.0113733	0.00740044	0.00307117	0.00652623	0.0071398	0.00752239	0.00870647	0.0123445	0.0114929	0.0124917	0.00974317	0.00955995	0.00875036	0.00558349	0.0099701	0.0083214	0.02453
ces	0.0118269	0.0144543	0.0256022	0.0422175	0.0375527	0.0530428	0.0653537	0.0584532	0.0407721	0.051106	0.0636545	0.0605122	0.0654541	0.0471126	0.0825067	0.0441887	0.0152793	0.0101714	0.0180097	0.0103317	0.00896658	0.00988835	0.00629079	0.00768961	0.0153172	0.0262025	0.0148448	0.0165519	0.0120453	0.0109535	0.0106593	0.0126122	0.0171154	0.0132603
enfants	0.0169001	0.0134311	0.00913429	0.0110659	0.0145586	0.034275	0.100308	0.143651	0.148339	0.115362	0.0769122	0.0546055	0.0323495	0.0259809	0.0336489	0.0205798	0.00386039	0.003973	0.0036059	0.00195251	0.00340177	0.00220216	0.00191352	0.00226284	0.00558188	0.00737632	0.00681284	0.00696275	0.00672403	0.0195998	0.0209577	0.0134311	0.0236182	0.0146618
qui	0.0561655	0.0356004	0.0166882	0.015637	0.0187975	0.0308027	0.0470752	0.0281826	0.0489065	0.0320172	0.0446272	0.0327022	0.0189816	0.0129657	0.0269685	0.0179833	0.0155519	0.0170072	0.0214025	0.0257505	0.00890442	0.00577608	0.0124397	0.0144188	0.0185023	0.0280686	0.0389903	0.0370887	0.0507759	0.046584	0.0693166	0.0338849	0.0401485	0.0312879
sera	0.0455955	0.0361224	0.0192999	0.0200328	0.0111329	0.0166057	0.0166378	0.0228369	0.0378167	0.0619185	0.108313	0.0578129	0.0569215	0.0412042	0.0425806	0.0273704	0.0210835	0.0223585	0.0204792	0.0215791	0.0234056	0.0133691	0.028517	0.0212287	0.0223246	0.0183062	0.0273237	0.0160092	0.0313699	0.0158103	0.0144992	0.0125855	0.0251452	0.0224037
le	0.0373708	0.0206566	0.0167674	0.0224508	0.0301359	0.0264313	0.0259929	0.0335971	0.0530684	0.0564299	0.0336669	0.0248952	0.0148503	0.0168099	0.0202312	0.031835	0.0194857	0.0401924	0.0202276	0.0172306	0.0342825	0.0352984	0.050214	0.0412105	0.0736247	0.0816925	0.0406743	0.0283761	0.0120659	0.0131638	0.00779274	0.00911178	0.00385942	0.00630721
dernier	0.0585734	0.0346268	0.0283944	0.0406846	0.0476421	0.0626623	0.0527529	0.0388059	0.0604486	0.0642382	0.0296223	0.0294472	0.0147618	0.00748316	0.015151	0.0117654	0.0075731	0.0116677	0.00979161	0.0102966	0.00980317	0.0117221	0.0154555	0.0135221	0.0309799	0.0363289	0.0403154	0.0434414	0.0165054	0.0585141	0.0358841	0.025306	0.0143784	0.0114545
à	0.0735	0.0381597	0.0102004	0.0064417	0.00577941	0.00542448	0.00465382	0.00709372	0.00804189	0.0100402	0.0114135	0.0126514	0.00853393	0.00936385	0.00607261	0.0063172	0.00688355	0.0102776	0.00959667	0.00955283	0.0155713	0.016295	0.0255727	0.0369653	0.0730903	0.0412751	0.0381799	0.0563348	0.0346224	0.116676	0.0825842	0.0751425	0.0964414	0.0312507
marcher	0.107693	0.049715	0.021489	0.0165626	0.0118562	0.00702193	0.00421325	0.00613417	0.0117698	0.0158258	0.0171771	0.0194758	0.00678638	0.00494719	0.00627022	0.01007	0.0129916	0.00902593	0.0140863	0.0176695	0.0184028	0.0246707	0.0332008	0.0576969	0.0720302	0.0363518	0.0384392	0.0575656	0.0443985	0.0440658	0.0622163	0.0429464	0.0468754	0.0503592
à	0.107781	0.048988	0.0275807	0.0193907	0.0183527	0.00842431	0.00582472	0.00779245	0.0122192	0.0163934	0.0143882	0.0187417	0.0104721	0.00795966	0.00887716	0.0134154	0.0231148	0.0293908	0.0229062	0.0297175	0.0268833	0.0348501	0.0384569	0.0481127	0.0398567	0.0306292	0.0245259	0.0361647	0.0260846	0.0413355	0.0401141	0.0449578	0.0523447	0.0639531
quatre	0.0867067	0.0392277	0.0259285	0.0183722	0.0166886	0.0102087	0.00846487	0.00712022	0.00645768	0.00691289	0.010089	0.0116581	0.00911382	0.00497015	0.00882235	0.0130439	0.0165539	0.0194886	0.0119986	0.0155325	0.0238419	0.0314185	0.0328415	0.0429776	0.0359262	0.0328803	0.0311992	0.0426473	0.0333446	0.053039	0.054332	0.0697646	0.0763036	0.0921247
pattes	0.0566128	0.0379676	0.0296942	0.0220503	0.0244695	0.0196263	0.0186443	0.0119459	0.0076498	0.00664055	0.0077008	0.00656113	0.0107383	0.00869278	0.0119787	0.0122076	0.0129798	0.0241629	0.0140981	0.0166421	0.0273373	0.0471282	0.0405757	0.0527869	0.0403063	0.0391413	0.0396502	0.0495745	0.0359695	0.0448834	0.0526663	0.0647696	0.0560269	0.0481203
</S>	0.0848179	0.057226	0.0349632	0.0255156	0.0257373	0.0188763	0.0185299	0.0167772	0.00943793	0.0112051	0.0139506	0.00954858	0.0167345	0.0116199	0.0139358	0.013672	0.0114469	0.0127842	0.00749495	0.012046	0.0224156	0.04913	0.0426007	0.0570701	0.0393299	0.0260502	0.0212817	0.0309998	0.0242004	0.0377215	0.0344446	0.0494348	0.0468942	0.0921064
