 	a66	a87	a23	a30	a99	a30	a99	a53	a44	a13	a4	a99	a4	a13	a53	a44	a70	a83	a38	a75	a56	a70	a50	a83	a71	a9	a38	a99	a18	a99	a97	a87	a23	a87	a23	a87	</S>
cette	0.0375597	0.0392801	0.0472816	0.0576593	0.0506444	0.0655659	0.0562598	0.0531294	0.0297415	0.0104299	0.0166175	0.014167	0.0168247	0.0129416	0.017237	0.0296352	0.0131412	0.0189064	0.0131779	0.0116963	0.0103592	0.00700987	0.00557661	0.00374297	0.00901381	0.0153871	0.0178357	0.0304803	0.0281786	0.0382635	0.031359	0.0259968	0.0250104	0.0240447	0.0302864	0.0239252	0.0616332
femme	0.00816487	0.00692208	0.011369	0.00977108	0.0254627	0.0298008	0.0553442	0.0928125	0.179522	0.0879836	0.0632647	0.049269	0.0730115	0.0145954	0.0292869	0.0318263	0.0274114	0.0375152	0.0327539	0.0212675	0.0162457	0.0179549	0.0113243	0.00730979	0.00775286	0.00699369	0.00333893	0.00547346	0.00641577	0.00464511	0.0036852	0.00203297	0.00350875	0.00365947	0.00469741	0.00518638	0.00242063
a	0.0256394	0.0418899	0.0326352	0.0400184	0.0616151	0.0334975	0.0502393	0.0269521	0.0452791	0.0412854	0.0410634	0.0633344	0.0941742	0.0646457	0.0465576	0.0610562	0.0333624	0.0326399	0.0142949	0.0156805	0.00741486	0.00922977	0.00532834	0.00539697	0.00485195	0.00327653	0.00224425	0.00332291	0.00535097	0.00542079	0.00818911	0.0100349	0.0116179	0.0124196	0.0109644	0.0220057	0.00707041
défendu	0.0132992	0.00872753	0.00277079	0.00400892	0.00527868	0.00292386	0.00909912	0.00990487	0.0072272	0.014178	0.0245579	0.0610317	0.140798	0.153654	0.0848701	0.0976546	0.0441737	0.0443942	0.0293905	0.018349	0.0204262	0.0207109	0.01457	0.0116349	0.0187034	0.00766025	0.00668502	0.00850433	0.0118657	0.00952973	0.00964814	0.00999184	0.0165481	0.0103282	0.0105834	0.0139175	0.0224013
à	0.0496289	0.031322	0.0262067	0.0343044	0.0415697	0.0435431	0.0348716	0.0393845	0.0198701	0.0216022	0.0311895	0.0255786	0.019671	0.0269941	0.0257774	0.021017	0.0131394	0.0138614	0.0102887	0.0117337	0.012753	0.0112856	0.00750397	0.0125882	0.0136702	0.00790872	0.0110872	0.0165699	0.0170991	0.0207342	0.0243721	0.0264312	0.028882	0.031338	0.0371442	0.0578936	0.121185
son	0.0461826	0.0238655	0.0180708	0.0203974	0.023761	0.0231613	0.0153753	0.0262894	0.0229868	0.027977	0.0470734	0.0688736	0.0521282	0.0983838	0.0395319	0.0372495	0.0194431	0.0224061	0.0161321	0.0209926	0.0164192	0.0100421	0.00737769	0.00749352	0.00722818	0.00923751	0.0136209	0.0151925	0.0179353	0.0155805	0.0159389	0.015889	0.0164085	0.0191938	0.0265628	0.0435617	0.0720364
enfant	0.0433664	0.0355406	0.0278711	0.0284811	0.0255233	0.0237489	0.0142775	0.017936	0.0152599	0.0117049	0.022671	0.0250345	0.0292045	0.0394286	0.0224583	0.023993	0.0262481	0.0252543	0.0242802	0.0248963	0.0201669	0.0148439	0.0141815	0.00960813	0.00984406	0.0148037	0.0141102	0.0187048	0.0282538	0.0231946	0.0257504	0.0367653	0.0436123	0.04943	0.0588952	0.0568079	0.0538489
de	0.0220004	0.0261756	0.0254617	0.0286054	0.0330686	0.0357529	0.0222326	0.0265945	0.019389	0.00588476	0.014858	0.0229951	0.0369266	0.0572693	0.0335633	0.0400208	0.0281056	0.0360096	0.0217231	0.0185152	0.0157179	0.00905534	0.007838	0.00847468	0.00863931	0.0119707	0.0096599	0.0169852	0.0232588	0.0216169	0.0245811	0.03191	0.0306462	0.0337346	0.0482523	0.0681964	0.0743105
proférer	0.0336048	0.0268287	0.0194506	0.0200704	0.0205042	0.0203657	0.0219948	0.0230798	0.0173376	0.00495816	0.0108993	0.0112534	0.016649	0.0217683	0.0143461	0.0220719	0.0122637	0.0234345	0.0170046	0.0115096	0.020973	0.0145021	0.0105229	0.00903596	0.00878678	0.00984657	0.00911403	0.0216735	0.0215657	0.0368721	0.0330486	0.0405473	0.052905	0.0630674	0.0878287	0.0937671	0.0965481
des	0.0370177	0.0414313	0.0309409	0.032587	0.0294894	0.0224189	0.0217481	0.0178753	0.012636	0.00702121	0.0125786	0.0183801	0.0264683	0.0282105	0.0235391	0.0304267	0.0209028	0.0312542	0.0213344	0.0199156	0.0218115	0.0191624	0.0101912	0.00761186	0.00657371	0.0054978	0.00696606	0.0140908	0.00917938	0.0199791	0.0158655	0.0248739	0.0367158	0.0458644	0.0598951	0.0822778	0.127268
injures	0.0330222	0.0264857	0.0242032	0.0230729	0.019028	0.0153752	0.00992755	0.0100946	0.00864223	0.00580174	0.0108386	0.0162397	0.0247191	0.0276373	0.0210228	0.0224912	0.018192	0.0199398	0.0169924	0.017666	0.0166395	0.0202087	0.0125925	0.0110418	0.0137329	0.0134343	0.0164925	0.0273326	0.0198272	0.0281247	0.0248501	0.0351124	0.0353687	0.0546434	0.0572358	0.0911778	0.150793
</S>	0.0322757	0.0255219	0.0335993	0.0267631	0.0155979	0.0207167	0.0107325	0.0113596	0.0101836	0.0107097	0.0121183	0.0105721	0.0103102	0.0119313	0.0135936	0.0156304	0.0121196	0.0114479	0.0122532	0.0171467	0.0194598	0.0149225	0.0112847	0.00736623	0.0174968	0.0143621	0.0323501	0.0526959	0.0332797	0.0335156	0.0313522	0.0473856	0.0441105	0.0478986	0.0545882	0.0516641	0.161684
