 	a66	a10	a87	a10	a83	a50	a62	a88	a62	a61	a75	a6	a36	a93	a56	a43	a56	a70	a11	a93	a4	a13	a38	a53	a69	a84	a10	a87	a23	a99	a87	a97	</S>
j'	0.0345349	0.0480799	0.040689	0.0480288	0.0245443	0.0207023	0.0222916	0.0240195	0.0377705	0.0244613	0.051539	0.0449866	0.0279583	0.043593	0.0275484	0.0216512	0.02494	0.0312699	0.0460796	0.0339423	0.035109	0.0247643	0.0332882	0.0152381	0.0237128	0.0284478	0.0278335	0.0242341	0.0337741	0.018666	0.0176601	0.0144993	0.0241423
aime	0.0458509	0.0640687	0.0721368	0.0686474	0.0531243	0.0289531	0.0389206	0.0338173	0.0212225	0.0286063	0.0219048	0.019481	0.0171187	0.0152198	0.0193341	0.0272276	0.0302223	0.0401257	0.0436043	0.031005	0.0338375	0.0234497	0.0221216	0.0177245	0.0140059	0.00908599	0.0165699	0.0263167	0.0187036	0.0215543	0.0229695	0.0276703	0.0253992
manger	0.041535	0.0470442	0.0549832	0.0444316	0.0342043	0.028404	0.0345932	0.0218607	0.0255046	0.0306286	0.0326217	0.0271157	0.0171298	0.0257559	0.0242689	0.0239013	0.0297624	0.0345625	0.042829	0.0348667	0.0261915	0.0291348	0.0105888	0.0155876	0.0162102	0.0159616	0.015379	0.0233681	0.0238243	0.0384432	0.0499216	0.0521318	0.0272541
le	0.0772441	0.0367743	0.0243648	0.0216993	0.0317665	0.0200602	0.0256502	0.0203299	0.0171796	0.0135151	0.0168688	0.0180966	0.0187045	0.0288112	0.0324962	0.0319467	0.037392	0.03367	0.0448249	0.0458982	0.0277107	0.0406017	0.0223674	0.0206568	0.0132725	0.0120841	0.0304175	0.0345931	0.0280683	0.0377291	0.0519307	0.0515151	0.03176
poisson	0.0593619	0.0247456	0.0276326	0.0192557	0.028532	0.0262452	0.0297046	0.0305474	0.011325	0.00932533	0.0120588	0.0152713	0.0142811	0.0196617	0.0181402	0.016217	0.0200354	0.0149187	0.0142977	0.0179998	0.025259	0.0335045	0.0152002	0.0252334	0.0220386	0.0188212	0.0257428	0.041382	0.0266455	0.0901558	0.0556694	0.0673436	0.123447
frais	0.0944859	0.034624	0.0313515	0.0115114	0.00993147	0.00619747	0.00682302	0.00514395	0.00337861	0.00324769	0.00396813	0.0058745	0.00449013	0.0067471	0.00782271	0.00790524	0.00999414	0.00727191	0.00845581	0.0111473	0.0181559	0.024689	0.0167459	0.0293049	0.0205504	0.0192635	0.0387424	0.043758	0.0610835	0.147971	0.0837052	0.121468	0.0941909
que	0.0877623	0.0355741	0.0240877	0.011053	0.00548318	0.00159177	0.00124543	0.00110092	0.00107755	0.00102577	0.00137064	0.0018317	0.00178508	0.00495016	0.00941806	0.0112743	0.0179836	0.0111007	0.0105989	0.013563	0.0185006	0.0694715	0.0513787	0.0612364	0.0660267	0.0409337	0.0488078	0.0875564	0.0457956	0.0804934	0.0522411	0.0761534	0.0475269
l'	0.0252549	0.0144827	0.00871383	0.00540052	0.00413327	0.00193486	0.00156423	0.00190261	0.00385094	0.00338419	0.00661326	0.00597135	0.00528462	0.00782864	0.0138607	0.0140354	0.0157641	0.0159062	0.0137722	0.00906034	0.0141948	0.0442508	0.0468117	0.0880409	0.0734954	0.0733182	0.0868604	0.0871783	0.0753716	0.0746013	0.0395049	0.0772887	0.040364
on	0.0318237	0.0143024	0.00672717	0.00349226	0.00384015	0.00266356	0.00203355	0.00246266	0.00516999	0.00519837	0.00962223	0.00736796	0.00995368	0.0157263	0.0226431	0.0290575	0.0273927	0.0274089	0.0223037	0.0164121	0.0243466	0.0341622	0.0227591	0.0327452	0.0309841	0.0772415	0.0787358	0.0712932	0.0928646	0.0782744	0.0477979	0.0814084	0.061785
fait	0.0295115	0.0166829	0.00941716	0.00413986	0.00379831	0.00211058	0.00223491	0.00227635	0.0049383	0.00564438	0.00979027	0.00914317	0.0101435	0.0121171	0.0161517	0.0185074	0.0190097	0.0281316	0.0223323	0.011999	0.0149216	0.0231748	0.0163502	0.024311	0.0271026	0.0676369	0.0656326	0.0573404	0.0996175	0.0980931	0.0732849	0.109149	0.0853056
pourrir	0.0371435	0.0155166	0.0130714	0.00840322	0.00618401	0.00350453	0.00380342	0.00381935	0.0045934	0.00592563	0.006899	0.010803	0.0110233	0.0100053	0.0129583	0.0142954	0.0197206	0.0288185	0.0266728	0.0144589	0.0242367	0.0216898	0.0221407	0.0205958	0.0223852	0.0346262	0.0651362	0.0589033	0.0755771	0.101701	0.07646	0.102651	0.116276
</S>	0.0225865	0.00729893	0.00444859	0.00160094	0.00120247	0.000600366	0.000786449	0.000782532	0.00161196	0.00132779	0.00283449	0.00254426	0.00221267	0.00378635	0.00481009	0.00820223	0.0168954	0.0203562	0.0162238	0.00799711	0.0227342	0.00920323	0.067845	0.039415	0.0363637	0.0685219	0.139464	0.0912086	0.119519	0.0873973	0.0481791	0.0811954	0.0608436
