 	a23	a90	a4	a57	a38	a24	a26	a24	a96	a24	a41	a24	a41	a27	a40	a30	a41	a24	a41	a94	a90	a98	a57	a38	a90	a98	a90	a12	a24	a62	a98	a71	a38	a75	a41	a35	a75	a41	a73	a84	a82	a87	a97	a87	a97	a87	a97	a87	</S>
le	0.0636974	0.0622762	0.0673805	0.0396545	0.0266205	0.0207827	0.0145402	0.00879838	0.00776244	0.011627	0.0112093	0.0113245	0.0114428	0.0106229	0.00447858	0.00842543	0.0071592	0.00797569	0.00952629	0.00619903	0.0065352	0.00577823	0.00694611	0.00830135	0.00954029	0.00758969	0.00782936	0.00954139	0.00864426	0.00739643	0.00740885	0.00730689	0.00547531	0.006093	0.0067455	0.00617437	0.00836379	0.0168286	0.0461339	0.0483137	0.0472769	0.053092	0.0416057	0.0628411	0.0439843	0.0472397	0.0162476	0.0194029	0.01986
marchand	0.00452562	0.00541288	0.00563547	0.0065475	0.00858896	0.0101169	0.00661329	0.0190131	0.00999786	0.0104609	0.0152989	0.0140996	0.0251942	0.014804	0.023249	0.0413726	0.032574	0.0507206	0.0575278	0.0406757	0.0491301	0.0597277	0.0778867	0.0753169	0.0509958	0.0457049	0.0377734	0.0429831	0.0257265	0.0270459	0.0239751	0.0160142	0.0101599	0.00970247	0.0040398	0.00579236	0.00482994	0.00340817	0.00172578	0.00102148	0.00171796	0.000892489	0.00164824	0.00294228	0.00320031	0.00200121	0.00561341	0.00359063	0.00300462
est	0.00635943	0.00640005	0.00904904	0.0123115	0.0135342	0.0142454	0.0138228	0.0128206	0.0158385	0.0323894	0.043597	0.0409302	0.0243501	0.0303586	0.0169558	0.0188489	0.0155015	0.02523	0.0171501	0.0162213	0.0214589	0.0170749	0.0223679	0.0232355	0.029307	0.0233056	0.0228564	0.0256415	0.0185974	0.0182537	0.0174433	0.027272	0.0118516	0.011459	0.00973678	0.0123919	0.0101648	0.0184062	0.0224515	0.0137469	0.0178821	0.0180479	0.0193376	0.0266097	0.0277248	0.0293705	0.0345428	0.0414275	0.0221202
arrivé	0.0239284	0.0160898	0.0176768	0.0180754	0.031388	0.073291	0.0609919	0.0502994	0.0202131	0.0140691	0.0186503	0.0251897	0.019116	0.0166506	0.0294277	0.0193206	0.0105	0.0202791	0.0147068	0.0129808	0.0160382	0.0146343	0.0161224	0.0136035	0.0204833	0.0212595	0.0133041	0.0149316	0.0104982	0.015518	0.0128695	0.0094227	0.0163111	0.0132223	0.00680314	0.0103669	0.0171895	0.019309	0.0172323	0.0185189	0.0172738	0.0243925	0.0224017	0.0197836	0.0207174	0.0211715	0.0241295	0.0177656	0.0218816
au	0.0213454	0.010197	0.0347162	0.0423399	0.0582468	0.0522507	0.0342299	0.0208724	0.0216959	0.020647	0.0205298	0.0236978	0.0105887	0.0326381	0.010906	0.0201794	0.0233642	0.0180194	0.0195979	0.0182357	0.015682	0.0121913	0.0118071	0.00928286	0.00783445	0.0094028	0.0120455	0.0123125	0.00996751	0.00309636	0.007404	0.00479806	0.00114341	0.00212199	0.00351628	0.00447302	0.00810807	0.00947283	0.0138282	0.0215728	0.0106193	0.0216788	0.0141885	0.0275814	0.0209763	0.0162444	0.0378416	0.0561606	0.10035
village	0.00741128	0.00794241	0.0130986	0.030471	0.071076	0.0782582	0.088055	0.0431227	0.0479562	0.0730559	0.034115	0.0391148	0.0253598	0.0355316	0.0168367	0.032421	0.0246743	0.0209368	0.0257337	0.017802	0.0189786	0.0180992	0.0207059	0.0157232	0.018414	0.0136223	0.0141455	0.0126518	0.0110527	0.0079907	0.010865	0.0080765	0.00260258	0.00372304	0.00335315	0.00282275	0.00432704	0.00663379	0.0081247	0.00603064	0.00650377	0.0073084	0.0035321	0.00883486	0.00559381	0.00746824	0.00819792	0.00535209	0.00629297
avec	0.0614916	0.0589646	0.0697077	0.0605488	0.033665	0.0233313	0.0198584	0.00754801	0.0076447	0.00922722	0.0113435	0.0102559	0.00723464	0.00996453	0.00423564	0.00520823	0.00580846	0.00388025	0.00638051	0.00417776	0.00431426	0.00344785	0.00441725	0.00585238	0.00391708	0.00400158	0.00661332	0.00813984	0.00651271	0.00381305	0.00402875	0.00366611	0.00114763	0.00249161	0.00317817	0.00426233	0.00751	0.015275	0.0307147	0.0326294	0.0263493	0.0244942	0.0184967	0.0419578	0.0327239	0.0486991	0.0395532	0.0724595	0.118856
un	0.0394861	0.0185466	0.0238323	0.0143672	0.0130157	0.0104706	0.00887839	0.0061037	0.00592586	0.00932699	0.0169969	0.0227027	0.0111313	0.016375	0.00966951	0.0143856	0.0176955	0.0163221	0.0144799	0.0170587	0.0131021	0.0129159	0.0122256	0.0100449	0.0111902	0.00841684	0.0114608	0.0176468	0.0161019	0.00796235	0.00720682	0.00766011	0.00680717	0.00666125	0.00568408	0.0098792	0.016578	0.0178763	0.0290395	0.0285876	0.0275144	0.0338788	0.0285552	0.0401987	0.0398693	0.0345621	0.0521135	0.0817973	0.0976925
ballot	0.0286478	0.0217815	0.0136992	0.00674441	0.007795	0.00872216	0.0198573	0.00872075	0.012544	0.02273	0.0469796	0.0495052	0.0349287	0.0597641	0.0399824	0.0401146	0.0415737	0.0426484	0.0400562	0.0487685	0.0394718	0.0189366	0.0206307	0.0146551	0.0198855	0.0192444	0.020301	0.0182744	0.0159135	0.00965969	0.00856236	0.00893281	0.00527163	0.00637527	0.00868213	0.00806701	0.0101774	0.010905	0.00898466	0.00916739	0.0102613	0.0212547	0.00603793	0.0115406	0.0153264	0.00881269	0.0144123	0.0144965	0.0201957
d'	0.039067	0.0242231	0.0272454	0.0291671	0.018835	0.0134681	0.01395	0.00762686	0.00894777	0.0151141	0.013864	0.0171094	0.0100068	0.0174021	0.00703914	0.023142	0.0195638	0.010976	0.0249628	0.0129344	0.0110893	0.0106899	0.0124687	0.0108259	0.0116443	0.0084857	0.0106342	0.0137816	0.0101896	0.00391748	0.00383818	0.00355143	0.00208701	0.00188803	0.00395622	0.0101866	0.0101976	0.0147271	0.0266559	0.0219969	0.019447	0.0265143	0.0305811	0.0532749	0.0401569	0.0550806	0.0521151	0.0616162	0.103758
