 	a66	a87	a23	a10	a87	a23	a26	a38	a4	a57	a13	a58	a57	a70	a94	a79	a44	a26	a66	a83	a71	a57	a4	a13	a9	a87	</S>
la	0.0466839	0.0459448	0.0425018	0.034302	0.0182715	0.0150073	0.0126737	0.0100666	0.0224042	0.0443203	0.0227777	0.00925626	0.00935453	0.00524318	0.00608572	0.00774052	0.0115988	0.0288161	0.0401657	0.061963	0.113365	0.0901604	0.0804849	0.0475888	0.059615	0.0378899	0.075718
foudre	0.00454019	0.0230477	0.0433993	0.0606137	0.0912731	0.0992376	0.163165	0.101943	0.123514	0.0761121	0.0524557	0.0211091	0.0142439	0.0086758	0.0153835	0.015707	0.0251838	0.011148	0.012069	0.00566068	0.00723122	0.00696989	0.00519439	0.00506084	0.00341794	0.0024063	0.00123647
est	0.0908129	0.0900988	0.0902332	0.0833403	0.0805875	0.0697169	0.0519783	0.040316	0.0376556	0.0372976	0.0174965	0.0134952	0.0132195	0.0122968	0.0132815	0.0162871	0.0134066	0.0139101	0.0166337	0.00824296	0.0167297	0.018432	0.0237903	0.022879	0.0333305	0.038677	0.0358548
tombée	0.0748627	0.0209501	0.0114419	0.0085391	0.00440948	0.00421876	0.00373307	0.00364648	0.00452382	0.0135845	0.026815	0.0367369	0.0821019	0.0725117	0.0334034	0.0192705	0.0476722	0.0427477	0.0626545	0.0584645	0.0585478	0.035224	0.0693298	0.0436354	0.0322256	0.0488876	0.0798615
sur	0.0518805	0.0185445	0.0118319	0.00783999	0.00500344	0.00520015	0.0049355	0.00406207	0.00345513	0.00555	0.00492627	0.00456524	0.00570249	0.00620371	0.00708534	0.0071891	0.0200578	0.0336357	0.0798002	0.0807765	0.085083	0.0628934	0.084696	0.042253	0.0656594	0.0726465	0.218523
la	0.0342549	0.0135479	0.0100008	0.0049303	0.00406963	0.00313629	0.0022053	0.00300371	0.00250806	0.00532377	0.00426729	0.00628484	0.00652962	0.00725885	0.00762451	0.00929022	0.0113513	0.0207209	0.0660099	0.0799205	0.134086	0.09123	0.112033	0.049167	0.0479476	0.0626365	0.200662
maison	0.0756561	0.0271213	0.0164022	0.00657677	0.00888195	0.00588628	0.00486064	0.00659108	0.00694318	0.0074765	0.00575507	0.00678171	0.00819144	0.00929515	0.00949041	0.00374856	0.0072079	0.012975	0.0284306	0.0522883	0.0532065	0.0592539	0.0633476	0.0727419	0.0874705	0.136459	0.21696
de	0.0857043	0.0506622	0.0384873	0.0244649	0.0239779	0.0189086	0.0150947	0.0288089	0.0288541	0.0386703	0.0341366	0.020111	0.0139089	0.00998556	0.00998641	0.00893441	0.0182846	0.0119648	0.0169857	0.0251541	0.0386286	0.0574301	0.0384087	0.0677375	0.0624804	0.123462	0.0887671
votre	0.0293171	0.0133304	0.00717028	0.00460884	0.00318518	0.0029047	0.00150421	0.00253871	0.00204691	0.00889524	0.00896348	0.00820288	0.00729782	0.0073476	0.00628752	0.00461485	0.0104746	0.0236884	0.0558354	0.0994815	0.102699	0.115521	0.120348	0.0785652	0.0808947	0.0549456	0.139331
oncle	0.0453819	0.0283933	0.0217661	0.0180697	0.0125053	0.00906074	0.00754748	0.00862512	0.00744809	0.0159328	0.0178156	0.00968744	0.00824124	0.0066263	0.00616825	0.0074843	0.0133326	0.0163912	0.025508	0.0465	0.0556048	0.105845	0.104172	0.109512	0.0913877	0.0844854	0.116507
</S>	0.0422696	0.0224857	0.0138502	0.00691776	0.00521375	0.00302955	0.00237418	0.00426274	0.00391833	0.00968241	0.00624128	0.00459526	0.00555838	0.00415122	0.00426323	0.00447404	0.00666032	0.0123928	0.0254125	0.042826	0.0665829	0.105294	0.0977555	0.0947774	0.0759315	0.108047	0.221032
