 	a66	a87	a23	a40	a37	a12	a43	a11	a83	a98	a15	a7	a44	a34	a98	a47	a7	a37	a34	a56	a96	a56	a96	a21	a12	a23	a27	a82	a87	a23	a97	a99	a97	</S>
les	0.0809978	0.113171	0.073361	0.0405346	0.0442126	0.0655309	0.0731484	0.0580439	0.0376096	0.0188782	0.0220301	0.015492	0.0115852	0.0120642	0.0166222	0.00676522	0.0073741	0.00597884	0.0121474	0.0115275	0.0154446	0.014236	0.0143744	0.0191005	0.020168	0.0184914	0.0252598	0.0222935	0.0147355	0.0216125	0.0147242	0.015994	0.0162264	0.0402651
enfant	0.00315164	0.00510999	0.00533125	0.00636772	0.00979328	0.0121125	0.0150067	0.0224499	0.0219624	0.0355784	0.10466	0.120705	0.19694	0.222261	0.047925	0.0467826	0.0391435	0.0284652	0.016213	0.00749111	0.00302638	0.0031864	0.0020957	0.00160191	0.00232088	0.0019363	0.00277651	0.0026336	0.00175657	0.00220168	0.00171009	0.00216325	0.00327037	0.00187056
ont	0.0509339	0.0507059	0.0568976	0.0659802	0.0762044	0.0856473	0.0261646	0.0392846	0.0291268	0.0378994	0.039754	0.0277718	0.0293818	0.0385322	0.0227785	0.0217846	0.0130722	0.0120401	0.017293	0.0102352	0.00695606	0.00612516	0.00648881	0.00614966	0.00795095	0.0235199	0.0263968	0.0286064	0.0220084	0.0170965	0.025703	0.0153307	0.0436962	0.0124836
l'	0.0351426	0.0329169	0.0209605	0.0162653	0.0150082	0.0282358	0.0196572	0.0359237	0.0244605	0.0432339	0.032901	0.0440766	0.0602125	0.081652	0.0552413	0.066822	0.0495579	0.0452897	0.0426284	0.035357	0.0195281	0.00902974	0.00985882	0.00721965	0.00712358	0.0195142	0.0135453	0.0167165	0.0212795	0.0137815	0.0161216	0.0169113	0.0181185	0.0257088
habitude	0.0278759	0.022137	0.0194372	0.0248967	0.0246945	0.0317903	0.027682	0.0231696	0.0178986	0.0204974	0.0113466	0.0211441	0.0271466	0.0342258	0.050915	0.062489	0.0530532	0.065313	0.0812982	0.0694142	0.0481805	0.0320225	0.031775	0.014981	0.0103645	0.0185477	0.017559	0.0176346	0.0145478	0.0122391	0.013692	0.0140653	0.0150599	0.0229061
de	0.120422	0.0894152	0.0579857	0.0298879	0.0203415	0.0376433	0.0478528	0.0311583	0.02888	0.0217317	0.0234626	0.0172689	0.0194508	0.0275298	0.0121409	0.00501563	0.00439285	0.00427003	0.00811787	0.0102719	0.0218305	0.0136847	0.0175221	0.0259824	0.0265318	0.0125525	0.0239197	0.0200825	0.0319754	0.0341845	0.0372919	0.0355402	0.0365802	0.0450822
capturer	0.0801674	0.0442739	0.0335069	0.0294946	0.0245765	0.0581253	0.0673936	0.0474657	0.0669598	0.0693288	0.0421883	0.0489912	0.0780708	0.0953525	0.0360861	0.0226014	0.0156359	0.0113941	0.00952497	0.00799039	0.00790253	0.0052738	0.00657162	0.00773316	0.00710292	0.00597167	0.00812146	0.00642663	0.00824244	0.00712278	0.00954212	0.00741294	0.0108942	0.0125534
les	0.14322	0.0486795	0.0310184	0.023642	0.0144249	0.0200294	0.031733	0.0164955	0.0176311	0.0192216	0.00965017	0.0123007	0.0157561	0.0192513	0.0162262	0.00951698	0.0114223	0.00617228	0.0144978	0.0171947	0.0326531	0.020712	0.0281481	0.0256776	0.0283737	0.0242483	0.0466356	0.0397496	0.050014	0.0386643	0.0470605	0.0453618	0.0484411	0.0261763
abyo	0.0738871	0.0270784	0.0305371	0.0205148	0.0209214	0.0279506	0.033106	0.0319487	0.03444	0.0434179	0.0329821	0.0407977	0.0222779	0.0256766	0.0356857	0.0167261	0.0109098	0.0055737	0.0113391	0.0159274	0.0332615	0.0277114	0.0352417	0.0393498	0.0321649	0.0331853	0.0549554	0.0423516	0.0509916	0.0186201	0.0211724	0.0230649	0.0184812	0.00774996
dans	0.19537	0.0536675	0.0339656	0.0144819	0.0116715	0.0166245	0.0210472	0.0213392	0.017562	0.0194916	0.037643	0.0302674	0.0157529	0.0180851	0.0144019	0.0090323	0.00668587	0.00289435	0.0110115	0.0095611	0.0092088	0.00985212	0.0175325	0.0167775	0.0213794	0.0251331	0.0471216	0.0371661	0.0550045	0.0275881	0.0340388	0.0404964	0.0601677	0.0379774
les	0.0907845	0.0377901	0.0275471	0.0116715	0.00573906	0.0098104	0.0208085	0.0229517	0.0187019	0.0220739	0.0275926	0.0302795	0.0158201	0.0162151	0.0225708	0.021812	0.0255767	0.0122392	0.0489217	0.0395895	0.0335534	0.0164374	0.0230879	0.0180248	0.0274249	0.0220584	0.0430383	0.033302	0.0403842	0.0307329	0.0367757	0.0409724	0.0599485	0.0457631
pièges	0.0383551	0.0312677	0.0279699	0.0120813	0.00508345	0.00744663	0.0154209	0.0148145	0.0135675	0.0179288	0.0160857	0.0200228	0.0140843	0.0190042	0.0286626	0.0234053	0.038037	0.0259489	0.0678564	0.0454666	0.0300969	0.0160672	0.0173498	0.0154335	0.0212193	0.0232576	0.0515385	0.0458988	0.0445598	0.0433327	0.0412632	0.0384868	0.0574502	0.0715364
</S>	0.0355523	0.0194349	0.0152805	0.00642058	0.00464921	0.00631324	0.0111943	0.0135802	0.0151874	0.023723	0.0209227	0.0345391	0.0166907	0.0191434	0.0275446	0.0211793	0.0219113	0.0153228	0.0315755	0.0209658	0.0177266	0.011756	0.0142809	0.0122924	0.0168925	0.0164507	0.0534322	0.0428904	0.0564673	0.0506379	0.0603909	0.0655393	0.0804444	0.119668
