 	a23	a93	a13	a75	a47	a75	a85	a37	a21	a85	a21	a5	a18	a62	a31	a62	a88	a9	a10	a21	a47	a62	a61	a34	a70	a34	a93	a34	a75	a25	a90	a69	a44	a84	a10	a87	a23	a87	</S>
le	0.0602011	0.0461806	0.0462224	0.0472881	0.0223878	0.0505186	0.0393437	0.0462698	0.0369672	0.0335305	0.0214737	0.0276579	0.0275835	0.0331938	0.0130563	0.0187328	0.0168097	0.0280621	0.0242804	0.0167748	0.0339734	0.048079	0.0242223	0.034657	0.034028	0.0339015	0.0147489	0.00938103	0.00780463	0.0126397	0.00906954	0.00987222	0.0101035	0.00988881	0.0101021	0.0101248	0.0107357	0.00678118	0.0133517
chassseur	0.00590599	0.0226283	0.0491077	0.029743	0.047078	0.0779271	0.0659425	0.0729744	0.0894475	0.0726456	0.0614003	0.0743461	0.0478501	0.0462727	0.0398339	0.0418266	0.0299583	0.0278329	0.0241331	0.0251559	0.0114992	0.00960867	0.00531595	0.0032289	0.0011708	0.00112379	0.000913215	0.0013941	0.00179177	0.00126742	0.000891682	0.00070484	0.000545562	0.000784545	0.000666144	0.00150232	0.000741949	0.00121671	0.00362249
a	0.0176314	0.0120201	0.00875397	0.00673118	0.0278992	0.0369352	0.114797	0.0931821	0.0991439	0.0472725	0.0845061	0.0877219	0.0953596	0.0590024	0.0536501	0.0551955	0.0341227	0.0171169	0.0123502	0.0125613	0.00558498	0.0053703	0.00118787	0.00195097	0.00137502	0.000445246	0.000281509	0.000386977	0.000506805	0.000436918	0.00038287	0.000343124	0.000437038	0.00128201	0.00034037	0.00090911	0.00106839	0.00112906	0.000627954
apporté	0.034436	0.0132468	0.00888682	0.017229	0.0362465	0.0222015	0.028293	0.030263	0.0237508	0.0262874	0.0221696	0.0144871	0.0268531	0.0301397	0.0431761	0.104372	0.0970783	0.103864	0.0566884	0.0564828	0.0481149	0.0534348	0.0252545	0.0128052	0.00981133	0.0101844	0.00566514	0.00347801	0.00549335	0.00353271	0.00274959	0.00216546	0.00259712	0.00328187	0.00237095	0.00269064	0.00237567	0.0032864	0.00455573
le	0.0341968	0.0199983	0.0104106	0.0169974	0.0166099	0.0235262	0.0161892	0.0208962	0.02266	0.0290747	0.0401819	0.037974	0.0400433	0.0490342	0.0551592	0.0540424	0.0459521	0.0394861	0.0277932	0.0254207	0.0297451	0.0261445	0.0213509	0.0284586	0.0263981	0.0256759	0.0141063	0.00764356	0.0103388	0.0173941	0.0136663	0.00841471	0.0139874	0.0141164	0.0192714	0.0146737	0.0276225	0.0235173	0.0318278
phacochère	0.0393418	0.018414	0.0085429	0.0130676	0.0196633	0.0187528	0.0246486	0.028025	0.0344212	0.0472376	0.043308	0.0299332	0.0466598	0.0484857	0.0583766	0.102825	0.0649346	0.0505977	0.0285261	0.0323973	0.035557	0.0269819	0.0134793	0.0172689	0.0121428	0.0126281	0.00841169	0.0044915	0.00818278	0.0121213	0.011031	0.00499979	0.00957514	0.0120565	0.00800689	0.00898408	0.016676	0.0094739	0.00977208
qu'	0.0548072	0.0462498	0.0182599	0.0277361	0.0276973	0.0374937	0.0279454	0.0275094	0.0415112	0.0444526	0.0605118	0.0397265	0.0555899	0.06366	0.0403611	0.0492017	0.0253972	0.0194555	0.0204112	0.0257519	0.021618	0.0141542	0.010033	0.0134125	0.00918665	0.0113044	0.00981228	0.00487795	0.00628185	0.0090167	0.0102341	0.0102503	0.0142119	0.0187906	0.0150269	0.0138537	0.0150903	0.0127023	0.0264129
il	0.0325058	0.0180494	0.0103841	0.0140846	0.00623848	0.0157825	0.0145931	0.0221784	0.0274089	0.0246987	0.0357529	0.0451472	0.0383311	0.053681	0.0736537	0.0689922	0.0536342	0.041818	0.0204522	0.00971273	0.0267504	0.0252039	0.0142931	0.0124618	0.0148588	0.00966127	0.0107306	0.00780907	0.016434	0.0180431	0.0176689	0.0192309	0.0185906	0.0311569	0.027088	0.0239413	0.0269779	0.0273628	0.0246376
vient	0.0305101	0.0139264	0.00741148	0.0114063	0.0137705	0.0126814	0.0145984	0.0148287	0.0136262	0.0126699	0.0127235	0.0154836	0.0337483	0.0399951	0.0357612	0.0735064	0.0411103	0.0373967	0.0411392	0.0387802	0.0302315	0.0263809	0.0177855	0.0210739	0.0193913	0.0162304	0.0164491	0.0130843	0.0256694	0.0373939	0.0307689	0.0249032	0.0333909	0.0461266	0.0247199	0.0256677	0.0235656	0.0251434	0.0269497
de	0.0379799	0.0175901	0.00580825	0.0108124	0.00554122	0.0100168	0.00943276	0.0151401	0.0163436	0.00983399	0.011079	0.0179348	0.0213507	0.0204377	0.0301173	0.029142	0.0288315	0.0262124	0.0208643	0.0114439	0.0381381	0.0381181	0.0259777	0.0226574	0.0261203	0.01652	0.0137565	0.0171136	0.0340273	0.0481931	0.0363754	0.0377886	0.0340043	0.0473697	0.0413668	0.0423372	0.0364765	0.0378268	0.0499197
