 	a66	a87	a23	a87	a23	a40	a75	a12	a93	a70	a98	a47	a79	a44	a11	a50	a88	a71	a9	a99	a87	a40	a6	a85	a21	a85	a6	a36	a56	a93	a34	a54	a47	a0	a94	a71	a3	a97	a87	a23	a87	a23	a99	a3	</S>
les	0.0459045	0.080613	0.079783	0.0977876	0.0840824	0.0522229	0.130325	0.0860905	0.0322669	0.0212824	0.0182114	0.0165459	0.0111999	0.00672265	0.00814957	0.00645575	0.00727734	0.00723634	0.00680037	0.00780897	0.00672276	0.00373551	0.00764415	0.00806781	0.00862934	0.0110263	0.0140125	0.015377	0.0118099	0.0112534	0.00865543	0.0080293	0.00922457	0.00688835	0.00646413	0.00727267	0.00452806	0.00566836	0.00417876	0.00405535	0.00432217	0.00465123	0.00430376	0.00344719	0.0132656
femmes	0.00596743	0.0103855	0.01747	0.023765	0.0203722	0.0578572	0.0857228	0.126431	0.114827	0.133471	0.0576529	0.0468746	0.0362952	0.0240585	0.0140007	0.0215943	0.0160567	0.0163959	0.0203164	0.0262441	0.0152091	0.00758038	0.00718138	0.00819959	0.00262344	0.00360523	0.00374724	0.00429098	0.00179267	0.00633283	0.00670917	0.00670881	0.00317696	0.0061068	0.00573578	0.00618694	0.00478519	0.00405338	0.00365899	0.00309405	0.00393006	0.00355733	0.00167648	0.00225625	0.00204302
qui	0.0274133	0.0381725	0.020738	0.0303622	0.0416549	0.0675381	0.0298154	0.0415252	0.0498903	0.0405896	0.0363414	0.0376549	0.0430288	0.0465836	0.0421509	0.0336327	0.0300334	0.0438955	0.0686706	0.0386393	0.032031	0.019986	0.0144628	0.0117659	0.0111888	0.0144208	0.009952	0.0122072	0.00584827	0.0033012	0.00274235	0.00298031	0.00236984	0.00450545	0.00403382	0.00537319	0.00360196	0.0050307	0.00479095	0.0038757	0.00680302	0.00303167	0.00163468	0.00422123	0.00151052
sont	0.050618	0.031548	0.016477	0.015422	0.0117243	0.0107592	0.0150937	0.0191632	0.0131714	0.0168831	0.0172866	0.0203552	0.0253814	0.0313885	0.0313401	0.0221587	0.0215416	0.0258132	0.022879	0.0277869	0.0221988	0.0242386	0.0168606	0.0216512	0.0126967	0.0118521	0.00876157	0.0150257	0.0145208	0.00995748	0.0158069	0.0114113	0.0116772	0.0151754	0.0225426	0.0159873	0.0250053	0.0246852	0.0272816	0.0372607	0.0362009	0.0401449	0.0397626	0.0375029	0.0350007
revenues	0.0102668	0.0038824	0.00342399	0.00398394	0.00571513	0.00816205	0.00700291	0.00767565	0.00692564	0.00564894	0.0103545	0.0161897	0.0358156	0.0753995	0.0656216	0.0579891	0.0699612	0.0873335	0.0610058	0.0908813	0.0639748	0.0509866	0.0368626	0.0470497	0.024808	0.0211485	0.0157339	0.0217535	0.013328	0.00571172	0.0040679	0.00398418	0.00499371	0.00509176	0.0033533	0.00372241	0.00458023	0.00528579	0.00308421	0.00328616	0.00437649	0.006445	0.00476637	0.0040829	0.00428285
du	0.0344509	0.00868427	0.00488907	0.00465565	0.00403205	0.00415619	0.00550347	0.00955445	0.00882758	0.0113847	0.034168	0.0401369	0.0411304	0.0439783	0.0603592	0.0518065	0.0743161	0.099914	0.0803231	0.0792214	0.0448574	0.014378	0.0139922	0.0123194	0.0136096	0.00971159	0.0135695	0.0158954	0.0377359	0.0070774	0.00687731	0.00782131	0.0126567	0.00833466	0.00884177	0.00342822	0.00522833	0.00625779	0.00694294	0.00707303	0.00692139	0.00705414	0.0122302	0.00895346	0.00674013
campement	0.00833235	0.00376605	0.00416054	0.00287308	0.00135816	0.00213277	0.00311759	0.00437306	0.00682673	0.0065466	0.0192194	0.0204701	0.0419969	0.0549664	0.0481281	0.0405609	0.0462911	0.0865756	0.0946443	0.0757158	0.0546867	0.0392341	0.0336628	0.017634	0.0380168	0.0241478	0.0225742	0.0308897	0.0434301	0.0150252	0.0178479	0.0127571	0.016916	0.0124059	0.00705927	0.00511248	0.00475501	0.00458334	0.00322779	0.00466995	0.00329267	0.00316468	0.00365162	0.0061142	0.00308505
ont	0.0318825	0.0167818	0.0124505	0.0141093	0.00822629	0.0023814	0.00362105	0.00369328	0.00500114	0.00815925	0.0178156	0.0211429	0.0350964	0.036141	0.029919	0.0341938	0.0358089	0.0291685	0.0459201	0.0473474	0.0363783	0.0201345	0.023786	0.0133801	0.0199722	0.0132422	0.0175381	0.018804	0.0217746	0.0103844	0.0156155	0.016502	0.0225283	0.019546	0.0231184	0.0145144	0.0178	0.0254294	0.0245682	0.0273452	0.0297088	0.0254409	0.0311119	0.0308616	0.0416548
ramené	0.0268798	0.0159415	0.0116531	0.0108112	0.00844546	0.00668917	0.00628129	0.0089542	0.00604668	0.00738209	0.0181225	0.0200828	0.0290733	0.0249721	0.0255953	0.0253179	0.0272904	0.0169557	0.0308563	0.0281898	0.0293168	0.0175438	0.0263773	0.0223595	0.0265507	0.0198194	0.0241757	0.0238406	0.0187556	0.0129521	0.0185851	0.0169415	0.0225135	0.0202905	0.0220454	0.0220621	0.0241869	0.0308849	0.030026	0.0319224	0.0290873	0.0342941	0.0400068	0.0486736	0.0312478
beaucoup	0.0410148	0.0234682	0.0160917	0.0192604	0.0202675	0.00927989	0.0103852	0.00605736	0.00425137	0.00342684	0.00910416	0.0122916	0.0252808	0.0270471	0.0272659	0.0240342	0.0283867	0.0245809	0.0400812	0.0363694	0.0352727	0.0177693	0.0296681	0.0275485	0.0295257	0.0194544	0.0258175	0.0222421	0.01952	0.0118267	0.0181754	0.0186841	0.024582	0.0201958	0.0216131	0.0228651	0.0244218	0.0288842	0.0252056	0.0222349	0.0225404	0.0282296	0.0271224	0.0255276	0.0231277
