 	a66	a87	a10	a87	a99	a50	a88	a18	a12	a5	a23	a18	a96	a70	a54	a36	a2	a57	a87	a10	a38	a40	a7	a44	a53	a44	a93	a4	a54	a36	a27	a11	a83	a36	a37	a54	a15	a79	a44	a13	a50	a88	a83	a71	a13	a50	a88	a71	a10	a87	a23	a87	</S>
j'	0.0336471	0.0460502	0.0290358	0.0202499	0.0129238	0.00615576	0.0110439	0.0192274	0.0230317	0.0136199	0.0111203	0.013998	0.00718213	0.00886833	0.00733746	0.00590844	0.00804821	0.0137662	0.0243867	0.0147026	0.0116091	0.0181438	0.0112042	0.0156975	0.0145123	0.0137162	0.0242602	0.018393	0.0213443	0.0151741	0.0151649	0.0315815	0.0418999	0.0234221	0.0231972	0.0274473	0.0418707	0.0412923	0.026067	0.0290133	0.0220144	0.0278714	0.016683	0.0138994	0.0126024	0.0146391	0.0108965	0.0113902	0.0142578	0.00920793	0.0145039	0.0103749	0.0263445
étais	0.021609	0.0235041	0.0267968	0.0182253	0.0158418	0.0132518	0.018306	0.017451	0.0226749	0.0225683	0.026359	0.0145199	0.0123913	0.0282863	0.0292715	0.0283238	0.0204635	0.0302724	0.0271457	0.0460698	0.0615158	0.0353141	0.0318394	0.0280917	0.0244366	0.022383	0.0193189	0.0149165	0.017206	0.0156431	0.0178572	0.0134074	0.0143271	0.0133963	0.0133003	0.0145447	0.0162053	0.00815548	0.00916132	0.00470941	0.0038891	0.00318679	0.00418035	0.00500053	0.00536141	0.00920217	0.0118383	0.0118318	0.0151644	0.0159086	0.0128445	0.0228422	0.0196881
triste	0.0279887	0.0150068	0.0178961	0.0172567	0.0179554	0.0138578	0.0151557	0.016723	0.0164235	0.00965973	0.0127209	0.0074178	0.00983707	0.0118444	0.0143085	0.017109	0.0112793	0.0122101	0.00975556	0.015418	0.0346626	0.0234123	0.0213588	0.0259828	0.0190408	0.013416	0.0160849	0.0102724	0.0321116	0.0272411	0.063518	0.0267001	0.0376624	0.0352931	0.0394476	0.0334885	0.0247364	0.023705	0.0150501	0.012114	0.00896247	0.0120143	0.00880172	0.0094029	0.00648013	0.0127753	0.0162656	0.0156847	0.0219268	0.0183024	0.010681	0.0207073	0.0128726
parce	0.033404	0.0149911	0.0189691	0.0164157	0.0122407	0.010177	0.0064263	0.00933654	0.00818811	0.00815135	0.00728729	0.0122315	0.016813	0.0116163	0.0129513	0.0124082	0.00917397	0.0125515	0.0116846	0.00619582	0.00619827	0.0154613	0.0150992	0.0206714	0.0197602	0.0254314	0.022977	0.0239924	0.0253277	0.0294626	0.0324782	0.0307924	0.0354634	0.0354047	0.0324465	0.0285998	0.0282569	0.0304764	0.0246653	0.0193881	0.0186229	0.0146572	0.0306899	0.0181472	0.0184447	0.0230408	0.0178986	0.0153573	0.0169184	0.0192696	0.0134473	0.0135338	0.0264061
que	0.0312252	0.0200907	0.0167009	0.0138211	0.0146526	0.00926458	0.00689647	0.00201153	0.00534525	0.00375555	0.00279029	0.00480744	0.00577313	0.00363525	0.00640535	0.00333524	0.00571015	0.0107436	0.00705847	0.00642988	0.014224	0.0138294	0.0101579	0.0229414	0.0275322	0.0352852	0.0192456	0.0562648	0.0307905	0.0351501	0.0235846	0.031792	0.0279699	0.0347527	0.0194856	0.0121573	0.0174031	0.0231024	0.0202811	0.0269116	0.0248133	0.0223832	0.026287	0.029037	0.0167924	0.0298732	0.0190006	0.0258142	0.0305028	0.0228487	0.0203227	0.020539	0.0284719
mon	0.0255655	0.017194	0.0155367	0.0126989	0.00982663	0.00679751	0.00525321	0.00175764	0.00420182	0.00167165	0.00220017	0.00197589	0.00208417	0.00343579	0.0044993	0.00376618	0.00441505	0.0147086	0.0107263	0.0179739	0.0472956	0.0463317	0.0442276	0.083197	0.0715503	0.0434972	0.0415017	0.0596665	0.0372418	0.0460304	0.0456094	0.0487684	0.0414921	0.0286345	0.0226656	0.0206739	0.0134577	0.0078226	0.0118021	0.00847932	0.00660529	0.00516514	0.00380403	0.00294008	0.00200522	0.00522585	0.00332236	0.005375	0.00481108	0.00511763	0.00454977	0.00723861	0.00760612
oncle	0.0128463	0.00611615	0.005726	0.00635093	0.00530555	0.0035672	0.00234187	0.00207771	0.00300749	0.00119948	0.00182886	0.00176696	0.00316406	0.00478126	0.00462865	0.0045947	0.00286307	0.00983493	0.0120037	0.0192986	0.0278586	0.0339451	0.0369364	0.0487681	0.052781	0.0480111	0.0604872	0.0600099	0.053351	0.0718248	0.0617654	0.0802832	0.0402973	0.0495802	0.0240305	0.0228455	0.0137336	0.0095188	0.0118263	0.00971319	0.00865082	0.00648824	0.00363319	0.00301403	0.00225997	0.00371248	0.0040315	0.00551003	0.00476508	0.00570643	0.00569264	0.0106724	0.00499251
m'	0.0290474	0.0136238	0.0134264	0.012221	0.00864727	0.00425971	0.00456106	0.00176453	0.00289339	0.00179008	0.00201398	0.00214611	0.00296439	0.00349279	0.00513881	0.00452538	0.00295894	0.0122362	0.013398	0.0147576	0.0285231	0.0374429	0.0489943	0.0712914	0.0686926	0.0429756	0.0562715	0.0585226	0.0471783	0.0449637	0.0302501	0.0347516	0.0331617	0.0201014	0.00820901	0.00712054	0.00577532	0.00640316	0.00822432	0.00380381	0.00710322	0.0082087	0.00563915	0.00704521	0.00376121	0.0134192	0.0101534	0.0162417	0.0166553	0.0178104	0.0210201	0.0238627	0.0305558
a	0.0306484	0.0190338	0.0180634	0.0149804	0.0124087	0.00945249	0.00879589	0.00269961	0.0044528	0.00197715	0.0025493	0.00236786	0.00327289	0.00481151	0.010396	0.00750562	0.00506889	0.0157105	0.0141076	0.014403	0.02162	0.0343491	0.0320669	0.0523364	0.0384206	0.0319333	0.0385049	0.0397399	0.0334684	0.0275705	0.0235734	0.023557	0.0286634	0.0230019	0.0178032	0.0160291	0.0138543	0.0101944	0.0121559	0.00781861	0.00827462	0.00834805	0.00701229	0.00902114	0.00722485	0.0175624	0.0115845	0.0183967	0.0213102	0.0269299	0.0221617	0.0366022	0.0762044
traité	0.0324475	0.0180564	0.0205207	0.0221582	0.0188832	0.0147331	0.0105958	0.00384065	0.00520151	0.0019586	0.00279921	0.00249502	0.00454184	0.00598722	0.0123695	0.00808664	0.0051418	0.013928	0.0153636	0.0166544	0.0189123	0.0366876	0.0282251	0.0352568	0.0356665	0.0272738	0.0349874	0.0292262	0.0342664	0.0303152	0.0276683	0.0240338	0.0291951	0.0233299	0.0184998	0.0183391	0.0159889	0.0135223	0.0138203	0.0116068	0.0103182	0.0112749	0.00718108	0.00800741	0.00551557	0.0153172	0.0098165	0.0175741	0.0259529	0.0308383	0.0242115	0.0393139	0.0520939
