 	a66	a87	a23	a87	a23	a13	a9	a83	a13	a93	a94	a93	a4	a53	a69	a58	a54	a79	a44	a93	a70	a62	a21	a92	a37	a21	a92	a37	a93	a94	a13	a38	a70	a4	a13	a99	a87	a23	a87	</S>
ce	0.027923	0.0456329	0.0771132	0.040202	0.0538072	0.0503067	0.0308783	0.0283165	0.0159089	0.0186148	0.0152226	0.016429	0.0129732	0.0141557	0.0184586	0.0100028	0.0105156	0.00994065	0.0148435	0.045651	0.044971	0.0481224	0.0536448	0.0288263	0.0473282	0.0300242	0.0230102	0.0140536	0.0129329	0.0111428	0.0154872	0.0104077	0.0118962	0.0113145	0.0132848	0.0140839	0.0142728	0.01038	0.0106918	0.0172283
commerçant	0.00430544	0.00675165	0.00550378	0.00775537	0.00676706	0.0117731	0.012917	0.0351245	0.0341111	0.0698787	0.0397824	0.0645738	0.0679887	0.0447851	0.0210649	0.0185267	0.0288874	0.0847734	0.103471	0.0538232	0.0291501	0.0444098	0.0364211	0.0233397	0.0126131	0.0119017	0.0122633	0.0139293	0.0113942	0.0108984	0.00877647	0.0119752	0.00445738	0.0051925	0.00389848	0.00527559	0.00611243	0.00438589	0.00781139	0.0132298
est	0.0433515	0.0301575	0.0362103	0.0453163	0.0496426	0.0744602	0.0650788	0.0317132	0.017043	0.0265789	0.012871	0.0289109	0.025311	0.0289104	0.0768501	0.047958	0.0367309	0.0417802	0.0182733	0.0168841	0.00927064	0.0075647	0.00409386	0.00453816	0.0064047	0.00375691	0.0102487	0.00807324	0.00861328	0.00677962	0.00910851	0.00805088	0.00739566	0.00784151	0.0111613	0.0104955	0.0139493	0.0230808	0.0443279	0.0412124
venu	0.040852	0.0237603	0.029766	0.0337849	0.0166848	0.0129782	0.0103677	0.00409562	0.0161319	0.0162704	0.0194754	0.0121519	0.0189658	0.0209554	0.0571234	0.0265945	0.03632	0.0501419	0.0282874	0.0195552	0.0200594	0.0201597	0.0146981	0.0209495	0.0226292	0.017858	0.029352	0.0267545	0.027026	0.0339084	0.0328519	0.0192703	0.0198939	0.0172477	0.0242505	0.00981192	0.0151995	0.0226848	0.0313658	0.0797662
de	0.0460001	0.0450394	0.0576998	0.0567139	0.0515319	0.0373751	0.0500531	0.0334109	0.0194657	0.0278768	0.0325434	0.0285339	0.029129	0.0323561	0.0238698	0.0299629	0.0167834	0.0128356	0.0139278	0.0198547	0.0170663	0.0178659	0.0188131	0.0112875	0.0165564	0.0100309	0.0121138	0.0137503	0.0143894	0.0113474	0.0172191	0.0142256	0.00838154	0.00692736	0.0143182	0.0141562	0.0153437	0.0145095	0.0286286	0.058106
brazaville	0.0479644	0.0233151	0.0268168	0.0230768	0.0270591	0.0335073	0.0396906	0.0259928	0.0133851	0.0131278	0.0301125	0.0420047	0.0341909	0.0313007	0.0385441	0.0528552	0.0362797	0.0204996	0.0215322	0.0217042	0.0173827	0.0140705	0.0146929	0.0129014	0.0179601	0.0116887	0.019555	0.0228425	0.0227752	0.0193602	0.0291798	0.0186661	0.0118458	0.0162038	0.0282815	0.0196332	0.0207378	0.0146712	0.0255114	0.0390807
avec	0.0628328	0.037378	0.0322124	0.0271185	0.0306266	0.0286324	0.024397	0.0167617	0.0061148	0.00619094	0.0128441	0.0207097	0.0162139	0.0148998	0.0224177	0.0393427	0.0219282	0.0192908	0.0135655	0.0103995	0.0118164	0.0111426	0.00919327	0.00980384	0.0123177	0.0111485	0.0176006	0.0202829	0.0217725	0.0263734	0.0356974	0.0253798	0.0269881	0.0280777	0.0321868	0.0294123	0.0395178	0.0604138	0.055277	0.0517205
des	0.152203	0.0477667	0.0232608	0.0126256	0.0160389	0.0281228	0.0192448	0.0356291	0.0154399	0.021588	0.0247268	0.0305736	0.0194028	0.0178334	0.0100855	0.0153901	0.00832676	0.00596405	0.00551413	0.00524468	0.00557538	0.00603926	0.00619426	0.00694487	0.00847594	0.00644164	0.0188939	0.0239093	0.0245255	0.0187135	0.034142	0.0217472	0.0304563	0.0250474	0.0307269	0.0296904	0.0292774	0.0539906	0.0552308	0.048996
tas	0.0549236	0.0462488	0.0500021	0.044952	0.0537393	0.0330738	0.0202869	0.0197829	0.00793306	0.00838804	0.00759579	0.0137008	0.00966461	0.00869921	0.014385	0.011037	0.0108638	0.0118334	0.0104528	0.0130706	0.0209641	0.0201146	0.0135024	0.0136874	0.0134622	0.0118854	0.0165837	0.0229146	0.0222415	0.0210601	0.0374844	0.0340746	0.0390828	0.049766	0.0560108	0.0304254	0.0349651	0.034118	0.0316688	0.0253546
de	0.0647837	0.0679158	0.0574983	0.0224245	0.0314493	0.0473891	0.0233306	0.0226302	0.00882258	0.0144085	0.0243554	0.0285881	0.0199013	0.0191669	0.0163822	0.0191508	0.0114736	0.00851715	0.0111539	0.00696027	0.00742069	0.0051522	0.00723737	0.00532264	0.00740608	0.00672287	0.0135556	0.018458	0.0212433	0.0123749	0.019049	0.0145099	0.0210321	0.0151511	0.0436816	0.0500134	0.0436172	0.0305092	0.0390608	0.0921798
