 	a87	a23	a87	a10	a83	a61	a0	a75	a47	a73	a20	a47	a41	a31	a47	a24	a41	a27	a75	a85	a5	a37	a85	a30	a27	a30	a87	a23	a83	a75	a85	a37	a44	a98	a47	a37	a66	a47	a62	a21	a94	a4	a98	a47	a37	a26	a34	a61	a70	a90	a25	a56	a43	a90	a96	a44	a94	a26	a82	a87	a23	a87	a23	</S>
il	0.0301676	0.0274685	0.0257354	0.0220428	0.0204533	0.0107424	0.0228867	0.0168583	0.0355458	0.0114764	0.0159665	0.0220989	0.0478682	0.0557664	0.0466849	0.0860039	0.0385566	0.038893	0.0200721	0.0192084	0.0144954	0.0129096	0.0106233	0.0100103	0.00723692	0.011234	0.0132093	0.00946166	0.00808038	0.00574448	0.00750558	0.00568786	0.00670621	0.00957415	0.0111177	0.0104028	0.00850445	0.0123809	0.0110179	0.00552688	0.00651475	0.00982662	0.00940024	0.0103682	0.0110232	0.00525195	0.00746081	0.0143875	0.0145005	0.0101935	0.0123633	0.0071198	0.00872789	0.00602731	0.00485617	0.00303708	0.00386605	0.00592581	0.00425383	0.00430484	0.00437178	0.00578827	0.00435738	0.0201475
avait	0.00726893	0.00569075	0.00927649	0.00888077	0.015754	0.0177405	0.0227331	0.0156337	0.0227539	0.0146358	0.0163449	0.0235518	0.0208479	0.0164446	0.0216096	0.0300352	0.0258313	0.0316254	0.0175578	0.0219324	0.0182894	0.0144627	0.0145078	0.0242325	0.0237233	0.0238303	0.0219814	0.0159397	0.0194597	0.0201468	0.0223584	0.0207723	0.0231873	0.0148725	0.0135491	0.0151619	0.0128073	0.0102782	0.0156278	0.018241	0.0163704	0.00884373	0.0083971	0.00979722	0.008062	0.00895049	0.0087998	0.00988596	0.00984646	0.00917537	0.00861127	0.00656201	0.00754714	0.013487	0.0103875	0.0143679	0.00888308	0.00725672	0.0123904	0.0133089	0.018483	0.0130579	0.0227988	0.0151516
des	0.017033	0.00876434	0.00635787	0.00497679	0.0049149	0.00531464	0.00879003	0.00538487	0.00805064	0.011368	0.00903611	0.00897058	0.0077175	0.010202	0.0123618	0.0145015	0.0177706	0.020724	0.017377	0.0196871	0.0164181	0.0140319	0.0131555	0.0315926	0.0287199	0.0185191	0.0283066	0.0247808	0.0393418	0.0332937	0.0385563	0.0435179	0.0387097	0.0256294	0.0135252	0.0245345	0.007254	0.0186508	0.00950914	0.0109589	0.0120677	0.00688849	0.00910295	0.0161268	0.0089715	0.006175	0.00781684	0.00908685	0.0142186	0.0131438	0.00835685	0.0120544	0.00799418	0.00628009	0.00976406	0.00678509	0.0114599	0.00850201	0.0146784	0.0191472	0.024186	0.0216141	0.0283193	0.018951
larmes	0.013054	0.0191453	0.0204555	0.0200087	0.0160162	0.0221914	0.0175141	0.0152388	0.00384285	0.0125791	0.0122146	0.0064967	0.0157589	0.0118215	0.00534552	0.00565046	0.00183528	0.00130992	0.00176325	0.00131535	0.00192955	0.00169936	0.00289172	0.00222354	0.00182253	0.00370112	0.00229473	0.00508063	0.00492502	0.00299725	0.00358135	0.00243591	0.0023108	0.00387133	0.00664301	0.00431386	0.0144451	0.0166198	0.0162634	0.0168953	0.0405098	0.0507608	0.0197971	0.0181783	0.0168316	0.0270756	0.0212873	0.0556709	0.0465346	0.0376331	0.0939385	0.0412729	0.0471123	0.031113	0.0130448	0.00889691	0.0170237	0.0122753	0.0173897	0.00923228	0.0116009	0.0102053	0.00618094	0.00593168
aux	0.0308418	0.0290159	0.0154842	0.0155345	0.0122066	0.0180558	0.00795404	0.0113942	0.00715022	0.00969535	0.00906214	0.0116455	0.00772638	0.00987241	0.0141852	0.0160655	0.0101421	0.012122	0.0158454	0.0129243	0.0139163	0.0133956	0.0141703	0.0138058	0.011398	0.0213345	0.0145125	0.0247593	0.0290374	0.0242411	0.0305132	0.0224166	0.0198299	0.0211412	0.0260343	0.0260173	0.0300036	0.0195031	0.0425966	0.0322851	0.023694	0.0347294	0.02296	0.0149697	0.0132808	0.015849	0.0140751	0.0166298	0.0147329	0.0146309	0.0112552	0.0109234	0.00725603	0.00462633	0.00530958	0.00141083	0.0015067	0.00224939	0.00315428	0.00416867	0.00647805	0.0084695	0.00713244	0.0126727
yeux	0.0262411	0.0340831	0.0229815	0.027301	0.0358349	0.0502427	0.0339408	0.0237773	0.0171439	0.0184646	0.0156367	0.0293058	0.0269505	0.0235044	0.0332618	0.0473853	0.0247693	0.0245943	0.0171492	0.0213408	0.0165569	0.0210744	0.0146538	0.0173597	0.0130737	0.0141976	0.0101329	0.0151463	0.0199957	0.0184466	0.0170783	0.0163327	0.0114079	0.01031	0.0100732	0.0108807	0.0118425	0.00870887	0.0156649	0.00809793	0.0115472	0.0132613	0.015767	0.0103693	0.015522	0.0129481	0.00785	0.0121694	0.00912775	0.0065411	0.00913006	0.00523982	0.0039306	0.00330519	0.00324249	0.00140395	0.0013879	0.00162516	0.00165445	0.00266536	0.00376402	0.00420966	0.00273302	0.0056616
à	0.0195696	0.0139032	0.0162826	0.00872603	0.00787302	0.00674788	0.00719764	0.0162689	0.0116448	0.00844973	0.00629098	0.00925567	0.0121595	0.0151784	0.0188212	0.016866	0.0213064	0.0191194	0.0134203	0.0272529	0.0255728	0.0309883	0.0165525	0.0239612	0.0264752	0.0360075	0.0317811	0.0311022	0.0477674	0.0476972	0.0529814	0.0395815	0.0403989	0.0282391	0.0303422	0.0340319	0.0198306	0.0258799	0.0166291	0.016629	0.0158144	0.00642197	0.011171	0.00714433	0.00438578	0.00371422	0.00450122	0.00393066	0.0037448	0.00402678	0.00419255	0.00323848	0.00184931	0.00113082	0.00141311	0.000380232	0.000541755	0.000551484	0.00109606	0.00202807	0.00340804	0.0036829	0.00498556	0.00786309
cause	0.0270372	0.017712	0.0164258	0.0113082	0.0089165	0.00848386	0.00621481	0.0111244	0.00461423	0.00382408	0.00371263	0.00275663	0.0043113	0.00605343	0.00763487	0.00638401	0.00892626	0.0103564	0.0101579	0.0217762	0.016266	0.0154819	0.0127214	0.0103451	0.00889752	0.023222	0.0182863	0.0241445	0.0631961	0.0432956	0.0507801	0.0412805	0.0294183	0.0329924	0.03812	0.0369943	0.0207068	0.0345416	0.022462	0.0167499	0.0181187	0.0117914	0.0195421	0.0136871	0.00718895	0.00472238	0.00917499	0.0063485	0.00680855	0.00573065	0.00565572	0.0059701	0.00404072	0.0041351	0.00759817	0.00437961	0.00476187	0.0114949	0.01307	0.012784	0.0134547	0.0173795	0.0150349	0.0194945
du	0.0231141	0.0126572	0.0126708	0.00950993	0.00665787	0.00793544	0.00691379	0.00819373	0.00623915	0.00382681	0.0046353	0.0028072	0.00532713	0.00855539	0.0060541	0.00797193	0.00984267	0.0112334	0.00923472	0.0163663	0.0135443	0.00970525	0.0112598	0.00934238	0.0089834	0.0253002	0.024327	0.0355302	0.0516455	0.0381891	0.0343317	0.0266539	0.0309651	0.0359334	0.0483816	0.0377964	0.0288568	0.0403072	0.033215	0.0187873	0.0199616	0.00893086	0.0133059	0.00738351	0.0045711	0.00352529	0.00627935	0.00472873	0.0044082	0.00276193	0.00363494	0.00337326	0.00255083	0.00246883	0.00637143	0.00316332	0.0035756	0.0108353	0.0135086	0.0209633	0.0261886	0.0243041	0.0238335	0.0365693
piment	0.0131531	0.00827912	0.00684826	0.00581795	0.00535522	0.00610401	0.00533029	0.00486317	0.00482339	0.00328854	0.00436922	0.00257254	0.00367683	0.00496652	0.00456347	0.00700163	0.00612953	0.00807846	0.00874078	0.0130308	0.0128929	0.0121185	0.0112411	0.0190458	0.0164584	0.0261643	0.0206691	0.0436921	0.0346165	0.0284641	0.0258496	0.0191124	0.019393	0.0219204	0.0298306	0.0215612	0.0507158	0.019415	0.0421747	0.0424066	0.0429893	0.0390348	0.0312794	0.02018	0.0199017	0.0217114	0.0224832	0.0228839	0.0259189	0.0131714	0.0156211	0.00729548	0.00552211	0.00356971	0.00448121	0.00260667	0.0025968	0.00380077	0.0037085	0.00530468	0.00884954	0.010443	0.0124444	0.00946708
