 	a10	a87	a23	a83	a54	a47	a37	a98	a47	a36	a21	a61	a34	a98	a79	a98	a79	a37	a47	a36	a2	a57	a87	a23	a99	a40	a6	a37	a61	a21	a85	a37	a21	a61	a37	a85	a37	a26	a82	a10	a87	a23	a87	</S>
cette	0.0368187	0.0417396	0.0428764	0.0366728	0.0440127	0.0407576	0.0663349	0.049073	0.0582787	0.0338566	0.020691	0.0240463	0.0219593	0.0188691	0.0325123	0.0180591	0.0189671	0.0115186	0.0167933	0.0090298	0.0174784	0.0123612	0.0171084	0.0112862	0.0187524	0.0148197	0.0195893	0.0296027	0.0160322	0.0193221	0.00991474	0.0118918	0.0114545	0.00725648	0.011139	0.00681741	0.00888393	0.00787458	0.0119612	0.0151354	0.0100246	0.0145201	0.0148686	0.0390385
eau	0.00122207	0.00153823	0.0050544	0.0118219	0.061189	0.110331	0.0907894	0.073777	0.0965659	0.097504	0.0576825	0.0252995	0.0767001	0.025653	0.0413082	0.0313694	0.0250206	0.00980788	0.00787947	0.0114597	0.0143847	0.0194861	0.0190558	0.014926	0.0092033	0.0062254	0.00771496	0.00874588	0.0101913	0.00884752	0.00442253	0.00390243	0.00385008	0.00129271	0.000533815	0.000690188	0.000260642	0.000312547	0.000163	0.00032802	0.0005441	0.000630084	0.00109011	0.00122554
froide	0.0499905	0.0508992	0.0383104	0.036093	0.0384782	0.0351752	0.0238205	0.0512701	0.0577311	0.080381	0.0494967	0.0722141	0.0335584	0.0343011	0.0267628	0.0339372	0.0349027	0.0188286	0.037054	0.0226561	0.0296882	0.0193433	0.0161207	0.0111426	0.00821045	0.00665483	0.0055508	0.00465292	0.00429518	0.00220421	0.00429031	0.00262945	0.00236242	0.00406883	0.00193595	0.0019125	0.00304302	0.00276339	0.00240852	0.00506	0.0108575	0.00897618	0.012715	0.00325267
est	0.0509655	0.0336691	0.0207224	0.0156902	0.0159653	0.0157135	0.01999	0.0248924	0.0246295	0.030877	0.0168807	0.0352361	0.0121019	0.0302857	0.0229713	0.0348455	0.0311145	0.0180844	0.0403872	0.0186502	0.0258621	0.0109666	0.00759633	0.00562447	0.00554272	0.00437914	0.00332506	0.00610931	0.00683067	0.00952014	0.0111993	0.0154777	0.0121743	0.0127693	0.0160459	0.0206505	0.0315332	0.0308853	0.061413	0.0461089	0.0416348	0.0406422	0.0309873	0.0290491
à	0.0450306	0.0315486	0.0156943	0.00893059	0.00507254	0.00308483	0.00271772	0.00230493	0.00230135	0.00326633	0.00369982	0.0068181	0.0097859	0.0110981	0.0214078	0.0197363	0.0302705	0.0584957	0.032042	0.0418316	0.0231362	0.0216941	0.0192977	0.0212638	0.0185763	0.0132702	0.0217347	0.0160831	0.0130563	0.0164806	0.0153456	0.0183981	0.0195805	0.0220812	0.0354799	0.03139	0.0315693	0.0368097	0.0461652	0.0530763	0.0408371	0.0413	0.037034	0.0312024
moi	0.0335159	0.0275792	0.0155122	0.0126263	0.0110535	0.00895097	0.00876439	0.00655019	0.00795629	0.0118096	0.00877764	0.0176495	0.0178426	0.0203243	0.0384348	0.0328647	0.0391084	0.0550525	0.0385618	0.0419079	0.0337134	0.0187026	0.0173414	0.0128513	0.0113798	0.00989339	0.0154421	0.0144733	0.0105372	0.0109488	0.0126588	0.0102969	0.0110372	0.014886	0.0219485	0.0230513	0.0354047	0.050064	0.0344123	0.0574861	0.0483067	0.0275659	0.0232421	0.0195135
et	0.041218	0.0290857	0.0242394	0.0235373	0.0224071	0.0189621	0.0181074	0.00973324	0.00767833	0.00719836	0.00753256	0.0154976	0.0166487	0.016391	0.0318395	0.0374859	0.0399208	0.0397359	0.0365775	0.0236032	0.0215926	0.0268129	0.026902	0.0172035	0.0149781	0.0332355	0.0435356	0.0558701	0.0328488	0.0198765	0.022096	0.0107777	0.011746	0.0178965	0.0151226	0.0191452	0.0186944	0.0161043	0.0131277	0.0220525	0.0163617	0.0141299	0.0184686	0.0240217
la	0.0157508	0.014174	0.00896208	0.00568802	0.00615377	0.0050922	0.00628773	0.0036228	0.00373836	0.00375006	0.00686534	0.0106943	0.0226498	0.0186713	0.0607376	0.0257748	0.0330773	0.0211523	0.038403	0.016321	0.0162295	0.0153279	0.021838	0.0170473	0.0210083	0.0292425	0.0304414	0.0359113	0.0205779	0.0119708	0.028874	0.0232038	0.0243829	0.0279894	0.0361126	0.0305476	0.0333032	0.0301494	0.031946	0.0586179	0.0329918	0.033034	0.0237557	0.0379303
chaude	0.0176823	0.0143654	0.0139792	0.00991395	0.00976556	0.00785663	0.00732587	0.00517085	0.00681113	0.00617803	0.0080707	0.0157783	0.0171967	0.0128855	0.0315396	0.0244731	0.0250718	0.0298409	0.0318106	0.0211312	0.016838	0.0199445	0.0194355	0.016221	0.0169236	0.0221659	0.0384345	0.0318985	0.0282766	0.0328895	0.0459851	0.0354509	0.0399388	0.0283303	0.0133822	0.0170353	0.0195803	0.0339946	0.0283904	0.0531452	0.0530061	0.0318309	0.029527	0.0105281
est	0.0322458	0.0312608	0.0201755	0.0224603	0.0172523	0.0131746	0.0210087	0.0168777	0.0177712	0.00942941	0.0133268	0.013505	0.0134404	0.0114877	0.030954	0.0215824	0.0173049	0.0103793	0.0263337	0.00849894	0.013548	0.0121747	0.0118996	0.00639368	0.0083103	0.00892241	0.00980214	0.0150394	0.00880856	0.00591869	0.0104509	0.00851232	0.00806292	0.00862887	0.0217101	0.018325	0.0277048	0.034173	0.037067	0.0823249	0.0564043	0.069716	0.0671683	0.0804648
