 	a23	a85	a87	a23	a87	a23	a87	a10	a87	a23	a79	a20	a14	a35	a12	a24	a38	a10	a75	a73	a94	a38	a75	a41	a35	a76	a94	a58	a38	a75	a41	a35	a24	a61	a24	a32	a0	a75	a98	a14	a41	a61	a18	a21	a41	a18	a25	a87	</S>
elle	0.0596892	0.0872042	0.0416894	0.0194546	0.0389781	0.0221151	0.011211	0.00980377	0.0107128	0.0183876	0.0148232	0.0110776	0.0311158	0.0415276	0.032118	0.0312882	0.0378874	0.0463561	0.103912	0.055949	0.0464084	0.0315278	0.0178991	0.027377	0.0204508	0.0118298	0.0107704	0.00772554	0.00689694	0.006303	0.0054756	0.0047202	0.00491619	0.00380489	0.00397823	0.00263431	0.00294989	0.00163952	0.00123493	0.00304612	0.00491385	0.00723186	0.00502789	0.00676453	0.00637528	0.00396879	0.00586167	0.00352832	0.0094387
a	0.00180042	0.00234112	0.00252193	0.00466959	0.00424981	0.00397766	0.00585829	0.00841185	0.0153774	0.0152404	0.00418317	0.00936793	0.0170668	0.0154894	0.0220532	0.0301177	0.032363	0.034385	0.0433753	0.0290818	0.0305524	0.036653	0.0276746	0.0404922	0.0338555	0.0540937	0.0292132	0.0452689	0.0365331	0.0279246	0.024061	0.0279829	0.0279601	0.013286	0.0155255	0.00881218	0.00859653	0.009942	0.0108948	0.0109327	0.014896	0.0173712	0.0223707	0.0243256	0.0271425	0.023348	0.0167052	0.0187861	0.0128682
mis	0.00616592	0.00260309	0.00416722	0.00697326	0.00465008	0.0052825	0.00469326	0.0105749	0.00920836	0.00573109	0.00376938	0.0179133	0.00963911	0.0127697	0.0218611	0.026141	0.0311263	0.045424	0.0429277	0.03041	0.020422	0.0206873	0.0190932	0.0326411	0.0271816	0.0321599	0.0225764	0.0406262	0.0321565	0.0215569	0.0192238	0.0154545	0.00877255	0.00642826	0.010072	0.00544605	0.00742956	0.00460317	0.01316	0.0119382	0.0188382	0.0289859	0.0300535	0.0286503	0.0370987	0.03951	0.0306705	0.0393287	0.0732036
ses	0.0679053	0.0306246	0.0490555	0.0754794	0.0342764	0.0232981	0.0311118	0.0807052	0.0349469	0.0209074	0.0313779	0.11003	0.00964479	0.0177742	0.0140378	0.0231547	0.0249403	0.0244964	0.0199793	0.0189051	0.0194669	0.0212082	0.0164352	0.0120728	0.0133884	0.0101194	0.0109263	0.00737973	0.00969213	0.00826046	0.0111093	0.00762372	0.00883395	0.0114977	0.0104898	0.0077136	0.00883666	0.00885582	0.00724351	0.00542925	0.0038936	0.00301536	0.00264826	0.003537	0.00293111	0.00414866	0.00443124	0.0057582	0.0104025
plus	0.0255738	0.0200409	0.0183982	0.0119531	0.0151158	0.00814535	0.00900246	0.00926278	0.00686947	0.0061482	0.00830131	0.00798121	0.00899087	0.0146026	0.0241889	0.032538	0.0308257	0.0399499	0.0279831	0.0376325	0.0437947	0.050661	0.0493049	0.0344317	0.0320509	0.0218166	0.0252978	0.0194789	0.0223897	0.0217102	0.0237492	0.0150393	0.01585	0.0122831	0.0162545	0.0094771	0.00846729	0.00795507	0.00831211	0.00964715	0.00843976	0.00957296	0.00909284	0.022072	0.020871	0.0269684	0.0357299	0.0319973	0.0237804
beaux	0.0431698	0.0308722	0.0354597	0.0378071	0.0375619	0.0262245	0.0302529	0.02336	0.0198783	0.0126554	0.0248755	0.0337943	0.0206085	0.0329218	0.0491012	0.055367	0.0281671	0.0342442	0.0431602	0.0408514	0.0410627	0.0315702	0.0286157	0.0194141	0.0144239	0.00927393	0.00774875	0.00665491	0.00755007	0.00676035	0.0104657	0.0067165	0.00847732	0.00975284	0.00660664	0.00444792	0.00246388	0.00228876	0.00316916	0.0038571	0.00507317	0.00792758	0.00708056	0.0100257	0.0147406	0.0127744	0.0151177	0.0110519	0.0245551
atours	0.0237543	0.0181135	0.0189883	0.0218254	0.0210331	0.0144142	0.0173907	0.0132313	0.0104205	0.00915129	0.0141551	0.0187566	0.0122326	0.0212479	0.0248737	0.0377203	0.0316158	0.0344617	0.0459648	0.0432805	0.0401563	0.0467577	0.0258245	0.0281002	0.0261861	0.0275021	0.0263748	0.0234325	0.0215086	0.0204107	0.0219215	0.0134953	0.0179321	0.0147287	0.013201	0.00952587	0.00563465	0.00936517	0.0118177	0.0132649	0.0121426	0.00990943	0.0109476	0.01541	0.0147663	0.0154608	0.0166746	0.0163463	0.0185702
pour	0.0561361	0.0435685	0.0471767	0.0339746	0.0220015	0.0179364	0.0205075	0.014926	0.00895631	0.00436155	0.0130537	0.0125137	0.008038	0.0185087	0.0320931	0.0248305	0.019991	0.0359462	0.0216028	0.0200608	0.015734	0.00907688	0.0170577	0.0181664	0.00819612	0.0118157	0.00419748	0.00527192	0.00467394	0.005058	0.0106498	0.0047461	0.00643461	0.00381793	0.0030167	0.00180233	0.00158157	0.00180551	0.00432167	0.0157716	0.030552	0.032981	0.0290332	0.0504034	0.0403175	0.0613948	0.0537035	0.0358064	0.0364289
aller	0.0599159	0.0296803	0.0323377	0.0278234	0.0268535	0.0139381	0.0179004	0.0167508	0.00902079	0.00904198	0.0108466	0.0140863	0.00706097	0.0169462	0.0192899	0.021047	0.029021	0.0264681	0.0227859	0.0279632	0.0228736	0.0222957	0.019216	0.0152887	0.0111376	0.0132132	0.0105299	0.00851228	0.0086811	0.00992389	0.0111491	0.00707938	0.0080507	0.00711549	0.00661823	0.00741086	0.00518444	0.00723535	0.0100599	0.0207971	0.0214116	0.0123699	0.0190118	0.0373877	0.0334989	0.0438737	0.0542243	0.0499243	0.0571472
à	0.0532759	0.0305247	0.0324724	0.0168547	0.0146664	0.00867922	0.00814983	0.0089145	0.00502192	0.00534427	0.00488532	0.00382311	0.00299316	0.00521193	0.00586184	0.00397147	0.00757684	0.0109102	0.00591758	0.00698764	0.00522692	0.0048197	0.00447565	0.00549399	0.00412389	0.00684352	0.00284137	0.00460958	0.00421337	0.00442407	0.0047494	0.00560859	0.00606954	0.00521648	0.00424172	0.00393176	0.00325196	0.00530241	0.0142074	0.0421335	0.0490437	0.0306997	0.0377897	0.0725337	0.0522512	0.0894236	0.0804036	0.0793626	0.124664
la	0.0335931	0.0146137	0.0141272	0.00990491	0.00941835	0.00575077	0.00433698	0.00396104	0.002328	0.00307346	0.00222968	0.00260641	0.00118879	0.00255976	0.0029519	0.00217816	0.00349604	0.00535228	0.00358843	0.00324843	0.0027016	0.00255845	0.00308016	0.00442868	0.00390617	0.00853492	0.0032639	0.00551827	0.0062804	0.00535825	0.006723	0.00798472	0.00633676	0.00602339	0.00617102	0.00596702	0.00618832	0.00729278	0.01216	0.0372865	0.0594429	0.0530671	0.0459932	0.0585052	0.0491655	0.0917202	0.0696783	0.0853701	0.208786
ville	0.0151199	0.00932256	0.00825171	0.00475931	0.00567042	0.00302524	0.00297688	0.00215222	0.0017187	0.00171583	0.00148152	0.00194594	0.00228774	0.00347727	0.00475797	0.00526419	0.00745528	0.011601	0.0101359	0.00868817	0.0117538	0.0118778	0.0150067	0.0201079	0.0135327	0.0133778	0.0126219	0.0117146	0.0157938	0.0181728	0.0300764	0.0236529	0.0250031	0.0312325	0.0326282	0.0276103	0.019266	0.00986774	0.00992953	0.0383754	0.0460285	0.0392758	0.0374113	0.0892956	0.0582901	0.0541304	0.0642743	0.0508968	0.0569874
