 	a23	a87	a79	a4	a57	a53	a90	a32	a90	a20	a84	a40	a73	a44	a58	a54	a73	a57	a20	a73	a94	a32	a90	a98	a15	a44	a69	a32	a90	a69	a53	a20	a84	a87	a23	a40	a73	a15	a44	a58	a11	a93	a4	a53	a15	a73	a84	a87	a23	a40	a73	a4	a11	a75	a98	a73	a44	a54	a73	a94	a32	a11	a24	a11	a13	a25	a84	a53	a4	a57	a9	a40	a4	a57	a82	a87	</S>
auparavant	0.00720134	0.0138394	0.0154436	0.0143331	0.01611	0.0190404	0.0241598	0.0397835	0.00892481	0.00501797	0.00644835	0.0074476	0.0182724	0.0239018	0.015751	0.0181945	0.0215617	0.0259746	0.01795	0.0152083	0.0244909	0.0147374	0.00893247	0.00858403	0.0319174	0.0157306	0.0106193	0.0094053	0.0152244	0.00908658	0.0102942	0.00855846	0.0077962	0.010435	0.0177962	0.0120119	0.0088154	0.00953685	0.00666816	0.00567904	0.00821443	0.0111761	0.0109198	0.0144205	0.0216406	0.0153186	0.0269029	0.0223358	0.0249686	0.0422586	0.0109402	0.00678074	0.00352401	0.00275901	0.00355297	0.00421431	0.00761489	0.00503719	0.00956976	0.00732884	0.0116874	0.00796581	0.00282495	0.00383925	0.00364089	0.00473901	0.0107496	0.0126291	0.0121255	0.0112755	0.0103477	0.00892138	0.0134212	0.0093152	0.0137048	0.00651825	0.0159326
on	0.00433023	0.0029354	0.00260867	0.00442588	0.00386582	0.00578027	0.00585968	0.0173055	0.00534789	0.0116196	0.0198822	0.0238408	0.018199	0.0222424	0.0252737	0.0230337	0.0274168	0.0152929	0.0313668	0.00684116	0.0246788	0.016231	0.0172344	0.0103253	0.00797779	0.025615	0.0268074	0.0302871	0.0497587	0.0244281	0.0171026	0.0180279	0.019538	0.0203312	0.0145981	0.0164533	0.0172439	0.0167385	0.0112933	0.0136159	0.0117678	0.00874489	0.0134895	0.0117533	0.0232552	0.0115761	0.0127482	0.0103719	0.0165438	0.00697883	0.00537778	0.00541138	0.00473026	0.00743052	0.00871863	0.00584237	0.00924979	0.0112191	0.0101045	0.00377052	0.00548261	0.00312689	0.00471262	0.0030422	0.0019419	0.00324887	0.00598023	0.00750328	0.00535826	0.00453607	0.00564737	0.00772685	0.0112535	0.0103057	0.012563	0.0154449	0.0172868
cultivait	0.0110076	0.00905452	0.00973417	0.0136237	0.0137736	0.0181026	0.0233116	0.0245016	0.00854409	0.010268	0.0177294	0.027244	0.0162764	0.0241284	0.0221192	0.00760258	0.0140273	0.0166805	0.00427808	0.00392981	0.00698601	0.00779476	0.00235582	0.00530368	0.00238474	0.00466098	0.0117742	0.00707672	0.0130889	0.0082521	0.0155395	0.0108618	0.0298757	0.038358	0.0135443	0.0299568	0.0124689	0.0119784	0.00702538	0.00531762	0.0034623	0.00793226	0.00466631	0.0131743	0.0153573	0.0134122	0.020015	0.0191168	0.0162993	0.00574656	0.0116893	0.0125076	0.019257	0.0136988	0.0112226	0.0107847	0.0114729	0.0437845	0.0190203	0.0182383	0.0134084	0.00536666	0.00568633	0.00319146	0.00112737	0.00159253	0.00409998	0.00658431	0.00944347	0.00884793	0.00855616	0.0127596	0.0143944	0.0151751	0.0172353	0.0238171	0.0173144
ici	0.0181067	0.0150681	0.0164762	0.0174784	0.00958898	0.0127824	0.0120149	0.00854185	0.0109346	0.015603	0.0300991	0.0101653	0.00884498	0.0205138	0.0313369	0.0141879	0.0164782	0.0174845	0.0166593	0.0233156	0.0182555	0.0233607	0.0204125	0.0242217	0.0107927	0.0146158	0.0177584	0.0156954	0.0103921	0.00625267	0.00567467	0.0104397	0.0140737	0.0105839	0.00834334	0.00907897	0.0190686	0.0139869	0.0146953	0.00996297	0.00488005	0.00484064	0.00621532	0.0203762	0.00457362	0.00893595	0.00764446	0.0112756	0.0139273	0.0206844	0.00937211	0.0066214	0.00492323	0.00652497	0.00480337	0.0128515	0.0164984	0.0222063	0.0265772	0.0437204	0.02158	0.00605851	0.0127193	0.00340232	0.00386843	0.00479092	0.00773169	0.0083827	0.0108154	0.0113668	0.00843429	0.00736011	0.00740303	0.00523313	0.00473538	0.00488169	0.0104376
du	0.0176448	0.010485	0.0107024	0.00916412	0.00598689	0.00619466	0.00542099	0.00421885	0.005824	0.00568788	0.00662744	0.00306485	0.00378168	0.00528175	0.00692671	0.00559792	0.00495675	0.00868914	0.00809648	0.0113789	0.0114982	0.017202	0.0182353	0.0190046	0.0143435	0.0157239	0.0256179	0.0232397	0.0217316	0.0165109	0.0142313	0.0189432	0.0187445	0.0201204	0.0187761	0.0193977	0.0214422	0.0230139	0.0333787	0.0262089	0.0221308	0.0223193	0.0240608	0.063266	0.018004	0.0219529	0.0160907	0.0193259	0.0212808	0.0289278	0.0226718	0.0161533	0.0104491	0.00889143	0.00587641	0.00852089	0.00466263	0.00300084	0.00400349	0.00344031	0.00197105	0.00272967	0.0031375	0.00670624	0.00676262	0.00613132	0.00705349	0.00480335	0.00597047	0.00617251	0.00736076	0.0091664	0.0113701	0.00597002	0.0068821	0.00699992	0.0126875
riz	0.00593383	0.00384343	0.00411954	0.00273567	0.00272491	0.00366902	0.00271318	0.00410817	0.00945507	0.00663207	0.00219522	0.00197369	0.00412354	0.00659937	0.0052863	0.00373113	0.00230915	0.00234448	0.00409779	0.00508223	0.00777077	0.0115883	0.0107778	0.00759672	0.00423797	0.00611306	0.00878015	0.0102737	0.00537915	0.0113338	0.009051	0.0165812	0.0122337	0.0147854	0.0209514	0.0156396	0.0362638	0.0422266	0.0382092	0.0233298	0.0347594	0.0248724	0.0450567	0.0607319	0.022849	0.0432074	0.0357133	0.0473777	0.0261233	0.0247015	0.0361949	0.0379388	0.0235846	0.0222956	0.0157607	0.021913	0.00985017	0.00269428	0.00371248	0.00543685	0.0039652	0.00445955	0.00492503	0.00454838	0.00611786	0.00582461	0.00261865	0.00232323	0.0021266	0.00218121	0.00192302	0.00255792	0.00346299	0.00257208	0.00356174	0.00249591	0.00276139
maintenant	0.00552988	0.00467075	0.00428422	0.00506826	0.00285401	0.00439872	0.00543651	0.0067039	0.0066723	0.00725225	0.00618997	0.00538265	0.00991425	0.00957827	0.00611539	0.00648391	0.0036669	0.0045478	0.00481785	0.00371622	0.00301895	0.00390299	0.00481265	0.00494139	0.0049042	0.00689431	0.0078883	0.00938135	0.0128738	0.0143227	0.0143502	0.0222542	0.0417068	0.0224145	0.0312167	0.0317088	0.0270209	0.0434549	0.0200328	0.0240243	0.0222863	0.0305377	0.0362048	0.0231241	0.0393122	0.0318642	0.0392984	0.0337503	0.0394595	0.035487	0.0443707	0.0331509	0.0150447	0.0105874	0.0117837	0.00678909	0.00466891	0.00549258	0.00588304	0.00471938	0.00411337	0.00352198	0.00335678	0.00417801	0.00268732	0.00256707	0.0013598	0.00111452	0.00177414	0.00148854	0.00175262	0.00291358	0.0040641	0.00314372	0.00449138	0.00528399	0.0139652
on	0.0112746	0.00959857	0.0103324	0.0137072	0.0155178	0.0133586	0.00924566	0.0108272	0.00652316	0.00994136	0.00631577	0.00485706	0.0100372	0.00714006	0.00609992	0.00427383	0.00439785	0.0053918	0.00629285	0.00544486	0.00495057	0.00612438	0.00689327	0.00731688	0.0076	0.00820189	0.0113761	0.00913149	0.0154789	0.0185738	0.0159703	0.0287272	0.0303285	0.0258632	0.0245201	0.0216203	0.0189366	0.0327109	0.0164911	0.0175058	0.0202276	0.0191022	0.0218246	0.0191395	0.0216394	0.0272886	0.0304978	0.0221212	0.0177912	0.015279	0.0202935	0.0190279	0.0106467	0.0113679	0.0151862	0.014911	0.0118934	0.00648042	0.0136504	0.0168442	0.0168826	0.00879475	0.0063956	0.00727161	0.00457428	0.00405721	0.00388488	0.00376938	0.00586799	0.00845488	0.00950772	0.0101492	0.0124065	0.0102271	0.0103194	0.0126433	0.0106816
ne	0.0130274	0.0152237	0.0172621	0.0146662	0.0195162	0.0199282	0.0162484	0.022374	0.00483681	0.00546705	0.0055721	0.00685457	0.0085389	0.0126275	0.00708932	0.00559054	0.00822825	0.00778834	0.00924572	0.00655321	0.00640461	0.00697674	0.00695668	0.00873297	0.0180193	0.0140994	0.0125974	0.0132177	0.0180288	0.0217194	0.0155322	0.0295414	0.0280229	0.0286415	0.032217	0.0190992	0.0121614	0.0255485	0.010175	0.00689406	0.00745449	0.00629115	0.00687843	0.0055519	0.00952592	0.00735148	0.0126074	0.0125971	0.0158124	0.0204014	0.0206935	0.0172794	0.0127976	0.00938336	0.0102406	0.00771486	0.0095632	0.00730609	0.0128606	0.0120577	0.0124248	0.00611262	0.00409069	0.00739102	0.00447372	0.00545938	0.00759672	0.0105152	0.0124558	0.0119506	0.0113038	0.0113576	0.0170899	0.0154106	0.0182747	0.023341	0.0351586
cultive	0.00874242	0.0110863	0.0146506	0.0140462	0.0176009	0.0197219	0.0131723	0.0188574	0.00320154	0.00444579	0.00705826	0.00678667	0.00907834	0.012096	0.00547016	0.00550299	0.0071957	0.00606494	0.00733665	0.00453098	0.00385082	0.00644926	0.00532873	0.0060945	0.0124875	0.0124408	0.0113929	0.0119795	0.0157842	0.0175061	0.0127223	0.0188476	0.017442	0.0184153	0.0240029	0.0131069	0.00877267	0.0166459	0.00758494	0.0061751	0.0056582	0.00383848	0.00503857	0.00356969	0.00725402	0.00401562	0.00787083	0.00780954	0.0135793	0.0223623	0.0192515	0.0172888	0.0128982	0.00924395	0.0105547	0.00694709	0.0126625	0.00938865	0.0134406	0.0147115	0.0126923	0.00433051	0.00317988	0.00530611	0.00417303	0.00848845	0.0196333	0.0272914	0.0220535	0.0240032	0.0310793	0.021318	0.0358606	0.0212262	0.022645	0.0347125	0.0509469
