 	a23	a85	a87	a23	a20	a94	a58	a82	a38	a35	a73	a76	a73	a2	a57	a87	a23	a40	a30	a26	a75	a14	a30	a41	a26	a24	a25	a38	a14	a35	a30	a73	a26	a54	a14	a35	a14	a2	a54	a14	a37	a61	a24	a94	a35	a75	a41	a69	a84	a57	a87	</S>
son	0.0465853	0.0627813	0.0379443	0.026182	0.0361304	0.013365	0.0118184	0.0115393	0.0118229	0.0129463	0.0116655	0.0133439	0.016183	0.0170555	0.0314805	0.0272415	0.037215	0.0195989	0.0129572	0.00835371	0.0106871	0.00959264	0.00621812	0.00524837	0.0109763	0.00717801	0.00304711	0.00307881	0.0027126	0.00241637	0.00248256	0.00238855	0.00253755	0.00316034	0.00518488	0.00693478	0.00640435	0.0113302	0.0149219	0.0401179	0.0275541	0.0288084	0.0201682	0.0214482	0.0176761	0.0147597	0.0214569	0.0396759	0.023987	0.0385777	0.0398823	0.0831768
bonheur	0.00272442	0.00833189	0.0105099	0.00915996	0.0111815	0.00590857	0.0105103	0.0253941	0.0323384	0.0262439	0.0275164	0.042983	0.0262634	0.0433882	0.0708482	0.0610011	0.0899368	0.0518933	0.0475589	0.0432572	0.0335997	0.0816559	0.0109418	0.017941	0.0301242	0.00849609	0.00930616	0.00891141	0.0119005	0.0121654	0.00794	0.010781	0.0117485	0.0158898	0.0124586	0.0108917	0.0153481	0.0115841	0.00443101	0.00167714	0.00107827	0.00097289	0.00257527	0.00156795	0.00175583	0.00210972	0.0037065	0.00120358	0.00216339	0.00248048	0.00285877	0.00278587
était	0.0107843	0.010562	0.0126845	0.0162739	0.0234949	0.0257627	0.0279948	0.0305142	0.0289993	0.0181658	0.0211837	0.0163124	0.0225631	0.017361	0.0410891	0.0211377	0.0176445	0.0470567	0.013817	0.0207215	0.021172	0.0403528	0.0534837	0.0348636	0.0248798	0.0349713	0.0380115	0.0342271	0.025466	0.0125589	0.01982	0.0151479	0.0209662	0.0120714	0.0120542	0.0177926	0.0133068	0.00714637	0.00497075	0.00344218	0.00263906	0.00197822	0.00136957	0.00208052	0.00335029	0.00438028	0.0078297	0.0104844	0.0227228	0.00823915	0.0248142	0.0192838
d'	0.00529513	0.00508664	0.00341881	0.00470413	0.0024475	0.00752245	0.0135	0.0212974	0.0105163	0.0127737	0.0279421	0.0159935	0.0145376	0.0144862	0.0162066	0.0146916	0.0119323	0.0255232	0.0167785	0.0337281	0.0224745	0.0212965	0.0269911	0.019708	0.0236789	0.0230369	0.0294909	0.0484001	0.0428403	0.0405024	0.0518344	0.0607628	0.0488515	0.0490844	0.0357518	0.0303181	0.0300365	0.0175149	0.0119257	0.0128395	0.0137865	0.0108529	0.0140865	0.00782171	0.00662064	0.00313829	0.00212228	0.00168602	0.00349921	0.00253773	0.00392789	0.00419919
avoir	0.0199608	0.0158659	0.0161916	0.0149201	0.016341	0.0306726	0.0236292	0.0229507	0.0220974	0.0250035	0.0204427	0.0110628	0.0122227	0.0133309	0.0076478	0.00942334	0.00938392	0.0137127	0.0132254	0.016268	0.0234295	0.0302816	0.0466952	0.0446483	0.0571025	0.0587113	0.052515	0.0586743	0.0250227	0.0313212	0.0314034	0.0291263	0.0150823	0.01281	0.0087188	0.00869127	0.00656517	0.00797433	0.00793297	0.0110162	0.00994666	0.00971062	0.0103182	0.00724034	0.00732673	0.00665548	0.00404281	0.00709827	0.00670091	0.0075095	0.00955174	0.0118234
tous	0.0369357	0.0222479	0.0170485	0.014679	0.0138216	0.0211603	0.0203653	0.0157209	0.0196525	0.0157132	0.0106893	0.00695434	0.0080302	0.00786046	0.00944499	0.00978529	0.0107108	0.0132673	0.00829535	0.012533	0.0143124	0.0225884	0.0320716	0.0213544	0.0383866	0.0654745	0.0374969	0.0345106	0.0171115	0.0233428	0.026252	0.0234535	0.0154485	0.0116039	0.0207085	0.0180545	0.0160374	0.019097	0.0111859	0.0126719	0.00929662	0.00637865	0.00701222	0.00851756	0.00884507	0.0123761	0.0116833	0.0246731	0.0304662	0.0199759	0.0337994	0.0508971
ses	0.014606	0.00656465	0.00723737	0.00643903	0.00696025	0.0140008	0.0125337	0.00820032	0.0115622	0.00887301	0.00819924	0.00515735	0.00720768	0.00457337	0.00616391	0.00723544	0.00710439	0.00824269	0.00638839	0.0101207	0.0154852	0.0244378	0.0325105	0.0261101	0.0480078	0.0565989	0.0497553	0.052642	0.0359618	0.0428351	0.0563308	0.041957	0.0380567	0.0303614	0.0282444	0.0255788	0.0282334	0.0192371	0.0130945	0.00982539	0.00968285	0.00725087	0.00611564	0.00872039	0.00870274	0.00783819	0.00730349	0.0125434	0.0149481	0.0187048	0.0288536	0.0267015
enfants	0.00766832	0.00373208	0.00336268	0.0026849	0.00232569	0.00257267	0.00311374	0.00365764	0.00285706	0.00339982	0.00297609	0.00492787	0.00857907	0.0138339	0.0202632	0.0181656	0.0165726	0.0254805	0.0153312	0.020019	0.0248955	0.0321204	0.0223244	0.0156188	0.0326033	0.0247572	0.0221697	0.0211	0.0165228	0.0235594	0.0346775	0.0326137	0.0279753	0.0267138	0.0397044	0.0313872	0.0471278	0.0406037	0.0367168	0.0319652	0.0381236	0.0272288	0.0232846	0.0181926	0.00901187	0.00970836	0.012527	0.0190655	0.0196062	0.0198055	0.0235009	0.0132646
autour	0.00856372	0.00716452	0.00708051	0.00590151	0.00546189	0.0127028	0.00763675	0.00583283	0.00622306	0.0062886	0.00667844	0.00723007	0.0128155	0.0190119	0.0166478	0.0158991	0.0136493	0.0156335	0.0121024	0.0156947	0.0169731	0.0259892	0.0188057	0.026111	0.0277432	0.0405046	0.0340542	0.025708	0.0283202	0.0341583	0.0321952	0.0384091	0.0285274	0.0223397	0.0332566	0.0224201	0.0378442	0.0228959	0.0183885	0.0238877	0.0327995	0.0227966	0.0153938	0.0132367	0.00926713	0.0128244	0.0151989	0.0191474	0.0292978	0.0183897	0.0249062	0.019991
d'	0.018398	0.0158143	0.0137559	0.0121484	0.00917553	0.019007	0.0109323	0.00827539	0.00894363	0.00954668	0.0100812	0.00910848	0.0120293	0.0122162	0.0113357	0.0130908	0.0130162	0.0115878	0.00924944	0.00985754	0.0136739	0.0148497	0.0141746	0.0144796	0.0171404	0.017184	0.0167041	0.0171939	0.0190641	0.0205173	0.0231351	0.0195449	0.0183851	0.0184588	0.0222859	0.0205864	0.0301878	0.0224786	0.0257259	0.0345281	0.0390584	0.0313464	0.018766	0.0172936	0.0196762	0.0195082	0.0291083	0.0289493	0.0387807	0.0301815	0.0371407	0.0523227
