 	a57	a10	a87	a23	a12	a31	a43	a21	a85	a98	a92	a98	a47	a98	a79	a90	a56	a44	a47	a61	a50	a62	a61	a21	a47	a61	a47	a96	a88	a71	a9	a10	a87	a97	a99	a97	</S>
qu'	0.0706995	0.0865423	0.0465081	0.0298632	0.0499326	0.0313559	0.0256547	0.0450829	0.0429513	0.0420373	0.032142	0.0238848	0.0148633	0.0153959	0.012612	0.0101934	0.0111968	0.0142785	0.0132664	0.0216335	0.0175744	0.0230355	0.03505	0.027544	0.0239348	0.0138518	0.0127654	0.0156586	0.0149577	0.0126986	0.0153691	0.0167028	0.0206864	0.0168307	0.0331943	0.0178185	0.0422332
est-ce	0.026892	0.019761	0.0119815	0.0129293	0.0136863	0.0229679	0.034409	0.0301056	0.0344266	0.0465344	0.049551	0.0478058	0.0399078	0.039393	0.0364262	0.0259178	0.0163549	0.0109115	0.0104268	0.0096766	0.0107665	0.0131885	0.0102676	0.0114832	0.013114	0.0120309	0.0227565	0.0244606	0.0277594	0.0462529	0.0384405	0.0379631	0.0251775	0.0408717	0.039245	0.0577623	0.0283948
que	0.0439433	0.0184919	0.017104	0.0226337	0.0245713	0.0251411	0.0339986	0.0223323	0.0208195	0.0236185	0.0243477	0.0253209	0.034335	0.0454362	0.0523431	0.0332922	0.0353726	0.022325	0.0205373	0.021674	0.0198082	0.0189946	0.00964106	0.0102574	0.0118506	0.011643	0.0256719	0.0225782	0.0234278	0.0300794	0.0217479	0.0215736	0.0281066	0.0363894	0.0448507	0.0508266	0.0449143
le	0.0386161	0.017873	0.0281753	0.0297909	0.0181605	0.0245116	0.023523	0.0142536	0.0136216	0.0105178	0.0121022	0.0122381	0.0187453	0.0253904	0.0391454	0.0498795	0.0841951	0.0501926	0.0484537	0.0243489	0.0238293	0.0234339	0.0167715	0.0160995	0.0178318	0.0174022	0.0232452	0.0203656	0.0243272	0.0231306	0.0204794	0.0246686	0.0266104	0.028754	0.0430346	0.0360354	0.0302459
féticheur	0.0715013	0.0234192	0.031331	0.0242215	0.00740862	0.0210355	0.0137192	0.0108428	0.0108454	0.00949521	0.00873497	0.0137782	0.0295154	0.0288009	0.0391707	0.0327212	0.0368484	0.035655	0.0360338	0.0360035	0.0356314	0.0448518	0.0137639	0.0143113	0.0178644	0.0189142	0.0300425	0.0311523	0.0283137	0.0644934	0.0249514	0.0358571	0.0178809	0.0319207	0.0222492	0.0318084	0.0149118
vous	0.0641684	0.0423908	0.0200261	0.0105377	0.00589898	0.0094932	0.0051995	0.0107916	0.0128528	0.0140429	0.00892423	0.00971365	0.00813001	0.0093144	0.00748621	0.00926723	0.0148985	0.0154338	0.0244536	0.0555966	0.0506677	0.0489708	0.0437637	0.0359025	0.0348645	0.0318509	0.029023	0.0284375	0.0312352	0.033484	0.0289674	0.0288352	0.0424075	0.0449558	0.0411336	0.0464861	0.0403945
a	0.0410323	0.0305457	0.0260654	0.0220883	0.0165258	0.0221782	0.0236952	0.0157876	0.0195805	0.0151306	0.0161214	0.0193913	0.0221525	0.0307081	0.0406029	0.0467608	0.0459671	0.028933	0.0263535	0.0275732	0.0244332	0.0362629	0.0289015	0.0202726	0.0236684	0.0285182	0.0494722	0.0279701	0.0270732	0.0171658	0.0174881	0.012209	0.0203927	0.0226716	0.0269826	0.0387019	0.0406226
donné	0.0391941	0.0293771	0.0207332	0.0173845	0.0130849	0.0164721	0.015634	0.0154504	0.0170638	0.017549	0.0185277	0.0168348	0.0155908	0.0189255	0.0179383	0.0129968	0.0149387	0.012842	0.0107155	0.0132163	0.014601	0.0207929	0.0170755	0.0249293	0.0265312	0.0389471	0.0420179	0.0440267	0.0440991	0.0363568	0.0362231	0.0317747	0.0363001	0.0469346	0.0481925	0.0696177	0.0671103
comme	0.0598075	0.0400427	0.0225513	0.0124586	0.0109714	0.00868213	0.00814843	0.00689003	0.00785688	0.00851337	0.00572292	0.0060403	0.00866119	0.00893737	0.00985277	0.0101794	0.00893712	0.00917043	0.00973728	0.0112918	0.0194534	0.0252835	0.0189227	0.0231436	0.0198705	0.0225648	0.0330052	0.0339155	0.0433812	0.0486718	0.0456321	0.0451582	0.0411078	0.0627398	0.0658835	0.0895584	0.087255
conseils	0.0351538	0.0278453	0.0214188	0.0150104	0.00926585	0.00589583	0.00637112	0.00429848	0.00484567	0.00593128	0.00393918	0.00390833	0.0069618	0.00687765	0.00830364	0.00601258	0.00677902	0.00708039	0.00984744	0.0206603	0.025084	0.0277565	0.0233219	0.0272564	0.0229998	0.0255668	0.0321461	0.0408042	0.0525419	0.0489609	0.0620415	0.053982	0.0635429	0.0642974	0.0757072	0.0705828	0.067001
</S>	0.0406151	0.0286275	0.0194234	0.0141602	0.00872518	0.00621692	0.00615372	0.00405854	0.00439592	0.00510949	0.00365857	0.0035558	0.00559103	0.00679443	0.00785999	0.00512407	0.00616945	0.00625072	0.00971645	0.0266876	0.0274804	0.0313376	0.0231115	0.026743	0.0242877	0.0256178	0.0321226	0.0373443	0.0507289	0.0410181	0.0576005	0.0383186	0.0701597	0.0568599	0.0878261	0.0661811	0.0843683
