 	a23	a87	a23	a87	a23	a40	a37	a35	a76	a25	a56	a32	a75	a73	a37	a26	a90	a56	a11	a75	a85	a37	a61	a31	a66	a93	a90	a34	a21	a85	a27	a40	a75	a85	a47	a2	a57	a97	a87	a23	a10	</S>
les	0.0356595	0.0609052	0.0483132	0.0529054	0.0521835	0.0298605	0.0495252	0.0291722	0.0462048	0.0921775	0.0833086	0.0356317	0.0248442	0.0329974	0.0158321	0.00916971	0.0146368	0.0111079	0.0129507	0.0104822	0.0103739	0.0149449	0.0224137	0.0358188	0.0262684	0.0137493	0.0112918	0.00807884	0.00585167	0.00915539	0.0075687	0.00738065	0.00681885	0.00643858	0.00562393	0.00454234	0.004858	0.00481061	0.00461174	0.00749168	0.00879637	0.0252438
mbochis	0.00386365	0.00778453	0.0112486	0.0079307	0.00797914	0.0159565	0.0216551	0.0321642	0.046223	0.123809	0.117121	0.0606051	0.118268	0.115442	0.0552862	0.0305352	0.0403834	0.0224787	0.0290223	0.0191158	0.0166372	0.0220927	0.0125759	0.00521691	0.00551179	0.00494071	0.00229978	0.00247959	0.00191932	0.00193529	0.00284599	0.00155553	0.00178644	0.00215935	0.00189726	0.00301717	0.00235593	0.00221522	0.00479735	0.00550421	0.00526275	0.00412259
de	0.0308897	0.0214764	0.0128387	0.00573622	0.00779316	0.0234734	0.0182478	0.0175585	0.0109714	0.0118967	0.0124795	0.0171229	0.00586533	0.0266193	0.024724	0.0155882	0.0398377	0.0111546	0.0117902	0.014712	0.0156078	0.0193464	0.0200693	0.0198631	0.028319	0.0455327	0.0335584	0.0347538	0.0150498	0.0201423	0.0126547	0.0099436	0.015698	0.0144496	0.0222259	0.0326598	0.0343044	0.0445346	0.0319799	0.0543529	0.0688833	0.0652947
boundji	0.0300469	0.00954462	0.00503402	0.00284749	0.00190302	0.00430282	0.00460533	0.00343587	0.00241227	0.00292994	0.0034408	0.00723041	0.0036622	0.00829206	0.0108851	0.007858	0.0138602	0.00861227	0.00814952	0.0111687	0.0112212	0.0146161	0.0378901	0.0314916	0.0145349	0.0151576	0.0153323	0.0130116	0.00908665	0.0175678	0.0272249	0.0414175	0.0682263	0.0530907	0.0548099	0.0617068	0.057225	0.057428	0.061373	0.0500062	0.0872014	0.0501589
ne	0.0399553	0.0140675	0.0102635	0.00798414	0.00598052	0.007175	0.00666303	0.00612867	0.00366567	0.00502398	0.00616434	0.0101401	0.00362156	0.00944606	0.00736933	0.0104978	0.0202872	0.0166285	0.0290611	0.0371778	0.0359113	0.0815847	0.0960302	0.097437	0.0458553	0.037785	0.0347353	0.0286597	0.0111545	0.0206376	0.0118151	0.00845455	0.0196644	0.0250695	0.0314266	0.0212149	0.0214891	0.0144494	0.0177826	0.0277469	0.0231593	0.030636
connaissent	0.0464119	0.0227509	0.0188395	0.0163184	0.0123667	0.0111159	0.00690573	0.0149422	0.00637218	0.0131381	0.0103639	0.00766592	0.00382518	0.0037891	0.00451066	0.00781416	0.0061161	0.00903373	0.00654403	0.0108204	0.0084106	0.0103372	0.00589724	0.00959804	0.0134493	0.0184987	0.0161593	0.0190246	0.0104802	0.0190433	0.0454483	0.0384499	0.0527722	0.0631583	0.0681224	0.0433166	0.0716915	0.0541861	0.050059	0.0530196	0.0485771	0.0406561
pas	0.0273545	0.0318312	0.0262605	0.0303647	0.0228987	0.0186392	0.010559	0.0144724	0.0122529	0.00997251	0.0109543	0.00922148	0.00491266	0.00714456	0.00540366	0.0121485	0.00949742	0.00658708	0.0053958	0.00624982	0.00603377	0.0104028	0.011222	0.0166398	0.0173704	0.0194456	0.0240859	0.0324259	0.0234019	0.0291238	0.0272219	0.0424957	0.0494382	0.0440149	0.046461	0.0385129	0.0591154	0.0441057	0.0352509	0.0464363	0.0441833	0.0504914
la	0.0349363	0.0271902	0.0283292	0.0204535	0.02269	0.0229581	0.00887369	0.00987139	0.0096084	0.00691611	0.00858448	0.00634989	0.0054592	0.0120899	0.0170812	0.0188536	0.0193171	0.0151185	0.0101645	0.0110828	0.0105324	0.0133056	0.0180254	0.0250722	0.0308345	0.0343759	0.0395247	0.0463437	0.0369939	0.0309279	0.0353322	0.0516102	0.0551897	0.0386867	0.0296703	0.0283669	0.0319434	0.0271273	0.0232464	0.0223133	0.0261166	0.0285327
poterie	0.0443748	0.0322073	0.0207313	0.0228445	0.0183733	0.00912916	0.00591698	0.00955939	0.00673078	0.014765	0.0247602	0.0128125	0.0092049	0.0108556	0.00491694	0.00774038	0.00510165	0.00315691	0.00637125	0.0053969	0.0058827	0.0165645	0.0153094	0.0169053	0.0140531	0.00837217	0.00986045	0.010371	0.00771818	0.0112712	0.0183246	0.021191	0.0375388	0.0818288	0.0570054	0.0527561	0.0526556	0.0366789	0.0724653	0.0625153	0.0675812	0.0482012
</S>	0.0931473	0.0909991	0.0628793	0.0416996	0.0414962	0.00917659	0.0121179	0.00764272	0.00713599	0.00273121	0.00484917	0.00579451	0.00340983	0.0140317	0.010127	0.0144364	0.00830579	0.00871898	0.00630394	0.00637143	0.00559867	0.00448064	0.00435077	0.00408939	0.00477809	0.00583341	0.0054197	0.00634976	0.00345692	0.0104652	0.0216525	0.0164888	0.0222845	0.0368921	0.0395504	0.0283431	0.0478221	0.0420166	0.0372928	0.0350297	0.0419656	0.124464
