 	a87	a30	a53	a90	a92	a61	a21	a85	a5	a18	a38	a90	a93	a13	a99	a87	a23	a87	a10	a30	a53	a20	a44	a54	a47	a5	a27	a11	a21	a85	a98	a25	a15	a47	a37	a98	a69	a57	a40	a75	a6	a43	a11	a75	a92	a85	a6	a26	a40	a54	a47	a36	a2	a57	a87	a23	a87	a97	a99	a3	a97	a3	</S>
il	0.0124238	0.0135034	0.0167257	0.0330763	0.0328349	0.0153018	0.0246069	0.0220991	0.0160113	0.0140942	0.012092	0.0151645	0.012563	0.0146564	0.0163249	0.0170086	0.0209467	0.0270371	0.0312055	0.0254289	0.0174845	0.0175272	0.0228571	0.0177703	0.0370764	0.0512277	0.0269731	0.0347397	0.0443603	0.0196907	0.0239223	0.0119219	0.0142508	0.0155372	0.00710266	0.00862901	0.00852727	0.00650546	0.00484548	0.00629515	0.00558763	0.0111818	0.00758776	0.00880991	0.00875644	0.00593838	0.00835209	0.0143322	0.0122236	0.00834121	0.00786766	0.0104075	0.00988068	0.0148777	0.018177	0.00912848	0.00306507	0.00348158	0.00472649	0.00877578	0.0102114	0.010105	0.00783528
se	0.0100218	0.0108951	0.00463619	0.00628795	0.012138	0.0116813	0.0189433	0.0162479	0.0184009	0.0182722	0.010022	0.0096669	0.00857773	0.00700771	0.0101288	0.0114731	0.0165389	0.017561	0.0106667	0.0115427	0.0364108	0.0306912	0.035259	0.0251001	0.0347331	0.0170226	0.0294874	0.0235316	0.0273501	0.0250391	0.0297059	0.0301616	0.0283974	0.0279067	0.0169712	0.0209015	0.0182504	0.0178757	0.0191833	0.0129168	0.0333213	0.0292049	0.0243327	0.0123833	0.0121973	0.00869201	0.00680136	0.0118142	0.0108445	0.019713	0.015542	0.00884051	0.00745404	0.00404492	0.00363005	0.00300379	0.00489108	0.00461949	0.00507378	0.00672772	0.0059145	0.00869112	0.00465635
renferme	0.00813459	0.00539254	0.00573622	0.00419922	0.00306635	0.00312292	0.00422441	0.00414334	0.00746659	0.00943611	0.0125365	0.00839469	0.00657998	0.00363623	0.00567447	0.00659678	0.0053151	0.00467736	0.00405775	0.00623713	0.010361	0.0207369	0.0599526	0.0605809	0.0350421	0.0334934	0.0583882	0.0279423	0.0217511	0.0274348	0.0239567	0.0325976	0.0193287	0.0234031	0.0246035	0.0277236	0.0304269	0.0274374	0.0408659	0.0298257	0.0347735	0.0247035	0.0243339	0.00781387	0.00377941	0.00407511	0.00376989	0.00330875	0.00270996	0.00489898	0.00423024	0.00342503	0.00125441	0.00182581	0.0024129	0.00292445	0.00847037	0.0131282	0.0131817	0.0168498	0.0166488	0.0224816	0.0245192
sur	0.0705269	0.0416831	0.0205601	0.00886899	0.00713848	0.0118515	0.00734644	0.00977718	0.017613	0.0123454	0.0325757	0.0255596	0.0339573	0.0411984	0.0414875	0.0370799	0.023601	0.0308441	0.0261706	0.0291394	0.0237844	0.0148835	0.00586524	0.0131886	0.0129415	0.0055336	0.00835446	0.0104182	0.0106546	0.0108	0.0121069	0.00985205	0.0096133	0.0108874	0.0118614	0.0102083	0.0124342	0.0103155	0.00633412	0.00603787	0.00655664	0.00360823	0.00394015	0.00504741	0.00603684	0.00639108	0.00678672	0.00639906	0.00497793	0.00400267	0.00308867	0.0115551	0.00602908	0.00573677	0.00899904	0.0101757	0.0162941	0.027939	0.0220574	0.0206121	0.0194594	0.0231771	0.0257299
soi-même	0.0636627	0.0408614	0.0278055	0.0177983	0.0170159	0.0108818	0.0113392	0.0112897	0.0210247	0.0185102	0.0256802	0.0282399	0.0301906	0.0453081	0.0310082	0.0273569	0.0235199	0.0305386	0.0293065	0.0287248	0.0114849	0.00734251	0.00564695	0.00660346	0.00392815	0.00481059	0.00367566	0.00639048	0.00887108	0.0089904	0.00770108	0.00937183	0.0106195	0.0092621	0.0155044	0.0192923	0.019011	0.0200663	0.0285935	0.0216743	0.0216861	0.0133853	0.00966891	0.0110521	0.0113827	0.0119043	0.0117405	0.0118106	0.0102448	0.00753516	0.0120389	0.0108983	0.00445825	0.00235122	0.00359784	0.00686775	0.00804352	0.0130301	0.00823772	0.00680652	0.00935946	0.0150988	0.00989731
quand	0.0160533	0.012076	0.0077702	0.00925216	0.00780707	0.00721586	0.00672108	0.0137746	0.00924287	0.0150196	0.0121769	0.0243355	0.0200739	0.029736	0.0157982	0.0195041	0.0164426	0.040438	0.0165357	0.00592967	0.00655954	0.00580682	0.00887965	0.0191087	0.017089	0.0143662	0.0122992	0.0206289	0.0263203	0.0317304	0.04175	0.0333699	0.0435718	0.0593038	0.0377261	0.0301777	0.0295417	0.0275469	0.0186826	0.0146754	0.00846036	0.00671234	0.00501262	0.00501724	0.00449094	0.00352197	0.00291701	0.00605401	0.00845047	0.0122395	0.0161316	0.0137646	0.0101474	0.00491618	0.00769964	0.0137619	0.00736918	0.0149379	0.00751597	0.0109524	0.0101332	0.00863328	0.00612231
on	0.0185022	0.0133091	0.00938777	0.00725065	0.00953214	0.00882087	0.00826846	0.0105347	0.0101325	0.0119335	0.0121349	0.0121785	0.0121816	0.0197897	0.0142836	0.0259495	0.016212	0.0254837	0.0171665	0.00933446	0.00816087	0.00701685	0.0126625	0.0203154	0.0165341	0.012789	0.0174884	0.0187939	0.0194526	0.0250037	0.0284662	0.0332207	0.0218032	0.0296676	0.0304926	0.026226	0.0301958	0.0337261	0.0303514	0.0210096	0.0135137	0.0112483	0.00728112	0.0058967	0.0102004	0.00955271	0.00631322	0.00630368	0.0112041	0.0174688	0.0120339	0.0108977	0.0095588	0.0135465	0.0189414	0.0229277	0.0188852	0.0155041	0.0111164	0.0137119	0.0114363	0.0133885	0.013306
lui	0.0471604	0.026057	0.0162287	0.00965512	0.0101182	0.0077479	0.00889878	0.0115883	0.0140308	0.0201279	0.0213526	0.0161372	0.0176782	0.0225927	0.0166669	0.0235086	0.0194832	0.0216291	0.0181784	0.00792084	0.00938615	0.00769422	0.00521522	0.00457284	0.00476049	0.00359226	0.00355094	0.00796203	0.0103478	0.0155524	0.0137554	0.0178773	0.00928965	0.0153352	0.0136926	0.0150357	0.0102875	0.0140059	0.0135624	0.010671	0.00755614	0.00744307	0.00484365	0.00356263	0.00471711	0.00426891	0.00562729	0.0125681	0.0147177	0.0218706	0.0103681	0.0180244	0.0122952	0.0198551	0.0269392	0.0282904	0.0358106	0.0398942	0.0327717	0.0347258	0.0339551	0.037137	0.0198503
parle	0.0466641	0.0324493	0.0273412	0.0160486	0.016556	0.0149326	0.00995882	0.00892144	0.0143487	0.0168264	0.0151035	0.00753422	0.00870099	0.0111989	0.0116368	0.0112625	0.0112953	0.0113403	0.0129111	0.00962763	0.0140646	0.0122169	0.00553718	0.00645424	0.00934898	0.00811092	0.00503828	0.0108245	0.0117245	0.0142462	0.0168883	0.0157695	0.0171042	0.016007	0.0146032	0.0141267	0.0111885	0.014398	0.0102736	0.00847129	0.0101252	0.00867371	0.0064661	0.00640002	0.010896	0.00852815	0.00838179	0.0106542	0.0130914	0.0108938	0.00882037	0.0104854	0.00871568	0.0109986	0.0264783	0.0166892	0.0153427	0.0210953	0.0261057	0.0392726	0.0537632	0.0628432	0.0542244
il	0.0135022	0.0126328	0.0182006	0.0151392	0.0165113	0.0327591	0.0152075	0.0108984	0.0143777	0.01913	0.0101545	0.0059902	0.00764598	0.00924243	0.0116389	0.00933835	0.00721937	0.00847297	0.00642256	0.00808351	0.00823957	0.0105936	0.00923033	0.010066	0.00854319	0.0144109	0.00921998	0.0165394	0.0194509	0.0264059	0.0365052	0.0245665	0.029288	0.0256066	0.0276517	0.0232218	0.0231931	0.0262581	0.0225118	0.018799	0.0196188	0.0206516	0.0152301	0.0137714	0.0185615	0.0115571	0.00786362	0.0112418	0.00726712	0.00915559	0.00477859	0.00610549	0.00820717	0.00522637	0.011971	0.00816841	0.0126814	0.0220485	0.0171206	0.0200561	0.0291134	0.0329544	0.0437809
