 	a66	a87	a23	a30	a70	a61	a62	a93	a90	a69	a20	a40	a47	a7	a34	a21	a5	a37	a98	a92	a21	a61	a43	a0	a94	a56	a6	a36	a2	a84	a57	a87	a23	a40	a79	a44	a15	a98	a85	a92	a44	a93	a44	a93	a70	a13	a9	a10	a87	a23	a99	a97	</S>
cette	0.0509996	0.0730588	0.0465533	0.057347	0.0203428	0.0268344	0.00864452	0.0121214	0.0375042	0.0266774	0.0291249	0.0164868	0.0179915	0.0169205	0.0232969	0.0171433	0.0160882	0.0108201	0.0161848	0.0167758	0.0163576	0.0142962	0.023129	0.0233673	0.0123151	0.0145916	0.0201993	0.0259681	0.0320717	0.0182751	0.0134123	0.0123759	0.00815138	0.00388037	0.00777016	0.00588522	0.00446988	0.00790928	0.00857329	0.0113493	0.00981008	0.0110629	0.0113328	0.0178671	0.0120414	0.0135436	0.0240463	0.0153712	0.00996215	0.0093282	0.00998292	0.00870059	0.0216869
femme-ci	0.0030035	0.00986944	0.00238521	0.00479129	0.0152525	0.01481	0.0239446	0.0509785	0.0698511	0.141748	0.137934	0.104342	0.0468863	0.0250412	0.033901	0.0366147	0.0240653	0.039811	0.0194956	0.0283953	0.013275	0.00905719	0.00414896	0.00742931	0.00543963	0.00436718	0.00377526	0.00226137	0.00407015	0.00310127	0.00403186	0.00563931	0.00732587	0.00435165	0.0099825	0.0112447	0.00871851	0.00631301	0.00849931	0.00642793	0.00593856	0.00767213	0.00500206	0.00314511	0.00161641	0.000958078	0.00114758	0.00132295	0.00177539	0.00217529	0.00173892	0.00231759	0.00260955
ne	0.0123181	0.0127869	0.00772528	0.00728181	0.0111547	0.021261	0.0363263	0.0456163	0.0204222	0.0354493	0.0191304	0.0288441	0.0278439	0.0263036	0.0393358	0.0436974	0.0304617	0.0350947	0.0320615	0.0587472	0.0401258	0.0312071	0.0192456	0.0495693	0.0398731	0.0286125	0.034583	0.0138285	0.0307121	0.0332234	0.00544266	0.00769569	0.0070496	0.00531929	0.00651282	0.00352575	0.00321453	0.00194611	0.0016848	0.0013196	0.00100113	0.00113057	0.000940908	0.00141039	0.003043	0.00565228	0.00374903	0.00568799	0.00907524	0.0109474	0.00938035	0.0177323	0.0136962
jouit	0.0406604	0.0155147	0.0173381	0.00849087	0.0106483	0.00482576	0.00543303	0.00508952	0.00927468	0.00984818	0.00923587	0.0119448	0.0127774	0.0114578	0.0216554	0.0146096	0.0156784	0.0201936	0.0251098	0.0277341	0.0382629	0.0315674	0.0236829	0.0383019	0.0375784	0.0368066	0.0235843	0.0163957	0.0153848	0.0199943	0.0345642	0.0319349	0.0239496	0.018012	0.018063	0.0183835	0.0222575	0.00972942	0.0168723	0.00587281	0.00723535	0.00640246	0.00608886	0.00819278	0.00404701	0.0227796	0.0259666	0.0267828	0.0258648	0.0204216	0.0217566	0.0198393	0.0259034
plus	0.0321591	0.0316936	0.0319394	0.0299066	0.0173207	0.022121	0.0275381	0.0264725	0.0210774	0.0149677	0.0133796	0.0192781	0.0127793	0.014352	0.020178	0.0191218	0.0249109	0.0213232	0.0194	0.0179841	0.0184104	0.0246653	0.0220917	0.0306819	0.0378284	0.0386934	0.0315961	0.0262917	0.0219506	0.024839	0.0196723	0.0241789	0.022315	0.0154801	0.0103066	0.0120801	0.0201723	0.0228837	0.0244712	0.0158721	0.0103093	0.0156062	0.00477578	0.00743909	0.00463888	0.00450795	0.00345996	0.00437401	0.0044639	0.00722	0.00632004	0.0104125	0.0140881
d'	0.0146752	0.00900045	0.00916387	0.0091717	0.004223	0.00647921	0.00689106	0.00923865	0.011722	0.00989339	0.0160203	0.0212877	0.0277406	0.0341996	0.0267941	0.0390618	0.0491907	0.0454443	0.0414433	0.0339043	0.0495722	0.0510088	0.0661659	0.0311801	0.0394695	0.0330347	0.0323643	0.0270942	0.0167143	0.0136894	0.017624	0.0187067	0.0179455	0.00825384	0.00606075	0.00585636	0.00839581	0.00756321	0.00768388	0.00417582	0.00683709	0.0102998	0.00514777	0.0159684	0.0125482	0.0142476	0.00932642	0.00813395	0.00596672	0.00600589	0.00441305	0.00464475	0.00835571
une	0.0134545	0.00660162	0.00711606	0.00690863	0.00411016	0.00326523	0.00325684	0.00327579	0.00497258	0.00357023	0.00523416	0.00977612	0.0171666	0.0180336	0.015397	0.0193079	0.0244983	0.026554	0.0261644	0.0254277	0.0508718	0.0565366	0.0589181	0.0507354	0.0572226	0.060245	0.0444087	0.0377974	0.0185007	0.0244674	0.0273309	0.0234425	0.0161744	0.00885273	0.00882844	0.00845688	0.00978402	0.00914213	0.00828374	0.00593864	0.00789641	0.0126641	0.0050289	0.0174708	0.0128674	0.0232105	0.0146743	0.0166921	0.0140009	0.0145492	0.00934257	0.00888324	0.0126901
bonne	0.0195935	0.00541552	0.00327559	0.00275632	0.00188994	0.00139673	0.00453366	0.00422843	0.00466283	0.00533655	0.00792004	0.0162107	0.0297643	0.0320404	0.0305384	0.0310291	0.0457415	0.0479022	0.0423382	0.0406235	0.0918135	0.0811735	0.0529753	0.0489372	0.0352764	0.0237073	0.022559	0.0196976	0.0113458	0.0168827	0.0143371	0.0167824	0.0188837	0.0161254	0.0150555	0.0100675	0.00973473	0.00780749	0.00858768	0.00718183	0.00450727	0.00561527	0.0021177	0.0071963	0.00513192	0.012185	0.00796365	0.00660432	0.0100596	0.00951186	0.008681	0.00769877	0.0065984
santé	0.0334382	0.0109452	0.0118391	0.00680703	0.00737003	0.00416161	0.00356591	0.00408987	0.00571913	0.00851375	0.0109061	0.0217507	0.0275492	0.0210001	0.0122905	0.0196088	0.0321537	0.0329397	0.0322738	0.0304831	0.0453725	0.0568871	0.0568342	0.0300547	0.0232231	0.0182233	0.0122105	0.0165349	0.00785179	0.0171138	0.0232203	0.0251751	0.0289836	0.022839	0.0164048	0.0149454	0.0136684	0.0103664	0.0138744	0.0111368	0.00688325	0.0129559	0.00600227	0.0120718	0.00557821	0.0129075	0.0137062	0.0166849	0.0323168	0.0269008	0.0238663	0.0186087	0.00919158
depuis	0.028815	0.0206655	0.0192117	0.021253	0.0126204	0.00762468	0.00567924	0.00650865	0.0170359	0.0141607	0.0169771	0.0358464	0.0286958	0.0287998	0.0198599	0.0253185	0.0434344	0.0307029	0.0348419	0.0368253	0.0419103	0.0442459	0.0508528	0.04195	0.0405268	0.0325839	0.0247786	0.0274169	0.0134882	0.01624	0.0226631	0.016495	0.0195621	0.00567081	0.00636625	0.00517855	0.00381836	0.00303091	0.00289813	0.00212164	0.00119935	0.00408987	0.00362051	0.00494264	0.00371883	0.00587845	0.00526876	0.00713278	0.0189397	0.0183588	0.0139602	0.0157917	0.0204234
