 	a23	a87	a23	a97	a30	a20	a73	a94	a20	a73	a56	a61	a24	a61	a75	a14	a30	a2	a20	a76	a94	a32	a98	a41	a37	a62	a24	a32	a90	a4	a13	a38	a53	a90	a4	a57	a82	a3	a87	</S>
il	0.0161112	0.015197	0.0194326	0.0233979	0.0120948	0.0216771	0.0366378	0.0290564	0.0577578	0.0331002	0.0249974	0.0594194	0.0240093	0.018	0.0861799	0.107622	0.0397952	0.0237472	0.0180483	0.0184088	0.0134751	0.00694093	0.0052671	0.00736244	0.00882445	0.00831139	0.0068353	0.00655249	0.00613787	0.00422631	0.00693283	0.0167823	0.00977125	0.0117027	0.00697533	0.017784	0.0262626	0.0424515	0.0417355	0.0609781
appuie	0.0031637	0.00277083	0.00295823	0.00382199	0.0053415	0.00541138	0.00622748	0.0110439	0.0135776	0.0174334	0.0225858	0.0232405	0.0295057	0.0193414	0.0235545	0.0143675	0.0192407	0.0393188	0.0549514	0.0822358	0.0927643	0.0622197	0.0256152	0.0286516	0.0107271	0.0144502	0.0116178	0.0139548	0.0165221	0.0227746	0.0345588	0.029487	0.0180825	0.0267757	0.0258801	0.0324205	0.0396112	0.0443855	0.0316557	0.0177534
son	0.0303537	0.0326746	0.0346679	0.0381638	0.0243344	0.0286378	0.0174012	0.0137178	0.0144747	0.015759	0.0199488	0.0287616	0.0192103	0.021947	0.0238637	0.0264821	0.023425	0.0215208	0.0181276	0.0164148	0.0196779	0.0109688	0.00778488	0.00449152	0.00490984	0.00509206	0.00519359	0.00715166	0.00923816	0.0106771	0.0212485	0.039624	0.0691024	0.0535987	0.0676199	0.038494	0.0242759	0.0355917	0.0418192	0.0535536
doigt	0.0617154	0.0425889	0.0294845	0.0367235	0.0321553	0.0251132	0.0228279	0.034304	0.0295771	0.0336437	0.0512733	0.0284652	0.03901	0.023675	0.0198838	0.0161293	0.0128732	0.00900419	0.00603567	0.00780516	0.00731121	0.00936177	0.0141061	0.0238053	0.0284462	0.0300457	0.0368518	0.0430921	0.043403	0.0489703	0.0390222	0.0248593	0.0190802	0.0169063	0.0142208	0.00818124	0.00630795	0.0056438	0.00399253	0.0141037
dans	0.0512911	0.0459036	0.0364301	0.0275962	0.039389	0.0257472	0.0265798	0.0336869	0.0284609	0.018241	0.0415297	0.0481522	0.0341852	0.0267154	0.0206841	0.0130929	0.0142511	0.00703872	0.00653227	0.0087839	0.00590903	0.00932515	0.0122074	0.0330566	0.0335452	0.0242127	0.0444982	0.0221582	0.0189545	0.0135778	0.00641588	0.00498482	0.00797127	0.0164918	0.0146827	0.0230824	0.0209188	0.020155	0.0326883	0.0808728
la	0.0664667	0.0612428	0.0412281	0.0288765	0.0245556	0.00797627	0.00812487	0.00558134	0.00456829	0.0059822	0.0105683	0.0118346	0.0142101	0.00811354	0.00821713	0.00931776	0.0118803	0.0116998	0.0073546	0.0072293	0.00605871	0.00749212	0.0072597	0.0107713	0.00713175	0.00634648	0.0108331	0.0100073	0.019772	0.0195098	0.013212	0.0156987	0.0331678	0.0348001	0.027865	0.0331682	0.0552288	0.13208	0.080387	0.114182
pâte	0.0470221	0.0629444	0.0211273	0.0125104	0.0109066	0.00582691	0.00652341	0.00366901	0.00462931	0.00672974	0.00691136	0.0137501	0.0278283	0.0310776	0.014528	0.0177555	0.0255294	0.0293855	0.0136049	0.0169215	0.0114925	0.0137075	0.012279	0.0161829	0.0250944	0.0237419	0.0254624	0.0326526	0.0354964	0.0351849	0.0234786	0.0189104	0.0242351	0.031501	0.0191146	0.0384732	0.0637661	0.0662442	0.0813858	0.022415
de	0.0212771	0.0242027	0.016479	0.00995857	0.00843028	0.0100386	0.00825001	0.00781403	0.0101554	0.00803145	0.0095932	0.0268887	0.0199638	0.0144515	0.0341362	0.0470478	0.0566233	0.0336729	0.0195895	0.0450397	0.0240449	0.0131246	0.0094715	0.0420881	0.0238087	0.0159353	0.0230131	0.00862745	0.00825785	0.00609929	0.00231088	0.0049047	0.0077848	0.0187392	0.0166935	0.0330895	0.0696793	0.0447009	0.109177	0.0868055
manioc	0.0287927	0.0314485	0.0110968	0.00671099	0.00473398	0.00260468	0.00171582	0.00101247	0.00169988	0.0023038	0.00159336	0.00701189	0.00479229	0.00562472	0.00384625	0.0059318	0.00734714	0.0070349	0.00242315	0.00638354	0.00761985	0.0113948	0.0116735	0.0257367	0.0203614	0.0264127	0.0210595	0.0259313	0.0351028	0.0422824	0.0367096	0.0375958	0.0433568	0.0715609	0.0623387	0.0901757	0.0838239	0.046942	0.101664	0.0541489
</S>	0.0210728	0.0141705	0.00880293	0.00564157	0.00569893	0.00308748	0.00258118	0.00180768	0.00292579	0.00325742	0.0037685	0.00674465	0.00529367	0.00597749	0.00417466	0.00408535	0.00453134	0.00441387	0.00364135	0.00641865	0.00554697	0.00683258	0.00601868	0.0136061	0.0101922	0.00942505	0.011167	0.00953987	0.0148441	0.0181754	0.0248864	0.0333619	0.0332899	0.0443451	0.0415893	0.085432	0.0928677	0.0889856	0.149957	0.181841
