 	a66	a87	a23	a66	a57	a53	a93	a56	a93	a4	a11	a50	a83	a90	a56	a90	a69	a58	a98	a85	a92	a37	a26	a82	a87	a23	a87	a97	</S>
le	0.0326424	0.0397227	0.041811	0.0352687	0.0159771	0.0190042	0.0201005	0.0165784	0.0106705	0.0093223	0.00875332	0.00940716	0.0120504	0.0141671	0.017129	0.0168808	0.0192144	0.0132353	0.0304111	0.0686965	0.083919	0.0750948	0.0557568	0.0489472	0.047148	0.0399683	0.0684659	0.0522927	0.0773644
piège	0.00130484	0.00566097	0.0115389	0.0355084	0.0494478	0.0368662	0.0318545	0.0997734	0.14283	0.0779132	0.0811677	0.0930124	0.0523708	0.0426663	0.0450789	0.0300611	0.0465473	0.0441826	0.0341116	0.0113035	0.00817038	0.00490016	0.00282588	0.00260218	0.00125452	0.00113631	0.00152233	0.00190407	0.00248405
a	0.0303183	0.0434621	0.0525524	0.0407506	0.0431169	0.0546186	0.0467746	0.05101	0.021001	0.0316375	0.0477456	0.0428538	0.0361381	0.02285	0.0308822	0.0251971	0.0303474	0.0161257	0.0485322	0.0367888	0.0608238	0.0498228	0.0226777	0.0427456	0.0195667	0.0194792	0.0131845	0.0134742	0.0055225
pris	0.0228633	0.00904714	0.00703754	0.00536547	0.00763591	0.0133274	0.0247357	0.0214289	0.0375401	0.0837487	0.204547	0.174774	0.108154	0.050826	0.017375	0.0146642	0.0187646	0.0172191	0.0235422	0.0144831	0.0110915	0.0120569	0.00928065	0.0132144	0.0143023	0.0127605	0.0134534	0.0171707	0.0195903
le	0.119179	0.0405436	0.0164492	0.0173052	0.0222322	0.0539534	0.0464331	0.0249124	0.0276517	0.0431136	0.0464975	0.0521028	0.0705952	0.0323982	0.0345797	0.0113361	0.0119068	0.0143452	0.018185	0.0209611	0.0246805	0.0255213	0.0205102	0.0254629	0.0281982	0.0285716	0.0289799	0.0350777	0.058317
cabri	0.0671577	0.0585142	0.0409025	0.0398275	0.0536854	0.126478	0.0832377	0.0627981	0.0205208	0.0177797	0.021606	0.0141522	0.0346149	0.0256775	0.0307584	0.014789	0.0162524	0.00964096	0.0232668	0.0158029	0.0188104	0.0218706	0.0150757	0.0205875	0.016592	0.0202159	0.0249188	0.0185327	0.0659345
par	0.0463949	0.0221793	0.0181431	0.0139769	0.0156407	0.02932	0.0283597	0.0178431	0.00916297	0.00385698	0.0045483	0.00259765	0.00729357	0.0118693	0.00979004	0.00783953	0.0133379	0.0155488	0.0283664	0.0449859	0.0637585	0.0577553	0.0636206	0.0530642	0.0509144	0.072166	0.0970855	0.0685345	0.122046
le	0.0675991	0.0367738	0.0298806	0.0253567	0.0291628	0.0327874	0.0295567	0.0274588	0.017487	0.0131954	0.00846295	0.00516732	0.00732817	0.00823717	0.00683434	0.00919517	0.0144348	0.0139518	0.0195088	0.038313	0.0483161	0.0501183	0.0657877	0.0542086	0.0473906	0.0718042	0.0720769	0.0516557	0.0979502
sabot	0.0219217	0.0133244	0.0138795	0.00351046	0.00474869	0.0108603	0.0116687	0.0089824	0.0104672	0.0129673	0.0148087	0.0153346	0.0137204	0.0203318	0.0263167	0.0289477	0.0289438	0.0186484	0.0186803	0.0334232	0.0429328	0.0466219	0.0840982	0.0421652	0.071866	0.0941556	0.104676	0.0853338	0.0966642
</S>	0.0203797	0.0189163	0.0148865	0.00608382	0.00472713	0.0069295	0.00591714	0.00371768	0.00216294	0.00182878	0.00190992	0.00200794	0.00417814	0.00494186	0.0054845	0.00845728	0.0156213	0.0128413	0.0253456	0.0612209	0.0735357	0.0731303	0.0832359	0.0558822	0.0680238	0.0761086	0.0993976	0.0785075	0.16462
