 	a66	a87	a23	a40	a44	a66	a62	a21	a66	a75	a47	a98	a71	a40	a93	a34	a62	a18	a82	a57	a40	a37	a90	a98	a92	a34	a93	a90	a56	a93	a70	a13	a9	a82	a10	a87	a23	a87	</S>
les	0.0581993	0.0549769	0.0432016	0.0270642	0.0426469	0.0774674	0.0607884	0.0881237	0.0354459	0.0397383	0.0221946	0.0173768	0.00991373	0.0163525	0.00850562	0.0118304	0.0131333	0.00865837	0.0106419	0.0159463	0.0501471	0.0420138	0.0420794	0.0438432	0.0142753	0.022233	0.0138531	0.0203558	0.0164297	0.0115515	0.007419	0.00915944	0.00591747	0.00504487	0.00583965	0.00496941	0.00657251	0.0057635	0.010326
membres	0.00741546	0.00922019	0.0129292	0.0269042	0.0244259	0.0377256	0.0681877	0.128241	0.0819127	0.0470992	0.076653	0.0819465	0.0738881	0.0582413	0.0521471	0.0400371	0.021839	0.0326365	0.0185867	0.0126523	0.0081029	0.00887898	0.00794587	0.00572131	0.00334814	0.00432713	0.00557781	0.00848879	0.00494104	0.00188185	0.00161192	0.00130001	0.00208004	0.00262959	0.00196173	0.00334436	0.00482814	0.0045366	0.00580491
de	0.0357368	0.0282896	0.0246018	0.0336266	0.0398843	0.0338746	0.0355398	0.044282	0.0280785	0.0320963	0.0318132	0.0352562	0.0366045	0.0492252	0.0239805	0.0317544	0.0456645	0.0410416	0.0245509	0.0283315	0.0229487	0.0247407	0.019348	0.0184459	0.012969	0.0109546	0.00645848	0.00748452	0.00808661	0.00969562	0.015546	0.0184815	0.0120914	0.0162455	0.0195424	0.0145363	0.014369	0.0282014	0.0356213
son	0.0222981	0.00859411	0.00381476	0.00789361	0.00689329	0.00880142	0.00946136	0.0189865	0.0186613	0.0211041	0.03807	0.0376863	0.0328231	0.0478468	0.0463222	0.04329	0.0387523	0.0473487	0.037534	0.0233777	0.0177428	0.0288213	0.0209979	0.0396793	0.0151899	0.0182417	0.0147798	0.0201211	0.0284193	0.016689	0.0305814	0.0264241	0.037736	0.0278181	0.0290029	0.032133	0.0192347	0.0289897	0.0278386
association	0.0184785	0.00704101	0.00731792	0.0114461	0.0110788	0.0180401	0.0138731	0.0119803	0.0190645	0.0247361	0.0445816	0.0549125	0.0574706	0.0732242	0.0830974	0.071632	0.0641166	0.0637606	0.0603949	0.0427027	0.0306464	0.0480771	0.0267219	0.0386633	0.0151356	0.0170433	0.00771693	0.0107268	0.0118122	0.00174105	0.00444855	0.00366562	0.00316873	0.00230035	0.00329195	0.00279541	0.00383302	0.00453427	0.00472782
lui	0.0444503	0.0209785	0.0215732	0.0254774	0.0299661	0.0213568	0.0222334	0.0178009	0.0152558	0.0176069	0.019807	0.0169601	0.0160564	0.0235818	0.021019	0.0270887	0.03259	0.0225655	0.0378186	0.0243728	0.0280302	0.0527117	0.0450279	0.0619857	0.0470022	0.0509955	0.0363281	0.0506029	0.025408	0.0126394	0.0202232	0.0244596	0.012262	0.0043007	0.014201	0.00740203	0.00946481	0.00888285	0.00951303
ont	0.0370884	0.0148862	0.0144155	0.017661	0.0187188	0.0117544	0.00974503	0.00717485	0.0107521	0.0174471	0.0219464	0.0211397	0.024051	0.0336583	0.0307316	0.0412799	0.0447331	0.0396146	0.0335501	0.0265552	0.0209072	0.0236608	0.0314617	0.0280333	0.0252645	0.0252063	0.0222892	0.0224795	0.015426	0.0237916	0.0129098	0.0248285	0.0285935	0.0271426	0.0331776	0.0393411	0.0471207	0.0414479	0.0300147
imposé	0.0538785	0.0259186	0.0255269	0.0320578	0.022718	0.0178946	0.00943289	0.00999511	0.0122296	0.0166989	0.0220346	0.0220404	0.0193647	0.0221936	0.0168677	0.0261541	0.0234996	0.0190647	0.0161296	0.0163446	0.0180022	0.0160892	0.0172454	0.020505	0.00962943	0.0144886	0.0100786	0.0236766	0.0125094	0.0286179	0.0159919	0.0282629	0.0379645	0.0297046	0.0466273	0.0479414	0.0585813	0.0601808	0.0738584
un	0.0646588	0.0458889	0.0483696	0.0448286	0.0246299	0.01788	0.0104607	0.0094473	0.00543102	0.00976143	0.010512	0.00654715	0.0060763	0.00583077	0.00910291	0.0138293	0.0165252	0.0151263	0.0174664	0.0149514	0.021856	0.0237346	0.0172879	0.046663	0.0143212	0.040301	0.0166514	0.0378166	0.0149401	0.0268181	0.0339294	0.0294706	0.0468628	0.023985	0.0460368	0.037145	0.041258	0.0386759	0.0449228
poste	0.0604969	0.0618245	0.0565264	0.0593087	0.0486751	0.0349753	0.0278602	0.0267149	0.0134898	0.0211349	0.0210531	0.0137378	0.0136892	0.0112611	0.0120387	0.0132965	0.0124753	0.0127215	0.011255	0.0126267	0.0190137	0.0186108	0.0144595	0.0273716	0.0143215	0.0269251	0.0194895	0.0221697	0.0173335	0.0211294	0.021558	0.0235604	0.0250721	0.0167993	0.0287	0.0258338	0.0333408	0.0311319	0.0480178
de	0.0744403	0.0530846	0.0439962	0.0476098	0.0134045	0.0228019	0.0176541	0.0257682	0.0165133	0.0189716	0.0198031	0.0198065	0.0174624	0.0139155	0.0164622	0.0176539	0.0188044	0.0176238	0.00855931	0.013671	0.0133945	0.014578	0.00894121	0.0194016	0.0108785	0.0200329	0.0148533	0.0167519	0.013386	0.0204682	0.0275512	0.0271186	0.0324955	0.0367966	0.0458351	0.0476638	0.0408083	0.0290352	0.062003
responsabilité	0.0654834	0.0516417	0.0361292	0.0329744	0.00966908	0.0162247	0.0127011	0.022617	0.0107695	0.0147225	0.0168421	0.0196718	0.0164136	0.0178136	0.020921	0.0208178	0.0180886	0.019783	0.00772393	0.0178908	0.0217685	0.0158879	0.0159887	0.0200673	0.0117386	0.0314311	0.0145475	0.0163129	0.0128275	0.0194632	0.0233906	0.0270208	0.0284411	0.0290522	0.0408321	0.0526001	0.0520419	0.0494358	0.0682529
</S>	0.0426164	0.0295999	0.0259464	0.0187032	0.00523086	0.00506112	0.0035283	0.00599849	0.00475719	0.00797522	0.0102925	0.0114627	0.011694	0.0107811	0.0125429	0.0142151	0.0139641	0.013965	0.00736671	0.014687	0.0195775	0.010083	0.0147258	0.0189081	0.00908999	0.0389985	0.0225069	0.0514719	0.0284478	0.0348056	0.0206837	0.0423083	0.0535841	0.0437313	0.0593114	0.0707778	0.0782524	0.0551983	0.0571496
