 	a66	a87	a23	a40	a36	a2	a5	a96	a75	a6	a36	a47	a5	a12	a96	a18	a71	a38	a50	a62	a88	a62	a12	a5	a18	a27	a53	a69	a44	a58	a82	a87	a23	a87	</S>
mon	0.0558802	0.0979393	0.104744	0.117727	0.0960257	0.0536775	0.0351258	0.0256417	0.0156741	0.0145909	0.0101006	0.0096085	0.0100278	0.00991362	0.0133016	0.0123068	0.012425	0.0132137	0.0144803	0.0112874	0.00789989	0.0098405	0.010708	0.011619	0.0176585	0.0204367	0.0174736	0.0132993	0.0235114	0.0228784	0.0234706	0.0159993	0.0193977	0.01784	0.0342759
père	0.00532049	0.00893154	0.0310918	0.13172	0.134807	0.121882	0.091688	0.0685534	0.0606092	0.0545616	0.0595443	0.0480331	0.0607723	0.0262603	0.0181419	0.0167919	0.00694891	0.00518819	0.00257237	0.0022493	0.00273808	0.00211256	0.00358967	0.00843745	0.00349686	0.00500795	0.00306262	0.00182594	0.00172743	0.00259077	0.000848283	0.00199532	0.00256053	0.00220635	0.00213196
m'	0.0479236	0.0628379	0.0489546	0.0682743	0.0661162	0.0861762	0.0728961	0.0952674	0.0368959	0.038607	0.0261243	0.019847	0.0129878	0.00987306	0.0179084	0.0189293	0.0382552	0.034148	0.0202163	0.0109902	0.007077	0.0067198	0.00448308	0.00517809	0.00472606	0.00968022	0.0200771	0.0173544	0.0109157	0.0185408	0.00875088	0.0131838	0.0135979	0.0210638	0.00542261
a	0.0165791	0.0139749	0.00517842	0.00549863	0.00264338	0.006336	0.0051368	0.012255	0.0145461	0.0262495	0.0437488	0.047102	0.0502851	0.0512551	0.0598995	0.0520276	0.0993322	0.0849257	0.0886316	0.0538835	0.0413557	0.0278526	0.0347995	0.0181903	0.0159784	0.0165449	0.0129421	0.01227	0.009937	0.00984272	0.0144172	0.0104175	0.010704	0.0100684	0.0151909
encouragé	0.0280629	0.0228372	0.00962205	0.0104658	0.0089108	0.0141844	0.014505	0.0207524	0.0238641	0.0388053	0.0464159	0.0342587	0.0291536	0.040375	0.0560423	0.0533364	0.0518393	0.0567887	0.0623215	0.0627915	0.0380855	0.0504705	0.0302633	0.0299472	0.0385423	0.0222042	0.0142561	0.0137392	0.0112115	0.010043	0.0108525	0.00863792	0.0127901	0.0127347	0.010889
à	0.0674697	0.0373176	0.0354902	0.03617	0.0188208	0.022717	0.0211799	0.0635286	0.0376155	0.0381172	0.0346423	0.0178166	0.0154842	0.0263935	0.0260256	0.0231053	0.0325117	0.0215067	0.0247783	0.0312763	0.0171673	0.0150442	0.00999152	0.00800178	0.0135351	0.0189668	0.0249449	0.0268594	0.0307558	0.0323905	0.033235	0.0384878	0.025793	0.0344279	0.0384319
réussir	0.0480263	0.0236408	0.00871717	0.00529151	0.00223388	0.00266663	0.00165649	0.0118662	0.0102987	0.0118891	0.0191789	0.0107373	0.00924943	0.0168055	0.0212277	0.0209456	0.0415441	0.027358	0.0304719	0.0351214	0.0289091	0.032028	0.035119	0.0253119	0.0393569	0.0468079	0.0388365	0.0469082	0.0504331	0.0521497	0.0482207	0.060659	0.0433037	0.0458085	0.0472213
dans	0.071201	0.0428404	0.0205757	0.0127268	0.00654615	0.00630844	0.0048464	0.0234313	0.0250592	0.0194433	0.0200621	0.00959154	0.00768923	0.0122094	0.021631	0.0217242	0.0212837	0.0222538	0.0264001	0.03278	0.0284542	0.0289605	0.0416248	0.0233655	0.0265969	0.0302489	0.0209325	0.0280246	0.0319747	0.0422704	0.0469155	0.0628005	0.0455692	0.0507995	0.0628586
mes	0.0452303	0.0245931	0.0115007	0.00835955	0.00410563	0.00428093	0.00291331	0.00692349	0.00599781	0.00588071	0.00550553	0.00350689	0.00225736	0.00222226	0.00381285	0.00435862	0.00477288	0.00609152	0.00697345	0.0186721	0.0128042	0.0166483	0.0283301	0.0214041	0.0277236	0.05548	0.0483637	0.0628882	0.0616656	0.0804048	0.0644028	0.106772	0.0747134	0.0723301	0.0881101
études	0.0236547	0.0108746	0.00830223	0.0052413	0.00362518	0.00249153	0.00100458	0.00200003	0.00224585	0.00259935	0.00417677	0.00363136	0.00373004	0.0059374	0.00776954	0.00891546	0.00868526	0.0120192	0.0168757	0.0380314	0.0298847	0.0363001	0.0465499	0.0343378	0.0412907	0.0536822	0.0500804	0.0781546	0.0944595	0.0775318	0.0722321	0.0657243	0.0569444	0.0519643	0.0390516
</S>	0.047094	0.0425499	0.0353982	0.0257955	0.0133005	0.0106467	0.00573528	0.0122386	0.0104983	0.0070312	0.0071224	0.00420886	0.00420567	0.00625119	0.00818832	0.00737967	0.00733666	0.0106478	0.0153905	0.0243361	0.0188776	0.0158616	0.0152418	0.0115497	0.0252409	0.0271825	0.0338457	0.0503901	0.0673634	0.0699278	0.0821252	0.0647789	0.0629107	0.059528	0.0898209
