 	a66	a87	a23	a87	a30	a53	a15	a79	a44	a4	a57	a11	a93	a90	a4	a93	a90	a44	a98	a85	a6	a36	a21	a93	a34	a92	a44	a75	a6	a37	a26	a57	a87	a23	a13	a99	a70	a83	a62	a83	a62	a83	a34	a79	a37	a21	a61	a18	a25	a99	a87	a23	a87	</S>
si	0.00517323	0.00672145	0.00703243	0.00776643	0.00865769	0.0055495	0.00834424	0.0160827	0.0150582	0.0449309	0.0505845	0.0244802	0.0386305	0.0572113	0.0668653	0.0751322	0.0743288	0.0663448	0.0526274	0.0526243	0.029904	0.0228428	0.031377	0.0188393	0.0115214	0.00896766	0.0130632	0.00733831	0.0079803	0.0100767	0.00470177	0.00495188	0.00360766	0.00314355	0.00655998	0.00271321	0.003677	0.00506543	0.00412795	0.00159767	0.00225661	0.00303891	0.00555113	0.00838252	0.00782682	0.00958927	0.00883864	0.00862744	0.00852359	0.00806681	0.0080931	0.0093505	0.00893665	0.0167151
tu	0.00447391	0.00651782	0.00619179	0.00822298	0.00799172	0.00717479	0.0150221	0.0141185	0.0629894	0.0240177	0.0326063	0.0285131	0.0192265	0.0145796	0.0171722	0.0114427	0.0136795	0.0213275	0.0168141	0.021178	0.0151809	0.0121998	0.0171662	0.0260823	0.0204001	0.0236468	0.0227302	0.0247321	0.0214007	0.0274276	0.0521761	0.0148209	0.0151404	0.0223589	0.015828	0.0150881	0.0120147	0.00882526	0.00474044	0.00476479	0.00779725	0.00808628	0.0128272	0.0171692	0.0192574	0.0398228	0.0421329	0.0295538	0.017289	0.0224924	0.0209781	0.0148684	0.0121344	0.00560647
ne	0.0239204	0.0173601	0.0184264	0.0130604	0.0145963	0.014116	0.00842861	0.0243305	0.0433146	0.0294453	0.0214468	0.0370279	0.0453586	0.0151101	0.0234171	0.0159338	0.0174981	0.025628	0.0425088	0.046226	0.039538	0.0243224	0.0329363	0.0267644	0.0172419	0.0167478	0.0143259	0.028949	0.0252609	0.0308484	0.0245958	0.0105811	0.00971701	0.0161258	0.0114868	0.0114919	0.0153307	0.00885403	0.00455351	0.00280121	0.00299968	0.00278893	0.00178823	0.00239153	0.0035251	0.00400508	0.00458646	0.00447647	0.00600655	0.0111652	0.0116852	0.0239774	0.0220692	0.0289087
suis	0.0362585	0.0168077	0.0278904	0.0110842	0.013171	0.0106921	0.00528623	0.00531479	0.00472517	0.0130605	0.00945508	0.0062698	0.00569737	0.00662514	0.00660607	0.00776095	0.00518103	0.00639527	0.015118	0.015412	0.0124422	0.0130965	0.0133956	0.0172884	0.0122389	0.0113487	0.0101934	0.0238285	0.00994274	0.0112897	0.0280846	0.018422	0.0270847	0.0194068	0.0199435	0.0121935	0.0199513	0.0137239	0.0166348	0.00965591	0.0152027	0.016043	0.0132452	0.0239448	0.0259273	0.0312205	0.0353941	0.0327487	0.0257499	0.0326872	0.0334004	0.0418906	0.0418366	0.0817318
pas	0.0664903	0.0539812	0.0507834	0.0384073	0.0470611	0.0405774	0.0308485	0.0159635	0.00826435	0.0121826	0.00933431	0.00766413	0.0097559	0.0153351	0.00847044	0.0110558	0.00363154	0.00623843	0.00516944	0.00891708	0.0133567	0.012205	0.0096006	0.0106569	0.0137955	0.0129463	0.00893477	0.0186649	0.0166842	0.015049	0.0131203	0.0112024	0.0139893	0.00976995	0.00929923	0.0132478	0.0110059	0.0113674	0.017465	0.019585	0.034422	0.0283889	0.0127979	0.0154033	0.00699594	0.0144137	0.0140352	0.0155804	0.0124551	0.0282296	0.0213991	0.0210126	0.0304854	0.0323032
les	0.0194954	0.0152344	0.0100548	0.00952206	0.00872489	0.0100474	0.0157155	0.0189448	0.0323056	0.0187016	0.0149751	0.0164688	0.0156159	0.016601	0.0217443	0.019069	0.0147974	0.0244532	0.0281562	0.0371807	0.0396469	0.0464083	0.0383576	0.0524389	0.0373614	0.0310099	0.031299	0.0401969	0.0197913	0.0253805	0.0137402	0.0177284	0.0161424	0.00679462	0.00699486	0.00528168	0.00750869	0.00800531	0.00769433	0.00588646	0.00641809	0.00479828	0.00562271	0.00862971	0.00692579	0.0145485	0.0151828	0.0185222	0.0142488	0.0189905	0.0161963	0.0141442	0.0157203	0.0145764
conseils	0.0194908	0.0126912	0.00952215	0.00734419	0.00752945	0.00793866	0.00809267	0.0172151	0.0195114	0.0163599	0.0138494	0.0134154	0.00936662	0.0131331	0.0140853	0.0142689	0.00975522	0.0177244	0.031231	0.0487188	0.0304536	0.0414573	0.0347062	0.0453206	0.0340401	0.0291553	0.0210414	0.038541	0.0203509	0.0234592	0.0165651	0.018706	0.0143666	0.0133735	0.00835473	0.00917706	0.00925161	0.00950964	0.00892443	0.00774771	0.0122846	0.00915211	0.00769501	0.0123042	0.0130708	0.0207869	0.0242104	0.0231913	0.0220484	0.0202596	0.0226388	0.0217938	0.0237679	0.0210505
du	0.0243357	0.01552	0.0142495	0.00805776	0.015196	0.0154669	0.00902683	0.0155841	0.00854969	0.0279953	0.0275028	0.0350216	0.0234458	0.0496681	0.0464035	0.0362413	0.0421046	0.0518177	0.0486234	0.0838206	0.0341547	0.0333391	0.0293274	0.028416	0.0202285	0.0168287	0.0161737	0.0227576	0.00958375	0.0104686	0.00534444	0.00658968	0.00378663	0.0047264	0.00846579	0.00799584	0.00833409	0.0102392	0.0106013	0.00680022	0.00865209	0.00600648	0.00269779	0.00417723	0.00504656	0.00875226	0.00919202	0.00742157	0.00822744	0.00997288	0.0100532	0.0104031	0.0103467	0.0062579
guérisseur	0.0154116	0.0142325	0.0157687	0.00977333	0.0190401	0.0178195	0.0156761	0.0237305	0.0156979	0.0245374	0.0257095	0.0230876	0.019558	0.0252834	0.0295216	0.0228133	0.0212237	0.0284799	0.0437177	0.0483251	0.0351315	0.0311906	0.0345957	0.02676	0.0236611	0.0174548	0.0189309	0.0281596	0.0142329	0.0119993	0.00927868	0.0156032	0.0104272	0.0102527	0.015014	0.0150842	0.020434	0.0215293	0.0150923	0.00949606	0.00784938	0.00561932	0.00400457	0.00786789	0.00709961	0.0149258	0.012805	0.0149773	0.0160134	0.0170627	0.0203375	0.0111615	0.0104145	0.00612602
c'	0.015647	0.0148383	0.0123042	0.00728686	0.00905067	0.00667182	0.0075917	0.00666491	0.00456493	0.00779864	0.00861483	0.00862201	0.00849535	0.0230644	0.0349896	0.027459	0.0304346	0.0279626	0.0382239	0.0379844	0.0341962	0.0383775	0.0391964	0.0260864	0.0203294	0.0151006	0.0148922	0.0212166	0.00896638	0.009431	0.00715585	0.00618568	0.00392519	0.00414978	0.00586988	0.006023	0.00871399	0.0136236	0.01522	0.00842268	0.0114605	0.0112365	0.00643648	0.0110529	0.00988461	0.018142	0.0150342	0.0226933	0.0291371	0.0428575	0.0411429	0.0458652	0.0564768	0.0332282
