 	a76	a98	a92	a43	a11	a75	a41	a44	a98	a37	a85	a37	a92	a66	a11	a93	a11	a98	a47	a2	a75	a47	a36	a57	a87	a23	a10	</S>
le	0.071521	0.0732616	0.0431001	0.0318694	0.0307665	0.0325968	0.0324571	0.0272373	0.0287241	0.0374189	0.0740914	0.0628249	0.0421538	0.0423804	0.0322506	0.0187085	0.0218875	0.0241331	0.0278032	0.0241341	0.0164572	0.0183449	0.0167493	0.0224105	0.0205395	0.0285984	0.0189027	0.0786772
safoutier	0.0081554	0.0187927	0.014492	0.0153435	0.0259822	0.0831747	0.16167	0.157248	0.112123	0.077283	0.0428869	0.0635499	0.029581	0.0522574	0.0292104	0.0305638	0.0104379	0.0108912	0.0159345	0.0118657	0.0026598	0.00295635	0.00234704	0.00543191	0.00512904	0.00269936	0.00478384	0.00254968
en	0.0484884	0.0529946	0.0605536	0.0968214	0.0841628	0.0890298	0.0942003	0.0513192	0.0216973	0.015106	0.00750667	0.017537	0.014032	0.0380048	0.0290807	0.0272415	0.0191891	0.0173199	0.0342505	0.0373254	0.0183258	0.0238346	0.023347	0.0327541	0.0255726	0.00854756	0.00758913	0.00416826
question	0.031908	0.0118537	0.0134955	0.0134429	0.0167353	0.0286342	0.0279187	0.0284413	0.0282751	0.034935	0.0206857	0.0518128	0.074403	0.102042	0.0952309	0.085659	0.0592426	0.0513754	0.0369442	0.0261187	0.0333346	0.025434	0.0199	0.0122263	0.0148482	0.0158038	0.0166076	0.0226918
n'	0.037214	0.0313414	0.0281055	0.0255269	0.0172245	0.015711	0.0128974	0.0162294	0.0174454	0.0321976	0.0434491	0.0573905	0.0511938	0.0378127	0.0976824	0.137035	0.145089	0.0568764	0.0207054	0.0134321	0.0109514	0.00883076	0.0119382	0.00690977	0.00952646	0.0172972	0.0107381	0.0292489
a	0.030461	0.025942	0.0247729	0.0233183	0.0201641	0.0204039	0.0247296	0.0282606	0.019148	0.0281091	0.0182864	0.0330576	0.0322627	0.0260546	0.0209924	0.0185443	0.0216548	0.0278836	0.0659749	0.0920118	0.0720606	0.0577947	0.0537613	0.0455839	0.0374653	0.046582	0.0353396	0.0493801
pas	0.0490832	0.0466174	0.0386382	0.0328349	0.027261	0.0250763	0.026165	0.0266525	0.0223505	0.0241862	0.0200311	0.0203748	0.0353962	0.0211126	0.0175949	0.0119153	0.0212775	0.0204247	0.0380153	0.0352804	0.0464395	0.0510786	0.0698909	0.0540376	0.0462882	0.0653873	0.0402798	0.0663101
produit	0.0652749	0.0472798	0.0274647	0.0224106	0.0157631	0.014883	0.0151375	0.0142936	0.0126341	0.0129242	0.0157278	0.0107914	0.0138183	0.010237	0.00955446	0.00870199	0.0165773	0.019362	0.042951	0.0527825	0.0701218	0.0815753	0.093528	0.0774062	0.0662511	0.070895	0.0452186	0.0464346
des	0.0681707	0.0527568	0.0409778	0.0352477	0.0306498	0.0274092	0.0278105	0.0258096	0.0169168	0.0108004	0.0183974	0.00936408	0.0121152	0.0143211	0.0352103	0.0455796	0.0441123	0.0348971	0.060674	0.0459101	0.0424263	0.0393892	0.0415971	0.0477446	0.0375416	0.0421253	0.0499378	0.0421076
fruits	0.05633	0.0418159	0.0278418	0.0214783	0.0186123	0.0183486	0.0150147	0.0174744	0.0231998	0.022961	0.0329604	0.0171011	0.0171936	0.0182319	0.0293181	0.0280767	0.0361238	0.0269367	0.0383583	0.0389701	0.0538555	0.0446099	0.048424	0.0681545	0.0585758	0.0563251	0.0779336	0.0457742
</S>	0.0384535	0.0463768	0.0280879	0.015652	0.0100806	0.00619196	0.00463585	0.00424105	0.00407696	0.00426961	0.00813903	0.00492837	0.00386897	0.00323138	0.00403444	0.00389087	0.00655894	0.00751487	0.016692	0.0288413	0.0651914	0.0634457	0.069389	0.100162	0.0805318	0.112358	0.0718602	0.187295
