 	a66	a87	a10	a38	a54	a98	a47	a85	a5	a61	a62	a96	a21	a85	a6	a36	a2	a27	a10	a87	a23	a99	a97	</S>
l'	0.0189673	0.0261825	0.0257689	0.0232281	0.0273212	0.0304727	0.0422159	0.0422643	0.0318258	0.0389756	0.0319338	0.0456254	0.0249906	0.0497302	0.0438814	0.0820005	0.0278809	0.0402958	0.0350611	0.0572734	0.0468117	0.057451	0.0690586	0.0807833
enfant	0.0243277	0.0177011	0.024295	0.026706	0.0406732	0.0643513	0.146042	0.194208	0.188459	0.13069	0.0592343	0.0302075	0.00771246	0.0057282	0.00117641	0.00225756	0.0012813	0.00135121	0.0034171	0.00478856	0.0100687	0.00765479	0.00378372	0.00388581
n'	0.0691691	0.0482781	0.0650013	0.0637149	0.0508038	0.0440962	0.0434324	0.085123	0.0797857	0.077099	0.0421122	0.0234402	0.01754	0.025981	0.012282	0.0117022	0.00884809	0.0116637	0.0336703	0.0283226	0.0494743	0.0362927	0.0493249	0.0228423
est	0.0705375	0.0576387	0.0606261	0.0372484	0.0300137	0.0242795	0.0249468	0.0315922	0.0335018	0.0315462	0.0417841	0.0374604	0.0372224	0.0315602	0.0493363	0.063978	0.0371737	0.0326315	0.0308087	0.0285451	0.0451205	0.0273271	0.0347603	0.100361
pas	0.0466901	0.0511669	0.0660448	0.0652547	0.0464115	0.0673221	0.0625235	0.0411094	0.049607	0.0549431	0.0530135	0.060331	0.0666539	0.0689248	0.032804	0.03903	0.0135445	0.0122249	0.0118602	0.019806	0.0126068	0.018145	0.018229	0.0217535
content	0.037475	0.0165926	0.0138422	0.0102069	0.00652793	0.00880666	0.0131641	0.0106255	0.0136206	0.0233381	0.0364136	0.0741736	0.0858815	0.124339	0.0894318	0.112434	0.0515972	0.0401278	0.0436274	0.0456373	0.0322242	0.0373553	0.029418	0.0431396
de	0.0639304	0.0233909	0.0233178	0.0159488	0.0142528	0.0117668	0.0110797	0.0103231	0.0121833	0.0116774	0.0162818	0.0328713	0.0450659	0.0812496	0.0936525	0.104078	0.0828222	0.058223	0.0249331	0.0368056	0.0295456	0.0329043	0.0770049	0.0866915
sa	0.0655527	0.0511889	0.0574076	0.0528543	0.0460838	0.0350365	0.0354054	0.0319493	0.0225718	0.0268446	0.0241582	0.0199025	0.0195274	0.019014	0.024922	0.0247067	0.0618096	0.0616737	0.0371582	0.03578	0.0516663	0.0471689	0.0678083	0.0798093
part	0.0520774	0.0498996	0.0478307	0.0402079	0.0236024	0.024085	0.0208321	0.0106261	0.00870153	0.00960016	0.00654248	0.0141043	0.0131492	0.014544	0.0332946	0.0472662	0.0735636	0.0785674	0.0666422	0.0669504	0.0711288	0.0588038	0.0947325	0.0732477
de	0.0467502	0.0412177	0.0462433	0.0372598	0.0143018	0.0155913	0.0121593	0.013001	0.0135537	0.0119892	0.0136227	0.0139016	0.0179552	0.0172319	0.0280611	0.0287614	0.055456	0.0913354	0.0642512	0.0575088	0.0749226	0.0682469	0.0812516	0.135426
nourriture	0.0366762	0.0200107	0.0177357	0.0188513	0.0145413	0.0130045	0.0109474	0.00748885	0.00555092	0.00533771	0.00567177	0.00704916	0.0170996	0.0210547	0.0482024	0.0419476	0.0850032	0.123067	0.0731802	0.0555199	0.0776661	0.0550711	0.0858529	0.15347
</S>	0.0459098	0.0161901	0.0125913	0.00856839	0.006194	0.00611431	0.00438327	0.00376378	0.00402344	0.00429272	0.00711272	0.0117509	0.0232546	0.0288857	0.0533116	0.0465998	0.079965	0.109299	0.0697268	0.0493191	0.0653361	0.0552274	0.075408	0.212772
