 	a66	a87	a23	a57	a9	a53	a70	a88	a70	a62	a21	a6	a36	a90	a56	a98	a6	a36	a27	a44	a66	a50	a88	a71	a88	a71	a88	a71	a3	a87	a23	a87	a23	a87	</S>
le	0.0440735	0.0742104	0.0438056	0.0332567	0.0385958	0.0232866	0.0480002	0.0389269	0.0457522	0.0282151	0.0226712	0.0135692	0.00962181	0.00812134	0.0108554	0.0125473	0.0125983	0.0129094	0.00967661	0.0106822	0.00881805	0.0111265	0.0200453	0.0310051	0.0496847	0.0420601	0.0271109	0.0365177	0.0305039	0.0203159	0.0300518	0.0247773	0.0312275	0.0347026	0.060677
vanier	0.00294427	0.00881652	0.0131747	0.010345	0.014525	0.0209316	0.0163773	0.0240099	0.100017	0.119536	0.147361	0.125454	0.0892537	0.0940927	0.0627617	0.0560361	0.0254149	0.0176633	0.0120672	0.00732327	0.00693341	0.00552829	0.00309065	0.00102351	0.000689774	0.00102154	0.00117144	0.00179634	0.000835612	0.00087599	0.00147982	0.00184334	0.00178561	0.00242548	0.0013939
est	0.00859948	0.0177581	0.0359974	0.0402328	0.0548228	0.0849862	0.0778374	0.0749878	0.0846577	0.135437	0.133748	0.0642531	0.0881472	0.0384729	0.0195364	0.012116	0.00603567	0.00374812	0.00306573	0.00228186	0.00358412	0.0025457	0.00151485	0.000338912	0.000714182	0.000328039	0.000361186	0.000576618	0.000509591	0.000452103	0.000450412	0.000459575	0.000555325	0.000517251	0.000370551
en	0.0198722	0.021527	0.0284485	0.01574	0.0182629	0.0155415	0.0134299	0.0174086	0.0157154	0.0125713	0.0469804	0.0838821	0.137286	0.121987	0.0944485	0.118199	0.0604595	0.0304329	0.0212598	0.0179762	0.0165444	0.00749828	0.00514613	0.00304606	0.00346666	0.00450458	0.00535578	0.0084347	0.00864475	0.00661636	0.00402934	0.00673599	0.00345057	0.00436322	0.000734798
train	0.0198944	0.0258212	0.0414563	0.0246307	0.0251439	0.019889	0.0188736	0.019096	0.0285175	0.0315292	0.0313883	0.0294176	0.0510994	0.0776357	0.0869678	0.0825138	0.0783558	0.0531774	0.0396327	0.0533912	0.0287612	0.0340993	0.0171536	0.0107531	0.0107291	0.00841497	0.00928424	0.00898375	0.00786016	0.00739186	0.0035152	0.004629	0.00327046	0.00452032	0.00220212
de	0.0134348	0.0140737	0.0121125	0.00916656	0.0138519	0.0118184	0.0184419	0.0289657	0.0726094	0.0691655	0.0480758	0.0138866	0.00743553	0.00817418	0.00645135	0.00628173	0.00765972	0.0101431	0.0118985	0.0137999	0.0176026	0.0327446	0.0303455	0.0441639	0.0236397	0.0391709	0.0245257	0.0282418	0.0213067	0.0397364	0.0479718	0.0540902	0.0647452	0.0765602	0.0577083
brûler	0.0231193	0.0251626	0.014244	0.0104808	0.00705422	0.00390146	0.00661751	0.011518	0.0131979	0.0317095	0.0348057	0.0318309	0.0440852	0.0429948	0.0566513	0.0388883	0.0585465	0.0601801	0.0592436	0.0846887	0.0806956	0.0677013	0.0671761	0.0512719	0.0156432	0.0136049	0.00907883	0.00774667	0.00384655	0.00499843	0.00415495	0.00419676	0.00304219	0.00586271	0.00205952
les	0.0623778	0.0477079	0.0412056	0.0193482	0.0234816	0.0126932	0.00762401	0.0136878	0.0114921	0.010616	0.0182532	0.0158364	0.0121343	0.011764	0.00931685	0.00591102	0.0149142	0.0190925	0.0213328	0.0161027	0.0199302	0.0137806	0.0192149	0.0258568	0.0467724	0.0596862	0.0845033	0.0631388	0.0347389	0.0495253	0.0419749	0.0418838	0.0335335	0.0446582	0.0259101
fibres	0.015263	0.0111178	0.00645188	0.00403182	0.0047079	0.00201642	0.000834594	0.0013016	0.00127176	0.00185988	0.0042428	0.00577097	0.00750615	0.011987	0.014204	0.00956708	0.0172428	0.0249041	0.0269981	0.0349608	0.0478119	0.0306458	0.0334223	0.0792044	0.0712145	0.132254	0.125209	0.0534996	0.0541286	0.0492118	0.033156	0.0289692	0.0195777	0.024998	0.0104564
de	0.0499354	0.0508595	0.0454988	0.0317065	0.0352222	0.0203309	0.00901331	0.00920668	0.0128231	0.017634	0.0147014	0.0104892	0.00627028	0.00636886	0.00734588	0.00731772	0.0258943	0.0379171	0.0338451	0.0181985	0.0258963	0.028261	0.0357796	0.0414576	0.0305476	0.0442352	0.0298435	0.0225839	0.0191629	0.0279879	0.0402423	0.0435646	0.0474972	0.0601431	0.0522187
liane	0.0416088	0.0313587	0.0270865	0.0219472	0.0276077	0.0181784	0.00871316	0.00980945	0.0100409	0.0126093	0.0135098	0.00909869	0.00687754	0.00761247	0.00855219	0.00730636	0.0146393	0.0219374	0.0212125	0.0127744	0.0194933	0.0235017	0.0295348	0.0535638	0.030048	0.0564835	0.0392701	0.0298816	0.0338441	0.0421442	0.0469167	0.0612027	0.06748	0.0730207	0.061134
</S>	0.0378815	0.0320019	0.0289383	0.0253257	0.0309692	0.024253	0.0230229	0.0206346	0.0144445	0.0128755	0.0142087	0.00872059	0.00664122	0.00855144	0.0078666	0.00482671	0.00809539	0.0139875	0.0147269	0.0115178	0.0154532	0.0180862	0.022016	0.0370422	0.0286448	0.0468717	0.0248083	0.020312	0.0199742	0.0260963	0.0311981	0.0454901	0.0530066	0.0972413	0.164269
