 	a66	a87	a23	a87	a23	a99	a40	a7	a54	a47	a6	a36	a56	a43	a75	a15	a7	a4	a53	a4	a58	a40	a47	a85	a5	a75	a25	a79	a7	a58	a84	a75	a85	a6	a36	a43	a11	a75	a5	a61	a96	a66	a4	a44	a57	a82	a87	a23	a97	a87	a23	a87	</S>
tout	0.0337995	0.0391966	0.0542686	0.0333302	0.0202528	0.0346469	0.0408346	0.0386618	0.0258624	0.020179	0.014674	0.0180066	0.0237752	0.0204908	0.0255596	0.0220454	0.0349971	0.0306886	0.057676	0.0459622	0.0351122	0.0275654	0.0302144	0.0110814	0.0092889	0.012342	0.00777872	0.00738062	0.0055608	0.00511979	0.00698638	0.00772593	0.00728516	0.00492475	0.00487101	0.00340264	0.00488576	0.00374013	0.00481295	0.00634086	0.0108005	0.0158112	0.00756878	0.0082978	0.00828311	0.0102889	0.00651818	0.00955073	0.0112608	0.0114169	0.0128752	0.016039	0.0299614
le	0.00752995	0.00917208	0.00715432	0.00882465	0.00880278	0.0160954	0.0267761	0.0275248	0.0557467	0.0709684	0.0348932	0.0121489	0.0285767	0.0207328	0.0267294	0.0298197	0.0270962	0.0270332	0.0271988	0.0250249	0.0265743	0.0263843	0.0171194	0.020837	0.0245754	0.0289313	0.0321737	0.0150354	0.0238791	0.0191418	0.0130516	0.0111322	0.00473211	0.0041838	0.00548646	0.00587428	0.00359209	0.00588029	0.0040229	0.00498892	0.00606556	0.0165337	0.0206091	0.031581	0.0325296	0.0137859	0.00642983	0.0100414	0.0110222	0.0145498	0.0152624	0.0142085	0.0119359
village	0.013847	0.0103901	0.00935675	0.00738208	0.00832635	0.020898	0.0329827	0.0368729	0.0459915	0.053726	0.0422321	0.0206737	0.026299	0.0398775	0.0364623	0.035287	0.0177406	0.0198431	0.0371492	0.0424515	0.0476188	0.0326407	0.0401727	0.0464576	0.0354267	0.0222998	0.0311907	0.0268364	0.01588	0.024624	0.0202146	0.0142206	0.00581739	0.00358006	0.00533532	0.00585838	0.00493727	0.00292295	0.0023925	0.00238468	0.001522	0.00320453	0.00191629	0.00167723	0.00254781	0.00325808	0.00262842	0.00546583	0.0051261	0.00551745	0.00759574	0.00643506	0.00450495
est	0.0301523	0.0142295	0.00743089	0.00438566	0.0055868	0.00386971	0.00463551	0.00523702	0.00476169	0.00780857	0.0103219	0.0128217	0.0118184	0.014682	0.00982972	0.0228594	0.0148382	0.0130108	0.0121409	0.0143772	0.0169572	0.0175333	0.0222647	0.0220366	0.0361127	0.0319249	0.0389499	0.0305568	0.0392084	0.0340983	0.0273823	0.0154916	0.00620242	0.0064454	0.0131946	0.00922762	0.0118381	0.012807	0.0107561	0.0183897	0.00560763	0.00976168	0.00827819	0.00889862	0.01628	0.0177433	0.0146585	0.027845	0.0392381	0.0503384	0.0598743	0.0546117	0.0406893
venu	0.027332	0.0154023	0.0102302	0.0061133	0.00470858	0.00393482	0.00512307	0.00398434	0.00353968	0.00312106	0.00161728	0.00297906	0.00261678	0.00371611	0.00767121	0.00687164	0.0148701	0.015263	0.0100637	0.0115707	0.0152874	0.0245495	0.0387973	0.0451664	0.0491016	0.0374225	0.0372825	0.0415187	0.0459205	0.0317653	0.0224994	0.0281078	0.0295857	0.0230299	0.0137599	0.0142972	0.0214453	0.0264698	0.0228656	0.0179344	0.00944278	0.00601635	0.00809487	0.00705056	0.0168624	0.011062	0.0184165	0.030004	0.0254499	0.0350375	0.0390224	0.0259346	0.0200706
assister	0.0278277	0.0134996	0.0130579	0.00851288	0.00675481	0.00816654	0.00980004	0.00961352	0.0107994	0.0110552	0.0125626	0.0108676	0.013716	0.0218231	0.0249071	0.0565783	0.0691842	0.0704944	0.0593012	0.0503616	0.0786951	0.0778057	0.0719323	0.0242943	0.026536	0.0181184	0.0134437	0.0235718	0.0243518	0.0104787	0.0185594	0.00536241	0.00325241	0.00280975	0.00276358	0.00181885	0.00244859	0.00405768	0.00422704	0.00641062	0.00392139	0.00549145	0.00288395	0.00401862	0.00613404	0.00444917	0.00367447	0.00555431	0.00734221	0.007388	0.0075916	0.00620647	0.00552226
au	0.0124712	0.00975753	0.00883297	0.00824763	0.00734586	0.00562135	0.00437996	0.004923	0.00852811	0.0103515	0.00802586	0.00754608	0.0132033	0.0152683	0.0166694	0.0274681	0.0500658	0.0417917	0.0307787	0.0414373	0.0476068	0.0541474	0.0509756	0.0482569	0.0377912	0.0373253	0.025384	0.0291437	0.0508092	0.0292908	0.0309173	0.0193174	0.0116561	0.00944448	0.00678994	0.00394887	0.00764514	0.00865962	0.00714529	0.00684209	0.00460589	0.0051719	0.00495911	0.00955667	0.0113917	0.00711911	0.00832408	0.0112252	0.0143209	0.0178623	0.0226131	0.0123878	0.0146516
match	0.0161167	0.0157705	0.0109994	0.00748714	0.00539064	0.00243285	0.00173688	0.00165135	0.00325199	0.00537293	0.00544028	0.00589072	0.00932793	0.0121794	0.0132176	0.0177119	0.026141	0.0314158	0.0373466	0.0378417	0.0420996	0.043598	0.059081	0.0423874	0.041541	0.0434993	0.0327258	0.033492	0.0497261	0.0307667	0.0259785	0.0215679	0.0155768	0.0127833	0.0125567	0.00897518	0.0153294	0.0105108	0.0090691	0.0123559	0.00760993	0.00542886	0.00733339	0.0103123	0.0120734	0.0085863	0.0090149	0.00826134	0.0130637	0.0170327	0.0246446	0.0223933	0.0239015
de	0.0244337	0.0210982	0.0150577	0.0144273	0.0134213	0.00844955	0.00483516	0.00526928	0.00643466	0.00862487	0.0116014	0.0114492	0.0188457	0.0188975	0.0223612	0.0415521	0.0739302	0.0562481	0.0581721	0.0604192	0.0497826	0.0420606	0.0393611	0.0338074	0.0340371	0.0223522	0.0154183	0.0177145	0.0209934	0.0157448	0.0158443	0.01107	0.0101464	0.00860916	0.00809526	0.00530127	0.00678957	0.00667191	0.00470514	0.00514907	0.00575751	0.00478102	0.00507495	0.00513975	0.00661193	0.00498247	0.0062753	0.00663371	0.0134914	0.0133137	0.0163355	0.0164375	0.0259825
foot-ball	0.0273597	0.0217765	0.0178917	0.0190303	0.0171595	0.00754503	0.0037444	0.00362902	0.00361651	0.00531668	0.00429482	0.00840588	0.0123133	0.0178966	0.0238466	0.0287343	0.0421711	0.0365853	0.0373107	0.0363163	0.0330663	0.0291856	0.0285008	0.023695	0.0231754	0.0197952	0.0188372	0.0192694	0.0212992	0.0151146	0.0167906	0.0118721	0.012081	0.00944432	0.00706476	0.00477532	0.00788362	0.00959725	0.00831376	0.00920072	0.00798734	0.00635691	0.00641645	0.00736581	0.00779032	0.0108255	0.0115453	0.0151842	0.0227796	0.0267431	0.0422449	0.0360254	0.0948287
