 	a23	a87	a23	a79	a20	a44	a84	a38	a47	a93	a13	a38	a70	a90	a9	a97	a87	a23	a83	a9	a87	a23	a53	a90	a70	a98	a9	a38	a54	a44	a84	a87	</S>
il	0.0359543	0.0308728	0.0227596	0.0406913	0.115993	0.14932	0.0794514	0.0876301	0.0823707	0.0222397	0.0556662	0.0529179	0.0399627	0.0183775	0.0201634	0.00782298	0.0026651	0.00174612	0.00120355	0.00149022	0.0023115	0.00471738	0.00373973	0.00560499	0.0068688	0.0097573	0.0063164	0.00903205	0.0255129	0.0202818	0.0121847	0.00897593	0.0153981
a	0.00191387	0.00199594	0.00175099	0.00122479	0.00174141	0.00582866	0.0324452	0.0680668	0.0379749	0.0332061	0.0405538	0.0403663	0.0460606	0.055022	0.064358	0.0629484	0.0502943	0.0431023	0.0441346	0.0450528	0.0130952	0.00988405	0.00974984	0.0144485	0.0193862	0.0195862	0.0180742	0.0291117	0.0287649	0.04072	0.0332776	0.0514666	0.0343932
atteint	0.00789344	0.00775191	0.015142	0.00858197	0.0143559	0.0302368	0.027294	0.0318947	0.0196973	0.0218808	0.0244249	0.0248481	0.0218925	0.0233648	0.0161532	0.0152714	0.00816611	0.00810922	0.00502652	0.00517116	0.00293151	0.00526807	0.0208528	0.0127301	0.0278823	0.0555389	0.0684768	0.0757916	0.0732087	0.075222	0.0627074	0.0690111	0.113222
la	0.0753648	0.0671457	0.0629241	0.0397845	0.0309163	0.0417043	0.0423005	0.0404634	0.0628607	0.0286703	0.0240582	0.0252446	0.0240528	0.0295018	0.0269006	0.032587	0.0337946	0.0252355	0.027453	0.0335044	0.0469604	0.0417483	0.0185804	0.0219194	0.013415	0.0075842	0.0085016	0.0073984	0.00539904	0.00856357	0.0126064	0.00923246	0.0236237
vieillesse	0.0782821	0.0301127	0.0131746	0.00832664	0.010593	0.0133057	0.0317754	0.0401385	0.0296505	0.0526574	0.0313414	0.0311255	0.0353216	0.0409613	0.0321346	0.0555554	0.0611095	0.0500138	0.0498801	0.050078	0.040863	0.027579	0.0123439	0.0156127	0.00766484	0.00866211	0.00769961	0.00935427	0.0127575	0.0204567	0.0372387	0.0250609	0.0291691
sans	0.0879083	0.0567389	0.0402791	0.00958226	0.00793923	0.00988857	0.037909	0.0244892	0.016585	0.0202967	0.013526	0.0151706	0.0145876	0.014952	0.0153494	0.0170922	0.0141601	0.0109312	0.0110218	0.00867259	0.0133221	0.017814	0.0154	0.0190949	0.0163023	0.021578	0.0215667	0.0233532	0.0384944	0.0775951	0.0792556	0.0726059	0.136538
jamais	0.0763971	0.0294171	0.0141576	0.00953718	0.00664885	0.00597985	0.00651018	0.0063138	0.00845627	0.0116411	0.0100747	0.00870508	0.0104962	0.0135346	0.00694264	0.0106777	0.00922715	0.00498658	0.00487925	0.0039434	0.00565338	0.0106727	0.0382803	0.0393554	0.051482	0.0616288	0.0684307	0.0824185	0.0569039	0.0730732	0.0591522	0.0917499	0.102673
être	0.082335	0.0509727	0.0163212	0.0078468	0.00598394	0.00450946	0.00645973	0.0161376	0.0159974	0.0137355	0.0265726	0.0220167	0.0217534	0.0253453	0.0241378	0.0221884	0.0235298	0.00713817	0.0118557	0.00784417	0.0122962	0.0119531	0.0212742	0.0353828	0.0312625	0.0466987	0.0890544	0.109526	0.0636325	0.0414058	0.0404627	0.0498071	0.0345627
malade	0.0563114	0.0399208	0.0284736	0.0153615	0.00907878	0.0058981	0.00761415	0.00738161	0.00698897	0.0145216	0.014962	0.0124641	0.0138988	0.0167808	0.0156501	0.0189466	0.0228035	0.0222321	0.0212282	0.0146766	0.00999613	0.0147427	0.0181065	0.0311248	0.0356612	0.0637291	0.0567007	0.0905681	0.0725847	0.0570292	0.0495211	0.0536349	0.0814074
</S>	0.0412721	0.0233808	0.0231428	0.0132536	0.00817872	0.00421174	0.00889635	0.00815027	0.00700523	0.012236	0.00952092	0.00821869	0.00901076	0.0165196	0.0123193	0.0184922	0.0152724	0.0105835	0.00818613	0.00647754	0.00576101	0.00884805	0.0210738	0.0326608	0.0637899	0.0672834	0.0630682	0.0927916	0.0587491	0.0642511	0.0574549	0.0736509	0.126289
