 	a87	a23	a83	a61	a75	a43	a75	a85	a61	a47	a88	a9	a75	a85	a5	a27	a25	a38	a21	a18	a0	a75	a5	a18	a61	a96	a66	a99	a87	a23	a87	a23	a99	a87	a97	</S>
l'	0.102566	0.0867829	0.0787303	0.0582838	0.0450153	0.0295914	0.0199997	0.0194977	0.0155131	0.0127018	0.0139563	0.0138279	0.0154596	0.0161178	0.0134454	0.0204144	0.029497	0.0244787	0.0210514	0.0159706	0.0143246	0.0153319	0.0139105	0.0141876	0.00986995	0.0142421	0.020644	0.0172462	0.017624	0.0177892	0.0269663	0.0186376	0.0229284	0.0359189	0.0286866	0.0587916
oiseau	0.0126128	0.0148511	0.0150757	0.0328358	0.0475056	0.0691139	0.0734372	0.0973287	0.0874691	0.101835	0.0653351	0.0693832	0.040257	0.0281758	0.0125864	0.0118321	0.0205063	0.0115553	0.00923993	0.00747429	0.0114355	0.00635532	0.0092859	0.0060606	0.00445477	0.00315391	0.0058812	0.00279498	0.00479766	0.00804356	0.00575106	0.0107142	0.0257537	0.0240256	0.0328708	0.0102108
a	0.0224461	0.0228777	0.0234404	0.0525655	0.0516648	0.0630828	0.060752	0.0592912	0.0299896	0.0235171	0.0235773	0.0202829	0.0155415	0.012816	0.00944183	0.00706457	0.00570728	0.00459442	0.00495972	0.00412001	0.00341958	0.00330609	0.00498732	0.00520612	0.00746028	0.00903021	0.011115	0.0156902	0.0232179	0.0366426	0.0361032	0.0679312	0.0791388	0.0614884	0.0842824	0.033248
pondu	0.0169431	0.0150286	0.0147441	0.0129529	0.011021	0.0120767	0.0172519	0.0260578	0.0433991	0.0572836	0.0545931	0.0491704	0.04427	0.0459724	0.0267859	0.0222875	0.0256946	0.0195187	0.0144382	0.0176111	0.0168941	0.0141792	0.0309824	0.0264009	0.0168305	0.018419	0.0272021	0.0474332	0.0364303	0.0361577	0.0373792	0.0314057	0.0255966	0.0366377	0.0192207	0.0317304
des	0.0569036	0.0595729	0.0312875	0.0195405	0.0162556	0.014619	0.0143085	0.0130466	0.00817371	0.00964343	0.0110928	0.0184687	0.0302126	0.0318759	0.0435507	0.0480909	0.0447005	0.0509355	0.0617134	0.0416379	0.0371123	0.0316741	0.0299029	0.0296534	0.0235533	0.0254542	0.0239859	0.0257592	0.0281439	0.0254513	0.0228561	0.0158702	0.0117003	0.0187879	0.01256	0.0119046
oeufs	0.0506644	0.043872	0.0284849	0.0212113	0.0197278	0.0149592	0.0142218	0.0139655	0.0165567	0.0148141	0.0262951	0.032687	0.0455562	0.0490886	0.0821403	0.0768052	0.0646821	0.0580695	0.054503	0.0490444	0.0367348	0.0279087	0.0204419	0.0284337	0.013696	0.0171566	0.00760838	0.00881546	0.0113618	0.00762534	0.0106819	0.00621726	0.00522918	0.00735943	0.00580441	0.00757592
dans	0.0386074	0.0361962	0.0213562	0.0161529	0.0109527	0.00672255	0.00566037	0.00449243	0.00491974	0.00256826	0.0039938	0.00435684	0.00610776	0.00584602	0.00606437	0.00836481	0.00797418	0.0118617	0.0233181	0.0281932	0.0317482	0.0340611	0.0358685	0.0366785	0.0571104	0.0555248	0.0399695	0.0641341	0.0554537	0.0471603	0.0684439	0.0508519	0.0332155	0.0501322	0.038463	0.0474749
son	0.0482297	0.0485482	0.0282554	0.0240913	0.0215606	0.0172032	0.015677	0.0129602	0.0214027	0.0107544	0.0325508	0.0377783	0.0340305	0.0231888	0.0193257	0.0313761	0.027094	0.0184473	0.0171687	0.0157587	0.0155063	0.0129246	0.0275332	0.0364096	0.0358145	0.0427721	0.0329391	0.0432349	0.0373721	0.0326653	0.0307575	0.0283548	0.0291731	0.0422586	0.0217134	0.0251689
nid	0.0274353	0.0259303	0.0196828	0.0218182	0.0248241	0.0191647	0.0192347	0.0171329	0.0159086	0.0134757	0.020822	0.0239164	0.028541	0.0308266	0.0278966	0.0258806	0.0272486	0.0151545	0.0190671	0.0122652	0.0168002	0.0220589	0.025332	0.0253163	0.0419305	0.0496005	0.0379435	0.0450756	0.0427079	0.0399358	0.0402499	0.0365822	0.0431686	0.0418266	0.0396551	0.0155903
</S>	0.0433478	0.0368924	0.0222394	0.0149722	0.0128523	0.0102847	0.01012	0.00971094	0.0139167	0.00857062	0.0191064	0.0202392	0.015607	0.0121103	0.0193779	0.0276972	0.0279092	0.0260653	0.0350578	0.0290262	0.0296926	0.0267444	0.0247612	0.0218273	0.0339413	0.0666313	0.036444	0.0278666	0.03718	0.0297198	0.0606099	0.0272712	0.0343214	0.0476537	0.0328396	0.0473922
