 	a66	a87	a23	a83	a56	a75	a5	a12	a43	a31	a62	a88	a93	a90	a69	a58	a82	a87	a23	a99	a97	</S>
l'	0.105924	0.103181	0.0966168	0.0490544	0.0361474	0.0216571	0.0106752	0.00737545	0.00694586	0.00438531	0.00633226	0.00761757	0.0154387	0.0465257	0.0478042	0.0468652	0.0502005	0.0674838	0.069053	0.0617642	0.0482578	0.0906944
oiseau	0.109467	0.110476	0.0715445	0.059752	0.0383061	0.0405776	0.017791	0.0132834	0.0178808	0.023666	0.0479395	0.123315	0.0589581	0.0266956	0.0126034	0.0138478	0.0198065	0.0247681	0.0236272	0.0325363	0.0361471	0.0770107
est	0.0558712	0.0728409	0.0709308	0.113533	0.119569	0.0713568	0.0322022	0.0157478	0.0167692	0.00723149	0.00574948	0.00612051	0.0175999	0.0148115	0.0275635	0.0445267	0.0302612	0.0512855	0.0378728	0.0437958	0.0861335	0.0582273
dans	0.0018984	0.00271199	0.00300996	0.00426731	0.00577751	0.0106981	0.0183703	0.0259053	0.0290105	0.0344983	0.028401	0.0218282	0.0295278	0.0474398	0.0434304	0.0716385	0.0686185	0.0870877	0.113132	0.1235	0.103702	0.125546
le	0.0203251	0.00984955	0.00891566	0.00677444	0.0106364	0.0136907	0.023272	0.0228965	0.02155	0.0255888	0.0316273	0.034617	0.0489865	0.0487866	0.0653419	0.0772521	0.0561778	0.0845525	0.0972867	0.0836612	0.0904573	0.117754
trou	0.0331778	0.0305321	0.0317791	0.0424746	0.0727293	0.0756994	0.0979655	0.0430536	0.0705498	0.0415431	0.0239465	0.0232281	0.0318697	0.0328519	0.0244195	0.0365966	0.0343603	0.0511846	0.0617251	0.0463027	0.0461477	0.0478632
dans	0.133942	0.101202	0.0598171	0.0453936	0.0804513	0.0475713	0.0269645	0.0111303	0.011279	0.00842216	0.010006	0.0144007	0.0181628	0.0206873	0.0161874	0.0304011	0.0401269	0.0598559	0.0739848	0.0550759	0.0518671	0.0830701
l'	0.0716634	0.0422118	0.0216442	0.0142285	0.0283634	0.0259767	0.0140557	0.0113017	0.0120512	0.0101522	0.0118404	0.0167484	0.0268367	0.0372691	0.044646	0.0960877	0.0748564	0.0884497	0.0851688	0.0805059	0.0812198	0.104722
arbre	0.0303866	0.0257	0.0186243	0.0205241	0.0343778	0.0264907	0.0266367	0.0371795	0.0526081	0.033356	0.0193807	0.0121449	0.0233693	0.0393818	0.0351507	0.0552222	0.0635068	0.090615	0.0758087	0.10105	0.0832672	0.0952191
</S>	0.0365966	0.0295891	0.0199001	0.0197847	0.0389337	0.0378315	0.0724473	0.0565582	0.0655169	0.0260151	0.0101042	0.00954301	0.0140094	0.0142199	0.00950528	0.0323957	0.0421534	0.0816302	0.096613	0.0957914	0.0932495	0.0976117
