 	a15	a66	a87	a23	a83	a93	a75	a21	a75	a56	a96	a70	a56	a43	a11	a4	a98	a15	a79	a90	a15	a47	a36	a2	a47	a96	a18	a61	a21	a47	a96	a88	a9	a99	a87	a23	a87	</S>
la	0.0333945	0.0691031	0.0573637	0.0484785	0.0413846	0.0395908	0.0296672	0.0301122	0.0358908	0.0304362	0.0322791	0.029012	0.0191491	0.0223622	0.0165737	0.0306658	0.0249473	0.0192894	0.0141926	0.0171099	0.041435	0.0402954	0.0306174	0.0234829	0.0220789	0.0222195	0.0220015	0.019118	0.011869	0.0206156	0.0124658	0.0138729	0.00962013	0.0153917	0.00861619	0.0116802	0.0123682	0.0212488
texe	0.0011477	0.00422691	0.00683213	0.0047467	0.00594039	0.0084109	0.00724796	0.00681095	0.0157486	0.0225405	0.0396812	0.040122	0.0638897	0.0766926	0.0910908	0.115367	0.1464	0.0825019	0.086566	0.0601379	0.0590569	0.0131308	0.00592189	0.0128011	0.00479002	0.00602654	0.00318521	0.00232978	0.0013342	0.00088843	0.000903319	0.000546177	0.000379726	0.000406433	0.000650333	0.000317596	0.00084898	0.000380268
qu'	0.0482148	0.0293506	0.0389569	0.0367685	0.0323832	0.0388453	0.0411239	0.0319952	0.0322886	0.0328673	0.091157	0.0515978	0.0789552	0.0573804	0.0883515	0.0572712	0.0560187	0.0404479	0.0197056	0.0140328	0.0093359	0.00470675	0.00466239	0.0086701	0.00382769	0.00579478	0.00314446	0.00341176	0.00323312	0.00662446	0.0066984	0.00475503	0.00119356	0.00503508	0.00344445	0.00223844	0.0043255	0.00118569
on	0.0735463	0.0205954	0.0187736	0.0133322	0.0160149	0.0157476	0.0235281	0.037803	0.0297214	0.0375251	0.0383674	0.027995	0.0579866	0.0367445	0.0571096	0.0462591	0.037894	0.0199131	0.0220635	0.0158686	0.00949359	0.00841109	0.02528	0.0350153	0.0485503	0.0504015	0.0128865	0.00678701	0.00772759	0.0116721	0.0119477	0.0146158	0.0138121	0.0195801	0.0154378	0.0175286	0.0198726	0.0241913
lui	0.0848131	0.0374801	0.0391226	0.0252853	0.0312901	0.03264	0.0433125	0.0546159	0.0325515	0.0300528	0.0249062	0.0355226	0.0403067	0.0516524	0.039044	0.0366006	0.0413367	0.0294526	0.0371916	0.0219102	0.0094321	0.00752822	0.0155927	0.0153884	0.0139107	0.016674	0.00926974	0.00444977	0.00738517	0.00902459	0.0102595	0.0138078	0.0120303	0.0130097	0.0104439	0.0148513	0.0181649	0.0296896
a	0.0360682	0.0203511	0.0277327	0.0257768	0.0158712	0.0154413	0.0221902	0.0214685	0.0189238	0.0162552	0.0206439	0.032119	0.0481356	0.0746152	0.0613217	0.0586039	0.0647454	0.0540916	0.0481334	0.0317499	0.0280462	0.0173358	0.0128183	0.0254416	0.0153682	0.0182766	0.0106992	0.00842508	0.0112196	0.0159425	0.0143634	0.014546	0.0129345	0.01827	0.0127176	0.0168055	0.019002	0.0135493
fait	0.0261181	0.0118138	0.0170483	0.0229247	0.016426	0.0137063	0.0152951	0.0181752	0.0144015	0.0142283	0.030568	0.0281905	0.0377224	0.0484631	0.0574473	0.0450164	0.049582	0.0473275	0.0317997	0.0182951	0.0146178	0.014847	0.0145556	0.0274388	0.0231881	0.0206108	0.0182809	0.0181876	0.025704	0.0499777	0.0369993	0.0320267	0.0220945	0.0266184	0.0242362	0.0256465	0.0234074	0.0170131
payer	0.0238766	0.0176615	0.0171313	0.0218944	0.0160216	0.0140718	0.0115215	0.0104073	0.00968509	0.0112745	0.0247175	0.0197601	0.0332236	0.0257241	0.0455816	0.0343736	0.0235504	0.0303584	0.0196237	0.017286	0.0138472	0.0305364	0.031774	0.0427178	0.0357927	0.0289832	0.0284913	0.0238369	0.0242047	0.0481485	0.0434504	0.0347182	0.0182551	0.0278651	0.0340397	0.0348461	0.0335271	0.0372209
est	0.0308382	0.0233428	0.0153447	0.0143277	0.00960346	0.0110892	0.0114905	0.00942298	0.0119131	0.0129321	0.0138386	0.0196863	0.0208445	0.0173787	0.02173	0.0317327	0.0150541	0.0197646	0.0118782	0.00916169	0.0144875	0.0167621	0.0272273	0.0258071	0.0215874	0.0158361	0.0161824	0.0178662	0.0109453	0.0242034	0.0278025	0.0368822	0.0364276	0.104425	0.0758262	0.0708289	0.0743748	0.0511535
excessive	0.0170203	0.011052	0.00798376	0.00813848	0.00581828	0.00649324	0.00619676	0.00606012	0.00757943	0.00846847	0.00872677	0.0116726	0.0116899	0.0110864	0.0156301	0.0140929	0.0132702	0.0129016	0.0148876	0.0130598	0.0112216	0.0126161	0.0142349	0.0138521	0.0338399	0.027066	0.0208067	0.0196303	0.0153338	0.0255541	0.025524	0.0400645	0.0448656	0.113695	0.0808468	0.109894	0.0973882	0.0817385
</S>	0.0626953	0.0515395	0.0372479	0.0345454	0.0207388	0.0233009	0.0225374	0.0177074	0.0205513	0.0195364	0.0163743	0.0127234	0.00903163	0.00783917	0.00816423	0.0105518	0.00976468	0.00789727	0.00804578	0.00904905	0.0134144	0.0145356	0.0130391	0.0119933	0.0320642	0.0243711	0.0250903	0.0280971	0.0159018	0.0259445	0.0218874	0.0415248	0.0163436	0.0859754	0.0619278	0.0463559	0.0762379	0.0354542
