 	a66	a87	a23	a53	a90	a56	a21	a12	a75	a25	a92	a56	a93	a4	a53	a93	a75	a56	a96	a34	a75	a92	a12	a18	a43	a62	a31	a62	a88	a71	a9	a82	a10	a87	a57	a97	a87	a23	a87	a23	a99	a97	</S>
le	0.0458484	0.0913889	0.088003	0.0791556	0.0652451	0.037017	0.0340685	0.0330018	0.0194941	0.0196279	0.0115012	0.0102812	0.00983065	0.0149654	0.0125403	0.0138972	0.0121011	0.0163543	0.00885976	0.0167895	0.0088228	0.0104515	0.00789514	0.0034509	0.0071529	0.00395524	0.0057189	0.00757905	0.0124679	0.0153943	0.00875271	0.0107148	0.0102161	0.0132643	0.0197255	0.0222464	0.016478	0.0238242	0.023868	0.0320689	0.0295919	0.0249652	0.0414243
chemin	0.00553522	0.0257792	0.0473562	0.0205803	0.021105	0.0220506	0.0239727	0.0378193	0.0578461	0.0463605	0.0422089	0.0632857	0.0149945	0.07518	0.0625505	0.0517186	0.0512054	0.0412953	0.0500827	0.0401498	0.0474493	0.0348377	0.0194169	0.0100987	0.0185604	0.0145065	0.00393436	0.00648402	0.00367844	0.00359847	0.00376846	0.00248859	0.00190425	0.00385871	0.00309066	0.00195893	0.00165194	0.00225361	0.00115448	0.00206306	0.00285731	0.00496696	0.00434176
qui	0.0155533	0.0533104	0.0412818	0.0293962	0.00733779	0.023311	0.037956	0.0486112	0.100107	0.0171179	0.0440289	0.0882523	0.0121575	0.0949641	0.0760174	0.0488113	0.0388285	0.0611307	0.0397034	0.0325753	0.0166505	0.00742906	0.0045348	0.00309323	0.00481324	0.00331997	0.00436661	0.00401318	0.0047904	0.00464254	0.00192955	0.00288343	0.00369346	0.0025862	0.00272934	0.00138616	0.00231271	0.00184983	0.0020291	0.000761889	0.00191911	0.00638084	0.00143312
mène	0.106213	0.0643953	0.0220806	0.012476	0.00886999	0.00840516	0.0220083	0.0287426	0.0258017	0.0293605	0.0188213	0.0304363	0.0151548	0.0150166	0.0172847	0.0138571	0.00717644	0.0103271	0.0144013	0.0122568	0.00883464	0.00629202	0.0104753	0.00693226	0.00799181	0.00888333	0.0059526	0.0120788	0.00874591	0.00458353	0.00858359	0.00620487	0.0130721	0.00620297	0.0169457	0.0193245	0.0137367	0.0375428	0.0471136	0.05856	0.0397315	0.0653401	0.103785
à	0.0433095	0.0338178	0.0242641	0.0109178	0.0132466	0.0137565	0.0151403	0.0197297	0.0241706	0.0380599	0.0325526	0.0310845	0.0508855	0.0276251	0.0264288	0.0433195	0.0435786	0.0228362	0.0216849	0.0193646	0.0192826	0.0222761	0.0194986	0.0216289	0.011082	0.00914946	0.00804197	0.00636019	0.00867344	0.00461564	0.00922784	0.0084904	0.0156214	0.00680681	0.0126524	0.0138354	0.0219317	0.0255162	0.0242915	0.0251552	0.0342818	0.0444451	0.0713621
la	0.00783509	0.00741701	0.00653535	0.00536419	0.00920269	0.0094692	0.0130551	0.0273708	0.0243662	0.0229752	0.0485222	0.0342462	0.0536381	0.0464497	0.0647899	0.0510717	0.0474827	0.0436412	0.0361527	0.0286152	0.024548	0.021585	0.0166996	0.0229659	0.0133635	0.0100937	0.0106217	0.00888234	0.0175995	0.00925447	0.0117701	0.0145866	0.0174405	0.014122	0.0162529	0.0202282	0.0300149	0.0202889	0.0226577	0.0235453	0.0215345	0.0236692	0.0200749
forêt	0.0234352	0.0211604	0.015663	0.0177062	0.0223205	0.0145378	0.0145707	0.0212669	0.0154448	0.0154428	0.0346799	0.0158799	0.0467509	0.0253175	0.0404218	0.0374914	0.0404822	0.0418557	0.0368378	0.0291679	0.0258175	0.0147276	0.014031	0.0154571	0.0136319	0.0126462	0.0152756	0.0160661	0.0297316	0.0172047	0.0297962	0.0352773	0.0305803	0.0302342	0.0274741	0.0147381	0.0195262	0.0243361	0.0182718	0.0118467	0.0171784	0.0157674	0.0199505
oyoa	0.0424122	0.0468029	0.0377148	0.0341681	0.0135215	0.00860333	0.00926458	0.0141292	0.0139302	0.0150827	0.0287463	0.0183218	0.0287476	0.032897	0.041494	0.0366921	0.0742439	0.0418945	0.0479471	0.0434581	0.0504273	0.0285218	0.0229128	0.0123428	0.02545	0.00753318	0.00865489	0.00350191	0.014298	0.00440181	0.00247351	0.00548746	0.00463126	0.013397	0.0073258	0.00526348	0.00987465	0.01514	0.0140091	0.00980212	0.0348648	0.0441237	0.0254908
est	0.0189945	0.0319249	0.0314842	0.0262091	0.0251591	0.014126	0.0116399	0.0147805	0.0164872	0.0260951	0.0282529	0.0170089	0.0271941	0.0180839	0.0286142	0.0287418	0.0355435	0.0203799	0.0231477	0.0202358	0.020623	0.0164368	0.0124688	0.0164243	0.0272849	0.0161829	0.011662	0.006811	0.0152086	0.00489749	0.00392337	0.00620618	0.00588464	0.00921372	0.0112612	0.0113588	0.0154798	0.0380478	0.0365256	0.0535953	0.0835293	0.0534711	0.0594001
passant	0.0104106	0.0232025	0.0303042	0.0249839	0.0343557	0.0173181	0.0119992	0.0137242	0.0139615	0.0209213	0.0213373	0.0172067	0.0352616	0.0200325	0.0471023	0.0271559	0.0325967	0.0254036	0.0328917	0.0289184	0.0279236	0.0260045	0.0236765	0.019204	0.028294	0.0213035	0.0179293	0.0153675	0.0176856	0.010683	0.00877017	0.0105506	0.0117631	0.0135312	0.0125332	0.0120972	0.0169575	0.0254905	0.0210832	0.0376984	0.0434015	0.0364058	0.0525581
</S>	0.0260931	0.0390916	0.0380261	0.0354921	0.0537414	0.0273811	0.0254907	0.0240839	0.00997701	0.0106647	0.0128559	0.00929155	0.0125135	0.0134856	0.0160453	0.0129584	0.0070477	0.0062122	0.00701899	0.00657474	0.00473828	0.00417165	0.0091869	0.00462016	0.00964015	0.0062246	0.0108514	0.011503	0.0110838	0.0110481	0.0129868	0.0136706	0.0202465	0.0145016	0.022886	0.0301492	0.0312512	0.0354182	0.0384114	0.0665158	0.0581634	0.0560299	0.122655
