 	a15	a66	a87	a97	a87	a97	a87	a23	a83	a94	a56	a70	a98	a13	a38	a76	a73	a7	a2	a40	a7	a2	a53	a69	a44	a79	a56	a70	a83	a66	a9	a97	a87	a97	a87	a23	a87	</S>
pendant	0.0655075	0.123842	0.0388827	0.0970422	0.0307834	0.0223348	0.0168641	0.0254406	0.0103668	0.0104549	0.00736079	0.0172695	0.00823174	0.00911192	0.00846884	0.00989684	0.00746018	0.00688281	0.00664107	0.00459412	0.0070597	0.00493436	0.0104441	0.0148889	0.0343639	0.0381285	0.0607784	0.0404518	0.0453809	0.042818	0.0273077	0.0252929	0.0208417	0.0216095	0.0155453	0.0135279	0.0238571	0.0253325
la	0.00456527	0.00545364	0.00391515	0.00570415	0.00238387	0.00219096	0.00284719	0.00299458	0.00420575	0.0052609	0.00866565	0.0116137	0.00746729	0.0149031	0.0187494	0.0297033	0.0436423	0.0566825	0.0536931	0.0529951	0.0666061	0.059714	0.0843901	0.0427009	0.103949	0.0806445	0.0600991	0.0368917	0.0165034	0.0218787	0.00872252	0.0103824	0.0123124	0.0126052	0.0139135	0.0104976	0.0133905	0.00716176
grande	0.0194265	0.00661667	0.0034311	0.00525309	0.00512953	0.00782056	0.00739451	0.00535911	0.00658676	0.00621998	0.00347485	0.00548388	0.00241705	0.00946466	0.00848911	0.00944687	0.00877555	0.012262	0.0266151	0.0351974	0.0460557	0.0484436	0.0550016	0.0379313	0.0158899	0.0158677	0.0148157	0.0292777	0.0238915	0.067637	0.0697332	0.0749348	0.0688939	0.0705737	0.0762574	0.0447441	0.0255342	0.0196527
saison	0.0353468	0.00782568	0.00881998	0.00634555	0.00876518	0.0125362	0.00924751	0.00737692	0.00813678	0.00790567	0.00722924	0.00439731	0.0043115	0.00632103	0.00557536	0.00565373	0.00531134	0.00732858	0.0132803	0.0246637	0.0280862	0.0335763	0.025741	0.016636	0.0176876	0.0168813	0.0182934	0.0257153	0.0411103	0.0641348	0.0564981	0.0746164	0.0810793	0.0777833	0.091906	0.054413	0.0392608	0.0402024
des	0.0144158	0.0145183	0.0214874	0.0182925	0.0279006	0.0218194	0.0263329	0.0168439	0.0187863	0.0237536	0.022286	0.0163299	0.0179354	0.0170925	0.0161228	0.0298607	0.0261036	0.0191658	0.0272678	0.0411374	0.0623784	0.0392389	0.0659283	0.0577618	0.0771137	0.0398113	0.0332545	0.0229894	0.0241484	0.0218517	0.0172949	0.0159404	0.0202355	0.00969744	0.0161234	0.0139148	0.0098082	0.0150564
pluies	0.0360579	0.0343144	0.0247803	0.0250953	0.0411355	0.0372473	0.0359823	0.0892256	0.0879463	0.080726	0.0556329	0.0313565	0.0182874	0.0115992	0.00443769	0.00669958	0.0121209	0.0144794	0.0212669	0.0248965	0.0386053	0.0143012	0.0164388	0.0146641	0.0257317	0.0138726	0.0177601	0.0119553	0.00832007	0.0166484	0.018263	0.0218299	0.0185314	0.0171811	0.0179487	0.0147254	0.0117745	0.00816088
les	0.0502068	0.0385353	0.0282771	0.0226485	0.0318432	0.0327611	0.0423497	0.0394602	0.0437727	0.0626032	0.0475107	0.021449	0.0160994	0.0112924	0.00490756	0.0063495	0.00996023	0.00885845	0.0104006	0.017783	0.0143867	0.0123569	0.010819	0.0106791	0.0133902	0.0134869	0.0255351	0.0214808	0.0214367	0.0197931	0.0259167	0.0292353	0.0251693	0.0490595	0.0401584	0.0370989	0.0404464	0.0424822
forêts	0.039008	0.0376185	0.0196176	0.0293418	0.0221056	0.0311673	0.0300695	0.0341028	0.0229777	0.0271953	0.0131956	0.0208736	0.0130356	0.0133771	0.0105191	0.013818	0.0125541	0.00687532	0.0106228	0.0203416	0.0213923	0.0305501	0.0293875	0.0336861	0.032258	0.0318116	0.0297349	0.0306414	0.0293055	0.0340504	0.0370014	0.0390632	0.0301559	0.0402347	0.0432993	0.0330108	0.0248629	0.021137
marécageuses	0.0620588	0.0620788	0.0289745	0.0387628	0.0106424	0.00927605	0.00484332	0.00911084	0.00600867	0.00466736	0.00368717	0.00860092	0.00589474	0.00982126	0.0128466	0.0152475	0.00394429	0.00437122	0.00301425	0.00480073	0.00528095	0.00663409	0.00944294	0.0140986	0.0283505	0.0186735	0.0318549	0.0279577	0.0466065	0.0403915	0.0312275	0.0357263	0.0370185	0.067725	0.0473255	0.0618044	0.0771793	0.10405
deviennent	0.0303427	0.036536	0.0259132	0.0340218	0.0117444	0.0103584	0.00643821	0.00948512	0.0061648	0.00527872	0.00483891	0.0100136	0.0115337	0.0157079	0.0206248	0.0237089	0.00767759	0.00471456	0.00323194	0.007976	0.00950305	0.0244596	0.0356662	0.0347684	0.0612191	0.0506231	0.0388404	0.0431198	0.0403066	0.0360055	0.0237003	0.0250708	0.0359377	0.0387468	0.0356771	0.0494936	0.0519038	0.0786466
inondées	0.0591156	0.0473185	0.0474647	0.0471014	0.0267077	0.0214488	0.017385	0.0208753	0.0164229	0.0145484	0.00998052	0.0161851	0.014267	0.0143979	0.0171361	0.0169767	0.00684186	0.00620218	0.00430222	0.00670137	0.00570696	0.00757437	0.0104977	0.013048	0.0282916	0.0278095	0.0334227	0.020619	0.0407156	0.0402384	0.0216595	0.0238897	0.0292401	0.0377521	0.0295181	0.0436908	0.0501571	0.10479
</S>	0.0329458	0.0220924	0.0165628	0.0128469	0.00847192	0.006364	0.00335597	0.00617683	0.00396999	0.0029767	0.00278023	0.00385234	0.00361853	0.00409475	0.00421232	0.00461791	0.00242253	0.00197266	0.00220965	0.00389933	0.00401704	0.00865793	0.00997458	0.0132233	0.0325984	0.0368003	0.0653315	0.0731019	0.0606871	0.0776117	0.0509888	0.0542295	0.0552108	0.0559899	0.0598663	0.0646855	0.0585264	0.0690555
