 	a66	a87	a23	a38	a5	a12	a31	a62	a75	a98	a47	a98	a92	a37	a12	a62	a0	a90	a69	a58	a82	a87	a23	a99	a97	</S>
je	0.0548527	0.0342019	0.0388817	0.0304	0.0217507	0.0158583	0.0117953	0.00871415	0.00717283	0.00758446	0.0129638	0.0162399	0.025961	0.0181223	0.0175649	0.0299021	0.0526049	0.135748	0.0632567	0.0491357	0.0655417	0.100889	0.0537557	0.0462489	0.0352977	0.0455562
tire	0.0549691	0.0554244	0.0716066	0.0448096	0.0346023	0.0354613	0.020752	0.0376739	0.0294792	0.0277646	0.0273565	0.0287319	0.0281698	0.0320134	0.0309129	0.0369328	0.0308813	0.0355017	0.0448077	0.0583635	0.0489644	0.0396141	0.0315189	0.0326192	0.0348913	0.0461778
les	0.0199976	0.0297075	0.016273	0.0154107	0.0196875	0.0233848	0.0206677	0.0234056	0.0226287	0.0237094	0.0200022	0.0231447	0.018286	0.0238708	0.0297256	0.0576538	0.0497636	0.07152	0.0713105	0.0729751	0.051154	0.0757413	0.0513916	0.0712195	0.0566659	0.0407028
mangues	0.0423245	0.0242339	0.0177365	0.013729	0.0167464	0.0155064	0.0255639	0.0576567	0.0791456	0.075155	0.060553	0.0468795	0.0652111	0.0706853	0.042951	0.0442995	0.0721507	0.0389296	0.0239666	0.0276993	0.0354774	0.0272388	0.025553	0.023144	0.0168023	0.010661
à	0.0922794	0.0684007	0.0573683	0.0422245	0.033956	0.0246903	0.0425506	0.0600552	0.0508879	0.0367403	0.0295877	0.020697	0.0316638	0.0342239	0.0240796	0.0214058	0.0269316	0.0249049	0.0273129	0.0299614	0.0345971	0.0304465	0.0406193	0.0360357	0.0375874	0.0407922
l'	0.0817375	0.0592268	0.038139	0.0363489	0.0401529	0.0343788	0.036395	0.0296476	0.0263088	0.0229008	0.0189311	0.0195537	0.0191446	0.0208714	0.0237559	0.0263397	0.0420615	0.0520727	0.0626671	0.0572687	0.0572458	0.0433337	0.0378562	0.0371118	0.035613	0.040937
aide	0.0508434	0.0422103	0.0264867	0.0374662	0.0488475	0.0505032	0.0478863	0.0538868	0.0468243	0.0573005	0.0542273	0.0547171	0.0465827	0.0355885	0.0223472	0.0251982	0.0244938	0.0268304	0.0270415	0.0265262	0.0299683	0.0317049	0.0296437	0.0351439	0.0332767	0.0344544
d'	0.118451	0.0493366	0.0394613	0.0309146	0.0320041	0.0268376	0.019862	0.0129832	0.0107553	0.00920417	0.00776096	0.00444799	0.00765158	0.00552536	0.00843173	0.00937954	0.0106906	0.00899641	0.0123587	0.0162732	0.0308452	0.0471578	0.0581896	0.0899471	0.112823	0.219711
un	0.0715274	0.0303026	0.0265639	0.0347009	0.0428547	0.0301328	0.0228451	0.0156689	0.0167639	0.0161629	0.0158985	0.0172541	0.0167673	0.0141354	0.023964	0.0255081	0.0166563	0.0232774	0.0342809	0.0376588	0.0631348	0.0607932	0.0698564	0.0855237	0.104509	0.0832589
cro	0.0355879	0.0262137	0.0297799	0.0384796	0.0466164	0.0426511	0.0424715	0.0352632	0.0345434	0.0347175	0.03756	0.0354591	0.0239376	0.0239488	0.0199343	0.0241408	0.013555	0.0217673	0.0137224	0.0178959	0.0317627	0.0484365	0.0509203	0.0909727	0.0895273	0.0901351
chet	0.061914	0.0214375	0.0179848	0.0120901	0.0177746	0.019637	0.0119597	0.00614554	0.00930373	0.0087867	0.0118466	0.00977108	0.0119819	0.00994392	0.0136012	0.0185088	0.0225651	0.0309089	0.0216026	0.0377547	0.0407545	0.0445026	0.082196	0.110703	0.151766	0.194559
</S>	0.088361	0.0289572	0.036031	0.0243361	0.0218165	0.0158034	0.00997312	0.00614948	0.00594805	0.00657327	0.0102629	0.00807188	0.0103694	0.00657711	0.0154155	0.0223585	0.0260047	0.0384348	0.0429931	0.0412342	0.0444672	0.0482398	0.0504014	0.0714695	0.0820994	0.237651
