 	a66	a87	a23	a87	a23	a79	a20	a7	a37	a24	a21	a85	a5	a75	a85	a47	a37	a26	a44	a70	a13	a53	a4	a57	a82	a87	a23	a40	a7	a15	a44	a4	a13	a53	a15	a20	a94	a15	a7	a84	a57	a87	a23	a87	</S>
ses	0.0513015	0.0651069	0.0510775	0.0472973	0.0705081	0.0444198	0.0566143	0.0536557	0.0359491	0.0378514	0.0516246	0.0271373	0.0266349	0.0242555	0.0148902	0.0173437	0.0123244	0.00634563	0.00529721	0.0072669	0.00479865	0.00364873	0.00413849	0.00480938	0.00465353	0.00615213	0.00833535	0.00635651	0.00750128	0.00683447	0.00449437	0.00362459	0.0101675	0.00955131	0.00490555	0.0159017	0.0204395	0.0171326	0.0217946	0.0229327	0.0174796	0.0137136	0.0201832	0.017157	0.0363918
dents	0.013326	0.0276732	0.0181663	0.0179356	0.0323814	0.0576636	0.0540091	0.100637	0.0380361	0.0394327	0.0275158	0.0121326	0.0195627	0.0138776	0.00940976	0.0242236	0.0167872	0.0221176	0.00926599	0.0100433	0.0090647	0.00923717	0.0115701	0.013443	0.0357497	0.0412375	0.0592365	0.0614185	0.0453465	0.0479875	0.0279845	0.0186503	0.00898782	0.0137273	0.00401422	0.00350924	0.00213812	0.0031819	0.00175424	0.00214056	0.0023952	0.00194532	0.00324353	0.00689774	0.000941294
sont	0.00313072	0.00268799	0.00174303	0.00182129	0.00297826	0.00344058	0.00638767	0.00702131	0.0087155	0.010926	0.0188572	0.0145963	0.0186685	0.0297325	0.0202106	0.0288374	0.0216053	0.0540664	0.0549534	0.0408887	0.0364045	0.0306352	0.0385777	0.0441915	0.0185853	0.0218541	0.0290356	0.0392183	0.0406114	0.0350059	0.0199177	0.0143819	0.0100865	0.0114831	0.0140301	0.0250106	0.0333348	0.0397128	0.0272278	0.0354609	0.0189651	0.0186323	0.015066	0.0259017	0.00540076
atteintes	0.00703636	0.00489316	0.00584991	0.00859066	0.00720129	0.0111016	0.0152895	0.0516399	0.0713522	0.073635	0.0560611	0.0260797	0.0151911	0.0295891	0.0307766	0.0311825	0.0248137	0.0361107	0.0367054	0.0273969	0.0231775	0.0107659	0.00993759	0.0143492	0.00875726	0.00643306	0.00501774	0.00602823	0.00419539	0.00838452	0.0146388	0.0161212	0.0128733	0.018774	0.0508186	0.0355404	0.0254607	0.0211057	0.0169723	0.0185192	0.0182088	0.025167	0.0196972	0.0208945	0.0176657
de	0.00822456	0.0044561	0.00496462	0.0080432	0.00445651	0.00620153	0.0203015	0.039885	0.0560071	0.0349509	0.03356	0.0378966	0.0264273	0.0290372	0.0316655	0.030581	0.0234708	0.0261582	0.0256122	0.0208137	0.0302487	0.0207493	0.0331757	0.0414568	0.0178902	0.0175454	0.0145888	0.0132812	0.0137404	0.0157446	0.0138371	0.0122092	0.0167556	0.0126041	0.0209177	0.0247355	0.0117362	0.021922	0.0283403	0.0297366	0.0241728	0.0299449	0.0237271	0.0213818	0.0168446
carie	0.0147244	0.0158422	0.0135308	0.0195424	0.0173303	0.0195531	0.0183091	0.0198192	0.0145726	0.014424	0.0144814	0.0104622	0.00785214	0.012214	0.00531028	0.0124495	0.0211512	0.0186736	0.0178235	0.020526	0.022312	0.0205182	0.0323769	0.0383432	0.0299414	0.0371134	0.0345547	0.0372897	0.0309351	0.0315751	0.0410325	0.0327952	0.0189309	0.0273507	0.0331586	0.0356617	0.0194649	0.027181	0.0267545	0.018656	0.0223422	0.0195823	0.0244191	0.00974434	0.0193747
il	0.00990954	0.00618683	0.00703861	0.0069888	0.00505204	0.00252603	0.0032658	0.00359461	0.00193178	0.00180943	0.0027011	0.00350279	0.00340776	0.0066458	0.00648612	0.0069593	0.0187243	0.0105089	0.0226293	0.0243486	0.029194	0.0300472	0.0363898	0.0522292	0.0521105	0.0485465	0.101856	0.110523	0.0663843	0.0386475	0.0364092	0.0349003	0.0204862	0.0211813	0.0263975	0.0198862	0.0126674	0.0158792	0.0196969	0.0124046	0.0179394	0.0101114	0.0152362	0.0108096	0.00584842
faut	0.00937702	0.00697632	0.00847196	0.00811954	0.00715296	0.00732661	0.0114508	0.013496	0.0131249	0.011042	0.012264	0.0177718	0.01415	0.0164974	0.019701	0.0142264	0.0304433	0.0247738	0.0270146	0.0395802	0.0456721	0.0369141	0.0331397	0.0363028	0.0236363	0.0230657	0.0288783	0.0302281	0.0275596	0.0288717	0.0305025	0.0326622	0.0303904	0.0314139	0.0295764	0.0330201	0.0223806	0.0284588	0.030281	0.0246782	0.020693	0.0186213	0.0166811	0.0153693	0.00804254
les	0.0154822	0.0130352	0.0189735	0.01435	0.0132708	0.0116542	0.0119572	0.0117271	0.01079	0.0109502	0.0130722	0.0144972	0.0118023	0.0182117	0.0234772	0.0164636	0.0254561	0.0183446	0.0189274	0.0254135	0.0248994	0.0197068	0.0186209	0.0207686	0.021841	0.0260309	0.0309604	0.0323344	0.0259715	0.0287805	0.028183	0.029696	0.0308119	0.0270158	0.0303922	0.0283426	0.0331353	0.0286179	0.0279456	0.0306131	0.0330733	0.0224825	0.0359437	0.0238566	0.0221198
lui	0.0134489	0.0115084	0.0185634	0.0196534	0.0158534	0.015313	0.0192492	0.0231874	0.01836	0.015586	0.0143061	0.0134227	0.0168125	0.0155962	0.0157176	0.0199506	0.0215035	0.0214043	0.0227894	0.0216788	0.0493278	0.0496706	0.056787	0.0544952	0.0443566	0.0314424	0.0368526	0.0384185	0.024914	0.0253596	0.0275598	0.0275312	0.0241657	0.0225265	0.0263361	0.0196515	0.0141447	0.0126995	0.0135397	0.00998743	0.00963394	0.00620352	0.00817454	0.00805153	0.00426551
