 	a23	a83	a75	a5	a36	a75	a85	a75	a85	a5	a21	a75	a92	a43	a62	a88	a62	a70	a0	a43	a62	a31	a62	a88	a9	a38	a75	a35	a2	a57	a87	a23	a87	</S>
cette	0.0933862	0.121367	0.0744186	0.0607444	0.0920192	0.0595673	0.044492	0.0295122	0.0265489	0.0228519	0.0188191	0.0149928	0.0154207	0.0125025	0.0142866	0.0117185	0.00986835	0.0102908	0.00950927	0.00938857	0.0110315	0.0102886	0.0232925	0.0194751	0.0221058	0.0196561	0.0195352	0.01094	0.0134447	0.0144262	0.0165166	0.0224313	0.0111277	0.0340234
année	0.00624138	0.0120719	0.0155448	0.0168937	0.049916	0.0655899	0.069269	0.091654	0.0589147	0.0872982	0.0553031	0.0993113	0.0391131	0.0562599	0.0264401	0.0439276	0.0168139	0.0380516	0.0425776	0.0313092	0.0112287	0.0156089	0.00755685	0.00535355	0.00443735	0.00340913	0.00428409	0.00121697	0.00383451	0.00189284	0.00228776	0.00393587	0.00375095	0.00870161
le	0.0230109	0.0141086	0.0171666	0.0239001	0.0364696	0.0334217	0.0530428	0.0831572	0.0581218	0.0631755	0.0942209	0.106725	0.110148	0.0619844	0.0450366	0.0211147	0.0197061	0.0139486	0.0107923	0.00419013	0.00242415	0.00184953	0.00174184	0.000829051	0.00123762	0.00111318	0.00323127	0.00681241	0.00698071	0.00614742	0.00900247	0.0117548	0.037077	0.0163565
riz	0.112183	0.0797508	0.0889536	0.0828111	0.0794269	0.0630279	0.0731687	0.0630161	0.039347	0.0447908	0.0249494	0.0231588	0.0192601	0.0137593	0.0115212	0.0105547	0.010366	0.0157041	0.0110141	0.00734606	0.00657523	0.00539237	0.00518402	0.002716	0.00314712	0.00289318	0.008043	0.00561969	0.00948739	0.00950757	0.0107064	0.0101754	0.0189536	0.027489
n'	0.0409365	0.0267486	0.030229	0.0247993	0.0383454	0.0440542	0.0697453	0.0601904	0.0516385	0.0465859	0.0514776	0.0314753	0.0449647	0.0323073	0.0250163	0.0311126	0.0360666	0.0291083	0.0324328	0.0207729	0.027954	0.0130838	0.0189011	0.00758659	0.00675668	0.00526124	0.00960872	0.0138112	0.0112859	0.0194545	0.0166473	0.0198823	0.0221611	0.0395983
a	0.0306911	0.019731	0.0187957	0.0117685	0.0126331	0.0200332	0.0175797	0.0189253	0.016865	0.0106852	0.0220689	0.0112714	0.020204	0.0167984	0.00982605	0.0324036	0.0377322	0.034228	0.0569179	0.0304227	0.0637938	0.0750566	0.0622736	0.037083	0.0217849	0.0235441	0.0210769	0.0373934	0.0318067	0.0328562	0.0341478	0.032342	0.0401692	0.0370907
pas	0.0349507	0.0202349	0.0130269	0.0113113	0.00905302	0.0146699	0.0178229	0.0166748	0.0128713	0.014718	0.021719	0.0143877	0.0197403	0.0155879	0.012688	0.0266324	0.0325517	0.0256774	0.0485808	0.0400441	0.0388384	0.0427002	0.0393393	0.0347786	0.0413598	0.0362198	0.0336629	0.0435534	0.041925	0.0455515	0.0384534	0.0346177	0.0460624	0.0599947
donné	0.0884706	0.0371561	0.0287751	0.0252065	0.022354	0.0223775	0.0341001	0.0270913	0.0296947	0.0276141	0.0380788	0.0163499	0.0281693	0.0260989	0.0170224	0.0236652	0.0290149	0.0328995	0.0368539	0.0221569	0.0286493	0.0226354	0.0326268	0.0188922	0.0269086	0.0229087	0.0258109	0.0319924	0.0277303	0.0349639	0.0285903	0.023337	0.0305303	0.0312744
beaucoup	0.0815334	0.0598919	0.0578624	0.0657497	0.0517614	0.0350837	0.0367192	0.0258389	0.0218408	0.0190095	0.0174808	0.00660852	0.00937457	0.0120901	0.00610624	0.0101224	0.00639638	0.01304	0.0141452	0.0055408	0.00942819	0.0161476	0.0168689	0.0155063	0.0321961	0.0282849	0.0339815	0.0391571	0.0418684	0.036233	0.038566	0.0326718	0.0397949	0.0630994
</S>	0.0594273	0.0472852	0.0300939	0.0306259	0.0235303	0.016276	0.0161377	0.0100873	0.00804252	0.00588651	0.00454719	0.00215563	0.00281536	0.00298852	0.0020475	0.00443787	0.00301838	0.00545231	0.00790362	0.00334982	0.00487358	0.00561917	0.00764903	0.00844494	0.0225008	0.0388782	0.0753487	0.0821389	0.0816044	0.0692425	0.0848708	0.0803322	0.0778585	0.0745295
