 	a66	a87	a23	a38	a94	a4	a58	a54	a6	a37	a98	a47	a36	a85	a47	a6	a37	a54	a36	a2	a57	a87	a23	a87	a97	a99	a97	a87	a23	a83	a35	a76	a41	a76	a92	a75	a25	a92	a25	a79	a98	a47	a36	a2	a57	a87	a23	a83	a54	a47	a36	a24	a61	a94	a71	a25	a9	a87	a23	a87	</S>
celle-ci	0.0376122	0.0408961	0.0441538	0.0548754	0.0416331	0.0337374	0.017753	0.0175002	0.0124101	0.00537133	0.00542618	0.0044496	0.00407413	0.00312486	0.00374497	0.00361938	0.00432818	0.00777979	0.0128183	0.0127025	0.0210695	0.01479	0.0158375	0.0140188	0.01537	0.0179407	0.0138474	0.0117231	0.00913474	0.00965522	0.0233709	0.0285386	0.0144812	0.037651	0.0325162	0.0378683	0.0358673	0.054828	0.0393641	0.0198551	0.00764797	0.0083289	0.00581961	0.0077524	0.00680882	0.00383735	0.00276979	0.00382752	0.00290846	0.00280259	0.00345878	0.00385007	0.00369654	0.00635547	0.00834675	0.00893773	0.00837059	0.0100147	0.0149859	0.0134403	0.0303016
est	0.00703314	0.00479001	0.00342244	0.00390906	0.00407056	0.00516882	0.0079203	0.0120169	0.0141614	0.0211535	0.0132357	0.0128541	0.0129453	0.0223379	0.0231978	0.0137696	0.0179484	0.0168275	0.0150721	0.0240006	0.0116611	0.0128237	0.0128156	0.0111081	0.00743102	0.00781279	0.00960481	0.0103343	0.0130981	0.0167205	0.0210822	0.0218994	0.0306865	0.0342963	0.026743	0.0208718	0.0172804	0.0155344	0.015028	0.0156828	0.0261866	0.0232223	0.0300515	0.015894	0.0142706	0.0206252	0.0164724	0.019094	0.0291671	0.0404267	0.0325184	0.0214953	0.0218453	0.0161903	0.0175534	0.0139983	0.0102575	0.00857674	0.00878616	0.0115111	0.0135073
la	0.0171216	0.00805658	0.00430286	0.00249095	0.00366782	0.00431927	0.0044946	0.00699048	0.00856852	0.0207952	0.0187689	0.0238895	0.0280233	0.0510439	0.0363802	0.0307811	0.0452884	0.0317336	0.0145092	0.0156827	0.011217	0.0123919	0.0181153	0.0159291	0.0130665	0.0139133	0.0138117	0.0128597	0.0160951	0.0151005	0.0202513	0.0258994	0.0147365	0.028781	0.0200642	0.0116738	0.0090965	0.0135629	0.0109963	0.0132547	0.0145997	0.0084815	0.0161398	0.0112449	0.00803015	0.00910916	0.0105098	0.0109448	0.00818845	0.0115796	0.0118805	0.0142318	0.0148674	0.0196964	0.01696	0.0251012	0.0143219	0.024035	0.0127729	0.0252207	0.0243589
chemise	0.0396481	0.0227374	0.0185609	0.0151983	0.015368	0.0114914	0.00737316	0.0165581	0.0122789	0.0117884	0.0122909	0.0147557	0.0133208	0.0188896	0.00988771	0.0173593	0.0239092	0.0209135	0.0283864	0.0096908	0.021133	0.0392958	0.0181617	0.0212743	0.0323802	0.0320102	0.0211879	0.0272268	0.026226	0.023249	0.0124472	0.0115749	0.00823191	0.00817556	0.0105428	0.00800005	0.00742419	0.00611603	0.00763423	0.0107343	0.0124286	0.0104487	0.0123728	0.0133669	0.0186618	0.0126634	0.0144035	0.0159377	0.020583	0.0241157	0.0250358	0.0279044	0.0268073	0.0171506	0.0127894	0.0118893	0.0103039	0.00714808	0.00592849	0.00366454	0.00296361
de	0.031948	0.0190968	0.0198139	0.0120758	0.0126255	0.0110111	0.00953975	0.0125364	0.0093621	0.0103173	0.00795109	0.0167056	0.0137705	0.030469	0.0189459	0.0360636	0.0367708	0.0377975	0.0416352	0.0170726	0.047828	0.0747906	0.0366779	0.0371713	0.0420406	0.0486359	0.0441691	0.0265059	0.0246528	0.0189979	0.012728	0.0102381	0.00736825	0.00549403	0.00576425	0.00464148	0.00475317	0.00411667	0.0068455	0.0139411	0.00924839	0.0101476	0.010752	0.00955185	0.00854006	0.00591849	0.0059099	0.00667683	0.00443277	0.00414891	0.0048105	0.00151189	0.0021813	0.00183907	0.00340552	0.00289622	0.00225587	0.00553205	0.00484219	0.00658402	0.0059458
mon	0.0577615	0.0480604	0.0432757	0.0173967	0.0139045	0.00903445	0.00572472	0.00614393	0.0068212	0.0109044	0.0114754	0.0148803	0.0180091	0.0199304	0.0169596	0.0208093	0.0196683	0.0147717	0.0116807	0.0195083	0.0291352	0.0330283	0.0488288	0.0526723	0.0426302	0.0407013	0.0682583	0.0286767	0.0289742	0.0212843	0.0158374	0.0180604	0.0136351	0.0135614	0.0126285	0.00833696	0.00810169	0.00614897	0.00305259	0.00336824	0.00229892	0.00238373	0.00326871	0.00447477	0.00510019	0.00737049	0.00930838	0.00846221	0.0092817	0.00908035	0.008318	0.00391238	0.00543875	0.00483102	0.0056547	0.00434439	0.00447614	0.00470831	0.00551073	0.00336383	0.00477084
père	0.021076	0.0220172	0.0234909	0.0145722	0.0109558	0.0102558	0.00904146	0.0141273	0.0137795	0.0187508	0.0233075	0.0203164	0.0280809	0.0182228	0.014307	0.0174049	0.0182963	0.0117303	0.0104643	0.0311665	0.027729	0.0309029	0.0255162	0.0318687	0.0307656	0.0293289	0.0348495	0.0199656	0.0233019	0.0262224	0.0381505	0.048175	0.040892	0.0440873	0.0379349	0.0256423	0.0212562	0.0164839	0.0122404	0.0132732	0.00768313	0.00542527	0.00538746	0.00507641	0.00270614	0.00176797	0.00164107	0.00162029	0.000637114	0.00109775	0.00163692	0.00255249	0.00178272	0.00169247	0.00198251	0.002252	0.00275442	0.00541355	0.00437552	0.00677602	0.00578825
celle-là	0.0267806	0.0225434	0.0273326	0.0169674	0.0143966	0.0142454	0.0147505	0.0133663	0.0186574	0.0181393	0.0258613	0.0191737	0.0261305	0.011066	0.0115732	0.011324	0.0068249	0.0094926	0.0114965	0.0252183	0.0315868	0.0264443	0.0289896	0.0186485	0.0139447	0.0197662	0.0197701	0.0118482	0.0153358	0.0120641	0.0266263	0.0307258	0.0232638	0.0322898	0.0301818	0.0260567	0.0283436	0.0194186	0.0180912	0.0133654	0.0105707	0.00756318	0.00909787	0.00772724	0.00460584	0.00535758	0.004209	0.00550254	0.0027811	0.00368274	0.00523434	0.00614195	0.006612	0.00621648	0.00918335	0.00726922	0.0112929	0.0200035	0.0152256	0.0244824	0.0351387
à	0.0313773	0.0194084	0.0214582	0.00897644	0.00777418	0.00741186	0.00588644	0.00525074	0.00401155	0.00406544	0.00394338	0.00632169	0.0077953	0.00957207	0.00942718	0.0100455	0.00842716	0.0100022	0.0107364	0.0193772	0.0286946	0.0314288	0.0299095	0.0244985	0.0252715	0.0274992	0.0303509	0.0215144	0.0200761	0.0174839	0.0168487	0.0200263	0.0191793	0.0200725	0.0207161	0.0152511	0.0179893	0.014473	0.0133231	0.0114307	0.0115221	0.00815213	0.00723091	0.00580473	0.00617968	0.00914216	0.011052	0.0109275	0.0045421	0.0060074	0.00897975	0.00660523	0.0122343	0.014462	0.0252432	0.0235061	0.0290524	0.0475767	0.0348842	0.0389141	0.0406748
leur	0.0288772	0.0128579	0.0114201	0.00616005	0.00597483	0.00556328	0.00427487	0.00360242	0.00323076	0.00391477	0.00311496	0.00442969	0.00498016	0.00734821	0.00689686	0.00779326	0.00819346	0.0111384	0.0144624	0.0261475	0.031033	0.0336881	0.0313054	0.0283829	0.029039	0.0318794	0.0310025	0.029559	0.0271591	0.0288729	0.0240674	0.0248329	0.0242218	0.0166092	0.0158889	0.0123528	0.0137492	0.0115697	0.0126282	0.012186	0.0103034	0.00967927	0.0101974	0.00789769	0.00927752	0.0155851	0.0148947	0.0181629	0.0110741	0.0112146	0.0145225	0.00490675	0.0114023	0.0134661	0.0221426	0.0231376	0.0190501	0.0369334	0.0216883	0.0236415	0.0404136
