 	a66	a87	a23	a10	a24	a98	a88	a70	a93	a96	a75	a6	a36	a2	a57	a87	a23	a18	a70	a62	a88	a94	a93	a75	a5	a56	a75	a6	a37	a6	a36	a2	a30	a87	a23	a87	</S>
la	0.0441856	0.0860371	0.0513945	0.0706205	0.070934	0.0375876	0.0252896	0.022974	0.0265757	0.0307642	0.0273207	0.0257355	0.026072	0.0191752	0.013649	0.0153352	0.012711	0.0112818	0.012349	0.0106695	0.0101961	0.0127076	0.0199996	0.0271477	0.0187073	0.0175754	0.0114412	0.0121055	0.0126303	0.0136248	0.0132614	0.0150628	0.0214502	0.0114507	0.0199199	0.024402	0.0976553
calebasse	0.0030632	0.00840944	0.011959	0.0105796	0.0102828	0.0203475	0.0359247	0.0236488	0.015133	0.0339304	0.052057	0.0640583	0.103724	0.0958751	0.0833459	0.0939021	0.0789739	0.0629993	0.0763253	0.0459995	0.0259761	0.0120427	0.00597359	0.00752425	0.00524274	0.00349382	0.00231452	0.00120783	0.000557278	0.000565175	0.000308414	0.000546466	0.000731079	0.000704483	0.000271417	0.00129896	0.000702017
est	0.119342	0.069381	0.052285	0.0495372	0.069785	0.0431204	0.0456357	0.0373653	0.0289121	0.0302791	0.0280177	0.0217886	0.0258751	0.0385455	0.0278059	0.0265243	0.0132036	0.0150338	0.0151663	0.00899888	0.00772448	0.0151981	0.0121834	0.0135786	0.0136814	0.0119704	0.00725816	0.0131375	0.00975141	0.0176963	0.0086298	0.0189348	0.0100761	0.0258065	0.0107949	0.0232322	0.0137433
cassée	0.0404218	0.0413472	0.0424654	0.0525622	0.052455	0.0291499	0.0232607	0.0134003	0.0117702	0.0237894	0.0222656	0.0234393	0.0270524	0.0386013	0.0226083	0.0327487	0.0385863	0.0448001	0.0699884	0.0614171	0.0322209	0.0278998	0.0208836	0.033897	0.0253501	0.0334046	0.0241653	0.0183176	0.0126523	0.0117889	0.00350005	0.00602664	0.00402372	0.00691809	0.00570625	0.0075373	0.0135782
et	0.0592535	0.0400914	0.0387317	0.0301102	0.0320832	0.025002	0.0271039	0.0326876	0.0680692	0.0796392	0.079169	0.0584849	0.025857	0.0262203	0.0298996	0.0345469	0.0289199	0.0212363	0.0267422	0.0218439	0.0157496	0.00825854	0.00557818	0.00511145	0.00822228	0.00843697	0.00885717	0.00977431	0.00922766	0.0142835	0.0137701	0.0160153	0.0162813	0.0196862	0.0140119	0.0230146	0.0180294
il	0.0473628	0.0300074	0.0216945	0.0262826	0.0316376	0.0249564	0.0166531	0.022192	0.0240832	0.0273525	0.0178462	0.0215011	0.0248654	0.0213808	0.0233082	0.0185986	0.0122912	0.00997932	0.0109394	0.00925721	0.00720094	0.0118172	0.0134655	0.0218409	0.0369618	0.0329237	0.022455	0.0454958	0.0394314	0.0574327	0.0369929	0.0395241	0.0236406	0.0417017	0.0418424	0.0272891	0.0577947
ne	0.0228838	0.0270069	0.032869	0.0256773	0.0118014	0.0101934	0.0106074	0.00912399	0.0101249	0.0127402	0.0137407	0.0178681	0.0197652	0.0284208	0.0380335	0.0328556	0.0286569	0.0198463	0.0220359	0.0143386	0.0105204	0.0220686	0.0249687	0.0401504	0.0316915	0.0242125	0.0321778	0.0354684	0.0411739	0.0502811	0.0381543	0.0515523	0.031869	0.0353529	0.0427329	0.0308414	0.0481939
reste	0.0275669	0.0267436	0.0348568	0.0301722	0.0159608	0.0127449	0.00974184	0.00496324	0.00546371	0.00947483	0.00967013	0.0123335	0.0148646	0.0181444	0.0211185	0.0183853	0.0212132	0.0207081	0.02334	0.0209436	0.0208506	0.0423954	0.0589933	0.0719029	0.0560928	0.0366275	0.0381477	0.0383486	0.0311626	0.0423742	0.0208834	0.0279946	0.0280804	0.0298694	0.037938	0.0279603	0.0319683
que	0.0269647	0.0300735	0.0268292	0.0246354	0.0277441	0.0226922	0.0149894	0.017997	0.0106408	0.00926517	0.00440573	0.00748607	0.00755626	0.00789071	0.00940299	0.00709442	0.00711865	0.00875838	0.0066258	0.00740908	0.0124043	0.0161341	0.025335	0.0446761	0.0506879	0.0329775	0.0444961	0.0500067	0.0336811	0.0438225	0.0556353	0.0612217	0.0485851	0.0662877	0.0442087	0.0425917	0.0416689
des	0.0331164	0.0314198	0.0198988	0.0171756	0.0197354	0.013284	0.0102807	0.0102032	0.0123462	0.0127224	0.00881557	0.013191	0.0132304	0.0110713	0.012649	0.0102093	0.00847887	0.00834909	0.00731924	0.00661517	0.011421	0.0144194	0.025719	0.033955	0.0319103	0.0276393	0.0295027	0.032423	0.0385214	0.0430979	0.0853003	0.067825	0.0596439	0.0650635	0.0535995	0.0498318	0.0500157
morceaux	0.031136	0.0358208	0.0238748	0.0240471	0.0252639	0.0210629	0.0170367	0.0236942	0.0150296	0.0178972	0.0129576	0.0161885	0.014746	0.0147922	0.0180679	0.0151237	0.0126279	0.0115098	0.0076078	0.00694682	0.0071726	0.0075728	0.0184996	0.0169152	0.0236834	0.0214174	0.0294037	0.0361902	0.0361347	0.0332324	0.0706719	0.0591317	0.0393928	0.070429	0.0463924	0.0662691	0.0520599
</S>	0.0258762	0.0354992	0.0145125	0.0158862	0.0200521	0.00689409	0.0069754	0.00900627	0.00850075	0.00993532	0.0139131	0.0207866	0.0140994	0.0136928	0.015125	0.0200648	0.0119395	0.00906961	0.0082634	0.00707547	0.00793456	0.0105441	0.0191154	0.0153827	0.02297	0.0281894	0.028754	0.0387722	0.0323033	0.0459256	0.0546349	0.042787	0.0521002	0.0656358	0.05414	0.0816364	0.112007
