 	a66	a87	a23	a87	a23	a79	a58	a40	a54	a6	a37	a85	a5	a21	a5	a41	a21	a92	a98	a85	a92	a6	a36	a56	a43	a24	a88	a71	a30	a13	a57	a3	a87	a23	a87	</S>
il	0.0386173	0.0407849	0.0288637	0.0302494	0.0215812	0.0334647	0.0290087	0.0405547	0.0277532	0.0176878	0.0103889	0.0124094	0.0114726	0.0143938	0.00787285	0.00668892	0.00637613	0.00794523	0.00756326	0.00656498	0.00743551	0.00975151	0.0422863	0.101389	0.0401845	0.021271	0.0241129	0.0506866	0.0503583	0.0439798	0.0534278	0.0377655	0.0269485	0.0308633	0.0228457	0.036452
faut	0.0135468	0.0127584	0.0130416	0.0232605	0.0230916	0.0215214	0.0236003	0.0327689	0.0315802	0.0415866	0.0229468	0.0268434	0.02519	0.0374159	0.0425284	0.0306258	0.0290886	0.0319429	0.0238898	0.0183016	0.0247189	0.020331	0.0208363	0.00930125	0.0127229	0.0209494	0.0330612	0.0420773	0.0523668	0.0317429	0.0280537	0.0418231	0.0479463	0.0284649	0.043401	0.0166736
retenir	0.0428154	0.0291785	0.0354142	0.0519354	0.0524356	0.0596251	0.0628617	0.0458824	0.0289422	0.0253861	0.0157865	0.0194143	0.0181048	0.0177453	0.0102869	0.0128531	0.00954863	0.0106792	0.0113463	0.0130735	0.0143034	0.0107814	0.00882882	0.00651171	0.0116834	0.011183	0.0154486	0.0156685	0.0189402	0.0185942	0.0232826	0.0289612	0.0365731	0.0499879	0.082725	0.0732119
tout	0.136622	0.0727432	0.0352791	0.0328299	0.0227868	0.0156404	0.0115744	0.0249989	0.0323661	0.0178749	0.00739796	0.0107624	0.00725513	0.00815692	0.00557805	0.00485056	0.00754691	0.00682393	0.00823735	0.0200584	0.0467904	0.0439679	0.0248877	0.0126125	0.0147669	0.0142886	0.0145118	0.0144935	0.0153999	0.0207916	0.0226996	0.0277245	0.0493297	0.0620853	0.058469	0.0677978
ce	0.0899069	0.0641303	0.0581194	0.0499529	0.044754	0.0218676	0.0189094	0.0188381	0.0118677	0.0131722	0.0144246	0.0145801	0.0166752	0.0198813	0.0182975	0.0156618	0.0165192	0.0151017	0.0190459	0.0228728	0.0398155	0.0357733	0.0426188	0.0145542	0.0116645	0.00997705	0.0104684	0.013399	0.0187552	0.0106934	0.013004	0.036404	0.0533864	0.0337035	0.0504241	0.04078
qu'	0.0399753	0.0289815	0.0281644	0.0483338	0.0558666	0.072022	0.0960048	0.0475259	0.0381219	0.0396376	0.0476867	0.0393415	0.0486908	0.0519391	0.0349288	0.0281685	0.0133664	0.014561	0.0169812	0.00910891	0.00850755	0.008667	0.010951	0.0122592	0.00961777	0.0101389	0.0108775	0.00887046	0.0106631	0.00949917	0.012991	0.0131193	0.0161974	0.0158659	0.0126914	0.0296769
ils	0.062767	0.0272705	0.0140809	0.0205805	0.0161307	0.0184831	0.0221494	0.0320788	0.0669372	0.0591944	0.0326494	0.0351138	0.0312087	0.0675117	0.0748974	0.033299	0.0165124	0.0120652	0.00998787	0.00751272	0.0127009	0.0057551	0.0130926	0.0117846	0.015934	0.020341	0.0406821	0.0242935	0.0296704	0.0212213	0.0208976	0.0203899	0.0278289	0.0281021	0.0259381	0.0209375
te	0.0756193	0.0439742	0.024526	0.0173474	0.0128697	0.0123914	0.00738967	0.0042202	0.00334399	0.00449266	0.00578473	0.00702365	0.00871992	0.012786	0.0104371	0.00791597	0.00517002	0.00549163	0.00775608	0.00781049	0.0420049	0.0367808	0.0685438	0.019191	0.0310307	0.0258551	0.0370227	0.0369746	0.0484741	0.034745	0.0444743	0.0634431	0.0783855	0.057444	0.0639559	0.0266043
diront	0.0778888	0.0873907	0.0891746	0.0742105	0.0569004	0.0519984	0.0259651	0.00827675	0.00822897	0.00622059	0.00687075	0.00972003	0.00908629	0.0136891	0.00747707	0.00610688	0.00435825	0.00632433	0.00825912	0.00958555	0.0134745	0.0110546	0.0183374	0.0114817	0.0147837	0.00872996	0.010116	0.016882	0.0192884	0.0199984	0.0270291	0.0364372	0.0493986	0.0541537	0.0521392	0.0689633
</S>	0.0360839	0.0340778	0.0372242	0.0363929	0.0306463	0.0298731	0.0224984	0.00957207	0.0114118	0.00808847	0.00808005	0.00994607	0.0128967	0.0174718	0.00749536	0.00813873	0.00593792	0.0070781	0.00791369	0.0065512	0.0101964	0.00705978	0.0167197	0.0144224	0.0230591	0.0171235	0.0278002	0.038141	0.0430584	0.0433429	0.0546136	0.0576012	0.0685929	0.0836241	0.0668243	0.0804422
