 	a83	a21	a25	a69	a90	a92	a21	a12	a18	a61	a21	a92	a5	a61	a21	a85	a37	a61	a62	a88	a66	a9	a99	a87	a30	a87	a23	a99	a87	a97	</S>
la	0.101493	0.0964478	0.0777505	0.0576748	0.0313228	0.0267632	0.0233257	0.0222663	0.0151951	0.0169491	0.0138168	0.0129499	0.0166313	0.0130379	0.0103393	0.015052	0.0174316	0.0186192	0.0176277	0.0357995	0.035077	0.0298162	0.0327753	0.0289015	0.0192027	0.0236865	0.0346108	0.0257687	0.0403098	0.0305647	0.058793
chambre	0.00346709	0.0367467	0.0438612	0.0525239	0.0394155	0.066681	0.118346	0.105416	0.13929	0.0720886	0.0798407	0.0498137	0.0432612	0.0503149	0.0306281	0.0223243	0.00777362	0.0033191	0.00386593	0.00369957	0.00201176	0.00169258	0.00369633	0.00229308	0.00117395	0.00180202	0.00325653	0.00245555	0.00250667	0.00428758	0.00214665
du	0.0259211	0.0300659	0.0329979	0.0493159	0.0752049	0.0962753	0.0838193	0.0786508	0.0943623	0.0435856	0.0693429	0.0403656	0.0491295	0.0347007	0.0333975	0.0242387	0.0160615	0.0077456	0.00654468	0.00431715	0.00541026	0.00556234	0.00740616	0.00697788	0.00436029	0.0123469	0.00847663	0.0144416	0.0102213	0.020393	0.00836069
malade	0.0361463	0.0313503	0.0283147	0.0258493	0.026468	0.0252695	0.041159	0.0418039	0.0482393	0.0608217	0.0697528	0.104045	0.0923546	0.0740716	0.0511879	0.0273672	0.0180092	0.0144414	0.0189268	0.0216947	0.0129788	0.0125605	0.0136044	0.0102891	0.0114854	0.0142716	0.0123297	0.0146549	0.0126656	0.0133252	0.0145616
dégage	0.0400471	0.0350716	0.0331459	0.0268594	0.0242869	0.0188904	0.0271451	0.0362127	0.0297443	0.0284281	0.0346897	0.0456906	0.0415519	0.0455603	0.0527515	0.0529889	0.045912	0.0486597	0.0481017	0.0308448	0.0330369	0.0187498	0.00926878	0.0124475	0.0115661	0.0137525	0.0183827	0.0293138	0.0219847	0.0402448	0.0446699
l'	0.0303206	0.0352975	0.0452557	0.0361714	0.0367472	0.0303856	0.0393495	0.0276769	0.0242288	0.0354496	0.0483756	0.0492329	0.0462347	0.0407743	0.0439435	0.0370113	0.0317426	0.0244768	0.017916	0.0170567	0.0343697	0.0246826	0.0206857	0.022518	0.0198576	0.0226963	0.0243165	0.0407075	0.0249192	0.0405813	0.0270181
odeur	0.0210363	0.0210906	0.0231216	0.0205674	0.0191617	0.0146802	0.0145282	0.0177063	0.024941	0.036353	0.055598	0.0506538	0.0603228	0.055907	0.0723315	0.057792	0.0517686	0.0468876	0.0343626	0.0215492	0.0276404	0.0247989	0.0222167	0.0211902	0.0193921	0.0244674	0.0262415	0.0357502	0.0214187	0.0258266	0.0306976
ammoniacale	0.0297333	0.0213853	0.0227842	0.0230868	0.0220654	0.0182179	0.0132968	0.0121849	0.0207281	0.0136438	0.0256143	0.0171137	0.023633	0.0168149	0.016893	0.0218835	0.0179458	0.0190845	0.0152516	0.0170084	0.0318652	0.0425271	0.0354642	0.0713514	0.0542459	0.0639158	0.0580718	0.0539728	0.0397465	0.0688354	0.0916347
des	0.0570788	0.034897	0.0382213	0.0400513	0.0491366	0.052712	0.0384862	0.0305081	0.0455676	0.0328698	0.0428987	0.0265461	0.0330395	0.0250849	0.0243419	0.0148894	0.0182272	0.0178099	0.0155753	0.0122724	0.028514	0.0219373	0.015894	0.0341985	0.0224161	0.0312658	0.0306317	0.0376641	0.0326083	0.0434669	0.0511893
urines	0.0684082	0.0682779	0.0718024	0.0466001	0.0399738	0.0340282	0.0255215	0.0262439	0.0280431	0.0297637	0.0310451	0.0211206	0.0290761	0.0202663	0.0214849	0.0143587	0.0105611	0.0113121	0.0110757	0.0162963	0.0317736	0.0167764	0.015609	0.0243212	0.0224022	0.022405	0.0271537	0.0335751	0.041777	0.0583473	0.0805997
</S>	0.0605941	0.0403667	0.0373405	0.0317808	0.0284267	0.0228825	0.0193995	0.0204637	0.0167041	0.0130481	0.0133408	0.00938747	0.0116024	0.0100133	0.00742636	0.0111986	0.0144582	0.0176127	0.0153146	0.0130646	0.0330353	0.023977	0.0234335	0.0302232	0.0222162	0.0393184	0.0480886	0.0619379	0.0606811	0.1034	0.139263
