 	a66	a87	a23	a97	a30	a53	a90	a44	a21	a12	a75	a98	a47	a79	a90	a93	a56	a96	a93	a90	a20	a7	a84	a82	a57	a3	a99	a97	a87	a23	a99	a87	a97	</S>
il	0.0291192	0.0386265	0.0365385	0.0331724	0.0387955	0.0635907	0.117397	0.0908125	0.0500741	0.0231209	0.0336906	0.0306334	0.0236054	0.0181716	0.0211505	0.019716	0.0157702	0.0103655	0.00836003	0.00642566	0.0117586	0.019294	0.0228266	0.0212716	0.0249693	0.0240399	0.0244696	0.0232042	0.0229206	0.0193719	0.02721	0.0219547	0.0116151	0.0159578
m'	0.0101567	0.0138294	0.0173604	0.0193392	0.0264501	0.0257977	0.0387621	0.079761	0.0543671	0.0470896	0.0548316	0.0562042	0.05193	0.0528732	0.0354024	0.0284298	0.0346841	0.0364535	0.0287262	0.021895	0.0291321	0.0480079	0.0270279	0.0201906	0.00962631	0.0095608	0.00631909	0.00907333	0.0106788	0.0145945	0.021691	0.0174774	0.0298466	0.0124303
a	0.0222788	0.0123601	0.0112311	0.01362	0.011586	0.0103699	0.0107325	0.014446	0.0104701	0.0227663	0.0330405	0.0206702	0.0198108	0.0162005	0.0163146	0.0155316	0.0172489	0.0104726	0.0179326	0.0105611	0.00838995	0.00979816	0.0167893	0.0223955	0.0169509	0.0372567	0.0253933	0.0313563	0.0556477	0.0903633	0.077966	0.0719263	0.105251	0.112871
donné	0.0896926	0.0816414	0.0547235	0.0578938	0.0361614	0.0513281	0.0327933	0.0083088	0.0123521	0.0234698	0.0137167	0.0185424	0.0334376	0.0319986	0.0264737	0.0412589	0.0273805	0.031206	0.0258958	0.0253018	0.0273981	0.0299577	0.0160806	0.0247728	0.0298958	0.0228689	0.023513	0.0178001	0.0111282	0.0136652	0.0117694	0.00923812	0.0167998	0.0215354
des	0.112179	0.0536287	0.0316277	0.029559	0.0204396	0.0183766	0.013496	0.012019	0.0150702	0.0177115	0.0130927	0.0182671	0.0232171	0.0257372	0.0306546	0.020594	0.0216678	0.0135267	0.0220549	0.0253558	0.0358338	0.024299	0.0180061	0.0190845	0.0194554	0.0243483	0.0204719	0.0216385	0.0266815	0.0333364	0.0328272	0.043404	0.0596466	0.082692
coups	0.0723293	0.0500947	0.0269048	0.0217963	0.0136411	0.0288356	0.0354912	0.0531799	0.0562519	0.0485711	0.0775707	0.0320082	0.0297173	0.012002	0.0134279	0.0102931	0.0103419	0.0124358	0.0142576	0.0143092	0.0158128	0.0125363	0.0153504	0.0127815	0.023871	0.0190235	0.0378038	0.028251	0.0304454	0.033617	0.0354587	0.0366494	0.0302019	0.0347377
de	0.134289	0.126208	0.0451387	0.0140617	0.00704431	0.00607312	0.0105744	0.0243749	0.0344721	0.0504921	0.0575528	0.0331303	0.0137667	0.00664745	0.017554	0.00797668	0.00874253	0.00665338	0.0182162	0.0136581	0.0116518	0.00395428	0.00574354	0.00506433	0.0154088	0.0177373	0.0285645	0.0287024	0.0689098	0.0392842	0.0199864	0.0574068	0.042691	0.0182684
tête	0.0595971	0.038045	0.0149994	0.00727634	0.00460474	0.00362636	0.00457101	0.0059974	0.00832781	0.0220553	0.0163274	0.0139548	0.00720452	0.00647136	0.00960625	0.00413358	0.00333137	0.00317592	0.0104308	0.015388	0.022713	0.0144379	0.0249054	0.0293973	0.0375111	0.0444908	0.0545441	0.0599107	0.0656329	0.0956164	0.0707551	0.0965948	0.102976	0.0213896
pour	0.0943365	0.0702848	0.0227637	0.0302942	0.0162313	0.0170937	0.0154017	0.0178423	0.0104394	0.0147741	0.0120095	0.0134939	0.00897644	0.00477076	0.00607424	0.00262541	0.00327964	0.00290597	0.00456054	0.00570819	0.00800923	0.00717415	0.0126214	0.0208521	0.0271487	0.039644	0.0486416	0.0469501	0.0393297	0.0640211	0.0643659	0.0592267	0.0731701	0.114979
rien	0.0396806	0.0263184	0.00938498	0.0136237	0.00997759	0.0112647	0.015889	0.0221934	0.0110803	0.018102	0.019468	0.0202268	0.0159699	0.0108402	0.0105476	0.00539911	0.0063025	0.00434682	0.00791266	0.00917902	0.0126949	0.0103564	0.0171765	0.0214935	0.0214173	0.0318656	0.0241172	0.0315101	0.0302779	0.0583707	0.0937367	0.0605204	0.0917728	0.206983
</S>	0.0319184	0.0289781	0.0174029	0.0112599	0.0172953	0.0136525	0.0300607	0.0369223	0.0242838	0.0266312	0.0297195	0.0370168	0.0255526	0.026348	0.0223974	0.0126224	0.017754	0.0113528	0.0196904	0.0221833	0.0188906	0.00797212	0.00767915	0.00830116	0.00835283	0.0136808	0.0102884	0.0205911	0.0382215	0.0444212	0.0662166	0.054646	0.0914631	0.146233
