 	a66	a87	a23	a4	a58	a90	a92	a75	a47	a31	a0	a24	a0	a34	a31	a0	a21	a12	a43	a47	a88	a94	a38	a11	a10	a87	a23	a87	</S>
c'	0.12097	0.142857	0.163236	0.110748	0.0357995	0.0394482	0.0209373	0.0118587	0.00846224	0.00772848	0.00486508	0.00694753	0.00727658	0.0084538	0.00777295	0.0112219	0.00959282	0.00750967	0.0136288	0.0104101	0.0180884	0.0110556	0.00697562	0.0154424	0.0226049	0.036385	0.0309065	0.0484923	0.0603239
est	0.0303843	0.0202062	0.0220618	0.0193373	0.0306617	0.0358445	0.0454905	0.0483842	0.0331157	0.0404363	0.0281164	0.0265745	0.0194916	0.0211088	0.0267665	0.0329756	0.0372016	0.0562632	0.0488178	0.0647026	0.0537529	0.044279	0.0442565	0.0246999	0.0233029	0.0387244	0.0266819	0.0322974	0.0240639
toi	0.109733	0.0971581	0.0432209	0.0169619	0.0169593	0.0116676	0.010623	0.0109665	0.0081061	0.0221052	0.0227783	0.01931	0.0177343	0.00738474	0.0095853	0.0117861	0.00947413	0.00784251	0.00776777	0.0105988	0.0109085	0.0244191	0.0421831	0.0343677	0.0503661	0.0850188	0.0788229	0.123323	0.0788272
qui	0.0880966	0.0717559	0.0358799	0.0207733	0.0267415	0.0289697	0.0257859	0.01952	0.00891633	0.0190823	0.012179	0.0128205	0.0192546	0.0173111	0.0287189	0.0396944	0.0571388	0.0415786	0.0380176	0.0313876	0.0301778	0.0312897	0.0500473	0.0268945	0.0381987	0.0479087	0.035128	0.0464535	0.0502793
nous	0.0875328	0.072862	0.00927585	0.00673205	0.0104277	0.00998995	0.00850918	0.00927428	0.00446986	0.0123811	0.0120764	0.0141894	0.0364179	0.0260796	0.0261218	0.0555217	0.0543213	0.0489168	0.0504616	0.0438203	0.0624851	0.0429342	0.0441459	0.0295219	0.0360629	0.0793018	0.0345614	0.0570396	0.0145656
a	0.0696959	0.0392306	0.0442571	0.0221606	0.0564913	0.0945924	0.0666877	0.0672865	0.0188054	0.0339647	0.0150988	0.0258528	0.0505404	0.0410982	0.0389976	0.0226733	0.0170442	0.0138602	0.0146013	0.0116695	0.0171591	0.0137837	0.0160202	0.0174323	0.0212188	0.0481578	0.0290264	0.0504936	0.0220999
fait	0.0248043	0.0121414	0.0144712	0.0101956	0.0211683	0.0269921	0.0260891	0.0381286	0.0260468	0.0375988	0.0519639	0.0666576	0.10143	0.140613	0.121317	0.0378679	0.0219996	0.0285125	0.0221815	0.0172746	0.0170874	0.0199483	0.0248272	0.0217054	0.0148955	0.0170986	0.0140526	0.0156498	0.0072819
rater	0.0379091	0.019072	0.0172805	0.0122647	0.0105916	0.011857	0.0128807	0.0119987	0.0119629	0.012092	0.0129206	0.0161783	0.0192206	0.0203588	0.0350094	0.0438112	0.047289	0.048007	0.0454631	0.0519502	0.062941	0.0645037	0.0612053	0.0431958	0.057664	0.062933	0.0479664	0.0595502	0.041923
le	0.0468444	0.03207	0.0197233	0.0102383	0.00403731	0.00495548	0.0044378	0.00375311	0.00320867	0.00430825	0.00668403	0.0119919	0.02212	0.0267021	0.0313264	0.0447958	0.031102	0.0314323	0.0330344	0.0317737	0.0583787	0.0672449	0.0636111	0.0495886	0.0782375	0.101113	0.0640913	0.0811402	0.0320551
voyage	0.0516612	0.0486452	0.0414988	0.029728	0.0156974	0.0153669	0.0141174	0.010669	0.0103666	0.0104555	0.0101671	0.0116642	0.0213743	0.0239165	0.035192	0.032546	0.0244397	0.0263024	0.0298063	0.0187207	0.0329055	0.0510403	0.0560096	0.0458685	0.0794551	0.0759452	0.0500436	0.0733361	0.0530607
</S>	0.0666698	0.0732026	0.0456763	0.021589	0.00809756	0.00660611	0.0065779	0.0073477	0.00732447	0.00869659	0.00720171	0.00918413	0.0192368	0.0143707	0.0145245	0.0168765	0.0156547	0.015137	0.0156161	0.0128387	0.0185336	0.0190205	0.0235752	0.0296748	0.0822001	0.0808615	0.0851756	0.117023	0.151507
