 	a66	a87	a23	a62	a47	a61	a34	a96	a34	a21	a61	a75	a92	a98	a85	a92	a44	a93	a90	a4	a57	a3	a97	a87	a23	a40	a36	a37	a61	a62	a70	a93	a90	a69	a54	a79	a37	a61	a18	a25	a87	a23	a87	</S>
la	0.0521055	0.0580183	0.0509069	0.0586374	0.0414355	0.0443851	0.0308114	0.0364495	0.0333404	0.0330935	0.0199774	0.0320279	0.0214155	0.0327382	0.0277774	0.0294337	0.0180773	0.0196488	0.0391704	0.0216122	0.016395	0.0143695	0.0109158	0.00848363	0.0100516	0.0109713	0.0132813	0.00784972	0.0115944	0.0113365	0.0147854	0.0241612	0.0137395	0.00895054	0.0072221	0.00978759	0.00934361	0.00566158	0.00916761	0.0108097	0.0125191	0.0216783	0.0203442	0.0155187
manière	0.00324069	0.0046728	0.00877095	0.00999028	0.0209158	0.0115991	0.021566	0.0295344	0.0590045	0.118274	0.0513192	0.126956	0.0747466	0.0244986	0.0178341	0.0240693	0.0152385	0.0292102	0.0772692	0.0269496	0.0279571	0.0144709	0.019415	0.0163655	0.0164843	0.0126199	0.0119133	0.0088651	0.0091405	0.0122993	0.0104361	0.0102743	0.00958127	0.00687063	0.00498977	0.00497009	0.00391144	0.00384634	0.00328178	0.00234793	0.0050399	0.00846664	0.0160668	0.004726
dont	0.0476697	0.0366647	0.0455824	0.0354411	0.0360146	0.0362596	0.0252172	0.0251431	0.0347508	0.0671715	0.0439377	0.0497927	0.0308045	0.0243593	0.0189486	0.0481115	0.0375706	0.0303387	0.0423771	0.0353488	0.0500162	0.0475739	0.0552138	0.0173688	0.0107345	0.0071247	0.00243404	0.00346836	0.00436522	0.00333333	0.00335565	0.00319508	0.00165485	0.00224835	0.00216055	0.00352537	0.00291747	0.00449975	0.00226973	0.00255482	0.00423871	0.00167827	0.00555609	0.00700823
cette	0.0112691	0.0101029	0.00820969	0.00455385	0.00432412	0.00532615	0.00403829	0.00472677	0.0069108	0.013267	0.0133216	0.0201539	0.00955017	0.0233411	0.0170773	0.0531591	0.0455834	0.0336281	0.0487949	0.0330641	0.054134	0.0327475	0.0493904	0.022726	0.0173007	0.0150728	0.00809857	0.0136851	0.022115	0.0474593	0.0388353	0.0307865	0.0419257	0.0236155	0.0196978	0.0163039	0.0265536	0.034162	0.0162209	0.0204254	0.0256733	0.013106	0.0250851	0.0144774
enfant	0.0284334	0.0121522	0.00791849	0.00620949	0.0051683	0.0068691	0.0062931	0.00532315	0.00788242	0.0125353	0.00941078	0.0174784	0.0112078	0.0155129	0.0115662	0.0215708	0.0188489	0.0174172	0.0345385	0.0309458	0.0444175	0.0346261	0.0629203	0.0293148	0.0222227	0.0164477	0.0161188	0.0153599	0.0156217	0.017029	0.0179498	0.0200905	0.0272736	0.0422762	0.0235878	0.0267082	0.0275927	0.0266628	0.0261883	0.0320204	0.0289742	0.0394856	0.0589344	0.0408946
vomit	0.0311353	0.0243694	0.0293439	0.0159211	0.0152537	0.0193904	0.0121309	0.0093435	0.0123488	0.0169743	0.0234066	0.0235151	0.037641	0.0328219	0.0416216	0.0591845	0.0415132	0.0317056	0.044949	0.0328453	0.0322892	0.0357997	0.0599516	0.0248671	0.0172212	0.0144323	0.0147621	0.0143977	0.0217131	0.0211481	0.0210127	0.0221052	0.0131103	0.0163864	0.00771705	0.00831028	0.0100355	0.00823967	0.00986681	0.0118492	0.015829	0.011177	0.0156069	0.0167571
il	0.0210829	0.0195766	0.0209436	0.010741	0.00880441	0.00765524	0.0060333	0.00489777	0.0057335	0.00699922	0.00895845	0.00788956	0.0146307	0.0113946	0.012966	0.0164919	0.0132733	0.0122815	0.0242886	0.0198434	0.0205867	0.025235	0.0373428	0.0260682	0.0226829	0.0224724	0.0274324	0.0258705	0.0412766	0.05334	0.0616637	0.042454	0.072304	0.0457494	0.0396698	0.0255709	0.0293637	0.0200236	0.0124821	0.0140925	0.0279922	0.014889	0.0230078	0.0139443
a	0.022761	0.0194843	0.0175086	0.0103298	0.00780594	0.00716717	0.00472935	0.00429771	0.00313856	0.0026396	0.00360743	0.0040465	0.00739286	0.00580414	0.00418176	0.00668322	0.00526675	0.00555683	0.0151041	0.0133242	0.0193914	0.0174915	0.0145381	0.0214841	0.026131	0.0341165	0.0289273	0.0268869	0.0398986	0.0581863	0.0525689	0.0304756	0.0609613	0.0483399	0.0312649	0.0312435	0.0336407	0.0248364	0.0347335	0.0368412	0.0426804	0.0461223	0.0438345	0.0245755
certainement	0.0221656	0.025213	0.0274647	0.0169031	0.0118167	0.00960147	0.00612856	0.00725372	0.00471533	0.00404483	0.00526996	0.0108228	0.0147076	0.0140231	0.0134745	0.0145428	0.012376	0.0113652	0.0136526	0.0097561	0.0111178	0.0103734	0.00930682	0.00846725	0.0133363	0.0144934	0.0123949	0.0111099	0.0173811	0.0235716	0.0225674	0.0224681	0.0310689	0.0221864	0.0143821	0.0259774	0.0242115	0.0231978	0.0515849	0.0662468	0.0637129	0.0891825	0.0764667	0.0798965
des	0.024181	0.0227459	0.0228945	0.0161158	0.0117383	0.0119823	0.00792429	0.0115469	0.0118762	0.0107699	0.0199138	0.0246	0.0275726	0.0340228	0.0292317	0.028654	0.0328108	0.0288751	0.0157281	0.0178169	0.0170272	0.0159512	0.016005	0.0110108	0.0137227	0.0113845	0.00903666	0.00930855	0.0104152	0.0102511	0.0113673	0.012107	0.0214377	0.0125409	0.0118691	0.0177656	0.0162981	0.0246439	0.0379116	0.0451684	0.0606716	0.0586142	0.0575047	0.0769861
