 	a27	a82	a10	a87	a10	a87	a23	a87	a23	a58	a57	a53	a69	a4	a11	a96	a98	a83	a53	a4	a96	a18	a54	a73	a7	a44	a53	a4	a70	a99	a50	a99	a66	a71	a9	a97	a87	a23	a87	</S>
le	0.0395778	0.0410012	0.0341542	0.0330087	0.0203313	0.0306745	0.0326185	0.0305948	0.0441852	0.0327027	0.0493249	0.0319619	0.0573447	0.0556121	0.0302984	0.0228259	0.0314071	0.022409	0.0184848	0.0142376	0.0149089	0.00673052	0.00836198	0.00776259	0.00771625	0.017217	0.0108004	0.015246	0.0164643	0.0140328	0.0196315	0.0316503	0.022275	0.0276346	0.0162025	0.011625	0.012193	0.0144041	0.016836	0.0355516
véhicule	0.0013033	0.00439265	0.00427568	0.00558029	0.00756135	0.0280858	0.0400064	0.0361463	0.0590818	0.0330144	0.053517	0.0369971	0.0456654	0.0695325	0.0916287	0.114363	0.138589	0.0790831	0.0287203	0.0345284	0.0168899	0.013904	0.011367	0.00883076	0.0041099	0.00521444	0.00436135	0.00285174	0.0026577	0.00351606	0.00258321	0.00138058	0.00168308	0.00150577	0.000821225	0.000832241	0.00110247	0.00180025	0.00188472	0.000631242
qui	0.0355063	0.0517777	0.0490011	0.039055	0.0323446	0.0333153	0.0262561	0.039186	0.0420321	0.0323642	0.0135597	0.0196608	0.0199018	0.0262779	0.0474925	0.0365534	0.0385987	0.0430236	0.0264753	0.0377602	0.0232645	0.0419546	0.028839	0.0256504	0.0241311	0.0204981	0.0111139	0.00827502	0.00751404	0.0054139	0.0120016	0.007987	0.00941815	0.010872	0.00865976	0.017059	0.0111948	0.00950319	0.0228881	0.00361948
est	0.0571764	0.0336383	0.0213375	0.0145622	0.00928427	0.00552807	0.00531416	0.011335	0.00568399	0.00493572	0.00127417	0.00256351	0.00346033	0.00391727	0.00320568	0.00483794	0.0081574	0.020246	0.0272406	0.0237638	0.0270892	0.0302643	0.0187336	0.022588	0.0158106	0.00967926	0.0114209	0.00991405	0.00777149	0.0192787	0.0315964	0.045735	0.0432025	0.0507281	0.0478182	0.043737	0.0729824	0.0481936	0.0547039	0.121291
tombé	0.0273041	0.0192796	0.0159916	0.0135729	0.0135176	0.0116346	0.0126527	0.0163056	0.0110028	0.0164374	0.0134212	0.0224406	0.0141494	0.0131437	0.0113444	0.0159276	0.022313	0.0309723	0.0309536	0.0631448	0.065422	0.0466336	0.0241762	0.0340617	0.0288184	0.0354221	0.0230457	0.0154728	0.0213015	0.0158022	0.0283445	0.0171145	0.0172444	0.027047	0.017371	0.0256604	0.0454606	0.0317098	0.0389307	0.0454513
en	0.0202177	0.0116139	0.0097915	0.00826157	0.0107258	0.0112133	0.0090562	0.0148878	0.00872982	0.0117068	0.0131759	0.0207914	0.0136727	0.0153802	0.0231446	0.0202156	0.0288228	0.0479903	0.0299405	0.0350636	0.0436956	0.0269754	0.0167422	0.0248114	0.0380328	0.0399084	0.0189199	0.0198209	0.0199792	0.0167508	0.0299163	0.0278391	0.039755	0.0295135	0.0389744	0.0408379	0.034946	0.0485744	0.0443749	0.0352299
panne	0.0238848	0.012314	0.00960022	0.00965265	0.0134575	0.0198611	0.0117455	0.0200943	0.0142923	0.0142942	0.0154361	0.0201627	0.0143273	0.0161717	0.0293456	0.0282937	0.0215409	0.0253379	0.0361718	0.0557012	0.0362545	0.0458639	0.042927	0.0461979	0.0581534	0.0557458	0.0299001	0.0285803	0.0459398	0.0167588	0.0235696	0.0142704	0.0183628	0.0143144	0.0195398	0.0232704	0.0133663	0.0208332	0.0215919	0.0128744
hier	0.0240266	0.0102242	0.013494	0.0125933	0.0154971	0.0262881	0.0196067	0.0294685	0.0331374	0.0398074	0.0335918	0.0581674	0.0247751	0.0335522	0.0370991	0.0200855	0.0138179	0.0186896	0.0405838	0.0493416	0.0248452	0.0373292	0.027161	0.0311931	0.0559543	0.0472325	0.0232967	0.0235163	0.0381362	0.0118578	0.017957	0.00799766	0.00836948	0.00828527	0.00924801	0.00923827	0.0104925	0.0194639	0.0163855	0.0181931
est	0.0274139	0.0183198	0.014885	0.0117242	0.0139931	0.0133094	0.0123344	0.0151467	0.0157801	0.0226154	0.02522	0.0339002	0.0205722	0.0261462	0.0496643	0.0300012	0.0162838	0.0169657	0.0211356	0.0309851	0.0168386	0.0183934	0.0191651	0.0226936	0.0412591	0.0511551	0.0227552	0.0230325	0.0328872	0.0220132	0.0330583	0.0285956	0.0273235	0.026957	0.0283948	0.0286846	0.0285395	0.0364967	0.0299113	0.0254494
déjà	0.0264765	0.0211251	0.0209229	0.018011	0.0247594	0.025275	0.0222406	0.0280258	0.0277196	0.0271923	0.0395769	0.0271496	0.0158381	0.0149821	0.0262767	0.0186921	0.0163129	0.0217604	0.0375916	0.0468971	0.0304043	0.0319878	0.0321839	0.033178	0.0438246	0.0487306	0.018875	0.0166152	0.0269148	0.00921409	0.0219749	0.0134169	0.0132585	0.0191858	0.0145716	0.0150995	0.0217551	0.0308871	0.0229072	0.0281897
