 	a66	a87	a23	a79	a13	a38	a62	a21	a5	a43	a11	a93	a90	a69	a90	a56	a32	a31	a12	a88	a71	a9	a87	a23	a87	</S>
son	0.088532	0.0943125	0.0573586	0.0386455	0.0202271	0.0247879	0.0342874	0.0299144	0.04229	0.0260002	0.0218543	0.0235021	0.0174367	0.00962288	0.014535	0.0167627	0.0101365	0.0152011	0.0209017	0.0470985	0.0556327	0.0646133	0.0375354	0.0757644	0.0383625	0.0746846
ami	0.024447	0.0274345	0.0339232	0.0711608	0.147167	0.103175	0.047224	0.0656495	0.0429587	0.0336029	0.0371334	0.0507376	0.0417963	0.0266702	0.0218498	0.0142598	0.00899454	0.0161325	0.0112157	0.0215204	0.0165788	0.0247252	0.0233774	0.0314597	0.0271421	0.0296644
lui	0.0414303	0.0556507	0.0925883	0.102435	0.0565602	0.124828	0.0569985	0.0481348	0.0383846	0.0254969	0.0258441	0.0201265	0.0279744	0.0238589	0.0213002	0.0170426	0.0130656	0.0118991	0.00689439	0.0171513	0.0123135	0.0207911	0.0207526	0.0257899	0.0606328	0.0320558
a	0.0505555	0.0112658	0.00890899	0.00611423	0.00796246	0.0077238	0.010541	0.0201344	0.0437916	0.0744784	0.0485447	0.0308579	0.0270332	0.0338104	0.0511774	0.0223567	0.016808	0.039519	0.0271757	0.0481255	0.0476636	0.0574938	0.0616034	0.0716594	0.0722708	0.102424
donné	0.0962156	0.0382652	0.0325489	0.0347254	0.0315346	0.0587314	0.0724766	0.0786974	0.0822647	0.0634733	0.0559088	0.0357852	0.0123373	0.0176808	0.0166908	0.00751497	0.0088664	0.014659	0.019483	0.0163054	0.0172344	0.0163933	0.0231767	0.0310903	0.0323692	0.0855713
un	0.0822009	0.0420826	0.0308897	0.0276494	0.0265697	0.0369982	0.0556889	0.0549434	0.0373751	0.035532	0.0377629	0.0404958	0.0229386	0.0253892	0.0201962	0.0131852	0.0162104	0.022573	0.0333783	0.0302102	0.0361589	0.0329728	0.0347851	0.0533862	0.0486917	0.101736
coup	0.0669288	0.0412252	0.0277875	0.0276766	0.0338886	0.0645341	0.0676269	0.0765028	0.0494445	0.0363201	0.0254133	0.0202642	0.0251526	0.0295108	0.0233942	0.0152691	0.0119088	0.0105149	0.00727989	0.0168943	0.0159598	0.0312993	0.0366123	0.0552621	0.0951752	0.0881541
de	0.0734767	0.0977286	0.0325978	0.0156928	0.0207787	0.0319713	0.050549	0.0332229	0.0240698	0.013172	0.0218211	0.0118744	0.0106574	0.0158412	0.0198868	0.0146357	0.0168102	0.0321856	0.0385989	0.0652801	0.0543982	0.0424932	0.0963749	0.0390648	0.0866765	0.0401416
poing	0.057544	0.0683024	0.036541	0.0239427	0.0532744	0.0550318	0.081343	0.0598409	0.0190035	0.0256844	0.0156986	0.0107596	0.0113795	0.00928725	0.0133737	0.0123098	0.0171107	0.0259487	0.0211121	0.0349775	0.0262059	0.0363891	0.0542971	0.038394	0.130883	0.0613655
au	0.0374459	0.0188625	0.0124859	0.0103106	0.0173053	0.0113284	0.0131074	0.0100225	0.00865737	0.0116079	0.0118713	0.0083415	0.01108	0.00793712	0.0117987	0.00750684	0.0129922	0.0490155	0.0656806	0.0685978	0.0764608	0.0630963	0.0847657	0.094657	0.106653	0.168412
visage	0.0189794	0.00892519	0.00520651	0.00355331	0.0034833	0.00394051	0.0117292	0.0184135	0.012112	0.0144853	0.0114482	0.00929407	0.00697992	0.00698105	0.0121675	0.00827797	0.009625	0.0276511	0.0349566	0.0744293	0.085604	0.0981055	0.121719	0.080142	0.0934867	0.218304
</S>	0.0261171	0.0151128	0.00590722	0.00415276	0.00589632	0.00590916	0.0130523	0.0159092	0.0133025	0.0137083	0.00938133	0.00932151	0.00424578	0.00375165	0.00553826	0.00566308	0.00800591	0.0329446	0.0668039	0.0810278	0.0969786	0.0900987	0.0878939	0.063717	0.0633254	0.252235
