 	a23	a87	a10	a87	a30	a53	a15	a47	a37	a21	a47	a62	a61	a21	a61	a0	a11	a96	a75	a85	a56	a96	a75	a85	a43	a11	a61	a85	a15	a92	a34	a47	a96	a21	a47	a88	a62	a47	a62	a83	a9	a10	a87	a23	a10	</S>
il	0.0226752	0.0181221	0.0177189	0.0197902	0.0219692	0.026935	0.0598584	0.0499868	0.0260438	0.0431798	0.044884	0.0479819	0.0591289	0.0759106	0.0400282	0.029241	0.0369212	0.0273784	0.0275624	0.0286202	0.0134978	0.0192353	0.00840147	0.00539568	0.00482453	0.00375229	0.00425782	0.00304315	0.00430175	0.00408244	0.00459635	0.00438458	0.00596931	0.00948112	0.010231	0.00880054	0.0097865	0.0166189	0.0196615	0.0145427	0.0220817	0.0158767	0.015497	0.0128	0.0139243	0.0210192
a	0.00282711	0.00299083	0.00205534	0.00203171	0.00210221	0.0024821	0.003944	0.0149308	0.0179401	0.0409411	0.0432659	0.0730569	0.0307922	0.0277369	0.0249189	0.0468703	0.0119069	0.0578868	0.0407459	0.0213241	0.03187	0.0277011	0.0497841	0.0484968	0.0376313	0.0599928	0.0325412	0.0174562	0.00767464	0.00951536	0.0078209	0.00843239	0.00860431	0.0152672	0.0140205	0.0101016	0.021167	0.0188211	0.0159573	0.022364	0.0124845	0.0140676	0.0118956	0.00948977	0.0114056	0.00468729
contourné	0.00837541	0.00487859	0.00328135	0.00306652	0.00363157	0.00345761	0.00652561	0.0106399	0.0385207	0.0304236	0.0314521	0.0543852	0.033586	0.0330924	0.0327121	0.0550696	0.0323189	0.0414948	0.0472377	0.0655566	0.0295998	0.0210097	0.0507835	0.0310675	0.0148981	0.0487839	0.0308607	0.0231776	0.00688466	0.00987383	0.00382689	0.0069091	0.00510596	0.00584194	0.00670355	0.00536133	0.00878406	0.0198205	0.0096837	0.0174902	0.0133236	0.0205499	0.0160138	0.0160911	0.0196343	0.0182147
ma	0.0451558	0.0333575	0.0220395	0.0261966	0.0263269	0.0233826	0.0236244	0.0241723	0.0124123	0.0120516	0.00615517	0.00974313	0.00950555	0.0122706	0.0148213	0.0185428	0.0296365	0.0309195	0.0500969	0.0468699	0.0312732	0.0306856	0.0412617	0.0367192	0.0258949	0.0233009	0.0148586	0.0112707	0.0113227	0.0211296	0.0254592	0.0280445	0.0230242	0.0196227	0.0142082	0.00806951	0.0107065	0.0171126	0.011009	0.0134976	0.0122254	0.0127937	0.0141493	0.0182049	0.0186177	0.028257
parcelle	0.0287568	0.0215928	0.0205122	0.0188286	0.0284383	0.0259605	0.0137794	0.0121498	0.0121648	0.0101059	0.00534366	0.00703435	0.00562936	0.00613621	0.00887571	0.0131652	0.00948731	0.017727	0.0227367	0.0202125	0.0304263	0.0242263	0.0355462	0.0327961	0.0206284	0.0244917	0.0190935	0.0350854	0.0317989	0.0312067	0.0363703	0.0550216	0.0569024	0.0433106	0.0161228	0.0104266	0.0156206	0.0194528	0.0120658	0.0169449	0.0179093	0.017923	0.0215133	0.0181665	0.0291209	0.0191922
parce	0.0332103	0.0163137	0.00942007	0.00847055	0.0087941	0.00850636	0.0124583	0.0104073	0.0153249	0.00962189	0.00842911	0.0135313	0.0179214	0.0277821	0.036555	0.0335556	0.0304734	0.0260179	0.0368569	0.03978	0.0476571	0.0440931	0.0327583	0.0550231	0.0423247	0.0233054	0.018401	0.0195559	0.0222028	0.0176431	0.0173311	0.0144785	0.0138227	0.0123884	0.00866353	0.0106822	0.0113113	0.0123636	0.0120766	0.0129215	0.0168405	0.0209634	0.0255839	0.0250874	0.0259086	0.0331821
qu'	0.045165	0.0356963	0.0229305	0.0169698	0.011779	0.00862968	0.00618932	0.00858389	0.00759359	0.00699053	0.00499501	0.00612982	0.00691363	0.00686951	0.00634595	0.010154	0.0160399	0.0105136	0.0273752	0.0395455	0.0322662	0.0343	0.0253006	0.0186808	0.0149588	0.0186532	0.0143555	0.0145946	0.0155369	0.02259	0.0172933	0.0306756	0.0274653	0.0275921	0.0162787	0.0183862	0.0179428	0.0297149	0.0201472	0.0209974	0.0351316	0.0319284	0.0476419	0.0392195	0.048753	0.0541859
il	0.039386	0.0417044	0.0384886	0.0272107	0.0152714	0.00988151	0.00726459	0.00850781	0.0077775	0.00799836	0.00923456	0.00866958	0.00796412	0.00775537	0.00644083	0.00854625	0.0204284	0.011337	0.0282264	0.0434994	0.0206779	0.0242181	0.0186035	0.0105478	0.00947751	0.0157297	0.0122172	0.0142522	0.0114653	0.0198348	0.013788	0.0254254	0.0273856	0.0469356	0.0269937	0.0172548	0.0230423	0.0244792	0.0268397	0.0373706	0.0338182	0.0359028	0.0379713	0.035961	0.049454	0.0247608
me	0.0475989	0.0651558	0.0393079	0.0348239	0.0252126	0.0115783	0.00771655	0.00658948	0.00464312	0.00359441	0.00224629	0.00425396	0.00540746	0.00622691	0.00394157	0.00567109	0.014612	0.0102589	0.0141638	0.0257789	0.0170074	0.0144072	0.0129371	0.00559398	0.00525552	0.00641817	0.00567256	0.00521814	0.00633802	0.0121256	0.014468	0.0288621	0.0442612	0.0470174	0.0294017	0.0187321	0.0271817	0.041816	0.0322535	0.0427172	0.0432487	0.0417053	0.0424191	0.0413067	0.0441034	0.0307505
doit	0.0346428	0.0469495	0.0309539	0.0306781	0.0290081	0.0246638	0.0263742	0.0207459	0.0240658	0.0113768	0.00566533	0.00897743	0.0103814	0.00962653	0.00691381	0.0116947	0.0115027	0.0133053	0.0149945	0.0191155	0.0267243	0.0182348	0.0141622	0.0163442	0.0177556	0.0164367	0.0161899	0.0180146	0.0252071	0.0237975	0.0288124	0.0323259	0.0344305	0.0245265	0.0131849	0.00772829	0.00988843	0.020611	0.0138125	0.0202113	0.0318549	0.0246488	0.0389819	0.0362396	0.0342622	0.0439779
de	0.0130385	0.0117979	0.0102695	0.0132465	0.015087	0.0192062	0.0286841	0.0294898	0.0305298	0.0170216	0.00961288	0.0118347	0.0179672	0.0140365	0.00931218	0.0143539	0.0162929	0.0153394	0.0190668	0.0261721	0.0314897	0.0233867	0.0186567	0.0190821	0.0237046	0.0202386	0.0198881	0.0155187	0.0187075	0.0157869	0.0142171	0.0213262	0.0197408	0.0191533	0.0137333	0.0179328	0.0211048	0.0381782	0.0184332	0.0237139	0.0445688	0.0359091	0.0450449	0.042527	0.0336919	0.0419055
