 	a15	a87	a23	a87	a10	a50	a62	a83	a47	a31	a0	a75	a85	a36	a26	a57	a87	a40	a26	a57	a79	a21	a47	a96	a83	a62	a83	a24	a83	a75	a96	a62	a83	a75	a85	a61	a21	a5	a85	a37	a56	a92	a43	a0	a9	a10	a87	a23	a99	a97	</S>
au	0.0551129	0.0622858	0.0423587	0.0462696	0.031757	0.0354174	0.0431862	0.0561159	0.0554569	0.0384263	0.0433583	0.0169088	0.00984593	0.0061047	0.00504032	0.00293392	0.00478588	0.00559719	0.00432386	0.00422457	0.00430977	0.00648583	0.0097352	0.0102286	0.00965079	0.00758002	0.00985485	0.0105689	0.0124164	0.0100236	0.0106894	0.0241403	0.024228	0.0175444	0.0204439	0.0209739	0.0203775	0.022182	0.00988471	0.0140379	0.0118233	0.00910224	0.0104718	0.0136855	0.0131434	0.0126611	0.0120635	0.0110439	0.0148161	0.0130939	0.033229
service	0.000882182	0.00276901	0.00277168	0.0036864	0.00543751	0.00600058	0.00493951	0.00913991	0.00914678	0.00808571	0.0127453	0.0165063	0.021011	0.0222678	0.020721	0.0253712	0.0542161	0.060327	0.158023	0.107804	0.153026	0.0951746	0.0526819	0.0371054	0.0268089	0.0208244	0.0188188	0.0114144	0.00647676	0.00608767	0.00405332	0.00286971	0.00247694	0.00111769	0.000870117	0.000999154	0.000290841	0.000348518	0.000371826	0.000411462	0.000287423	0.00040521	0.000328642	0.000356875	0.000541856	0.000437384	0.000653657	0.000969685	0.000345003	0.00102498	0.000568246
on	0.0608522	0.0494334	0.0252299	0.0151981	0.0158447	0.0147453	0.0150507	0.0131381	0.0139277	0.0154544	0.0243164	0.0247254	0.0249298	0.0195342	0.0162917	0.0203978	0.0315575	0.039227	0.0383741	0.0463413	0.048237	0.0487018	0.044212	0.0313493	0.0330909	0.0200175	0.0196053	0.0178003	0.014744	0.0131801	0.0067438	0.0144635	0.00942147	0.00977847	0.00996163	0.00643845	0.00616456	0.00428443	0.00610973	0.00792019	0.00587548	0.00900177	0.0126642	0.00877275	0.0113336	0.0112384	0.0118517	0.0135223	0.00829762	0.0076984	0.00294952
m'	0.0631705	0.0315389	0.0287489	0.00752137	0.00515522	0.00857424	0.00759274	0.00928897	0.0111853	0.0068165	0.00834618	0.00624774	0.00808499	0.00689935	0.0116087	0.00803994	0.023702	0.023864	0.0229667	0.0219438	0.0205486	0.016985	0.0181956	0.0183016	0.0135593	0.0190286	0.0201939	0.0321482	0.0327974	0.0329224	0.0252452	0.0247423	0.023213	0.0181301	0.0203983	0.022048	0.0163351	0.0179976	0.0119013	0.00995735	0.00764926	0.0120431	0.0183371	0.0142399	0.0238118	0.0254539	0.0335718	0.0377244	0.0440933	0.027733	0.0193978
a	0.0586139	0.0309432	0.0397913	0.0223726	0.0259371	0.0162668	0.0216167	0.0122015	0.00819089	0.00712264	0.00921382	0.00374242	0.00414406	0.00348002	0.00724747	0.00798655	0.0133907	0.0191336	0.0123734	0.0107867	0.0143846	0.0210417	0.0186713	0.0271269	0.0430676	0.0351734	0.0365825	0.045697	0.0448267	0.0472892	0.032194	0.0260038	0.0238518	0.0211394	0.0236271	0.0227279	0.0128584	0.00840357	0.00651809	0.00681913	0.00546836	0.00651464	0.00258199	0.00839805	0.00486789	0.0104628	0.0097891	0.017998	0.0211159	0.0189046	0.0413392
fait	0.03366	0.0216531	0.0267895	0.0118916	0.0109905	0.00566907	0.00597653	0.00527324	0.00487195	0.00316548	0.00473989	0.00494849	0.00678996	0.0097621	0.0156663	0.0198042	0.0172589	0.0245635	0.0179297	0.0199236	0.0165242	0.0279763	0.0151335	0.0151305	0.0148918	0.0172131	0.0159712	0.0190505	0.0208917	0.016051	0.0145061	0.0180947	0.0139991	0.0133966	0.0203077	0.0165923	0.0188625	0.0199048	0.0302634	0.0296034	0.0276712	0.0318648	0.0211759	0.0278667	0.0206942	0.0292951	0.0340685	0.0522927	0.0365142	0.0352119	0.0376526
un	0.0239548	0.0129725	0.0211642	0.0128497	0.0159006	0.00869503	0.00813796	0.00865365	0.00734623	0.00518887	0.00774707	0.00743208	0.011627	0.0175371	0.0264743	0.0326128	0.0356871	0.0273261	0.0512234	0.0409767	0.0508916	0.0470566	0.0241522	0.0258864	0.0188758	0.027298	0.0234064	0.0224835	0.0227417	0.0182065	0.0132086	0.0113741	0.00647382	0.00691481	0.00769772	0.00630842	0.00985883	0.0108977	0.0192098	0.0206693	0.0219547	0.0241517	0.0215597	0.0111455	0.016706	0.0127062	0.0228136	0.0312899	0.0181342	0.0195287	0.0228909
crédit	0.0202789	0.021471	0.0276452	0.0156808	0.0184584	0.00834922	0.00965552	0.0101576	0.00919029	0.0070226	0.00712379	0.0111282	0.0197608	0.0290933	0.0342513	0.0371718	0.0516671	0.040676	0.0298781	0.0279327	0.0342416	0.0307235	0.0245574	0.0299909	0.0226938	0.024107	0.0255543	0.0216738	0.0221355	0.0159137	0.0134098	0.0151873	0.00938245	0.00926751	0.00979254	0.00986331	0.0100136	0.00658675	0.0129768	0.0142102	0.0167086	0.0150689	0.019886	0.00783296	0.0145849	0.014131	0.0228697	0.0335227	0.0167492	0.0237233	0.0160487
pour	0.0209343	0.0175619	0.0182707	0.00777172	0.00716448	0.00295505	0.00439762	0.00310899	0.00386037	0.00296804	0.00509235	0.0056329	0.00622613	0.0116803	0.00946878	0.0124474	0.0172752	0.0187713	0.0104513	0.0106292	0.0119192	0.0104933	0.00766066	0.0116027	0.0069743	0.0111391	0.010494	0.013	0.01495	0.00955857	0.0111838	0.0199256	0.0171586	0.0210316	0.0272849	0.026404	0.0352744	0.0212456	0.0325573	0.037549	0.0428096	0.0361115	0.0341782	0.0317082	0.0355213	0.0466764	0.0500974	0.0594321	0.0401536	0.0469229	0.0223142
mon	0.0164241	0.0170989	0.018383	0.0107538	0.00822011	0.00492559	0.00661334	0.00497789	0.00670883	0.00499193	0.00701748	0.004957	0.00553114	0.00949329	0.00706959	0.00792193	0.0105874	0.011276	0.0118098	0.0119401	0.014172	0.0107711	0.0099933	0.0119804	0.0100133	0.0106555	0.0102661	0.0122405	0.0178386	0.0175472	0.0186636	0.0262244	0.0254353	0.0272763	0.0288323	0.033018	0.0320568	0.0226396	0.0257147	0.0283297	0.0331857	0.0291607	0.0225588	0.0427972	0.0284976	0.0538327	0.0467461	0.0476635	0.0417481	0.0542042	0.0192357
mariage	0.0193457	0.0180555	0.018761	0.010162	0.0121685	0.00670382	0.00841989	0.00604576	0.00623881	0.00418112	0.00635387	0.00497339	0.00647939	0.0108422	0.010619	0.0111178	0.0118485	0.0108863	0.0154367	0.015435	0.0190242	0.0157652	0.0145759	0.0187347	0.017562	0.0152318	0.0158514	0.0180752	0.018464	0.0200629	0.0185619	0.0355586	0.0342736	0.0383297	0.0373407	0.0314691	0.0267106	0.024156	0.0183057	0.0285465	0.0246156	0.0225686	0.01805	0.0266313	0.0193444	0.0337505	0.0289719	0.0362701	0.0216668	0.0513487	0.0361078
</S>	0.0301099	0.029438	0.0195358	0.0185766	0.0160132	0.0158135	0.0197164	0.0219125	0.0319185	0.0302787	0.0312101	0.0122002	0.0168943	0.012064	0.0131074	0.011289	0.0121825	0.0112274	0.00685542	0.00707835	0.00708027	0.0100986	0.015566	0.0174431	0.0114933	0.0113112	0.015335	0.0113246	0.0191101	0.0123062	0.0122986	0.0240757	0.0147177	0.0159496	0.0175074	0.0150168	0.0161273	0.0138784	0.0194721	0.0194679	0.0166161	0.0154773	0.014482	0.0183744	0.016525	0.025699	0.0306468	0.0436173	0.0259675	0.0551473	0.0704456
