 	a23	a87	a23	a38	a70	a83	a90	a20	a73	a76	a14	a35	a26	a38	a24	a35	a90	a38	a24	a98	a50	a62	a75	a85	a14	a73	a90	a98	a73	a57	a87	a23	a94	a76	a90	a3	a79	a41	a35	a66	a38	a11	a24	a9	a87	a23	a83	a54	a30	a73	a90	a93	a13	a57	a38	a24	a62	a83	a75	a41	a69	a20	a84	a57	a87	</S>
sa	0.0339882	0.0274989	0.0146987	0.00736936	0.00592774	0.00378927	0.00507744	0.0042394	0.00603581	0.00819601	0.0113357	0.0182988	0.00871665	0.0200584	0.00833897	0.00989606	0.00756926	0.0116655	0.00850224	0.00718797	0.00663728	0.0069689	0.00452976	0.00249432	0.00256869	0.00250444	0.00183906	0.00373923	0.00146725	0.00155369	0.00235983	0.00378996	0.00721997	0.0121751	0.0158161	0.0204197	0.0235779	0.0630367	0.0657103	0.0506481	0.0452253	0.0449591	0.0306265	0.0175927	0.01257	0.0126896	0.0143686	0.0174138	0.0151967	0.0135768	0.0126767	0.01145	0.0101067	0.010499	0.00739571	0.00675864	0.00897478	0.00673262	0.0139732	0.0136167	0.0246096	0.0212049	0.0126965	0.0234109	0.0216455	0.0425827
mère	0.00384893	0.0089764	0.0100547	0.0131773	0.00675232	0.00888264	0.0418128	0.043217	0.136726	0.0548462	0.0521665	0.0158053	0.0271759	0.0181562	0.0077237	0.00496868	0.00281941	0.00400459	0.00517328	0.00702033	0.00840091	0.00512912	0.0096717	0.00963033	0.0301247	0.0096461	0.00803847	0.0111073	0.00569285	0.00847508	0.0130669	0.0153213	0.0112918	0.0150242	0.021138	0.0156049	0.0112122	0.0159096	0.0152537	0.0141949	0.0211801	0.0182754	0.0175537	0.0119496	0.012214	0.0103619	0.0127803	0.0122553	0.0103569	0.0121916	0.0129149	0.0124315	0.0102844	0.00869959	0.00742212	0.00531063	0.0111219	0.00955671	0.0074911	0.00420499	0.00636442	0.00683441	0.00415137	0.00836788	0.00745897	0.011024
a	0.0230954	0.0249577	0.0397787	0.0379571	0.0508414	0.044247	0.0262571	0.0172395	0.0370818	0.0534193	0.026322	0.0158299	0.0144601	0.0118929	0.0114469	0.00691178	0.00449497	0.00559479	0.00731648	0.00410859	0.0155084	0.00967938	0.0243546	0.00586474	0.00980793	0.00326255	0.00819367	0.00417316	0.00465343	0.0048791	0.00850176	0.00825531	0.0141061	0.0123276	0.00993653	0.0102044	0.0107387	0.00950202	0.0112588	0.012183	0.00875878	0.00775042	0.00721566	0.00981963	0.00842786	0.0154895	0.0110843	0.0132737	0.00963116	0.00765667	0.00926649	0.0105366	0.00808407	0.00413903	0.00602579	0.00310665	0.00412686	0.00378749	0.00575496	0.00907359	0.0123757	0.0213327	0.015397	0.0353742	0.0609706	0.030896
plus	0.00796287	0.0243687	0.0473111	0.0630794	0.0596596	0.0530823	0.0376204	0.0296516	0.0361144	0.0388644	0.0450027	0.0452311	0.0482247	0.0307639	0.0273143	0.0160705	0.0148644	0.0121931	0.0147435	0.00834076	0.00648053	0.0102257	0.0103183	0.00880551	0.0100838	0.011072	0.0109903	0.0070344	0.0111627	0.0117703	0.00612054	0.0063967	0.00575074	0.00419983	0.00754372	0.00659185	0.00538973	0.00413929	0.00316918	0.00569892	0.00441584	0.00509208	0.00497951	0.00641	0.00498949	0.00559099	0.00905856	0.00690559	0.00696413	0.00928521	0.0101562	0.00902211	0.011586	0.0126765	0.0110151	0.0136665	0.0107138	0.0099789	0.00651846	0.00486743	0.00439236	0.00406227	0.00361139	0.00310509	0.00292171	0.00460674
d'	0.0297551	0.0220357	0.0196644	0.0117794	0.0189675	0.00575615	0.00285143	0.00262293	0.00264563	0.00382542	0.00532755	0.0140274	0.012279	0.012538	0.0148347	0.0138269	0.0163566	0.0110809	0.0168958	0.0195871	0.0173544	0.0206441	0.0111976	0.00591459	0.00436887	0.0110709	0.0101395	0.0225897	0.0189457	0.0121194	0.023011	0.0286699	0.0363358	0.0347873	0.0399849	0.0357725	0.0384363	0.0293253	0.027723	0.0308505	0.0230596	0.0246291	0.0232529	0.0195132	0.0155173	0.01357	0.0120201	0.0129252	0.0132475	0.0136389	0.0133363	0.00855828	0.00717811	0.00659968	0.00479464	0.00507912	0.00491064	0.00428149	0.00380605	0.00256142	0.00415799	0.00367791	0.00457987	0.00954756	0.0101232	0.019535
amour	0.0336054	0.0277644	0.0214828	0.0132216	0.0127752	0.0049584	0.0037392	0.00398035	0.0041367	0.00413436	0.00339144	0.00862931	0.00530098	0.0122866	0.0165903	0.0134506	0.0127913	0.0140309	0.0196781	0.0222695	0.016799	0.0174905	0.00579502	0.00465427	0.00314576	0.00568284	0.00694553	0.014398	0.0121447	0.00833404	0.0163482	0.0252681	0.0340754	0.0334879	0.0401665	0.0276549	0.0362267	0.043544	0.0386604	0.0359188	0.0301171	0.0236231	0.020035	0.0157011	0.0122751	0.0106669	0.00896204	0.0112167	0.00947716	0.00857533	0.00839947	0.00633794	0.00630464	0.00506943	0.00413239	0.0059345	0.00527792	0.00493736	0.00843935	0.00726637	0.0089334	0.0130705	0.0142644	0.0199418	0.0169529	0.0291299
pour	0.0172335	0.0124993	0.0113619	0.00815579	0.00769215	0.00281236	0.00191521	0.00173789	0.00195229	0.0019804	0.00167795	0.0044168	0.00275788	0.00732236	0.00918138	0.00633393	0.00599354	0.00774901	0.0145391	0.0167546	0.0233185	0.0298077	0.00972771	0.00992265	0.00809206	0.0124007	0.0166127	0.0297257	0.0239068	0.0159587	0.0312976	0.0417911	0.0464287	0.0419883	0.0432067	0.0228586	0.0295357	0.036991	0.0267441	0.0309066	0.0245559	0.0220994	0.020495	0.015264	0.0173203	0.0139227	0.0122711	0.0152587	0.0110649	0.00755875	0.00723046	0.00569943	0.00536085	0.00409747	0.00468789	0.00478144	0.00547882	0.00454253	0.00803456	0.00661673	0.00554548	0.00816987	0.00814938	0.0187806	0.0302374	0.0374873
lui	0.0158059	0.0116604	0.0120088	0.0104528	0.00800118	0.00536196	0.00319764	0.00146878	0.00224813	0.00306018	0.00462741	0.00806773	0.00813592	0.0049829	0.00325747	0.00379979	0.00377586	0.00364702	0.00784148	0.0119737	0.0107573	0.0125968	0.0143687	0.0115855	0.0157671	0.0202843	0.0217994	0.0348675	0.0237663	0.0296263	0.0383444	0.0452326	0.0378661	0.0334069	0.0309755	0.0224745	0.0165615	0.0228341	0.0198333	0.0242046	0.0266963	0.0219656	0.0237617	0.019998	0.0242117	0.0229032	0.0264873	0.0227079	0.0193523	0.0122633	0.0116406	0.0109614	0.00638271	0.00351849	0.00625573	0.00497064	0.00567227	0.00434336	0.00521176	0.0019562	0.00276161	0.00382277	0.00347181	0.0227901	0.0312325	0.0341331
que	0.0120455	0.0104197	0.0107043	0.0110679	0.00512206	0.00331858	0.00338982	0.00185851	0.00346214	0.00627355	0.0152937	0.0255125	0.0223612	0.0180748	0.00745009	0.006484	0.00457634	0.00565618	0.0100146	0.00968568	0.00970353	0.0110354	0.00954164	0.00550755	0.0113171	0.0134344	0.0139673	0.0273228	0.0128426	0.0190761	0.0249598	0.0434846	0.027867	0.0287625	0.0354598	0.0216926	0.0165332	0.0253407	0.0199461	0.0328033	0.0327518	0.0282599	0.0308804	0.0184091	0.0244642	0.0183934	0.0286546	0.018194	0.0131388	0.00836288	0.00558852	0.00649151	0.00511565	0.00583383	0.00464136	0.00357936	0.00721576	0.00518189	0.00748923	0.00649724	0.0100618	0.0127951	0.00814964	0.0229731	0.0279426	0.0355651
pour	0.0249138	0.02233	0.0195462	0.0131984	0.0101537	0.00401966	0.0023473	0.00173686	0.00207383	0.00317328	0.00511073	0.00575477	0.00331765	0.0115554	0.00905928	0.00860792	0.00944472	0.0104526	0.0144266	0.0137975	0.0129671	0.013137	0.00553951	0.0049702	0.00619745	0.010624	0.00991506	0.0145145	0.0100406	0.0100297	0.0113457	0.0148564	0.0145454	0.0144542	0.0154793	0.0116393	0.0135612	0.0236854	0.0236862	0.0211736	0.0219169	0.0180926	0.0200441	0.0128592	0.0145968	0.0123435	0.0127617	0.0146962	0.0119753	0.00978562	0.00762888	0.00877169	0.0107108	0.0116839	0.012007	0.0115014	0.0183376	0.0123916	0.0222843	0.0171878	0.0335309	0.032227	0.0238199	0.0456031	0.0515396	0.0743204
