 	a23	a83	a26	a24	a66	a26	a21	a26	a83	a25	a99	a38	a76	a35	a66	a75	a41	a32	a25	a27	a57	a53	a4	a13	a57	a82	a87	a97	a87	a23	a83	a9	a54	a73	a44	a84	a54	a41	a96	a26	a62	a83	a9	a53	a90	a32	a11	a90	a35	a76	a94	a4	a54	a73	a84	a57	a87	</S>
j'	0.0815476	0.0659029	0.0445099	0.0255404	0.0195422	0.0178468	0.015337	0.00836801	0.00976618	0.00704483	0.00422502	0.00389806	0.00337291	0.00306773	0.00212211	0.00267194	0.00178267	0.00267038	0.00236504	0.00254246	0.00267112	0.00238987	0.00394935	0.00518593	0.00296942	0.00187726	0.00277356	0.00244127	0.00422238	0.00594367	0.0044347	0.00810629	0.00944941	0.00875457	0.0120108	0.0163066	0.0147747	0.0179686	0.0353853	0.0116859	0.0143499	0.0206911	0.0260569	0.0152725	0.0175645	0.020287	0.0409887	0.0306925	0.0292986	0.0286939	0.0322865	0.0242358	0.03688	0.0336997	0.0222972	0.0373267	0.0260296	0.0459238
ai	0.011311	0.0126324	0.0191728	0.0240681	0.0258957	0.0279492	0.0359088	0.013011	0.0207624	0.0192511	0.0164698	0.0170298	0.00885472	0.0135269	0.0140322	0.0244551	0.0247504	0.0356378	0.0292613	0.0267236	0.0255005	0.0497471	0.0490799	0.0216904	0.0223478	0.0127315	0.0127031	0.00808776	0.0128289	0.0174816	0.0170712	0.0179465	0.0106018	0.0136038	0.0160256	0.02167	0.0117648	0.00873029	0.00824086	0.00573844	0.00652926	0.00576464	0.00973039	0.00829853	0.013297	0.00972808	0.0055566	0.00367775	0.00577636	0.00889116	0.00838997	0.007752	0.017896	0.0106475	0.0127578	0.0175371	0.0234445	0.0400292
une	0.0153637	0.0124483	0.0139177	0.0151295	0.0218755	0.0161878	0.0158097	0.0158201	0.0108006	0.0127986	0.0233811	0.0179868	0.00672095	0.00739743	0.00523034	0.00669037	0.00642096	0.00908449	0.0141385	0.0359627	0.0269667	0.0213856	0.0226221	0.026842	0.01853	0.0148047	0.0216277	0.0164759	0.0113167	0.016521	0.0168399	0.0160691	0.0106451	0.00788864	0.0058863	0.00691508	0.00747173	0.00613928	0.00892848	0.00880594	0.0109146	0.00783429	0.00905698	0.00731118	0.00599462	0.00535476	0.00223181	0.0017957	0.00582461	0.00904968	0.0236373	0.0232431	0.0506902	0.0494028	0.0542696	0.0386258	0.0634522	0.0554639
ampoule	0.0093775	0.00580903	0.00902413	0.0106564	0.0134368	0.0152809	0.0194959	0.0207992	0.0321368	0.0326021	0.0258495	0.0180241	0.0233444	0.025485	0.0181097	0.0135825	0.0105639	0.010432	0.0157494	0.0328532	0.0217149	0.0176022	0.0268921	0.0419375	0.0425712	0.0370173	0.0331902	0.0378389	0.0341279	0.0312908	0.0232224	0.0156078	0.0150304	0.0127906	0.0106803	0.00908411	0.0095147	0.0115696	0.0097501	0.0138507	0.0132485	0.016866	0.0177445	0.0311268	0.0273722	0.0270277	0.0151699	0.0121258	0.00718281	0.0049756	0.00388116	0.0020104	0.000712461	0.000395939	0.000563974	0.000408421	0.000726345	0.000565371
au	0.0218463	0.0117148	0.0130458	0.0139158	0.010149	0.00769321	0.00629068	0.00568266	0.00788241	0.0117804	0.00753962	0.00987538	0.0081785	0.0124509	0.0100406	0.0120937	0.0103167	0.0113628	0.0112812	0.0154191	0.0259428	0.0129812	0.0267216	0.0265678	0.0180538	0.048346	0.0536324	0.0397974	0.0407306	0.0484457	0.0541701	0.0209841	0.0394624	0.0267074	0.0104723	0.0123352	0.0116334	0.00753386	0.0164894	0.014486	0.020307	0.0186116	0.0232349	0.0238341	0.016151	0.0142346	0.00822054	0.0075945	0.0118098	0.00536799	0.00901567	0.00635259	0.00690604	0.0053986	0.00648018	0.00983927	0.0116242	0.0209646
pied	0.0118003	0.00579807	0.00779785	0.00661678	0.00753364	0.00554297	0.00458428	0.0109277	0.00918435	0.0154314	0.0319564	0.0266575	0.0369689	0.0591841	0.0254947	0.0151664	0.0169256	0.0249571	0.0114486	0.0211988	0.0405518	0.0166095	0.0212617	0.0114251	0.0157834	0.0348368	0.0372185	0.020274	0.040806	0.0288372	0.0581735	0.0410292	0.0554364	0.0277872	0.0142025	0.00933803	0.0109295	0.00710475	0.0070216	0.00881206	0.00624796	0.0039225	0.00391654	0.00355874	0.00256944	0.00202963	0.00184582	0.00156704	0.00723679	0.00772225	0.0212971	0.0199866	0.0121408	0.00936059	0.0117237	0.00973097	0.00716543	0.00536388
ma	0.0262042	0.0179885	0.0176679	0.01462	0.00721984	0.00685275	0.00639073	0.0068017	0.0073435	0.013256	0.0176984	0.0168996	0.0144079	0.0182034	0.0160781	0.0159182	0.0165856	0.0230656	0.0188596	0.0137912	0.0212073	0.0138986	0.0120758	0.0151077	0.0252091	0.0230313	0.0237678	0.018798	0.0351605	0.041643	0.0450362	0.0400553	0.0437959	0.0476175	0.0360885	0.0203045	0.023766	0.0121646	0.015034	0.0146894	0.00974805	0.00765876	0.00991528	0.0131001	0.00854805	0.00809531	0.00480352	0.00301958	0.00432641	0.00284911	0.00411536	0.00495734	0.00590242	0.00914307	0.0130769	0.0165636	0.0171426	0.0327309
chaussure	0.0115802	0.00656921	0.00639222	0.0112633	0.00881097	0.0090194	0.00897897	0.0102258	0.0188419	0.0290522	0.0402757	0.0287529	0.0319542	0.0320111	0.031656	0.0288265	0.0183068	0.0275695	0.0224629	0.010636	0.00991031	0.0117194	0.0117663	0.014931	0.0172755	0.0165178	0.0161706	0.0143248	0.0239727	0.0248731	0.0212833	0.0210064	0.0166963	0.0255722	0.0270349	0.0183373	0.0248542	0.0123499	0.0151116	0.011784	0.0062668	0.00643099	0.00680484	0.0101624	0.0078159	0.0104588	0.0151504	0.0101718	0.00974386	0.00553796	0.00654667	0.00879867	0.0140711	0.0158136	0.0194388	0.0293272	0.0379107	0.030872
me	0.0249413	0.0127997	0.00985048	0.012733	0.00798362	0.00901391	0.00755659	0.00728703	0.0114952	0.0145922	0.00692877	0.00686979	0.00604329	0.00738699	0.00560867	0.00714401	0.00795304	0.00686001	0.00874769	0.0133909	0.0166761	0.012985	0.0247683	0.0192208	0.0189457	0.0242101	0.0182967	0.0187028	0.046267	0.0371462	0.0315313	0.036214	0.0242774	0.0251972	0.0250259	0.0301166	0.0265448	0.0213053	0.0236131	0.0189745	0.0119166	0.0130692	0.0112715	0.00900072	0.012627	0.0093044	0.0119574	0.00983198	0.0120377	0.00717401	0.00749764	0.00943775	0.017129	0.0130588	0.0210609	0.0291191	0.0443473	0.0549542
blesse	0.0112035	0.00717865	0.00692441	0.0129616	0.00834213	0.0106052	0.00762428	0.00972589	0.0157394	0.0210536	0.00932207	0.00811651	0.00687303	0.0100724	0.00849378	0.00837954	0.00881935	0.00851614	0.00953735	0.0110511	0.0154451	0.00897869	0.0189248	0.0117213	0.010679	0.0238147	0.0159629	0.0184637	0.0303975	0.0343521	0.0300216	0.0299285	0.0304926	0.026208	0.0262503	0.02787	0.0248222	0.0173957	0.0196966	0.0139764	0.0129299	0.0149953	0.0127098	0.0128762	0.0169027	0.0165175	0.0318641	0.0276831	0.0255803	0.0115269	0.0126817	0.0120149	0.0137799	0.0128079	0.0115678	0.0239525	0.0283947	0.0652732
</S>	0.0519186	0.027526	0.0280535	0.0242802	0.0127007	0.0142154	0.0104606	0.00903741	0.0113134	0.0146893	0.0101528	0.014697	0.0108548	0.011831	0.00767357	0.00690624	0.0079637	0.00707249	0.00981525	0.00937115	0.00912346	0.00874084	0.0112675	0.0107323	0.00835441	0.0119009	0.00951019	0.0158764	0.0262743	0.0285347	0.0263637	0.0266836	0.0245652	0.0255274	0.027469	0.0200569	0.0168295	0.0109729	0.0170935	0.00848491	0.0107482	0.0102266	0.0146133	0.00907131	0.0126085	0.0079702	0.0136686	0.0222667	0.0323159	0.0183787	0.0126084	0.016749	0.0210991	0.0158777	0.0169991	0.0316127	0.0283835	0.0599078
