 	a66	a87	a23	a50	a70	a4	a93	a90	a56	a41	a21	a12	a43	a47	a62	a0	a31	a12	a88	a93	a70	a34	a21	a92	a98	a6	a36	a26	a84	a87	a23	a99	a87	</S>
la	0.0468174	0.103921	0.0426765	0.0395999	0.0548087	0.0493948	0.0387234	0.0579443	0.0360137	0.0226845	0.0296137	0.0256038	0.0285651	0.034991	0.0369997	0.0349286	0.0134967	0.0120666	0.0139119	0.0123333	0.0200649	0.0114062	0.0113914	0.0115021	0.0166275	0.0113378	0.0171126	0.0217629	0.0188323	0.0174328	0.0195136	0.0320139	0.0198112	0.0360962
mauvaise	0.00120081	0.00506074	0.00732562	0.05922	0.0487758	0.0595965	0.0510412	0.0760552	0.0767894	0.0702816	0.046485	0.0511363	0.0699785	0.0719121	0.0470415	0.0309025	0.0338402	0.0766916	0.0506229	0.0200486	0.0118014	0.00875043	0.00667174	0.00433762	0.00445031	0.00116617	0.000701185	0.00112257	0.000740279	0.00087787	0.000739514	0.00136038	0.00247504	0.000799381
parole	0.0106559	0.0186938	0.0346256	0.0734308	0.0651114	0.0811838	0.0627702	0.0773506	0.109466	0.079	0.0618173	0.0508032	0.0390415	0.0469544	0.0370143	0.0326035	0.0244361	0.0225415	0.0180317	0.00870546	0.00753503	0.00487923	0.00363969	0.00324129	0.00598409	0.00219852	0.00138503	0.00288	0.00164087	0.00238004	0.00277244	0.00248372	0.00360453	0.00113846
que	0.102682	0.0377911	0.0462377	0.0380146	0.0272896	0.0254261	0.0238492	0.0156661	0.0330087	0.0263574	0.0248009	0.00871793	0.00684419	0.0120447	0.0102602	0.00961884	0.00700342	0.0094702	0.0161313	0.00878172	0.0068816	0.00781531	0.00635533	0.0092356	0.0198333	0.0154283	0.0355813	0.048227	0.0414161	0.0566304	0.0788976	0.0612655	0.0710146	0.0514217
tu	0.166444	0.0946892	0.0692463	0.0194196	0.0157774	0.0272919	0.0326405	0.0277173	0.0297068	0.0297965	0.0260224	0.0190577	0.0120367	0.0180102	0.0174823	0.028072	0.0326896	0.0450089	0.0491995	0.0302325	0.0233595	0.0269727	0.0165248	0.0135307	0.0149779	0.0122553	0.0121759	0.0137224	0.00775372	0.0114089	0.0174831	0.0129356	0.0155518	0.0108062
as	0.039712	0.0379521	0.0222026	0.0263681	0.0282487	0.0284558	0.025734	0.0147384	0.0138395	0.0171031	0.0123083	0.0166243	0.0155724	0.0238029	0.0186111	0.0174759	0.0220238	0.0491443	0.053868	0.0409271	0.0396849	0.0474104	0.0283475	0.0236738	0.0378381	0.0198413	0.0229228	0.0241043	0.0235752	0.0374619	0.0577852	0.0351131	0.0406828	0.0368464
employé	0.0534164	0.0719818	0.0323818	0.0161543	0.0212612	0.0186882	0.0131082	0.0102706	0.0113431	0.0190892	0.0103758	0.0234089	0.0121441	0.0333205	0.016606	0.013853	0.0164596	0.025502	0.0374455	0.0395345	0.0426248	0.0605735	0.049493	0.0478168	0.0416834	0.0274891	0.0257799	0.039607	0.0284243	0.0381097	0.0363787	0.0128803	0.0279871	0.0248075
e	0.0180959	0.0282606	0.0152871	0.00664904	0.00929699	0.00726429	0.00373905	0.00757713	0.00885044	0.0085192	0.00660305	0.0112882	0.0113029	0.019693	0.0280775	0.0245104	0.0157309	0.0318701	0.0311878	0.0361588	0.0513489	0.0466134	0.130875	0.0537803	0.0325993	0.0161574	0.0268425	0.051087	0.0473944	0.049228	0.0487991	0.0277767	0.0427358	0.0447994
n'	0.0205751	0.031437	0.0216219	0.0213607	0.032624	0.0233991	0.0111607	0.0196853	0.0178575	0.0190193	0.0246873	0.0204215	0.0383978	0.0535342	0.0646765	0.0542	0.0283288	0.0383328	0.0280702	0.0250777	0.0391543	0.0211953	0.0595618	0.0319193	0.029682	0.0133759	0.0165461	0.0218519	0.0291565	0.0292285	0.0240926	0.0246064	0.0323699	0.0327924
a	0.0164626	0.0296893	0.0177978	0.0183476	0.0301529	0.0213826	0.0172783	0.0217348	0.0140697	0.0208399	0.025423	0.0289208	0.059433	0.0622247	0.0723331	0.0535677	0.0383251	0.0450633	0.045834	0.0457361	0.038844	0.0397368	0.0440264	0.029882	0.0185566	0.010901	0.0123397	0.0128114	0.0129006	0.0219918	0.0217522	0.0141375	0.0195142	0.0179894
