 	a87	a23	a79	a20	a73	a94	a11	a53	a4	a90	a76	a90	a9	a53	a90	a98	a26	a98	a71	a38	a76	a94	a32	a24	a9	a87	a40	a73	a35	a94	a90	a76	a94	a32	a24	a41	a14	a57	a38	a14	a35	a98	a83	a9	a87	</S>
il	0.0148114	0.0118407	0.0302345	0.0774362	0.148322	0.052697	0.0336519	0.125229	0.0636591	0.072408	0.0457952	0.0280879	0.0212885	0.0155557	0.0110782	0.00767261	0.00708258	0.00466028	0.0045301	0.00401756	0.00363095	0.00417531	0.00425282	0.00570175	0.00558142	0.00548581	0.00840981	0.00570437	0.00756529	0.00523366	0.00529666	0.00616111	0.00552169	0.00596934	0.00730694	0.0066077	0.0102763	0.00771321	0.0108193	0.0129025	0.017125	0.0153488	0.0111746	0.0128202	0.00728433	0.0218729
a	0.00185972	0.00287351	0.00425674	0.00705629	0.00970679	0.0481753	0.0580964	0.0499024	0.0571233	0.0553814	0.0641872	0.0270661	0.0514632	0.0153954	0.0140676	0.0119966	0.01285	0.0126421	0.0130788	0.0144873	0.0164591	0.0267004	0.029749	0.0511185	0.0315611	0.0359804	0.00909603	0.0149847	0.0139578	0.00899856	0.00874767	0.00847985	0.00652791	0.00978958	0.0136778	0.0186968	0.0197122	0.0154704	0.0145884	0.0132216	0.0181786	0.0156828	0.0200444	0.0199928	0.0184737	0.00844356
payé	0.00673794	0.00684146	0.00545895	0.00392576	0.00526494	0.0183444	0.0223941	0.0277943	0.0301012	0.0478461	0.042263	0.0254471	0.0313565	0.0129319	0.00886125	0.00539287	0.00591267	0.00631754	0.00886647	0.00557754	0.00556912	0.010009	0.0100314	0.0163462	0.00792671	0.0237162	0.0042361	0.00710256	0.00575206	0.00591694	0.00321255	0.00348765	0.00315087	0.0042504	0.0133592	0.0106425	0.0193161	0.0450195	0.0528599	0.0570246	0.0736205	0.0663746	0.0643291	0.0393487	0.0593725	0.060389
cinq	0.0538508	0.0354142	0.0215079	0.0215634	0.023749	0.0617139	0.042722	0.0291831	0.0287764	0.0242752	0.0218055	0.0245849	0.024309	0.0267967	0.0500596	0.0514169	0.0435644	0.0295698	0.0221473	0.0326513	0.0228836	0.0165411	0.0165427	0.020581	0.021377	0.0205563	0.0179988	0.0212403	0.0174432	0.0144355	0.0187713	0.0150423	0.0163698	0.0109719	0.00979662	0.0122066	0.00948631	0.00496235	0.00527109	0.00390864	0.00549953	0.00334065	0.0055587	0.00469547	0.00459353	0.0102642
cabris	0.0348123	0.0372345	0.0191986	0.0198175	0.0180386	0.0276565	0.0208364	0.0153739	0.0194965	0.0158149	0.0160987	0.0182197	0.0139372	0.0151799	0.0176547	0.0208556	0.0216306	0.0194668	0.0161429	0.0158954	0.0173976	0.0165504	0.0145786	0.0234584	0.0198121	0.0223893	0.0167613	0.0151982	0.0120296	0.0129016	0.0126191	0.0137585	0.0159438	0.0138144	0.0176755	0.0217933	0.0209245	0.0196133	0.0296406	0.0303075	0.0230001	0.0355946	0.0356049	0.033668	0.0386138	0.06299
au	0.0671977	0.0462505	0.0403642	0.0204723	0.0168144	0.0224877	0.0198434	0.0215897	0.0198969	0.0203261	0.0499622	0.0230315	0.0471832	0.0207436	0.0202605	0.0184222	0.0194606	0.0164081	0.0122621	0.00906855	0.00877758	0.00793209	0.00646365	0.0081479	0.00815921	0.00829817	0.0100154	0.00739462	0.00690102	0.00631456	0.00743021	0.00819848	0.0105707	0.00659754	0.0147554	0.0117667	0.0123097	0.018274	0.0322215	0.0325756	0.0359409	0.0433653	0.0379942	0.0359131	0.040801	0.0408361
chef	0.029222	0.0216614	0.0179975	0.0191115	0.0131133	0.0184101	0.0199689	0.0303093	0.0425328	0.0385331	0.0389227	0.0382731	0.0449037	0.0347087	0.0353934	0.0372408	0.0430436	0.0376139	0.0371262	0.0277105	0.0257335	0.0137355	0.00994328	0.0108642	0.0152201	0.0115839	0.016934	0.0137609	0.0102132	0.0120799	0.0162001	0.0135345	0.0198862	0.0103561	0.0123785	0.0100777	0.00824631	0.00853847	0.0137007	0.0132203	0.0148294	0.0163201	0.0148434	0.0229428	0.0193487	0.0197116
pour	0.0322021	0.0225619	0.0183273	0.0183319	0.0205515	0.0588648	0.0381991	0.032213	0.0277859	0.0404204	0.0570489	0.0281735	0.0749809	0.0241076	0.0185195	0.0150572	0.0231551	0.0246274	0.0200875	0.0172566	0.0228582	0.0212618	0.0100726	0.0152908	0.0112457	0.0108273	0.00969232	0.00972571	0.0136413	0.00730194	0.00654043	0.00662139	0.00626956	0.00317598	0.00305321	0.00441698	0.00572662	0.00480527	0.00887107	0.0128937	0.00850333	0.0204433	0.0166815	0.027436	0.041753	0.0784189
l'	0.0243221	0.0178918	0.0172036	0.014602	0.014145	0.0312365	0.0186846	0.0204076	0.0125888	0.0171048	0.0140522	0.0143769	0.018425	0.0145968	0.0135199	0.012627	0.0167671	0.0178126	0.0146264	0.0182102	0.0216422	0.0244763	0.0151215	0.0229451	0.0221694	0.0242226	0.018251	0.0207017	0.0208233	0.0150823	0.0089674	0.00902462	0.00918525	0.00701776	0.00823305	0.00920507	0.0160134	0.0132138	0.0241209	0.0367336	0.0252532	0.0311595	0.0300568	0.0478638	0.0574988	0.117817
adultère	0.0125034	0.00989492	0.0182169	0.019637	0.021298	0.0191983	0.0193926	0.0217039	0.0194163	0.016841	0.012246	0.00907581	0.0109343	0.00795609	0.0074685	0.00889603	0.0174511	0.0271789	0.0353635	0.0262781	0.0303766	0.0286943	0.0161549	0.0198403	0.0146714	0.0163555	0.0129288	0.0203813	0.0191007	0.0153419	0.0287287	0.0298831	0.0303325	0.0357369	0.0350976	0.0383316	0.0396607	0.030298	0.0265564	0.0249459	0.0240749	0.0242445	0.0295702	0.0251998	0.0234245	0.0191184
