 	a66	a87	a23	a18	a50	a88	a24	a62	a70	a83	a54	a44	a70	a54	a44	a54	a73	a84	a40	a54	a37	a44	a11	a4	a99	a9	a99	a82	a99	a87	a23	a87	a23	a97	</S>
j'	0.042419	0.0576669	0.06106	0.0293801	0.0249768	0.0210537	0.00402734	0.00939367	0.00932289	0.00440583	0.00403002	0.00465607	0.00901421	0.00787823	0.0143814	0.0117302	0.0222861	0.0348558	0.0604273	0.0331652	0.0345676	0.0349503	0.0563319	0.0388408	0.0427034	0.0324558	0.0277093	0.0245856	0.0254689	0.027651	0.0280063	0.0298895	0.0345613	0.0354386	0.0607086
ai	0.0257801	0.0207678	0.0351044	0.0234506	0.020406	0.0191098	0.00554912	0.0092152	0.00833886	0.0145819	0.0255329	0.0260123	0.0469011	0.0583193	0.0441868	0.0843793	0.0574768	0.0361227	0.034661	0.0220448	0.0279912	0.0319809	0.0234307	0.0256305	0.0246747	0.0177448	0.0247972	0.0297639	0.0195165	0.0252271	0.0242643	0.0254124	0.0213526	0.0336618	0.0266107
mangé	0.0705712	0.0371051	0.0262666	0.0239191	0.0287404	0.0234322	0.00739117	0.0128911	0.0106019	0.011892	0.015835	0.0146923	0.0455094	0.0626523	0.0326434	0.0321538	0.0238244	0.0126082	0.00968738	0.0122003	0.0182282	0.0220728	0.0250829	0.0325828	0.0299384	0.0185755	0.0196049	0.0262354	0.0282551	0.0332377	0.0433603	0.051751	0.0338332	0.0673352	0.0352892
un	0.0467981	0.0287102	0.0139134	0.0149662	0.0151659	0.0104115	0.0122985	0.0118022	0.0106687	0.0087143	0.00516253	0.009783	0.0344029	0.0311222	0.0362759	0.0411117	0.0345836	0.0361636	0.0384279	0.0400578	0.0390905	0.0469658	0.0792728	0.0379479	0.0377519	0.0339944	0.0261579	0.0330249	0.030496	0.0240912	0.0258743	0.0187112	0.0261267	0.0182061	0.0417484
morceau	0.0356191	0.0346812	0.0142974	0.018697	0.0172976	0.0210174	0.0739717	0.0395611	0.0432162	0.0305245	0.0214187	0.0366372	0.0830489	0.0319419	0.0425605	0.0346981	0.0522723	0.0499938	0.0340828	0.0282123	0.0328266	0.019205	0.0224261	0.0217404	0.0282594	0.0289657	0.012852	0.0203258	0.0138656	0.00958449	0.00969783	0.00752555	0.0105559	0.0103513	0.00806891
de	0.0861839	0.0594692	0.0332669	0.0387914	0.0461826	0.0247542	0.0290509	0.0318184	0.0250021	0.0194355	0.01889	0.0128603	0.00868474	0.00876192	0.00706859	0.00781939	0.0162682	0.0159935	0.0203853	0.0344122	0.0213964	0.0202756	0.0303401	0.0458206	0.0697379	0.0727	0.0234393	0.0346132	0.0215372	0.0205411	0.0215689	0.0140665	0.020986	0.0194618	0.0184161
pain	0.0631142	0.0392457	0.0227327	0.022141	0.0244828	0.0157133	0.0145663	0.0179058	0.0142804	0.0240514	0.0228785	0.0182939	0.0107126	0.0116989	0.0100769	0.00767608	0.0139943	0.0100468	0.0105027	0.018376	0.0245885	0.028171	0.0369838	0.0585253	0.0703471	0.0595951	0.0365519	0.0419729	0.066701	0.0353591	0.0440954	0.0343421	0.0274025	0.0333066	0.00956751
avec	0.108516	0.0591804	0.0317662	0.0159487	0.0131103	0.0132005	0.00498477	0.00760602	0.00404823	0.00208473	0.00339779	0.00205631	0.00318179	0.00809869	0.00446407	0.00692242	0.0102075	0.00792725	0.00812011	0.0117868	0.00986452	0.00983348	0.0118158	0.0197302	0.0210858	0.0309085	0.0157165	0.036052	0.0618578	0.0656296	0.0824657	0.0909808	0.0688439	0.0929729	0.0556341
le	0.0627	0.0382751	0.0240743	0.0129414	0.0110495	0.0107453	0.00450586	0.00715666	0.00456087	0.00210522	0.00374438	0.00300261	0.0035398	0.00792297	0.00673365	0.00808988	0.0112864	0.0112903	0.0114587	0.0182189	0.0160575	0.022435	0.0242491	0.0279159	0.0312939	0.0431419	0.0330859	0.0487071	0.0812482	0.0712224	0.0734059	0.0627098	0.0676778	0.0750721	0.0583755
miel	0.043142	0.0285895	0.0114468	0.0103532	0.00952616	0.00914394	0.00777853	0.0086946	0.00721694	0.00700043	0.00633754	0.00510838	0.00570586	0.0104525	0.0074942	0.0091109	0.010072	0.00889849	0.00844877	0.00917376	0.0103536	0.0123889	0.0244329	0.0286573	0.0376309	0.0509971	0.0273778	0.048188	0.0836523	0.0666757	0.0795244	0.0762137	0.0892302	0.0912573	0.0497254
</S>	0.0702613	0.0463434	0.0312044	0.0281868	0.0207325	0.0161175	0.0066419	0.00742149	0.00639328	0.00534394	0.00815615	0.00523608	0.00407553	0.00803233	0.00456632	0.00425133	0.00531057	0.0045398	0.00534973	0.00772124	0.0146368	0.0174891	0.0238455	0.0391213	0.0509923	0.0428701	0.0225534	0.038182	0.0497506	0.0498705	0.0751191	0.0806937	0.0681695	0.0936523	0.0371681
