 	a23	a99	a83	a99	a38	a14	a35	a75	a41	a37	a96	a62	a71	a9	a99	a38	a62	a21	a41	a73	a26	a57	a87	a23	a62	a96	a70	a61	a21	a47	a31	a43	a32	a21	a47	a21	a96	a18	a38	a21	a18	a25	a53	a93	a94	a98	a70	a13	a9	a99	a87	</S>
le	0.0588683	0.0378696	0.0272426	0.0187125	0.0294235	0.0521863	0.0512103	0.0533761	0.0406251	0.0292252	0.0220211	0.0220339	0.0221005	0.0227725	0.0168613	0.0171454	0.0155139	0.0135917	0.016085	0.0147242	0.00878019	0.00854304	0.00741855	0.00507665	0.00363273	0.00722815	0.00435366	0.0050277	0.00739152	0.0118057	0.0129059	0.0170866	0.0117066	0.00924191	0.0171354	0.0381383	0.0147325	0.0181418	0.0174799	0.00897457	0.00500072	0.00747802	0.00872897	0.0155454	0.0122184	0.016047	0.0130555	0.0113445	0.0257143	0.0157192	0.0197972	0.0329603
chien	0.00735211	0.0246775	0.0443137	0.0495637	0.0953461	0.11472	0.0496305	0.0311107	0.0450462	0.0819146	0.0301513	0.0233898	0.0246192	0.0284206	0.021728	0.0242468	0.0304862	0.0215071	0.0275491	0.0283495	0.017823	0.0130371	0.010702	0.0073214	0.00776641	0.00729058	0.00860957	0.00897815	0.0112922	0.0111068	0.0116748	0.0138096	0.00722058	0.00591532	0.00847568	0.00448531	0.0029945	0.00377535	0.00210471	0.00674569	0.00359105	0.00772137	0.00412683	0.00193733	0.00107783	0.000698861	0.00106122	0.000152415	0.000364029	0.000676318	0.000975418	0.00236608
a	0.0331685	0.0338686	0.0815106	0.0594813	0.0815871	0.0905516	0.0320074	0.0203069	0.0149904	0.0649668	0.024223	0.0156483	0.0131807	0.0117656	0.0160569	0.0183288	0.0230162	0.03205	0.0160599	0.0209274	0.0192753	0.0146334	0.017697	0.0204491	0.0149228	0.0127996	0.0323136	0.0137769	0.0143095	0.0197114	0.0108514	0.0073154	0.00768542	0.00515199	0.00622329	0.00517815	0.00463519	0.00363157	0.00411894	0.00327297	0.00307443	0.00292868	0.00240227	0.00374677	0.00355942	0.00378894	0.00489121	0.00319282	0.00511301	0.00607001	0.00727619	0.0123076
attrapé	0.0169085	0.015996	0.0425531	0.0707973	0.032531	0.0289544	0.0456485	0.0764612	0.0386923	0.0602106	0.0303328	0.0148265	0.0122033	0.00910789	0.0138025	0.00752063	0.0111523	0.00976204	0.00781039	0.012848	0.0125559	0.010767	0.0135711	0.0143551	0.0171709	0.0106144	0.0170601	0.0261789	0.0174028	0.0259466	0.0222023	0.0261873	0.0269254	0.0331704	0.0258821	0.0196128	0.026156	0.00937325	0.00514732	0.00515169	0.00609591	0.00475252	0.00674484	0.00733371	0.00683788	0.0065033	0.00584563	0.00597316	0.0102026	0.00487324	0.00460582	0.0066809
l'	0.0233124	0.0273875	0.0217218	0.0167182	0.0176324	0.0272152	0.0248042	0.0313295	0.0342063	0.021253	0.0230494	0.0186347	0.0137136	0.0126446	0.0127016	0.0193716	0.0236914	0.0187303	0.0333123	0.0174499	0.0243362	0.021455	0.0228923	0.0335427	0.0253287	0.0202125	0.0141908	0.0146374	0.0145419	0.0170915	0.0273825	0.0208725	0.0311479	0.0393297	0.0337667	0.0363133	0.0478627	0.0305297	0.0138115	0.0148429	0.0118548	0.00459382	0.0104632	0.00482947	0.00431703	0.00279902	0.00241763	0.00326579	0.00573123	0.00239222	0.00168466	0.00268307
os	0.0179169	0.0233978	0.0449646	0.0388112	0.0506002	0.0611425	0.0313135	0.0198859	0.0338219	0.0393246	0.0477626	0.0521325	0.0366856	0.0273977	0.0354043	0.0404668	0.0427596	0.0363903	0.0433467	0.0365541	0.0208235	0.0203944	0.0188442	0.0162469	0.014479	0.0204337	0.0160639	0.00856794	0.0100002	0.00802319	0.00763608	0.00591147	0.00513908	0.00488494	0.00540814	0.00789743	0.00363969	0.00611729	0.00309534	0.00565625	0.00387151	0.00289248	0.00304096	0.00257418	0.00245368	0.00261549	0.0013319	0.00189997	0.00343442	0.00208273	0.00183484	0.00262591
qu'	0.016335	0.0123624	0.0191039	0.0176591	0.0146227	0.0205432	0.0186011	0.0264572	0.029872	0.0412292	0.0757933	0.0576996	0.0225971	0.0239063	0.0488985	0.0337166	0.0486793	0.0693756	0.0400479	0.0351611	0.0299212	0.0211969	0.0232142	0.0218768	0.0223779	0.016573	0.0119833	0.00998304	0.0105055	0.0158641	0.00971976	0.0113317	0.00642528	0.00497524	0.00803323	0.014207	0.00313528	0.00633862	0.00415772	0.00566369	0.0047084	0.00448489	0.00300933	0.005289	0.00433995	0.00700506	0.00417241	0.00616479	0.0104819	0.00775237	0.00593302	0.00651451
a	0.0203565	0.0156108	0.0227491	0.0112468	0.0142447	0.00742906	0.0129202	0.00528209	0.00484522	0.00708354	0.0124606	0.0192802	0.0134028	0.0177482	0.0387881	0.0496612	0.0687218	0.0646827	0.0685826	0.0608495	0.0497505	0.0395531	0.0350446	0.0193219	0.016995	0.0181934	0.0129908	0.00748245	0.00759435	0.00649859	0.00721957	0.00433618	0.00461151	0.00359976	0.00456318	0.00523503	0.00230022	0.00679176	0.00295586	0.00235166	0.00239328	0.00216007	0.00181666	0.00529611	0.00541947	0.00947318	0.0136985	0.0176772	0.0295483	0.0264424	0.0417442	0.0509953
jeté	0.0140073	0.00815528	0.00920649	0.0133815	0.00768246	0.0108793	0.0147305	0.0300918	0.0241559	0.0216367	0.0289119	0.0310896	0.0151688	0.0178316	0.0485532	0.0242193	0.0301744	0.0438805	0.0291772	0.022872	0.0162428	0.0125692	0.0198252	0.0238528	0.0213746	0.0135482	0.0124163	0.0114326	0.0124131	0.025956	0.021453	0.0310632	0.0181333	0.0276857	0.034441	0.0288688	0.0166439	0.012647	0.0108337	0.00834867	0.00941475	0.00654274	0.00609634	0.0112174	0.0127862	0.0112401	0.0189123	0.0211355	0.029156	0.0183183	0.0148435	0.0147818
son	0.0131344	0.00977738	0.0132121	0.011261	0.0113253	0.0181433	0.017402	0.0254741	0.023902	0.0298007	0.0389822	0.0359508	0.0298994	0.0230386	0.0451077	0.0379109	0.0375611	0.0435067	0.0312325	0.0250771	0.019197	0.0166545	0.0202208	0.0276377	0.0267528	0.0184938	0.0172623	0.0162185	0.0169729	0.0236056	0.0268867	0.0286125	0.0210125	0.0230285	0.0196567	0.0138114	0.0118868	0.0103034	0.00949586	0.0117028	0.00588587	0.00414248	0.00274264	0.00532699	0.00545113	0.00400522	0.00706778	0.00784991	0.0130838	0.00774048	0.00894324	0.0266481
