 	a23	a83	a53	a90	a57	a53	a76	a94	a38	a11	a94	a70	a90	a4	a57	a82	a87	a23	a99	a11	a90	a76	a94	a32	a15	a73	a94	a41	a13	a38	a12	a32	a11	a98	a11	a10	a9	a87	</S>
tu	0.0442208	0.0385067	0.0705894	0.0795928	0.0588553	0.0673789	0.0447625	0.0359188	0.0423743	0.0297352	0.0148725	0.0193725	0.0144667	0.0128208	0.00926071	0.00882496	0.00826358	0.00934343	0.00889625	0.00971378	0.0120963	0.0140855	0.0116413	0.0118963	0.0105827	0.0111978	0.0104579	0.00916001	0.0149139	0.00935138	0.0219647	0.0255677	0.0291741	0.0268514	0.0227144	0.0332174	0.0255949	0.0318204	0.0399422
fais	0.00276317	0.00321324	0.00518513	0.0106388	0.0165929	0.0517554	0.0620975	0.0647198	0.100324	0.0193073	0.0163677	0.0276008	0.0215312	0.0384708	0.0344467	0.0288046	0.0213305	0.0327324	0.0529989	0.0373675	0.0526224	0.0320628	0.0230399	0.0281641	0.0185622	0.0245694	0.0199765	0.0171689	0.0148129	0.0152491	0.0180296	0.0157628	0.0116567	0.0113869	0.0131608	0.00799209	0.00786001	0.007835	0.0118395
trop	0.0162869	0.023286	0.0130231	0.0147244	0.0179968	0.0341745	0.0373906	0.0251788	0.066386	0.025976	0.0158609	0.0211655	0.0102508	0.0123219	0.0126727	0.0147637	0.00550674	0.0107299	0.00988298	0.00629815	0.0096479	0.00660417	0.00669541	0.0101055	0.00708986	0.0129588	0.0162575	0.0151116	0.0107124	0.0124118	0.0174339	0.0156335	0.0353643	0.0384966	0.036988	0.0592491	0.0359957	0.0514997	0.207868
de	0.0574759	0.0442613	0.0313813	0.0216698	0.0348978	0.0638202	0.0243526	0.0375928	0.0190577	0.0573666	0.0235343	0.0254462	0.0239798	0.0646657	0.0428445	0.0210987	0.0176	0.0154771	0.0222039	0.0310066	0.021461	0.0221465	0.0205767	0.0288135	0.0191852	0.0128824	0.0149768	0.0358091	0.0111938	0.0118625	0.0130798	0.00715123	0.0130644	0.0141834	0.0122874	0.0158135	0.0127739	0.0153046	0.0177015
bruit	0.0196395	0.0149462	0.016189	0.00707236	0.010293	0.00957455	0.0122518	0.0159418	0.0159566	0.0179977	0.015454	0.00880506	0.01612	0.0128664	0.0118806	0.00727216	0.00559405	0.00482071	0.00880313	0.00487392	0.00686614	0.00697902	0.00835817	0.0115864	0.0102362	0.0120871	0.0139182	0.0292106	0.0270481	0.0253918	0.042764	0.0306767	0.0466855	0.113841	0.0933479	0.0669529	0.0562032	0.0548357	0.106659
va	0.0657348	0.0320076	0.0221696	0.0203159	0.0192085	0.0141397	0.0140681	0.0224122	0.0100965	0.0128585	0.0100429	0.0120026	0.0126922	0.0151875	0.0202699	0.00939016	0.00944131	0.00655482	0.0105928	0.0102786	0.00817655	0.00925299	0.00853881	0.00579567	0.00737581	0.00815857	0.00752865	0.00838156	0.011705	0.0137805	0.0217787	0.0205868	0.0307884	0.051491	0.0472881	0.0764412	0.0954271	0.0819177	0.136123
jouer	0.0385805	0.0339843	0.0214209	0.0146776	0.0193666	0.0139928	0.0249889	0.0263992	0.00943038	0.0030032	0.00667734	0.00596592	0.00684032	0.00651179	0.00820915	0.00314796	0.00243834	0.00335604	0.00764999	0.00403768	0.00952009	0.00575202	0.00532317	0.00968361	0.00844535	0.0139673	0.0114803	0.00999985	0.00918307	0.00820728	0.0115046	0.00954145	0.0147128	0.030305	0.0438993	0.0967682	0.0982935	0.144421	0.198313
autre	0.0223637	0.0236183	0.0241413	0.0188191	0.0299678	0.0201649	0.0218973	0.0321479	0.0137783	0.00588184	0.00761496	0.0093891	0.00852279	0.00848933	0.00684639	0.00387352	0.00254975	0.00380537	0.00667267	0.005843	0.00954262	0.00823335	0.00653408	0.0142466	0.0072458	0.0149364	0.0161172	0.0157011	0.0329228	0.0321897	0.0484735	0.0283063	0.030079	0.0614028	0.0487782	0.0707504	0.0654981	0.0920863	0.120568
part	0.0334328	0.0518469	0.0583887	0.0471357	0.0471926	0.0305586	0.0353479	0.0333195	0.0256465	0.00965679	0.0118983	0.0173683	0.0117717	0.0149365	0.0135104	0.00990113	0.00513291	0.00829557	0.0102118	0.00775776	0.0126401	0.0105885	0.00783907	0.0131452	0.00766232	0.0104184	0.0110507	0.0153887	0.0178571	0.0116068	0.0190896	0.0160162	0.0178759	0.0317887	0.0217267	0.0498064	0.0509179	0.0874241	0.103847
</S>	0.0261135	0.0156866	0.010392	0.00640802	0.00316703	0.00211921	0.0029524	0.00386696	0.00202928	0.000983152	0.0018191	0.00155123	0.00229515	0.00414326	0.00317823	0.00188738	0.00157922	0.001458	0.00287379	0.00186886	0.00614997	0.00390741	0.00329994	0.00543678	0.00496414	0.0117828	0.0114456	0.0125099	0.0558967	0.0357219	0.0473084	0.0534867	0.0488583	0.06849	0.0505817	0.103812	0.0963406	0.123986	0.159649
