 	a66	a87	a23	a50	a88	a62	a12	a96	a21	a12	a21	a85	a75	a61	a11	a34	a75	a92	a79	a44	a96	a62	a0	a21	a12	a96	a18	a25	a87	a23	a99	a97	</S>
le	0.0343986	0.0234137	0.0655508	0.0433548	0.0208477	0.0143813	0.015186	0.0215615	0.0355725	0.039331	0.0346956	0.022781	0.0181766	0.0181076	0.0171055	0.0226412	0.0300042	0.0239837	0.0173348	0.0190537	0.0213302	0.0288131	0.0262033	0.0303701	0.0398286	0.0494586	0.0339453	0.0326436	0.0326106	0.0299906	0.0377824	0.0331403	0.0664016
pigeon	0.00392127	0.00524919	0.00718066	0.022874	0.0278488	0.0468391	0.0602998	0.0800839	0.165805	0.199772	0.123756	0.0598395	0.0250581	0.0427109	0.0263228	0.0184321	0.0177862	0.0168218	0.00694469	0.00516701	0.00487092	0.00277685	0.00145739	0.000435141	0.00100347	0.00134141	0.000933186	0.00233005	0.00746926	0.00309486	0.00186421	0.00825436	0.00145705
vert	0.00999027	0.0124055	0.025663	0.0396232	0.0707411	0.0396997	0.0608924	0.103767	0.121316	0.125077	0.110011	0.0844679	0.0408927	0.039584	0.045088	0.0200516	0.0137918	0.00744808	0.00381317	0.0044012	0.00223984	0.00173798	0.000906707	0.000438374	0.00125729	0.000828663	0.000703409	0.00189574	0.00359907	0.00193061	0.00149321	0.00315721	0.00108754
se	0.0552334	0.0364548	0.0467069	0.0492204	0.076962	0.0916184	0.0719068	0.0664268	0.0648991	0.0448477	0.0285328	0.0375426	0.0325711	0.0335698	0.0320341	0.0305761	0.0247775	0.0210084	0.0101419	0.0118653	0.00829082	0.00659757	0.00488931	0.00468285	0.0112715	0.00651857	0.00745504	0.0111501	0.0131785	0.013004	0.0143487	0.017847	0.0138702
nourrit	0.0632239	0.0396124	0.0405581	0.02901	0.0346164	0.0401041	0.0303651	0.0362627	0.0272345	0.022862	0.0167101	0.0211149	0.037502	0.0443004	0.0392063	0.070569	0.0711892	0.0744205	0.0318238	0.0511758	0.0437637	0.0313361	0.0221909	0.0103046	0.00733868	0.00667679	0.00582523	0.00637862	0.00514209	0.00870833	0.0069907	0.0115911	0.0118919
de	0.0347564	0.0163759	0.0170129	0.00898697	0.00592148	0.00674321	0.00541559	0.008594	0.00771613	0.00638821	0.00660282	0.00601962	0.00650309	0.00682897	0.00552402	0.0104159	0.0124804	0.0215641	0.0209671	0.0463344	0.0367169	0.0528398	0.0552842	0.0526331	0.0450253	0.0480202	0.0628743	0.0639035	0.0531119	0.0645012	0.056955	0.0596923	0.0872909
fruits	0.0345474	0.0234027	0.0281488	0.0180107	0.031207	0.0358782	0.0180784	0.0316128	0.0169883	0.016299	0.0233927	0.0403856	0.0364388	0.0326552	0.0424075	0.0454258	0.0288629	0.0245595	0.0168309	0.0291584	0.0167865	0.0245786	0.0297173	0.0413907	0.0483517	0.0349073	0.0489086	0.0509306	0.0258292	0.0236352	0.0258221	0.0336193	0.0212321
de	0.0397199	0.0256984	0.0304929	0.0260019	0.0285638	0.0233806	0.0214349	0.0429838	0.0258695	0.0244996	0.0291491	0.0554969	0.0481644	0.0515252	0.0501433	0.0438374	0.034755	0.0194824	0.00817116	0.0141051	0.00714362	0.0113836	0.0110191	0.0188675	0.0362919	0.0220368	0.022084	0.0501786	0.0322956	0.0302862	0.0299334	0.0468471	0.0381574
l'	0.020808	0.0188863	0.0228445	0.0120812	0.0131887	0.00987643	0.0100269	0.0157542	0.0150698	0.0167162	0.0185259	0.0187849	0.0133995	0.0143009	0.0132936	0.0185642	0.0222263	0.0186109	0.0160992	0.0163442	0.0141403	0.0221235	0.0191175	0.0613746	0.0482591	0.066015	0.0716186	0.0687224	0.0652939	0.0659721	0.0653492	0.0603992	0.0462127
arbre	0.016643	0.0185534	0.0160977	0.0105761	0.0137745	0.0109446	0.0126737	0.0207708	0.0157386	0.0172811	0.027401	0.036311	0.0361972	0.0355627	0.0293593	0.0328926	0.0336562	0.0230566	0.0124936	0.0140899	0.0107693	0.0181714	0.0127547	0.0245749	0.0244092	0.0522181	0.0577365	0.0627507	0.0671198	0.0614074	0.0682016	0.0531861	0.0526267
isenge	0.0267885	0.0236502	0.0261587	0.0193338	0.0173943	0.0164195	0.0210791	0.0287796	0.0224761	0.0193461	0.0302921	0.0232916	0.0253548	0.0264919	0.021795	0.0228845	0.0238948	0.027743	0.0127742	0.0288353	0.0242458	0.0331155	0.0236752	0.0299184	0.0307073	0.044287	0.0383398	0.0508321	0.0382114	0.0438337	0.0490518	0.0454617	0.083537
</S>	0.0393469	0.0325415	0.0373414	0.026364	0.0195332	0.0190505	0.0238563	0.0289057	0.0202387	0.0138037	0.0150923	0.0112319	0.015242	0.0161625	0.0146409	0.0161668	0.01816	0.0202032	0.0123417	0.0258847	0.0159979	0.0360625	0.0266034	0.0555467	0.0435138	0.0418367	0.0455266	0.0495661	0.0290758	0.0418161	0.0452523	0.0397658	0.103328
