 	a66	a87	a23	a18	a38	a54	a7	a44	a37	a43	a11	a24	a62	a21	a5	a18	a75	a6	a37	a43	a11	a24	a83	a13	a98	a47	a7	a44	a93	a70	a44	a11	a75	a37	a18	a47	a62	a88	a71	a94	a5	a18	a12	a96	a75	a92	a5	a18	a44	a4	a57	a26	a4	a57	a82	a87	a23	a87	</S>
la	0.0169968	0.0311751	0.0226447	0.0268645	0.0340168	0.0317747	0.0294137	0.0276226	0.0242261	0.0289667	0.0266729	0.024055	0.0150678	0.012468	0.00546966	0.00281185	0.00391984	0.00525044	0.00961543	0.00671816	0.00885057	0.00923285	0.0100761	0.00973107	0.0122934	0.0192304	0.0181094	0.0128046	0.0243605	0.0185506	0.0144745	0.0169116	0.0227227	0.019917	0.0278411	0.0227031	0.0254818	0.0250816	0.0153177	0.0294147	0.0345198	0.0282104	0.0236528	0.0227729	0.0334031	0.016996	0.0119028	0.00743861	0.0104416	0.0050832	0.00333967	0.00687106	0.00398256	0.0051158	0.00437783	0.00526409	0.00621089	0.00538165	0.0161793
manière	0.00154112	0.00667211	0.00621919	0.0138955	0.0139028	0.0236184	0.0205301	0.0194801	0.0153198	0.0185338	0.0132151	0.0127773	0.0243116	0.0287632	0.015677	0.04552	0.0283083	0.0353987	0.0140499	0.00882755	0.0244291	0.014736	0.0116644	0.00849309	0.0160284	0.0174554	0.0174888	0.0094151	0.00835022	0.0176722	0.0288153	0.043088	0.0249813	0.0598553	0.077426	0.0694295	0.0203607	0.0210702	0.0173868	0.01018	0.024054	0.0229376	0.00855831	0.00680122	0.00451409	0.00562877	0.00312544	0.0022595	0.00262707	0.00323293	0.00257342	0.00226695	0.00251056	0.00250152	0.000504546	0.00192254	0.0038752	0.00783628	0.00738248
dont	0.020778	0.0175575	0.0241259	0.0172924	0.0275718	0.0273037	0.0154945	0.0223843	0.0137742	0.0191282	0.0149277	0.0162165	0.0234674	0.0201976	0.0191338	0.0394902	0.0312406	0.041581	0.0435133	0.025741	0.0262157	0.0524904	0.0252002	0.0248821	0.0238081	0.0251506	0.0307403	0.0139506	0.0194079	0.0446302	0.0451029	0.0261084	0.0199114	0.0168401	0.0140537	0.0195281	0.0108082	0.00687643	0.0074029	0.0058693	0.00530407	0.00787271	0.00289925	0.00295361	0.00201244	0.0033314	0.00190063	0.0013063	0.000840399	0.00136379	0.00140784	0.000726819	0.00239426	0.0021068	0.00392281	0.00316417	0.0037401	0.00657294	0.00628259
il	0.00678725	0.00632428	0.00399802	0.00267602	0.00307096	0.00265667	0.00331065	0.00209209	0.00292902	0.00248542	0.00271035	0.00250864	0.00271978	0.0033939	0.003757	0.00615612	0.0123771	0.00626836	0.00702422	0.00902648	0.00612385	0.014511	0.0107682	0.0122424	0.0155854	0.0205458	0.0148167	0.0120825	0.0263032	0.0315244	0.0348103	0.0237459	0.0301256	0.0522244	0.0764492	0.0823153	0.0519043	0.050352	0.0388815	0.0297557	0.0258919	0.0165204	0.0183407	0.0122249	0.00767751	0.00718284	0.0146287	0.0110079	0.00888532	0.0221817	0.0124956	0.0149868	0.0163588	0.018008	0.00828496	0.0157457	0.0176503	0.0187064	0.00588172
ont	0.0123121	0.00964077	0.0048663	0.00242371	0.00268847	0.00424698	0.00530191	0.00346193	0.00702314	0.00902517	0.00646612	0.00553208	0.00437599	0.00582885	0.00742985	0.0094431	0.0068088	0.0118949	0.0159974	0.00919828	0.00856361	0.0100525	0.0133457	0.00670133	0.0158847	0.0108198	0.0137797	0.0143472	0.0225319	0.0409749	0.0404201	0.0362111	0.029595	0.0381508	0.0666248	0.0758062	0.045115	0.0742246	0.0604259	0.0586235	0.0378011	0.0144249	0.0195467	0.0104873	0.00972125	0.00701329	0.0071883	0.0041575	0.00219475	0.00325685	0.00334707	0.00488222	0.00471275	0.0059829	0.00259288	0.00849167	0.00722358	0.0117192	0.00909162
surpris	0.0169387	0.00987841	0.00767735	0.00463801	0.00469104	0.0048254	0.0058472	0.00696966	0.00899833	0.0136918	0.0122191	0.01574	0.0152761	0.0173262	0.0192086	0.0175843	0.012369	0.0242942	0.0397161	0.0243613	0.0254751	0.0301554	0.0295914	0.0212026	0.0268059	0.0148996	0.0264224	0.028673	0.0162321	0.0192966	0.0161435	0.0191154	0.0205526	0.0128498	0.0181375	0.0224777	0.0271014	0.0361533	0.0255253	0.0332722	0.0175719	0.0121034	0.0225352	0.0141438	0.0179108	0.0170108	0.0107823	0.011125	0.00909282	0.00782735	0.00482196	0.00797933	0.00708841	0.00919064	0.00584941	0.0132918	0.0101174	0.0153384	0.0338858
le	0.0249316	0.0116511	0.0136567	0.010631	0.00925541	0.00608178	0.00517123	0.00689069	0.0110409	0.0156409	0.0122771	0.0160011	0.0157844	0.0193861	0.0216285	0.0256859	0.0165208	0.0254508	0.0271082	0.0260711	0.0314518	0.0328881	0.025548	0.0217886	0.0214132	0.0155531	0.0193226	0.0308142	0.0243443	0.0214655	0.0213326	0.0197043	0.0182445	0.0136176	0.0100469	0.0133401	0.0169036	0.0178561	0.0187709	0.0227886	0.0115112	0.00791219	0.0108141	0.00643814	0.00800622	0.0138289	0.0059842	0.00991212	0.0113509	0.0151544	0.0132143	0.00578958	0.0121259	0.0131163	0.009522	0.0163635	0.0191124	0.0288794	0.0429045
voleur	0.0249025	0.0291292	0.0327374	0.0131075	0.0210235	0.0114541	0.0106794	0.0178652	0.0199512	0.0244844	0.0137541	0.021873	0.0187678	0.0132689	0.0196066	0.0237377	0.018787	0.0207266	0.0175461	0.0207142	0.0255018	0.0352512	0.0125773	0.0124033	0.0119592	0.0141088	0.0144791	0.016771	0.0106827	0.00943614	0.0134343	0.0107298	0.0135367	0.00839443	0.0052526	0.00510977	0.00406229	0.00451072	0.00535749	0.00785654	0.00637001	0.00311574	0.00357728	0.00315695	0.00458269	0.0118393	0.00440613	0.00732566	0.0101805	0.0194518	0.0214625	0.0175323	0.0431168	0.0301873	0.0254462	0.0379364	0.0337647	0.0354435	0.0455727
dans	0.014255	0.0153122	0.0226687	0.0130394	0.0224828	0.0174431	0.0102092	0.0198258	0.0183636	0.0192625	0.0150963	0.0239241	0.0226931	0.0187398	0.0289034	0.0250625	0.0202266	0.0236646	0.0218716	0.0223618	0.0239425	0.0376161	0.0131958	0.0165502	0.00819359	0.0114064	0.0121931	0.0112249	0.00534177	0.00584441	0.0107121	0.00964834	0.00972737	0.00522574	0.002422	0.00230032	0.00173065	0.00144518	0.00269029	0.00461681	0.00386034	0.0025435	0.00318663	0.00286599	0.00396333	0.0113465	0.00584102	0.00863532	0.0108335	0.0237357	0.0238789	0.0221836	0.0413614	0.027946	0.0271505	0.0411107	0.0387417	0.0537099	0.0556716
la	0.0253505	0.0249423	0.0216754	0.0147405	0.0118939	0.00912587	0.00663469	0.0111858	0.00824553	0.0111235	0.0116411	0.016581	0.0123443	0.0133995	0.0208863	0.0142532	0.0113339	0.0166153	0.0187464	0.0269331	0.0283274	0.0318057	0.0163069	0.0165876	0.0142353	0.0145822	0.0151924	0.0255857	0.0119317	0.00980659	0.0138166	0.0140275	0.0127284	0.00431618	0.00385893	0.00406387	0.00663338	0.00821267	0.00995993	0.0167004	0.0117311	0.00942126	0.0157222	0.0129274	0.0194935	0.0151883	0.0185935	0.0178668	0.0182679	0.0195059	0.0129525	0.0250623	0.0154509	0.0244656	0.0139116	0.0302258	0.0378701	0.0458625	0.0491496
