 	a66	a87	a97	a79	a69	a58	a53	a69	a44	a62	a96	a70	a93	a56	a11	a93	a94	a93	a4	a53	a69	a56	a90	a69	a58	a4	a57	a38	a10	a38	a4	a13	a3	a97	a87	a97	a82	</S>
le	0.0106659	0.0186874	0.0129816	0.033383	0.065822	0.0450723	0.0342938	0.0471749	0.0753523	0.0626639	0.0484726	0.0479548	0.0542395	0.054529	0.0323974	0.0213409	0.0271707	0.033462	0.00984216	0.0114287	0.0119874	0.00854622	0.0150785	0.0201387	0.0299777	0.00880426	0.00811891	0.00574975	0.00972694	0.0153761	0.0162052	0.0200422	0.0142248	0.011439	0.00991121	0.0135133	0.0115219	0.022703
véhicule	0.00129085	0.00793722	0.0111357	0.0338488	0.03254	0.0409189	0.0514927	0.0419361	0.0507862	0.0664557	0.0423943	0.0368462	0.111585	0.104255	0.054651	0.117863	0.0495118	0.0462856	0.0165	0.0116358	0.00741123	0.00991651	0.00599525	0.00659668	0.00551006	0.0070571	0.00641097	0.00391307	0.00203074	0.000990142	0.000555574	0.00143807	0.00142033	0.0026123	0.00139585	0.00207518	0.00186767	0.00293282
qu'	0.0430641	0.0434258	0.038208	0.039473	0.0516853	0.0453608	0.0543837	0.0699704	0.0775748	0.0770551	0.0577558	0.0574316	0.0440288	0.0366367	0.0191602	0.021252	0.0218705	0.0213307	0.0197712	0.0140366	0.011634	0.016816	0.0153927	0.0126986	0.00629413	0.00259686	0.00161422	0.000920451	0.00354784	0.00418245	0.00295109	0.00448218	0.00635483	0.00957026	0.0143794	0.0141806	0.0129967	0.00591252
il	0.0400127	0.0376018	0.0221702	0.0241008	0.02024	0.0145446	0.0106038	0.012658	0.0231468	0.0297884	0.0272399	0.0229245	0.0300567	0.0319812	0.0166967	0.021283	0.0195297	0.0181861	0.0278244	0.0151321	0.00796994	0.0112136	0.0155014	0.0240137	0.0092887	0.0107387	0.0107304	0.0115501	0.021364	0.0327344	0.0295923	0.0231738	0.0387982	0.0402003	0.048584	0.0448043	0.0581856	0.0958353
vient	0.0237176	0.025405	0.0140404	0.0137054	0.013254	0.0182114	0.0114757	0.00793395	0.00850635	0.0136663	0.0285382	0.0257697	0.0285704	0.0310088	0.0211488	0.0434523	0.0331171	0.071362	0.0724179	0.0511906	0.0385024	0.0316661	0.0346889	0.026886	0.00954585	0.0124345	0.017135	0.01599	0.0169499	0.0156797	0.0133892	0.0166801	0.024981	0.0296572	0.0402518	0.0253083	0.0503221	0.0234401
d'	0.0333143	0.0316743	0.0203478	0.0140571	0.0146576	0.0135059	0.00662688	0.00640483	0.00398177	0.00562043	0.00635262	0.00951291	0.0117941	0.0117752	0.0073255	0.013785	0.0134349	0.0289503	0.0259585	0.0444308	0.0277882	0.0265746	0.0279958	0.0305342	0.0152939	0.00678122	0.0105737	0.0136516	0.0205299	0.0251928	0.0232203	0.0428458	0.064863	0.0789977	0.0619224	0.0651305	0.0850285	0.0495652
acheter	0.0130667	0.0211254	0.0245813	0.0174107	0.0181495	0.031928	0.0279706	0.0220688	0.0105578	0.0161683	0.0137634	0.0149526	0.0169172	0.0196533	0.0171591	0.0283356	0.0283041	0.0488123	0.0463942	0.0675685	0.0717544	0.0993428	0.101908	0.0742718	0.0443574	0.0127738	0.00796269	0.00388589	0.00342219	0.00406908	0.00277126	0.00412554	0.00948584	0.0113609	0.0104369	0.0107808	0.0140087	0.00839436
est	0.0291975	0.0420111	0.0327222	0.031283	0.0499046	0.0570725	0.0548428	0.0459176	0.0173125	0.0186244	0.0170322	0.0150843	0.0111636	0.0114638	0.00955453	0.00933865	0.0082889	0.0158926	0.00966842	0.01311	0.0204565	0.0230915	0.0244413	0.0140476	0.0186265	0.0059588	0.0145341	0.0118066	0.0201942	0.026471	0.0206046	0.0309227	0.0557736	0.050637	0.0477058	0.0381671	0.0557967	0.0212793
encore	0.0143266	0.0126339	0.0123217	0.0128417	0.0137083	0.0138632	0.00839878	0.00787908	0.0071062	0.00931284	0.0102766	0.0123367	0.00849764	0.0142964	0.0118789	0.0138826	0.0138646	0.0170131	0.0153697	0.0143432	0.0162108	0.0124898	0.0115899	0.0114746	0.0121311	0.00689353	0.0101393	0.0140791	0.0215747	0.0507884	0.038297	0.0830623	0.0875338	0.0855722	0.0859424	0.0680023	0.0624372	0.0776298
tout	0.0183946	0.0432976	0.0513914	0.0543439	0.0651735	0.0658213	0.037468	0.0297105	0.045756	0.0520603	0.0365165	0.0419732	0.054332	0.0422738	0.0466753	0.0297418	0.0268217	0.0220289	0.0186652	0.0130522	0.017301	0.0107432	0.00731855	0.00475328	0.00850278	0.00543661	0.00648998	0.00427218	0.00646351	0.0104695	0.00902392	0.011038	0.0126094	0.0145579	0.013253	0.0185486	0.014657	0.0290639
neuf	0.0295047	0.0505195	0.0475612	0.0673528	0.0869976	0.0876937	0.0279068	0.0203742	0.0298198	0.037425	0.0354411	0.0454115	0.0506815	0.0202785	0.017902	0.00800434	0.00920729	0.00748356	0.00676514	0.00446518	0.00454832	0.00235863	0.00469793	0.00588261	0.0037657	0.00279094	0.00374187	0.00422984	0.00783075	0.0147338	0.0104525	0.0199798	0.0230918	0.0308711	0.030784	0.0317193	0.0331439	0.0745817
</S>	0.0557657	0.0549983	0.0590493	0.0864955	0.0549911	0.0515808	0.0203634	0.0177005	0.0211274	0.0295403	0.0225948	0.0233176	0.0214169	0.00965519	0.00775279	0.00423498	0.0041776	0.00556546	0.00429832	0.00410774	0.0045274	0.00471136	0.00671571	0.00704886	0.00506277	0.00509307	0.00771783	0.0100766	0.0186855	0.0314118	0.0183074	0.0380552	0.033069	0.0458186	0.0478329	0.0431268	0.0502732	0.0637324
